lat,lon,alt,gs,track
40.116634,-76.292007,-50.0,0.1,0.0
40.116635,-76.292012,-50.0,0.1,0.0
40.116646,-76.292007,-50.0,0.0,0.0
40.116955,-76.291656,-50.0,2.8,0.0
40.116966,-76.291641,-50.0,0.1,0.0
40.126679,-76.31141,-50.0,0.0,0.0
40.126772,-76.311535,500,58.0,315.0
40.127289,-76.312073,500,56.4,322.9
40.127701,-76.312439,500,54.6,331.6
40.12825,-76.312744,500,53.9,338.2
40.128799,-76.312927,500,53.4,347.0
40.129193,-76.313033,500,53.3,353.5
40.129578,-76.312988,500,52.1,3.3
40.129715,-76.312988,600,52.2,5.5
40.130077,-76.312908,600,51.4,13.5
40.130496,-76.312658,600,50.7,22.0
40.131454,-76.312134,600,51.4,26.6
40.132233,-76.311523,600,55.1,29.4
40.132828,-76.311035,600,57.2,36.5
40.133789,-76.309998,600,58.9,40.2
40.134613,-76.309021,600,58.7,44.3
40.134979,-76.308411,600,55.8,53.8
40.13562,-76.307068,600,54.4,57.8
40.136261,-76.305725,600,54.6,61.6
40.136641,-76.304606,700,55.5,66.7
40.137085,-76.303101,700,56.3,70.3
40.137543,-76.301208,800,56.6,72.5
40.137726,-76.300415,800,57.9,71.9
40.13827,-76.297989,800,59.2,74.3
40.138596,-76.296265,900,60.4,77.6
40.139191,-76.29303,1000,60.6,76.7
40.139694,-76.290283,1000,59.2,74.3
40.13976,-76.290124,1100,59.5,73.4
40.140198,-76.288208,1100,57.6,72.8
40.140598,-76.286441,1100,59.9,75.5
40.140784,-76.285067,1100,61.8,80.7
40.14093,-76.283447,1100,63.3,84.6
40.141205,-76.279724,1200,61.1,86.2
40.14125,-76.279512,1100,61.1,86.2
40.141251,-76.279053,1200,60.2,85.2
40.141296,-76.278809,1100,60.2,85.2
40.141296,-76.27832,1200,61.3,84.4
40.141762,-76.272708,1200,62.4,83.6
40.141902,-76.270835,1200,63.1,87.3
40.141891,-76.270203,1300,62.3,95.5
40.141715,-76.268963,1300,63.2,100.9
40.141203,-76.265966,1400,65.7,103.2
40.141159,-76.265747,1300,65.7,103.2
40.141113,-76.265503,1400,65.7,103.2
40.140747,-76.263367,1400,68.9,103.4
40.140381,-76.260925,1400,69.2,100.8
40.139786,-76.256775,1400,73.0,99.5
40.139694,-76.255371,1400,74.1,93.1
40.139667,-76.253544,1400,74.0,88.4
40.13974,-76.251953,1300,75.1,87.7
40.139853,-76.248987,1300,78.1,87.1
40.140152,-76.244324,1300,78.2,85.6
40.140244,-76.241943,1300,76.0,89.2
40.140335,-76.240845,1300,75.8,81.7
40.140505,-76.239999,1300,75.0,73.7
40.140839,-76.239075,1300,75.6,65.8
40.141576,-76.23694,1400,76.5,64.4
40.142624,-76.234009,1400,73.9,66.9
40.143205,-76.232383,1400,72.5,65.6
40.144272,-76.229431,1400,75.1,63.1
40.14516,-76.227389,1400,76.2,60.1
40.146371,-76.224518,1500,78.4,60.2
40.146652,-76.223877,1400,78.9,59.5
40.146929,-76.223269,1500,78.9,59.5
40.14798,-76.221069,1500,77.7,58.2
40.148346,-76.220276,1400,78.8,56.9
40.14935,-76.218276,1400,79.9,58.3
40.150048,-76.21659,1500,78.7,62.8
40.151305,-76.213157,1500,79.6,64.7
40.152702,-76.209474,1500,80.1,62.5
40.153702,-76.206848,1500,79.2,65.4
40.15416,-76.2052,1500,79.7,70.2
40.154434,-76.204224,1600,79.7,72.5
40.155029,-76.201359,1600,80.5,75.6
40.155167,-76.200623,1600,80.8,74.9
40.155945,-76.197266,1600,80.7,72.7
40.157683,-76.190685,1600,83.2,74.0
40.158474,-76.186815,1500,82.5,76.0
40.159033,-76.183881,1500,83.5,73.3
40.159424,-76.182739,1500,83.8,66.8
40.159917,-76.181384,1500,85.1,60.4
40.160616,-76.180136,1500,84.9,55.6
40.16098,-76.179565,1500,84.2,46.4
40.16185,-76.178528,1500,83.5,42.1
40.162628,-76.177734,1500,82.7,34.7
40.163641,-76.176952,1500,82.4,29.0
40.164573,-76.176265,1600,82.3,27.5
40.165643,-76.175516,1600,81.8,32.5
40.166341,-76.174767,1600,80.2,40.5
40.167206,-76.173645,1600,78.5,46.5
40.167785,-76.17277,1600,78.2,51.2
40.168204,-76.171896,1600,77.4,57.1
40.168625,-76.170898,1600,75.2,64.8
40.168854,-76.170044,1600,73.4,72.6
40.169037,-76.168945,1600,72.4,78.8
40.169321,-76.166403,1600,73.2,75.8
40.169495,-76.165466,1600,73.5,78.2
40.169495,-76.164856,1600,73.6,83.0
40.169414,-76.164405,1600,73.2,100.2
40.169266,-76.163757,1600,72.1,113.7
40.16922,-76.163635,1600,72.1,119.1
40.169042,-76.163282,1700,72.0,127.7
40.168902,-76.163094,1600,72.0,127.7
40.168579,-76.16272,1600,72.1,135.0
40.168167,-76.162415,1600,73.0,143.9
40.167847,-76.162231,1600,73.7,159.4
40.167297,-76.162109,1600,75.7,172.4
40.1669,-76.162096,1600,77.0,180.0
40.166519,-76.16217,1600,78.3,190.3
40.166016,-76.162345,1600,78.5,197.1
40.16555,-76.16272,1600,79.2,204.6
40.165283,-76.162964,1600,79.2,217.3
40.164917,-76.163513,1600,77.9,228.1
40.164666,-76.164031,1700,77.9,228.1
40.164597,-76.164246,1700,75.7,240.7
40.164526,-76.164592,1600,73.1,253.3
40.164479,-76.164842,1700,72.6,262.9
40.164526,-76.165529,1700,71.2,274.0
40.164688,-76.166626,1700,72.4,281.1
40.164871,-76.16748,1700,74.0,286.5
40.164945,-76.167714,1700,73.7,288.2
40.165146,-76.168274,1700,72.9,296.9
40.165457,-76.168775,1700,72.8,307.2
40.165969,-76.169336,1700,72.2,317.2
40.166295,-76.169524,1700,71.9,325.2
40.166702,-76.169739,1700,71.8,341.3
40.167297,-76.169861,1700,72.6,348.1
40.167755,-76.169861,1700,74.0,359.2
40.168579,-76.169739,1700,74.7,7.7
40.169128,-76.169556,1700,74.0,18.9
40.169998,-76.169006,1700,73.8,26.6
40.170547,-76.168518,1700,73.8,32.8
40.171097,-76.167847,1800,73.8,40.6
40.171188,-76.167725,1800,74.3,43.4
40.171648,-76.167027,1800,75.6,52.5
40.172021,-76.166215,1800,74.9,58.6
40.172347,-76.165404,1800,75.6,65.8
40.172533,-76.16453,1800,77.2,73.4
40.172653,-76.163635,1800,78.5,83.4
40.172699,-76.16217,1800,80.0,89.3
40.172653,-76.160217,1900,81.1,92.8
40.172626,-76.159973,1800,81.2,94.2
40.172607,-76.159729,1900,81.2,94.2
40.172562,-76.159241,1900,81.3,94.9
40.172562,-76.158936,1800,81.3,94.9
40.172562,-76.158752,1900,82.3,94.9
40.172241,-76.15387,1900,83.1,92.8
40.172058,-76.149414,1900,81.1,92.1
40.171921,-76.143433,1900,78.2,93.7
40.171692,-76.140137,1800,77.2,94.5
40.171462,-76.135691,1800,78.2,93.7
40.171463,-76.134705,1800,77.3,84.8
40.171695,-76.132445,1800,77.9,81.1
40.172241,-76.128113,1800,78.3,79.7
40.172562,-76.126343,1800,78.3,76.0
40.173157,-76.123596,1800,76.2,73.2
40.17393,-76.120647,1800,77.5,70.4
40.175674,-76.114014,1800,75.9,71.6
40.176583,-76.110285,1900,78.7,72.3
40.177793,-76.105603,1900,77.2,71.1
40.178558,-76.102905,1900,77.8,69.7
40.180115,-76.097351,1900,77.2,71.1
40.181145,-76.093556,1900,78.2,69.0
40.182216,-76.090185,1900,78.4,66.7
40.182961,-76.088063,1900,75.1,63.1
40.183519,-76.08644,1900,73.5,67.6
40.183914,-76.084961,1800,73.7,71.8
40.18396,-76.084778,1900,73.7,71.8
40.184006,-76.084656,1800,73.7,71.8
40.184555,-76.082336,1900,78.5,72.9
40.184738,-76.081604,1800,79.1,71.6
40.185059,-76.080383,1900,77.5,72.7
40.18602,-76.076294,2000,75.6,72.3
40.186111,-76.07605,1900,75.6,72.3
40.186126,-76.075828,2000,76.2,73.2
40.186844,-76.072998,1900,76.8,71.8
40.18689,-76.072876,2000,77.2,71.1
40.187011,-76.072395,1900,77.8,69.7
40.187523,-76.070834,1900,77.5,66.4
40.188826,-76.067026,2000,78.0,67.4
40.189178,-76.065918,1900,77.6,68.1
40.189525,-76.064654,2000,77.2,71.1
40.189897,-76.063031,2000,76.7,74.9
40.190048,-76.06189,1900,76.5,78.7
40.190231,-76.059998,1900,75.5,83.2
40.190549,-76.05629,1900,77.2,85.5
40.190595,-76.055353,2000,78.1,87.8
40.190552,-76.053833,2000,77.1,92.2
40.190409,-76.051483,2000,76.4,96.0
40.19013,-76.049174,2000,76.1,99.8
40.189728,-76.04657,2000,76.9,102.8
40.189087,-76.043213,2000,78.6,104.7
40.187805,-76.036499,2000,74.7,105.5
40.187027,-76.033508,2000,76.8,108.2
40.186033,-76.02976,2000,77.5,109.6
40.185102,-76.026701,2000,76.3,111.5
40.183752,-76.022519,2000,76.2,113.2
40.183182,-76.020691,2100,77.1,112.9
40.181704,-76.016464,2100,78.3,114.9
40.181005,-76.014279,2100,79.9,112.1
40.179562,-76.009723,2100,78.8,114.0
40.178678,-76.007288,2100,79.6,116.9
40.177139,-76.003601,2100,80.1,119.1
40.176211,-76.001545,2100,79.6,122.7
40.175262,-75.999695,2200,81.5,119.4
40.175186,-75.999485,2100,82.3,117.5
40.175125,-75.999268,2200,82.3,114.4
40.174907,-75.998549,2200,83.2,108.2
40.17485,-75.997803,2200,82.6,101.2
40.174814,-75.996926,2200,83.1,92.1
40.174805,-75.996704,2100,83.1,92.1
40.174767,-75.996427,2200,83.1,92.1
40.174759,-75.993774,2100,83.0,91.4
40.174721,-75.992993,2200,82.2,93.5
40.174348,-75.987812,2100,82.2,93.5
40.174348,-75.9875,2200,82.2,93.5
40.174301,-75.985352,2100,81.1,92.1
40.174164,-75.98053,2100,79.0,90.7
40.174209,-75.97745,2200,81.1,87.9
40.174302,-75.970397,2200,84.0,88.6
40.174301,-75.963745,2200,82.0,90.0
40.174255,-75.961487,2200,85.1,93.4
40.174116,-75.959598,2300,86.8,97.9
40.173883,-75.956664,2300,87.3,94.6
40.173743,-75.954354,2200,86.3,94.7
40.173278,-75.947488,2200,82.2,93.5
40.173138,-75.942931,2200,80.0,91.4
40.173111,-75.93988,2100,81.0,90.0
40.173138,-75.939622,2200,81.0,90.0
40.173138,-75.938873,2100,81.0,88.6
40.173231,-75.937999,2100,80.5,83.6
40.173386,-75.936951,2100,81.5,75.8
40.174954,-75.929635,2100,80.1,77.0
40.1754,-75.926697,2100,80.4,79.2
40.175792,-75.923143,2100,80.9,81.5
40.176041,-75.920715,2100,80.5,83.6
40.176117,-75.91971,2200,80.2,86.4
40.176164,-75.917587,2200,79.0,89.3
40.176164,-75.914404,2200,83.0,90.0
40.176257,-75.909535,2200,84.1,87.9
40.17649,-75.903355,2300,85.1,87.3
40.17649,-75.903043,2200,85.1,88.0
40.176498,-75.902771,2300,85.1,88.0
40.17649,-75.896551,2300,83.0,89.3
40.176498,-75.894104,2200,83.0,90.7
40.176361,-75.886108,2200,86.1,92.0
40.176224,-75.880432,2200,86.0,90.7
40.176257,-75.878074,2200,85.1,86.6
40.176407,-75.876587,2200,85.6,83.3
40.176676,-75.87489,2200,86.1,77.2
40.177607,-75.869335,2200,84.7,78.4
40.177886,-75.867088,2200,83.9,81.8
40.178421,-75.861633,2200,81.2,80.1
40.179291,-75.855774,2200,83.0,81.0
40.179562,-75.853105,2300,85.0,81.2
40.179611,-75.852844,2200,85.0,81.2
40.17984,-75.85083,2300,84.9,81.9
40.179888,-75.850296,2200,85.0,81.2
40.180773,-75.842056,2200,86.1,80.7
40.181076,-75.840271,2200,85.9,75.2
40.181396,-75.839111,2200,85.4,69.4
40.18189,-75.837687,2200,85.4,62.8
40.182724,-75.835876,2200,84.9,58.0
40.186499,-75.827886,2200,84.6,57.1
40.188873,-75.823205,2200,86.6,58.7
40.192085,-75.816338,2200,82.2,58.4
40.193527,-75.813354,2200,78.5,55.9
