lat,lon,alt,gs,track
44.952424,-92.403058,1700,100.2,251.4
44.952209,-92.404502,1800,101.8,259.2
44.952005,-92.406877,1900,104.3,265.6
44.952393,-92.411891,2000,106.7,280.3
44.952982,-92.414447,2100,107.9,290.6
44.95372,-92.416665,2100,107.3,296.6
44.954132,-92.417777,2200,106.1,298.7
44.955093,-92.420131,2300,104.1,301.2
44.955356,-92.420677,2400,103.8,302.0
44.956939,-92.424093,2500,105.4,303.4
44.957611,-92.425494,2600,105.1,304.1
44.958893,-92.428175,2700,101.8,303.4
44.959406,-92.429251,2800,101.5,304.2
44.960198,-92.430859,2900,101.0,305.7
44.962153,-92.434677,3000,100.7,304.5
44.963058,-92.436611,3100,101.0,303.7
44.964294,-92.439423,3100,102.2,300.6
44.964752,-92.4406,3300,102.1,299.3
44.966017,-92.443989,3400,102.9,297.8
44.967361,-92.447728,3500,101.1,295.8
44.967911,-92.449297,3600,100.7,295.3
44.969089,-92.452832,3700,99.3,295.0
44.969369,-92.453636,3800,98.4,295.3
44.97016,-92.45598,3900,98.4,296.6
44.971252,-92.458714,3900,98.1,300.0
44.971789,-92.46,4000,98.8,301.8
44.972397,-92.46133,4100,98.2,303.4
44.973953,-92.464403,4100,99.4,306.4
44.974582,-92.46556,4200,99.2,307.2
44.97583,-92.467739,4300,99.4,310.1
44.976334,-92.468458,4400,99.8,312.2
44.977283,-92.46978,4400,99.2,318.3
44.978446,-92.471053,4400,99.6,324.4
44.979218,-92.471728,4500,99.9,327.3
44.980408,-92.472709,4600,101.1,331.7
44.981752,-92.473532,4600,101.8,337.5
44.983008,-92.474134,4600,103.2,343.7
44.983753,-92.474335,4700,103.8,346.6
44.985168,-92.474605,4700,104.9,352.3
44.986314,-92.47467,4700,106.0,358.4
44.986919,-92.47467,4600,107.0,0.5
44.987105,-92.47467,4900,107.0,1.6
44.988647,-92.474474,4900,108.9,7.4
44.990204,-92.474016,4900,108.9,13.3
44.990457,-92.473934,5000,108.9,13.3
44.991669,-92.473428,5100,109.1,17.6
44.99325,-92.472594,5100,109.6,21.4
44.994553,-92.471662,5100,109.1,27.3
44.994786,-92.471522,5300,109.1,27.3
44.996567,-92.470027,5300,109.6,32.0
44.997207,-92.469445,5400,109.0,33.4
44.998836,-92.467703,5400,110.6,37.3
45.000229,-92.466104,5400,112.6,41.8
45.000931,-92.465091,5500,113.1,45.0
45.001769,-92.463751,5600,114.1,48.9
45.002747,-92.461918,5600,116.0,54.1
45.003585,-92.460067,5600,117.0,59.7
45.003937,-92.458976,5700,118.1,62.8
45.004655,-92.45665,5800,119.4,68.4
45.005127,-92.45466,5900,119.6,72.5
45.005585,-92.452109,5900,120.6,78.0
45.005905,-92.449232,6000,120.9,82.9
45.005959,-92.447138,6100,122.1,87.2
45.005951,-92.444458,6100,123.1,92.8
45.005726,-92.441845,6100,124.2,97.9
45.005585,-92.440665,6200,123.8,99.8
45.005127,-92.438311,6200,123.8,105.9
45.004609,-92.436218,6300,124.1,110.8
45.004003,-92.434276,6400,123.9,116.4
45.003067,-92.432033,6400,123.5,121.8
45.001877,-92.429613,6400,123.6,126.8
45.001676,-92.429318,6500,123.2,128.1
45.000366,-92.427194,6600,122.4,132.7
44.99881,-92.425101,6600,122.4,137.3
44.997626,-92.423758,6600,122.8,142.9
44.9973,-92.42349,6700,123.0,143.6
44.99609,-92.422351,6800,122.6,148.0
44.994644,-92.421308,6800,122.1,152.2
44.993576,-92.42061,6900,120.4,156.0
44.991669,-92.419608,6900,117.7,160.6
44.990341,-92.419019,7000,114.8,163.3
44.988327,-92.4183,7100,111.6,167.6
44.986267,-92.417796,7400,109.5,170.5
44.982543,-92.417126,7400,109.8,173.2
44.976929,-92.416142,7500,114.0,172.4
44.97286,-92.41525,7600,114.6,170.5
44.969879,-92.414507,7800,113.8,169.9
44.965164,-92.413265,7900,113.6,167.8
44.963242,-92.412545,8100,114.3,164.3
44.961362,-92.411633,8100,115.2,159.7
44.959854,-92.410714,8100,116.3,154.5
44.958252,-92.409406,8200,117.5,149.3
44.956986,-92.408284,8300,118.7,145.6
44.955868,-92.407011,8400,121.3,139.4
44.954658,-92.405336,8400,123.7,134.7
44.953681,-92.403728,8400,125.9,128.9
44.952703,-92.401652,8400,129.0,122.3
44.951912,-92.399508,8400,131.5,115.2
44.951294,-92.397308,8500,134.1,108.7
44.950841,-92.394819,8600,135.8,103.6
44.950562,-92.392541,8600,137.3,97.9
44.95047,-92.390115,8600,138.1,92.1
44.950562,-92.387238,8700,136.2,87.1
44.95079,-92.384164,8800,133.4,81.8
44.95134,-92.380306,8900,128.9,77.9
44.951706,-92.378017,9100,126.4,76.7
44.95253,-92.372393,9100,126.1,79.5
44.95261,-92.372042,9400,125.9,79.9
44.953029,-92.367889,9300,130.3,82.1
44.953354,-92.363957,9300,134.8,83.6
44.953903,-92.35611,9400,138.4,85.9
44.953995,-92.352186,9400,136.0,90.4
44.953857,-92.349505,9500,135.4,94.7
44.953537,-92.346039,9600,134.6,99.0
44.953033,-92.342638,9600,134.9,103.7
44.952331,-92.339485,9600,136.3,107.5
44.951569,-92.336753,9600,137.6,112.7
44.950515,-92.33359,9700,137.7,116.8
44.949051,-92.330082,9800,137.7,121.0
44.947256,-92.326154,9900,135.4,124.2
44.944931,-92.321712,10000,134.2,127.1
44.940413,-92.313493,10200,136.8,127.9
44.938065,-92.309222,10400,134.2,127.1
44.936549,-92.306124,10400,133.7,123.1
44.935638,-92.303925,10400,136.0,118.1
44.935013,-92.301904,10500,138.0,113.0
44.934501,-92.299626,10500,139.8,106.6
44.934222,-92.297817,10500,142.6,100.9
44.934036,-92.295489,10600,144.4,94.4
44.934036,-92.293396,10600,146.1,88.4
44.934265,-92.291107,10600,146.4,82.2
44.934586,-92.288884,10600,146.0,76.5
44.935135,-92.28653,10600,146.4,70.4
44.935822,-92.284437,10700,146.7,65.0
44.936737,-92.282148,10700,147.1,58.9
44.93776,-92.280199,10800,146.4,53.0
44.93898,-92.27829,10900,145.0,45.8
44.940262,-92.27672,10900,142.9,39.0
44.941623,-92.275443,10900,139.8,32.4
44.943008,-92.274432,10900,136.0,25.2
44.944836,-92.273433,11000,132.2,19.0
44.946487,-92.272862,11100,128.1,12.6
44.947955,-92.272562,11100,124.8,6.4
44.949371,-92.27247,11100,121.0,359.0
44.950699,-92.272666,11100,119.6,354.2
44.951167,-92.272763,11400,119.4,351.3
44.952424,-92.273232,11300,117.2,344.7
44.953766,-92.273908,11300,114.8,337.5
44.954937,-92.274773,11300,113.3,331.0
44.956241,-92.275979,11300,111.5,325.6
44.957498,-92.277452,11300,109.3,320.2
44.958481,-92.278748,11400,106.8,314.6
44.95936,-92.280266,11400,104.6,308.4
44.96022,-92.281952,11400,101.8,303.4
44.961227,-92.284437,11500,99.9,299.4
44.96206,-92.286831,11600,97.1,295.0
44.962805,-92.28931,11600,94.3,291.1
44.96327,-92.291319,11800,93.0,286.9
44.96355,-92.293061,11800,91.8,281.3
44.963689,-92.294602,11900,90.5,275.7
44.963882,-92.298693,11900,88.1,273.2
44.963974,-92.303009,12100,90.0,270.6
44.964066,-92.313799,12200,99.0,270.0
44.964108,-92.321264,12400,102.0,271.7
44.964388,-92.329637,12500,105.1,272.7
44.9649,-92.342767,12700,102.1,272.8
44.964981,-92.346431,12900,101.0,270.6
44.96489,-92.34787,12900,102.5,264.4
44.964706,-92.350813,12900,104.1,267.2
44.964798,-92.352644,12900,105.4,274.9
44.964993,-92.35429,12900,105.9,280.9
44.965805,-92.359837,13100,103.2,278.9
44.966017,-92.362797,13100,102.3,274.5
44.966309,-92.3669,13300,104.9,277.7
44.966675,-92.371674,13300,105.5,275.4
44.966994,-92.3772,13400,98.4,275.2
44.967088,-92.378406,13500,89.5,275.8
44.967181,-92.379545,13600,80.4,275.7
44.96732,-92.38276,13600,71.1,273.2
44.967453,-92.385537,13600,63.3,275.4
44.967865,-92.389788,13600,67.5,276.8
44.968251,-92.394551,13500,69.3,275.0
44.968643,-92.40012,13400,70.5,276.5
44.969229,-92.406676,13400,61.5,277.5
44.96965,-92.411891,13100,59.7,278.7
44.969742,-92.413068,12900,69.5,276.6
44.969833,-92.414311,12600,79.4,275.8
44.969925,-92.415227,12500,86.5,276.0
44.970113,-92.417327,12100,94.8,277.3
44.970253,-92.418801,11900,95.2,279.1
44.970474,-92.420393,11700,96.1,282.0
44.970703,-92.42157,11500,98.2,284.7
44.971069,-92.423074,11300,100.9,289.7
44.971277,-92.423892,11100,102.7,292.3
44.971756,-92.425167,10900,105.1,296.6
44.972162,-92.426237,10700,108.0,300.6
44.9729,-92.427717,10500,111.8,305.5
44.973558,-92.428782,10300,115.6,310.4
44.974136,-92.429613,10100,117.4,314.3
44.974823,-92.430398,10000,119.6,321.8
44.975607,-92.431127,9900,121.1,329.2
44.975932,-92.431328,9700,123.0,332.4
44.976746,-92.431706,9600,124.9,340.8
44.977936,-92.431968,9400,128.4,351.5
44.979126,-92.431968,9300,130.0,359.1
44.980029,-92.431797,9100,132.2,7.8
44.981277,-92.431379,8900,131.5,15.0
44.98245,-92.430725,8800,131.5,21.9
44.983063,-92.430333,8600,131.1,24.8
44.984207,-92.429352,8400,131.9,31.0
44.985123,-92.428502,8200,133.0,36.4
44.986267,-92.427041,8000,135.8,43.2
44.987183,-92.425624,7800,137.4,48.5
44.987732,-92.424643,7600,138.4,52.6
44.98851,-92.422943,7400,139.3,57.9
44.989293,-92.420811,7300,139.1,64.0
44.989517,-92.42,7100,139.3,66.8
44.989929,-92.417973,7000,138.5,75.4
44.989991,-92.417528,6900,138.5,75.4
44.990112,-92.416207,6900,136.8,83.7
44.990112,-92.415815,6800,135.0,90.0
44.990067,-92.414965,6700,133.0,96.9
44.989975,-92.414442,6600,133.0,96.9
44.989792,-92.413657,6600,132.2,104.5
44.989746,-92.41333,6500,129.5,110.8
44.989619,-92.412906,6400,129.5,110.8
44.989197,-92.411826,6300,127.1,119.2
44.988781,-92.411164,6200,126.5,123.1
44.988548,-92.410762,6100,125.5,130.8
44.987943,-92.410226,6000,127.3,141.1
44.987757,-92.410025,5900,128.1,145.8
44.98664,-92.409422,5700,129.7,161.6
44.986084,-92.409276,5600,129.5,164.8
44.985569,-92.409221,5500,129.7,174.2
44.985196,-92.409221,5400,129.2,176.4
44.984033,-92.409355,5300,127.4,184.5
44.983334,-92.409422,5100,127.6,185.4
44.982193,-92.409341,5000,128.1,177.8
44.981598,-92.409145,4900,127.5,168.7
44.981053,-92.408752,4900,125.8,156.1
44.980867,-92.408618,4600,124.8,151.8
44.980681,-92.408417,4700,124.4,143.5
44.980122,-92.407547,4600,123.8,128.4
44.979675,-92.406529,4500,123.5,119.1
44.979584,-92.406202,4400,122.5,116.2
44.979355,-92.405025,4300,123.1,106.5
44.979284,-92.404599,4200,123.8,102.1
44.979238,-92.40346,4100,125.3,93.7
44.979284,-92.402656,4000,127.1,87.3
44.979284,-92.40212,3900,127.1,87.3
44.979424,-92.400446,3800,125.9,83.2
44.97947,-92.399977,3700,126.0,82.7
44.979517,-92.399508,3600,125.0,82.7
44.97963,-92.398485,3500,123.0,82.5
44.97963,-92.398028,3400,121.9,82.9
44.979813,-92.396131,3300,122.8,83.4
44.979858,-92.395673,3400,122.7,83.9
44.979889,-92.395221,3100,122.7,83.9
44.979936,-92.393948,3000,123.4,85.3
44.979983,-92.393613,2900,123.3,85.8
44.980029,-92.392005,2800,126.1,87.7
44.980029,-92.39167,2700,126.1,88.2
44.980029,-92.391201,2600,126.0,88.6
44.979936,-92.389526,2600,125.3,93.7
