lat,lon,alt,gs,track,vs
47.328552,-122.226746,0,77.0,0.0,64
47.329239,-122.226814,0,81.0,358.6,128
47.330109,-122.226814,0,83.0,358.6,192
47.332214,-122.226814,100,87.0,359.3,512
47.334688,-122.226844,200,86.0,359.3,960
47.336503,-122.226985,200,83.1,357.2,960
47.337204,-122.227158,300,81.1,350.8,960
47.338028,-122.227432,300,80.6,348.5,832
47.338715,-122.227776,300,80.0,341.8,832
47.339576,-122.228394,400,78.7,334.4,832
47.340271,-122.22908,400,79.1,327.9,704
47.34074,-122.229732,400,78.9,320.7,640
47.341141,-122.230522,400,80.2,310.5,512
47.341391,-122.231211,400,81.0,298.8,576
47.341644,-122.232101,500,81.8,296.9,576
47.341873,-122.2332,500,83.5,286.7,576
47.341997,-122.234239,500,85.6,276.7,704
47.34201,-122.235603,500,85.2,274.0,768
47.341919,-122.237183,600,86.1,266.7,832
47.341717,-122.238676,600,86.3,260.0,832
47.341391,-122.240225,600,87.4,254.1,832
47.340958,-122.241714,700,89.1,245.4,704
47.340454,-122.24295,700,91.0,236.7,640
47.339813,-122.244186,700,92.2,233.4,640
47.339127,-122.245148,700,94.9,221.6,640
47.338165,-122.246246,800,95.6,217.4,704
47.337296,-122.247002,800,96.4,210.6,704
47.336472,-122.247482,800,97.3,202.4,768
47.33551,-122.247894,900,97.7,197.9,704
47.334595,-122.2481,900,98.3,192.3,768
47.333771,-122.248169,900,99.2,183.5,704
47.333038,-122.2481,900,100.1,177.1,704
47.33236,-122.247901,900,99.5,170.2,704
47.330566,-122.247002,1000,100.0,160.1,768
47.329834,-122.246384,1000,100.2,153.9,832
47.329147,-122.245697,1000,98.5,145.3,896
47.328461,-122.244873,1100,98.0,140.0,896
47.327408,-122.243294,1100,96.9,134.6,832
47.32696,-122.242408,1100,96.2,127.8,896
47.326675,-122.241714,1200,95.8,126.5,896
47.326122,-122.240436,1200,94.5,119.8,768
47.325485,-122.238487,1200,94.9,113.6,640
47.324936,-122.236153,1300,95.5,109.6,640
47.32457,-122.233887,1300,95.1,104.6,704
47.324387,-122.232101,1300,95.0,98.5,704
47.32426,-122.230506,1400,95.4,95.4,640
47.32402,-122.225716,1400,98.2,93.5,384
47.323975,-122.222076,1500,100.0,91.2,384
47.323975,-122.217201,1500,104.0,89.4,192
47.323888,-122.214027,1500,106.2,93.2,512
47.3237,-122.212463,1600,106.1,98.1,768
47.323469,-122.210787,1600,103.6,105.1,1216
47.322922,-122.208824,1700,102.8,109.3,1152
47.322556,-122.207726,1700,101.1,117.1,1024
47.321886,-122.206139,1700,100.1,124.0,896
47.321503,-122.205322,1800,100.1,124.0,896
47.319992,-122.202164,1800,97.6,122.9,640
47.319512,-122.200857,1800,98.5,114.0,192
47.319489,-122.200584,1900,98.5,114.0,192
47.319168,-122.199348,1900,98.7,107.7,64
47.319093,-122.198463,1900,100.1,98.6,-256
47.319031,-122.197014,1900,101.2,93.4,-320
47.319214,-122.19516,1800,103.2,86.7,-448
47.319372,-122.194378,1800,106.9,70.9,-704
47.319791,-122.193111,1800,108.7,62.0,-704
47.320496,-122.191658,1800,110.4,54.6,-704
47.321274,-122.190491,1800,113.2,46.4,-704
47.322098,-122.189529,1700,116.2,37.7,-448
47.3237,-122.187813,1700,118.0,36.4,-64
47.325052,-122.186138,1700,117.8,40.2,320
47.326172,-122.184448,1700,117.5,47.1,256
47.326904,-122.183006,1700,118.4,52.5,128
47.327179,-122.182526,1800,119.0,54.6,128
47.327866,-122.180672,1800,120.9,60.3,-64
47.328496,-122.178603,1800,122.4,67.4,-256
47.328781,-122.177307,1700,125.3,73.3,-384
47.329102,-122.174835,1700,127.9,80.1,-448
47.329334,-122.171631,1700,130.5,85.2,-512
47.329422,-122.168449,1700,133.1,87.4,-320
47.329521,-122.16649,1700,133.3,86.1,64
47.329559,-122.165016,1700,131.3,86.1,512
47.32988,-122.159866,1700,126.5,85.0,384
47.330154,-122.156433,1800,126.0,82.7,0
47.330638,-122.151771,1800,126.1,79.5,-192
47.331116,-122.148674,1700,127.9,77.8,-384
47.332352,-122.141258,1700,130.0,75.8,-128
