lat,lon,alt,gs,track
32.81218,-117.143646,375,4.1,270.0
32.81218,-117.143701,375,0.7,0.0
32.81218,-117.143646,375,0.7,0.0
32.812205,-117.143657,-50.0,0.0,0.0
32.812194,-117.143643,-50.0,0.0,0.0
32.812214,-117.14366,-50.0,0.0,0.0
32.812202,-117.14366,-50.0,0.0,0.0
32.812205,-117.143671,-50.0,0.0,0.0
32.812214,-117.14366,-50.0,0.0,0.0
32.812202,-117.143674,-50.0,0.0,0.0
32.812205,-117.143671,-50.0,0.0,0.0
32.812202,-117.143674,-50.0,0.0,0.0
32.812202,-117.143674,-50.0,0.0,0.0
32.812205,-117.143671,-50.0,0.0,0.0
32.812205,-117.143657,-50.0,0.0,0.0
32.812205,-117.143657,-50.0,0.0,0.0
32.812202,-117.14366,-50.0,0.0,0.0
32.812202,-117.14366,-50.0,0.0,0.0
32.812202,-117.14366,-50.0,0.0,0.0
32.812202,-117.14366,-50.0,0.0,0.0
32.812205,-117.143657,-50.0,0.0,0.0
32.812194,-117.143657,-50.0,0.0,0.0
32.812202,-117.14366,-50.0,0.0,0.0
32.812191,-117.14366,-50.0,0.0,0.0
32.812194,-117.143657,-50.0,0.0,0.0
32.812135,-117.143643,-50.0,0.0,0.0
32.812112,-117.143517,-50.0,3.8,0.0
32.812122,-117.143454,-50.0,3.8,0.0
32.812283,-117.14344,-50.0,5.2,0.0
32.812466,-117.143536,-50.0,7.2,0.0
32.812636,-117.143615,-50.0,6.8,0.0
32.812843,-117.14355,-50.0,6.2,0.0
32.813152,-117.143687,-50.0,7.2,0.0
32.813507,-117.143893,-50.0,9.8,0.0
32.813893,-117.144106,-50.0,6.8,0.0
32.814009,-117.14419,-50.0,4.2,0.0
32.814032,-117.14419,-50.0,0.1,0.0
32.814159,-117.144305,-50.0,6.8,0.0
32.814719,-117.143714,-50.0,13.2,0.0
32.81508,-117.142761,-50.0,12.2,0.0
32.815006,-117.142397,-50.0,8.8,0.0
32.814892,-117.142122,-50.0,8.8,0.0
32.814812,-117.141902,-50.0,8.8,0.0
32.814548,-117.141257,-50.0,9.2,0.0
32.814381,-117.140827,-50.0,9.8,0.0
32.814242,-117.140462,-50.0,10.2,0.0
32.813765,-117.139243,-50.0,11.8,0.0
32.813509,-117.138599,-50.0,12.2,0.0
32.813335,-117.138139,-50.0,12.8,0.0
32.813206,-117.137814,-50.0,13.2,0.0
32.813004,-117.137329,-50.0,13.8,0.0
32.812647,-117.136427,-50.0,12.8,0.0
32.812543,-117.136146,-50.0,12.2,0.0
32.811321,-117.13244,-50.0,8.2,0.0
32.811495,-117.132097,-50.0,8.2,0.0
32.811588,-117.131942,-50.0,7.8,0.0
32.811756,-117.13163,-50.0,6.8,0.0
32.811802,-117.131273,-50.0,2.2,0.0
32.811836,-117.131287,-50.0,1.4,0.0
32.811996,-117.131424,-50.0,5.8,0.0
32.812271,-117.131342,-50.0,8.8,0.0
32.813049,-117.131726,425,8.8,28.1
32.813187,-117.132111,425,28.6,294.8
32.813232,-117.13222,425,34.9,293.6
32.813324,-117.13244,425,41.2,295.9
32.813416,-117.13266,425,46.1,294.3
32.813644,-117.133209,425,49.7,295.0
32.81369,-117.133374,425,56.4,295.2
32.813919,-117.133978,425,62.7,294.5
32.814056,-117.134308,425,63.6,294.1
32.814194,-117.134637,425,68.0,294.3
32.814331,-117.135077,425,71.2,294.0
32.814514,-117.135461,425,74.3,295.5
32.814697,-117.135901,425,78.7,295.6
32.815018,-117.136615,425,83.2,295.6
32.815704,-117.138428,450,84.5,296.0
32.816022,-117.139257,475,89.1,294.5
32.817032,-117.141943,500,94.0,293.8
32.817838,-117.143854,575,98.8,297.1
32.819002,-117.146264,650,100.0,300.7
32.82019,-117.14859,750,100.2,301.9
32.821423,-117.150972,850,99.3,302.2
32.822354,-117.152598,925,98.2,303.4
32.823098,-117.153831,1025,97.5,308.8
32.823761,-117.154633,1075,95.6,318.0
32.824355,-117.155064,1125,94.6,326.6
32.824914,-117.1554,1150,93.4,338.6
32.825752,-117.155569,1200,91.2,347.3
32.826357,-117.155569,1250,91.0,359.4
32.82724,-117.155457,1275,92.8,7.4
32.827789,-117.155292,1300,91.9,14.5
32.828613,-117.154907,1300,91.4,23.2
32.829336,-117.154335,1325,92.7,32.7
32.829849,-117.153809,1350,94.8,43.3
32.830454,-117.152934,1350,96.4,49.2
32.830811,-117.152216,1375,98.5,60.8
32.831105,-117.151253,1375,99.7,68.8
32.831292,-117.150412,1400,101.9,76.4
32.831406,-117.149249,1400,103.5,84.4
32.831431,-117.147777,1400,107.0,91.1
32.831292,-117.146096,1425,110.7,96.2
32.830948,-117.143481,1425,114.8,100.0
32.830444,-117.141064,1425,118.9,104.6
32.829662,-117.138136,1450,120.2,108.4
32.828731,-117.134661,1550,118.0,106.8
32.827652,-117.130023,1650,119.6,106.0
32.826217,-117.124572,1725,119.0,106.6
32.8255,-117.121564,1825,114.8,106.7
32.824722,-117.118652,1925,111.3,107.8
32.824076,-117.116612,1950,112.2,112.0
32.8224,-117.111904,2000,114.8,109.9
32.821655,-117.109045,2100,112.0,107.1
32.820259,-117.103664,2175,113.2,107.5
32.818909,-117.098712,2250,112.3,109.2
32.817931,-117.0952,2300,109.2,105.9
32.817372,-117.09279,2400,106.7,105.2
32.816071,-117.087396,2475,107.6,106.8
32.815417,-117.084494,2500,107.7,102.9
32.814377,-117.078882,2575,110.6,104.7
32.813369,-117.074741,2625,111.0,107.3
32.811996,-117.069653,2700,110.1,107.4
32.810762,-117.065044,2800,108.8,107.1
32.809616,-117.060205,2875,106.0,105.9
32.808434,-117.05529,2950,106.0,105.9
32.807007,-117.049384,3025,107.6,106.8
32.805455,-117.043744,3050,111.9,108.8
32.803665,-117.037628,3075,116.1,110.2
32.801405,-117.030459,3100,120.5,108.9
32.800567,-117.027152,3125,120.6,105.9
32.799728,-117.023236,3150,122.3,103.2
32.79931,-117.020538,3175,122.5,98.9
32.799217,-117.01852,3200,122.1,92.8
32.799316,-117.016754,3200,122.3,85.8
32.799591,-117.014392,3225,121.7,80.5
32.800148,-117.011177,3250,119.1,76.9
32.800919,-117.007855,3325,115.5,73.9
32.801971,-117.00401,3400,115.4,70.8
32.803528,-116.998956,3475,117.4,69.6
32.80513,-116.993903,3550,118.7,69.3
32.806595,-116.989288,3650,118.3,69.7
32.808197,-116.984015,3725,117.7,70.6
32.809365,-116.979956,3825,116.4,70.9
32.810902,-116.974967,3900,115.2,69.7
32.811996,-116.97149,4000,114.6,69.0
32.813599,-116.966602,4100,112.7,68.7
32.815155,-116.961823,4200,111.4,69.0
32.816907,-116.956357,4275,113.7,68.8
32.818634,-116.951111,4350,115.5,69.2
32.820236,-116.945947,4425,117.4,69.6
32.821884,-116.940729,4500,117.7,69.1
32.823424,-116.935954,4600,118.7,69.3
32.825147,-116.930573,4675,119.6,69.4
32.826828,-116.925403,4750,121.5,69.8
32.828476,-116.91991,4825,123.0,70.5
32.83017,-116.914307,4900,122.7,71.0
32.83136,-116.910077,5000,122.4,71.4
32.83287,-116.904749,5100,121.4,71.3
32.834364,-116.899408,5175,120.5,71.1
32.835947,-116.893859,5250,120.2,71.6
32.837111,-116.889767,5350,120.2,71.6
32.838593,-116.884424,5425,119.2,71.4
32.840012,-116.87948,5525,118.0,71.7
32.841161,-116.875698,5600,115.9,68.8
32.841673,-116.874352,5625,113.6,62.8
32.842529,-116.872668,5650,111.5,57.5
32.843861,-116.870429,5700,110.2,53.9
32.845723,-116.86757,5750,110.1,50.5
32.848663,-116.863605,5850,109.8,48.3
32.851961,-116.85933,5925,109.7,47.6
32.854894,-116.855575,6000,110.3,46.5
32.85791,-116.851794,6075,111.0,46.1
32.861085,-116.847895,6150,111.0,46.1
32.864227,-116.844104,6225,111.0,45.4
32.86737,-116.840328,6300,112.5,46.1
32.870407,-116.836578,6375,112.5,46.8
32.873474,-116.832733,6450,112.5,46.1
32.876358,-116.829163,6550,111.7,45.7
32.879846,-116.825026,6625,112.4,44.6
32.883728,-116.820538,6700,114.6,44.3
32.887299,-116.816418,6775,115.3,44.0
32.890594,-116.812573,6850,116.0,44.3
32.893753,-116.808948,6950,115.3,44.7
32.897873,-116.804224,7075,113.9,43.9
32.902405,-116.79917,7200,113.2,42.8
32.907394,-116.793732,7300,114.7,42.2
32.911734,-116.78904,7425,114.0,42.5
32.916595,-116.783734,7550,114.6,42.9
32.921448,-116.778461,7675,114.0,42.5
32.926117,-116.773407,7800,114.7,42.2
32.931244,-116.767914,7900,115.4,41.8
32.936081,-116.762751,8025,114.8,41.5
32.940536,-116.758136,8150,115.5,41.1
32.945663,-116.752863,8250,116.2,41.5
32.950836,-116.747424,8350,116.9,41.2
32.9554,-116.742741,8475,116.9,41.2
32.960567,-116.737416,8600,116.9,41.2
32.962662,-116.735342,8650,115.4,38.0
32.963562,-116.73468,8650,113.7,29.5
32.96485,-116.733996,8675,112.4,23.6
32.966721,-116.733197,8725,112.3,19.2
32.969421,-116.732208,8750,112.1,15.5
32.973043,-116.731138,8825,111.8,12.9
32.976334,-116.730231,8875,113.3,15.9
32.978027,-116.729517,8900,114.9,21.4
32.980545,-116.728143,8950,115.0,25.2
32.983154,-116.72655,9000,113.7,28.4
32.984728,-116.72542,9050,114.8,33.3
32.986038,-116.724243,9075,115.3,38.7
32.987754,-116.722449,9125,115.4,42.5
32.990035,-116.719815,9175,114.6,45.7
32.993454,-116.715399,9250,115.4,47.5
32.996887,-116.71084,9325,118.4,49.5
33.00119,-116.704633,9400,120.9,51.0
33.005164,-116.698739,9525,120.3,51.4
33.009521,-116.692328,9625,120.1,50.7
33.013963,-116.685959,9750,120.0,50.1
33.018944,-116.678897,9850,122.1,50.3
33.023575,-116.672223,9950,122.1,50.3
33.028107,-116.665686,10050,121.4,50.0
33.032776,-116.659204,10150,120.5,49.0
33.037565,-116.652664,10275,120.5,49.0
33.042206,-116.646295,10375,121.3,49.3
33.046783,-116.639978,10475,120.6,49.7
33.05127,-116.633551,10575,120.7,50.4
33.056279,-116.626095,10675,121.0,51.7
33.062027,-116.617456,10775,121.0,51.7
33.066742,-116.610425,10875,122.3,51.0
33.071503,-116.603558,10975,122.9,50.6
33.07608,-116.596967,11075,122.8,50.0
33.08272,-116.587587,11150,132.0,49.9
33.090774,-116.576208,11200,140.6,50.2
33.096817,-116.567413,11300,142.3,51.3
33.105057,-116.555109,11350,147.4,51.9
33.110504,-116.546594,11300,150.0,53.1
33.11526,-116.538989,11350,144.4,53.5
33.1203,-116.531104,11450,139.6,52.0
33.125198,-116.523743,11575,138.1,51.5
33.130297,-116.516007,11675,136.8,52.1
33.135315,-116.508252,11775,136.2,52.5
33.141907,-116.498035,11850,137.6,52.4
33.148407,-116.487982,11950,137.0,52.7
