lat,lon,alt,gs,track
33.640986,-84.423351,-50.0,0.0,180.0
33.640869,-84.423402,-50.0,0.0,180.0
33.64087,-84.423394,-50.0,0.0,180.0
33.640949,-84.423317,-50.0,0.0,180.0
33.640984,-84.423345,-50.0,0.0,180.0
33.640975,-84.423351,-50.0,0.0,180.0
33.640949,-84.423331,-50.0,0.0,180.0
33.640984,-84.423345,-50.0,0.0,180.0
33.640986,-84.423351,-50.0,0.0,180.0
33.640928,-84.423308,-50.0,0.0,180.0
33.640975,-84.423351,-50.0,0.0,180.0
33.640984,-84.423345,-50.0,0.0,180.0
33.640961,-84.423331,-50.0,0.0,180.0
33.640995,-84.423359,-50.0,0.0,180.0
33.640951,-84.423409,-50.0,0.0,180.0
33.640984,-84.423345,-50.0,0.0,180.0
33.640915,-84.423458,-50.0,0.0,180.0
33.640893,-84.423494,-50.0,0.0,180.0
33.640903,-84.423472,-50.0,0.0,180.0
33.640986,-84.423351,-50.0,0.0,180.0
33.640984,-84.423345,-50.0,0.0,180.0
33.640986,-84.423351,-50.0,0.0,180.0
33.640972,-84.423359,-50.0,0.0,180.0
33.640986,-84.423351,-50.0,0.0,180.0
33.641098,-84.423345,-50.0,2.2,180.0
33.641155,-84.423345,-50.0,2.2,182.8
33.641315,-84.423345,-50.0,2.2,182.8
33.64135,-84.423345,-50.0,2.2,180.0
33.641452,-84.423337,-50.0,2.2,180.0
33.64151,-84.423331,-50.0,2.2,177.2
33.641567,-84.423317,-50.0,2.2,177.2
33.641638,-84.423323,-50.0,2.2,174.4
33.641685,-84.423323,-50.0,2.2,174.4
33.641693,-84.423331,-50.0,2.2,174.4
33.641754,-84.423323,-50.0,2.2,171.6
33.641952,-84.423351,-50.0,1.9,171.6
33.642034,-84.423366,-50.0,0.0,171.6
33.642034,-84.423366,-50.0,0.0,171.6
33.642036,-84.423373,-50.0,0.0,171.6
33.642022,-84.423366,-50.0,0.0,168.8
33.642002,-84.423345,-50.0,0.0,165.9
