lat,lon,alt,gs,track,vs
39.365707,-84.528809,475,56.3,109.7,0
39.364246,-84.523743,500,94.6,109.8,576
39.363734,-84.521851,550,97.7,109.7,896
39.363007,-84.519255,625,102.2,110.0,960
39.362245,-84.516418,725,103.7,109.1,960
39.361816,-84.515076,750,104.4,113.1,896
39.361127,-84.513306,800,103.8,118.8,960
39.360336,-84.51178,850,102.7,125.1,896
39.359545,-84.510559,875,101.5,129.8,832
39.358658,-84.509463,925,102.6,136.2,960
39.357605,-84.508269,975,102.3,140.6,960
39.355545,-84.506299,1050,102.4,144.1,768
39.353394,-84.504328,1150,102.3,146.1,832
39.351791,-84.503134,1200,102.5,151.4,832
39.34907,-84.501343,1275,102.0,154.4,960
39.346277,-84.499695,1375,101.1,154.2,768
39.343205,-84.497742,1475,101.5,153.7,768
39.33962,-84.495483,1550,103.3,154.2,640
39.335861,-84.493222,1625,107.8,154.1,320
39.332886,-84.491192,1675,110.5,151.4,448
39.329006,-84.488586,1750,111.4,152.7,576
39.326306,-84.486877,1775,112.8,155.9,384
39.323094,-84.485229,1825,113.7,158.9,192
39.319702,-84.483669,1825,114.8,161.7,0
39.316177,-84.482296,1825,117.2,164.7,-64
39.309402,-84.480087,1775,120.5,166.1,-192
39.299011,-84.476862,1775,116.7,165.6,0
39.294205,-84.475071,1750,115.8,163.4,-128
39.287704,-84.472504,1700,118.3,162.8,-384
39.283199,-84.470581,1650,118.6,160.8,-128
39.278091,-84.468085,1625,119.0,158.8,-256
39.273097,-84.465454,1575,117.4,156.9,-256
39.266968,-84.462174,1500,117.9,157.6,-448
39.261226,-84.459167,1475,117.7,159.1,-256
39.259415,-84.458353,1450,118.0,163.2,-320
39.25713,-84.457703,1425,117.7,167.7,-320
39.252661,-84.456665,1375,115.7,170.1,-320
39.246376,-84.455139,1350,113.2,168.8,0
39.239456,-84.453278,1350,110.6,167.5,-192
39.233093,-84.451486,1300,114.1,168.9,-192
39.230362,-84.450928,1325,113.0,172.4,256
39.220353,-84.449219,1350,118.0,172.7,0
39.216339,-84.448501,1325,122.2,172.0,-192
39.209061,-84.447128,1275,126.4,171.4,0
39.205673,-84.446411,1300,124.2,169.3,448
39.201004,-84.445098,1375,120.1,167.0,384
39.194778,-84.443127,1425,117.6,165.7,128
39.192947,-84.442351,1450,117.3,161.1,384
39.187767,-84.439758,1475,115.5,159.2,384
39.183701,-84.437873,1500,115.1,161.2,0
39.179901,-84.43638,1475,118.7,163.9,-384
39.175384,-84.434753,1400,121.3,164.7,-320
39.170263,-84.433105,1350,120.3,166.5,-256
39.163839,-84.431274,1300,119.6,167.9,-256
39.160161,-84.430481,1275,118.5,170.8,-192
39.152573,-84.428955,1250,114.3,171.4,0
39.147453,-84.42804,1250,112.8,173.4,64
39.137512,-84.426528,1275,108.8,173.1,0
39.130234,-84.425394,1250,113.1,171.9,-128
39.126783,-84.424744,1225,114.7,173.5,-256
39.125244,-84.424677,1200,114.0,180.0,-320
39.124191,-84.424797,1200,113.6,186.1,-320
39.123339,-84.425049,1175,113.8,194.8,-256
39.122223,-84.425692,1175,113.8,202.7,-128
39.121536,-84.42617,1175,114.2,209.9,-64
39.120871,-84.42688,1175,115.6,217.3,-64
39.11998,-84.427961,1175,116.0,225.7,-64
39.119102,-84.42926,1175,113.9,231.4,-64
39.118195,-84.431006,1175,111.8,236.3,128
39.115631,-84.436141,1175,107.6,236.8,-128
39.114212,-84.438709,1150,105.8,233.5,-256
39.113283,-84.440063,1125,101.9,227.4,-128
39.112445,-84.441162,1125,97.6,224.2,64
39.111701,-84.442017,1150,92.8,221.9,64
39.11063,-84.443237,1125,88.1,219.5,-128
39.10928,-84.444519,1100,83.6,216.7,-256
39.108124,-84.445575,1100,79.6,215.3,-192
39.1063,-84.447205,1075,74.9,214.1,-128
39.105323,-84.447937,1050,74.3,209.0,-320
39.104438,-84.448425,1050,73.9,203.1,-512
39.103592,-84.448799,1025,75.7,195.3,-320
39.102722,-84.449038,1000,78.1,189.6,-512
39.101925,-84.449097,975,78.1,182.9,-448
39.101226,-84.449036,975,79.1,177.8,-320
39.100435,-84.448914,975,78.8,172.0,-256
39.099518,-84.44868,975,78.3,166.0,-192
39.098557,-84.448262,950,78.4,160.6,-256
39.097458,-84.447665,950,80.1,155.7,-192
39.096313,-84.446889,925,80.6,150.3,-192
39.094894,-84.445695,900,79.9,145.7,-320
39.093704,-84.44456,875,80.4,141.6,-384
39.092661,-84.443298,850,80.7,137.0,-448
39.09137,-84.441634,825,81.3,133.5,-384
39.090454,-84.440261,800,79.7,128.9,-256
39.089722,-84.438948,775,80.7,123.9,-384
39.088983,-84.437317,750,79.3,119.5,-320
39.088486,-84.435902,750,78.3,114.9,-384
39.088331,-84.435242,725,78.7,107.7,-448
39.088257,-84.43435,725,78.8,98.0,-320
39.088257,-84.433634,725,79.3,84.9,-320
39.088424,-84.432739,700,79.3,76.1,-320
39.08875,-84.431885,700,78.6,68.3,-256
39.08903,-84.431274,675,79.4,58.9,-384
39.089401,-84.430708,675,78.4,52.2,-448
39.089859,-84.430111,650,77.8,45.0,-576
39.090566,-84.429382,625,78.7,40.4,-768
39.091141,-84.428917,600,78.6,31.5,-768
39.092331,-84.428081,550,79.6,26.9,-640
39.093731,-84.427307,525,81.2,22.5,-576
39.096106,-84.426025,425,83.3,24.1,-704
39.099131,-84.424377,325,82.1,22.2,-832
39.099976,-84.423961,300,78.0,22.6,-576
39.100668,-84.423584,300,73.5,22.4,-320
39.101395,-84.423185,300,71.3,22.2,-128
39.102173,-84.422767,300,66.9,22.0,0
39.102585,-84.422528,300,62.7,24.5,0
39.103181,-84.42218,300,59.1,24.0,-64
39.103647,-84.421936,275,55.2,22.4,-64
39.104095,-84.421752,275,53.9,21.8,-64
39.104206,-84.421692,275,49.8,22.4,0
39.104764,-84.421387,300,43.0,24.8,64
39.105103,-84.421155,300,39.0,22.6,0
39.105463,-84.421021,300,35.5,21.5,0
39.105882,-84.420776,300,31.0,20.8,0
39.105975,-84.420715,300,22.5,20.9,0
39.10611,-84.420662,275,20.5,24.8,0
39.106236,-84.420602,275,17.5,19.2,0
39.106382,-84.420563,275,13.8,2.3,0
39.106429,-84.420563,275,11.8,351.1,0
39.106544,-84.420647,275,9.8,339.8,0
39.106556,-84.42099,275,8.2,339.8,0
39.106394,-84.421417,275,5.8,339.8,0
39.106327,-84.421572,275,5.2,339.8,0
39.10619,-84.421931,275,9.8,339.8,0
39.105976,-84.422455,275,10.0,339.8,0
39.105694,-84.423096,275,10.0,339.8,0
39.104095,-84.426976,275,11.8,241.4,0
39.103981,-84.42726,275,11.2,241.4,0
39.103889,-84.427439,275,10.8,218.9,0
39.103397,-84.427439,275,10.2,216.1,0
39.103251,-84.427338,275,10.8,154.2,0
39.103007,-84.42717,275,10.8,151.4,0
39.102646,-84.426941,275,12.8,154.2,0
39.102274,-84.426697,275,14.8,154.2,0
39.101944,-84.426498,275,15.5,151.4,0
39.101601,-84.426275,275,14.2,154.2,0
39.0999,-84.425186,275,0.1,154.2,0
39.099895,-84.425185,275,0.0,151.4,0
39.099895,-84.425185,275,0.0,151.4,0
39.099899,-84.425186,275,0.0,151.4,0
39.099895,-84.425185,275,0.0,151.4,0
39.098305,-84.424065,275,8.2,334.2,0
39.098643,-84.424301,275,11.2,334.2,0
39.098782,-84.424362,275,11.8,342.6,0
39.098831,-84.424379,275,11.8,351.1,0
39.098957,-84.424393,275,12.2,359.5,0
39.099037,-84.424394,275,12.8,7.9,0
39.099163,-84.424349,275,13.8,16.4,0
39.099562,-84.424164,275,16.5,16.4,0
39.099969,-84.423935,275,16.5,16.4,0
39.104264,-84.421646,275,20.5,22.0,0
39.104839,-84.421349,275,18.5,19.2,0
39.105103,-84.421199,275,17.5,22.0,0
39.105515,-84.420975,275,17.5,22.0,0
39.105789,-84.420826,275,17.5,24.8,0
39.106087,-84.420662,275,17.5,22.0,0
39.10651,-84.420423,275,16.5,27.6,0
39.106636,-84.420334,275,16.5,33.2,0
39.106766,-84.420212,275,17.5,41.7,0
39.106842,-84.420095,275,16.5,50.1,0
39.10793,-84.4151,375,64.4,242.2,-128
39.107278,-84.416687,375,74.7,242.1,-64
39.107138,-84.416931,375,82.3,242.5,0
39.106796,-84.417811,400,85.9,242.2,384
39.1063,-84.419006,425,88.1,242.3,768
39.105927,-84.419901,475,89.9,242.9,1152
39.105194,-84.421752,575,93.5,242.6,1344
39.104159,-84.424316,675,96.2,243.4,1344
39.10374,-84.42572,725,97.3,247.6,1344
39.1035,-84.426887,775,99.7,256.7,1152
39.103455,-84.427782,800,101.3,265.5,1216
39.103461,-84.42865,825,103.2,273.3,1216
39.103647,-84.429871,875,104.6,282.7,1152
39.104019,-84.431213,925,107.8,288.9,1280
39.104553,-84.432678,975,110.9,295.6,1344
39.105148,-84.433932,1025,112.2,301.1,1216
39.105789,-84.435007,1050,112.9,309.6,1152
39.106613,-84.435902,1100,115.6,319.6,1280
39.107574,-84.436798,1150,116.8,327.9,1280
39.108628,-84.437378,1200,118.2,336.0,1408
39.109838,-84.437927,1275,119.9,343.5,1344
39.111282,-84.438354,1300,121.7,350.5,1216
39.113004,-84.438538,1350,124.3,356.3,960
39.115239,-84.438538,1425,129.0,1.3,832
39.11824,-84.438291,1475,133.2,3.4,768
39.121628,-84.438052,1550,137.4,4.2,768
39.125247,-84.437622,1650,137.7,5.8,960
39.129776,-84.436977,1750,138.8,6.2,768
39.135223,-84.436261,1825,141.4,4.5,576
39.138245,-84.436141,1875,143.0,0.8,576
39.141174,-84.436261,1925,144.3,356.4,512
39.143509,-84.436619,1950,146.1,352.9,512
39.145637,-84.437195,1950,147.3,347.9,384
39.148407,-84.438171,2000,147.1,343.4,640
39.151794,-84.439604,2050,147.7,340.2,576
39.156298,-84.441895,2100,150.2,337.7,448
39.159417,-84.443726,2150,152.5,333.9,448
39.161682,-84.445277,2175,153.3,329.4,384
39.163792,-84.447144,2175,154.6,324.0,320
39.166031,-84.449516,2200,154.6,319.2,320
39.167999,-84.451904,2225,154.2,315.0,384
39.170197,-84.455009,2300,151.6,311.8,704
39.17157,-84.457159,2300,152.1,309.1,256
39.175003,-84.46295,2300,155.0,306.9,0
39.178391,-84.468981,2300,155.3,304.5,128
39.180862,-84.473817,2300,156.8,302.0,-128
39.182693,-84.477937,2300,155.7,298.4,0
39.184089,-84.481628,2275,156.2,294.6,-192
39.18544,-84.485878,2275,157.3,290.9,128
39.187255,-84.492676,2325,155.9,288.3,384
39.189117,-84.500183,2350,155.3,287.6,-64
39.193359,-84.517225,2325,154.6,288.1,-128
39.197776,-84.53479,2325,155.9,288.3,-128
39.202148,-84.551856,2325,151.5,288.1,-64
39.205876,-84.566711,2375,149.3,288.0,128
39.210251,-84.583263,2375,150.5,288.2,192
39.214302,-84.598877,2375,155.0,288.4,0
39.218771,-84.616089,2375,154.0,288.5,-64
39.221603,-84.627268,2325,158.4,287.6,-448
39.223705,-84.635376,2250,160.3,288.5,-320
39.226312,-84.645325,2175,161.6,288.8,-320
39.229385,-84.657227,2100,165.4,288.3,-576
39.231445,-84.665182,2025,165.4,288.3,-576
39.233993,-84.675232,1950,166.3,288.2,-320
39.236833,-84.686279,1875,165.7,288.6,-448
39.238998,-84.69432,1800,162.3,289.4,-512
39.241058,-84.701843,1725,158.4,288.8,-512
39.243071,-84.709778,1650,156.9,288.2,-448
39.245224,-84.718144,1575,155.6,288.0,-384
39.248062,-84.729309,1525,152.7,288.3,-128
39.250054,-84.737061,1475,148.3,288.1,-384
39.250992,-84.740773,1450,144.2,288.2,-192
39.25177,-84.743818,1450,141.0,288.2,-128
39.252568,-84.747009,1450,136.6,287.9,64
39.253601,-84.751341,1475,132.3,286.2,0
39.254383,-84.755127,1450,128.3,284.9,-64
39.254745,-84.756655,1450,125.9,287.6,-64
39.255175,-84.757935,1450,125.7,291.5,-64
39.255524,-84.758626,1450,125.4,299.6,-64
39.256059,-84.759399,1450,125.8,306.6,64
39.256525,-84.759827,1450,126.5,320.8,64
39.257223,-84.760376,1450,127.3,329.8,0
39.257781,-84.76062,1450,127.3,329.8,0
39.25834,-84.760742,1450,126.7,348.2,-192
39.259232,-84.760835,1450,127.4,355.5,-256
39.260481,-84.760742,1425,128.1,2.7,-384
39.263809,-84.760537,1400,124.1,2.8,-256
39.265503,-84.760477,1400,122.1,1.9,-192
39.266068,-84.760437,1400,118.0,1.5,64
39.2677,-84.760417,1400,113.0,1.0,0
39.269623,-84.760417,1400,108.0,359.5,64
39.27184,-84.760559,1400,104.3,355.6,-128
39.273148,-84.760895,1375,100.6,349.7,-192
39.273834,-84.761134,1375,99.0,341.8,-448
39.274429,-84.761492,1350,96.6,334.2,-576
39.275145,-84.762085,1350,93.6,323.2,-448
39.275711,-84.762805,1325,90.6,313.2,-512
39.276031,-84.763462,1300,89.2,307.3,-640
39.276216,-84.764038,1275,87.7,297.1,-704
39.276352,-84.764597,1275,85.4,288.4,-832
39.276489,-84.765552,1250,82.2,279.8,-832
39.276635,-84.767029,1200,80.2,274.3,-896
39.276728,-84.769836,1125,79.1,272.2,-768
39.276682,-84.77124,1075,78.1,267.1,-832
39.276589,-84.771912,1050,76.5,258.7,-896
39.275797,-84.773438,1000,70.9,220.4,-896
39.275482,-84.773672,975,70.9,220.4,-896
39.274866,-84.773926,950,70.4,202.6,-960
39.274384,-84.774031,925,71.9,188.8,-1024
39.273051,-84.77417,850,70.2,184.1,-1024
39.271591,-84.77421,800,69.0,180.8,-640
39.269623,-84.774269,700,67.1,182.6,-832
39.267045,-84.774292,625,70.0,180.8,-512
39.264811,-84.774292,550,70.0,180.0,-704
