lat,lon,alt,gs,track,vs
36.171066,-79.821968,800,116.0,227.1,704
36.168528,-79.823563,900,116.0,227.1,704
36.168203,-79.823621,900,120.1,193.0,704
36.166201,-79.823505,900,121.3,175.8,896
36.165549,-79.823271,900,124.0,162.1,832
36.165316,-79.823095,1000,123.9,158.2,832
36.163734,-79.821518,1000,123.9,158.2,832
36.163422,-79.820995,1000,127.6,125.4,384
36.163035,-79.819998,1000,130.3,114.0,192
36.162643,-79.816418,1100,137.0,90.8,448
36.162964,-79.813614,1100,137.0,88.8,512
36.163221,-79.811233,1100,139.3,82.2,512
36.163827,-79.80609,1200,140.4,81.8,384
36.164571,-79.798552,1200,140.9,83.5,384
36.164383,-79.796734,1200,141.4,98.1,0
36.163788,-79.794617,1200,141.9,103.4,0
36.16257,-79.79224,1200,142.7,118.0,0
36.16214,-79.791584,1200,143.2,127.9,192
36.161452,-79.790721,1200,142.9,136.1,256
36.160242,-79.789611,1300,143.6,143.2,320
36.15852,-79.788383,1300,144.0,147.2,192
36.157589,-79.787857,1300,145.0,155.6,192
36.156052,-79.787215,1300,145.2,160.7,64
36.154083,-79.786663,1300,144.1,166.4,384
36.145248,-79.784031,1400,142.4,167.4,896
36.144974,-79.783974,1300,142.4,167.4,896
36.144321,-79.783767,1400,142.2,167.8,1024
36.139852,-79.782715,1500,137.5,169.1,512
36.135544,-79.781742,1600,133.0,170.0,768
36.132218,-79.781079,1600,133.2,172.2,448
36.129285,-79.780845,1600,132.2,176.5,384
36.125654,-79.78067,1700,133.1,178.3,384
36.124329,-79.780769,1700,133.7,186.0,448
36.123466,-79.780962,1700,133.0,190.0,448
36.12236,-79.781399,1700,133.5,196.5,0
36.121399,-79.781914,1700,135.6,204.9,-256
36.120346,-79.782658,1700,136.8,212.8,-128
36.11909,-79.783825,1700,138.4,220.0,-64
36.117973,-79.785228,1700,139.4,227.0,-128
36.115599,-79.788734,1700,140.6,230.2,0
36.112992,-79.792825,1700,142.6,232.4,-128
36.111328,-79.795589,1600,144.6,234.0,-128
36.106288,-79.804337,1600,145.9,235.3,0
36.104426,-79.807609,1700,146.8,234.1,256
36.096512,-79.820816,1700,145.0,233.1,384
36.088943,-79.833755,1600,149.4,233.4,-384
36.080638,-79.84723,1600,149.2,232.9,0
36.072491,-79.860379,1600,150.0,233.1,-192
36.064316,-79.873638,1600,146.2,232.5,-64
36.056151,-79.886851,1600,146.2,232.5,192
36.05278,-79.892235,1700,144.6,232.0,256
36.047333,-79.901104,1700,144.4,233.4,64
36.042186,-79.9097,1700,145.7,234.8,-128
36.041255,-79.911512,1600,146.0,240.4,-64
36.040277,-79.914259,1600,146.3,248.3,64
36.039871,-79.915981,1700,145.9,253.7,192
36.039505,-79.918041,1700,145.3,259.7,64
36.039346,-79.920336,1700,144.4,265.6,0
36.039413,-79.922161,1700,145.2,272.8,-64
36.039672,-79.924602,1700,145.2,277.5,-128
36.039825,-79.92548,1600,145.9,281.5,-192
36.040466,-79.928455,1600,146.0,285.1,-256
36.041107,-79.930515,1600,145.8,292.2,-192
36.042465,-79.934011,1600,145.8,296.0,-64
36.043625,-79.936466,1600,144.1,301.4,0
36.045118,-79.939212,1600,142.1,305.3,192
36.046515,-79.941257,1600,140.5,310.4,128
36.047912,-79.943068,1600,139.3,315.3,128
36.05117,-79.946809,1600,137.4,318.0,128
36.053467,-79.949284,1600,133.3,319.3,64
36.05603,-79.951916,1600,128.7,321.0,-64
36.058868,-79.954548,1600,125.2,323.8,-448
36.062668,-79.957809,1600,121.8,326.0,-320
36.064133,-79.958897,1600,117.3,327.5,-448
36.064819,-79.959469,1500,115.4,328.1,-640
36.067657,-79.961586,1500,110.8,329.0,-640
36.068939,-79.962502,1400,108.8,330.8,-896
36.071979,-79.964515,1300,107.8,331.8,-896
36.074958,-79.966502,1200,106.1,331.3,-704
36.077591,-79.968224,1200,102.4,333.9,-640
36.078644,-79.968739,1200,101.6,339.2,-576
36.079055,-79.968898,1100,100.6,342.6,-512
36.080475,-79.969311,1100,99.0,348.4,-512
36.081757,-79.969425,1100,97.3,355.9,-512
36.084455,-79.969424,1100,97.3,355.9,-512
36.084688,-79.969424,1000,95.1,3.0,-704
36.086922,-79.969132,1000,95.3,4.2,-768
36.08939,-79.968489,900,91.2,12.7,-704
36.090972,-79.967963,900,91.2,12.7,-704
36.100296,-79.957924,900,84.2,227.4,1408
36.09938,-79.95924,900,86.4,227.8,1280
36.097397,-79.960483,1000,91.9,188.1,832
36.096497,-79.960499,1100,91.9,188.1,832
36.095215,-79.960041,1100,91.9,188.1,640
36.094184,-79.959139,1100,103.2,144.5,640
36.093155,-79.957981,1200,107.6,137.3,640
36.091484,-79.955983,1300,108.2,135.4,960
36.090786,-79.955107,1300,108.2,135.4,960
36.0906,-79.954873,1300,108.9,135.0,1600
36.089715,-79.953763,1400,108.9,134.3,1600
36.088989,-79.952831,1400,110.3,133.5,1600
36.088645,-79.95236,1400,111.1,133.2,1088
36.08812,-79.951687,1500,111.1,133.2,1088
36.085945,-79.948854,1600,114.6,132.9,960
36.084732,-79.946938,1600,116.4,127.0,1024
36.084229,-79.945793,1600,118.3,120.5,1024
36.083908,-79.944763,1700,120.8,109.3,1024
36.083679,-79.94339,1700,123.0,100.3,832
36.083617,-79.9419,1700,125.0,91.4,832
36.083725,-79.940472,1800,127.3,81.9,832
36.084091,-79.938755,1800,127.8,76.0,768
36.084457,-79.937782,1800,129.1,67.2,768
36.084874,-79.936816,1800,129.3,61.8,768
36.085739,-79.935265,1800,129.5,55.7,832
36.085876,-79.935036,1900,130.4,54.4,832
36.088319,-79.931089,2000,130.6,52.8,960
36.090775,-79.927139,2100,134.3,50.7,960
36.093201,-79.923592,2100,136.1,49.2,512
36.096931,-79.918525,2100,140.8,47.0,320
36.101532,-79.912319,2100,145.2,48.1,-128
36.107712,-79.903793,2100,147.5,49.4,320
36.11055,-79.899673,2200,144.7,49.5,320
36.112656,-79.896641,2100,144.7,49.5,0
36.119323,-79.88691,2100,147.1,50.8,-128
36.126678,-79.87604,2000,146.2,50.0,-384
36.131012,-79.869461,1900,145.9,51.4,-448
36.137757,-79.858801,1900,144.8,52.6,-384
36.13948,-79.855938,1800,144.4,53.5,-384
36.145252,-79.846763,1700,145.4,52.3,-384
36.152573,-79.835358,1600,145.4,52.3,-320
36.157635,-79.827186,1500,142.0,52.7,-576
36.159497,-79.824089,1500,141.5,55.1,-576
36.16122,-79.820816,1400,141.0,58.3,-576
36.162003,-79.818935,1400,140.1,61.4,-576
36.163454,-79.814154,1400,138.5,72.3,0
36.164013,-79.810999,1400,136.6,76.9,0
36.164429,-79.806175,1400,135.3,86.2,-640
36.164525,-79.801882,1300,131.0,88.7,-448
36.165409,-79.795805,1300,128.9,65.2,-384
36.166306,-79.794216,1200,128.2,57.4,-384
36.167225,-79.793058,1200,127.3,43.7,-384
36.168549,-79.791985,1200,126.8,32.4,-512
36.169144,-79.791584,1200,126.8,32.4,-512
36.169692,-79.791305,1100,127.0,21.7,-512
36.171936,-79.790726,1100,127.0,7.2,-576
36.173492,-79.790783,1100,126.1,358.2,-576
36.175185,-79.79113,1100,123.6,350.7,0
36.177047,-79.792065,1100,119.4,332.6,-256
36.178207,-79.793072,1100,118.2,327.8,-256
36.178894,-79.793816,1100,114.7,317.8,-256
36.179718,-79.794903,1100,111.5,309.5,-64
36.180585,-79.79674,1100,108.4,299.9,-64
36.180818,-79.797617,1100,105.2,294.1,-320
36.181046,-79.79845,1100,101.0,286.1,-320
36.181284,-79.80159,1000,101.0,286.1,-576
36.181284,-79.801882,1000,95.0,270.0,-576
36.181284,-79.80609,900,92.1,271.9,-640
36.181274,-79.810753,900,88.0,268.7,-512
36.180588,-79.815559,800,88.0,268.7,-192
36.175461,-79.818306,700,71.2,184.0,-704
36.174637,-79.818249,700,71.1,183.2,-704
36.174225,-79.81802,600,71.1,176.8,-576
36.173742,-79.817661,600,73.1,160.8,-704
36.17374,-79.817657,600,73.1,189.0,-704
36.172159,-79.820524,1000,88.2,266.1,896
36.171982,-79.821625,1100,88.2,266.1,896
36.171694,-79.822453,1100,89.6,253.8,896
36.171478,-79.822884,1100,90.2,238.6,640
36.170716,-79.823914,1100,89.9,227.2,576
36.16918,-79.824849,1100,91.1,211.1,384
36.168045,-79.824944,1200,95.1,177.6,320
36.166759,-79.82444,1200,95.1,177.6,320
36.166489,-79.824314,1200,101.5,152.4,64
36.165828,-79.823621,1200,103.5,145.2,128
36.164758,-79.821751,1200,111.4,117.3,192
36.16452,-79.820824,1200,115.4,107.7,0
36.164292,-79.819122,1200,117.5,101.8,128
36.164337,-79.815617,1200,123.1,87.2,576
36.164385,-79.814914,1300,124.3,85.8,704
36.164841,-79.809494,1300,128.7,84.2,640
36.165024,-79.808407,1400,130.6,78.5,640
36.165409,-79.806791,1400,130.6,78.5,640
36.165665,-79.806118,1400,132.4,65.0,512
36.167587,-79.8032,1400,138.0,47.1,192
36.168182,-79.802628,1400,139.8,40.1,0
36.169418,-79.801826,1400,142.5,30.3,-256
36.170065,-79.801473,1400,145.2,20.6,-256
36.171647,-79.801006,1400,147.5,12.5,-576
36.172672,-79.800889,1400,148.5,8.1,-384
36.17395,-79.800968,1400,149.1,357.7,64
36.175095,-79.80114,1400,149.1,357.7,64
36.177141,-79.801532,1400,148.9,350.7,640
36.182693,-79.802742,1500,146.2,350.1,192
36.196152,-79.805603,1500,148.9,350.7,64
36.209727,-79.808194,1500,149.6,351.5,256
36.213358,-79.808837,1600,148.5,351.9,448
36.226593,-79.811153,1600,151.6,351.7,0
36.240692,-79.813728,1600,154.4,352.2,64
36.244354,-79.814358,1700,154.6,351.8,192
36.253067,-79.815791,1600,154.3,352.5,-192
36.261658,-79.817162,1700,155.2,353.0,384
36.265311,-79.817778,1600,156.7,351.6,-128
36.26564,-79.817848,1700,156.6,351.9,320
36.279555,-79.81994,1700,153.2,352.9,-256
36.284225,-79.820652,1600,153.3,352.5,-128
36.298595,-79.823154,1600,156.4,352.3,-64
36.307254,-79.824556,1600,156.7,351.6,0
36.310455,-79.825745,1600,155.3,342.4,-128
36.311691,-79.826546,1600,154.8,334.8,-128
36.312608,-79.827303,1600,154.5,326.6,-256
36.314255,-79.829006,1600,154.6,322.1,-256
36.317047,-79.832096,1600,155.7,317.6,192
36.32229,-79.837939,1600,155.3,319.4,-64
36.323822,-79.839249,1600,154.6,324.0,-64
36.325503,-79.840335,1600,154.9,330.6,-384
36.327209,-79.841194,1600,155.7,334.9,-128
36.328812,-79.841881,1600,155.7,339.7,0
36.33202,-79.842731,1600,155.5,347.8,256
36.33696,-79.843826,1600,154.2,350.3,256
36.33989,-79.844398,1700,153.9,351.0,448
