lat,lon,alt,gs,track
38.95435,-77.440612,-50.0,0.0,267.2
38.954331,-77.440643,-50.0,0.0,267.2
38.954338,-77.440642,-50.0,0.0,267.2
38.954338,-77.440657,-50.0,0.0,267.2
38.954338,-77.440657,-50.0,0.0,267.2
38.954331,-77.440659,-50.0,0.0,267.2
38.954342,-77.440659,-50.0,0.0,270.0
38.954331,-77.440659,-50.0,0.0,270.0
38.954331,-77.440659,-50.0,0.0,270.0
38.954331,-77.440659,-50.0,0.0,270.0
38.954331,-77.440659,-50.0,0.0,270.0
38.954331,-77.440659,-50.0,0.0,270.0
38.954342,-77.440659,-50.0,0.0,270.0
38.954338,-77.440657,-50.0,0.0,270.0
38.954338,-77.440657,-50.0,0.0,270.0
38.954342,-77.440659,-50.0,0.0,270.0
38.954331,-77.440659,-50.0,0.0,270.0
38.954338,-77.440657,-50.0,0.0,270.0
38.954342,-77.440659,-50.0,0.0,270.0
38.954338,-77.440657,-50.0,0.0,270.0
38.954342,-77.440659,-50.0,0.0,270.0
38.954354,-77.440659,-50.0,0.0,270.0
38.95435,-77.440657,-50.0,0.0,270.0
38.954342,-77.440659,-50.0,0.0,270.0
38.954331,-77.440659,-50.0,0.0,270.0
38.954331,-77.440704,-50.0,0.0,267.2
38.954331,-77.440811,-50.0,3.8,267.2
38.954338,-77.44091,-50.0,4.2,272.8
38.954372,-77.44097,-50.0,4.8,295.3
38.954407,-77.441,-50.0,4.8,303.8
38.95443,-77.44103,-50.0,5.2,312.2
38.954453,-77.441045,-50.0,5.2,317.8
38.954494,-77.441071,-50.0,5.2,326.2
38.954544,-77.441089,-50.0,6.2,334.7
38.954613,-77.441104,-50.0,6.8,343.1
38.954681,-77.441104,-50.0,7.2,351.6
38.954726,-77.441101,-50.0,7.8,0.0
38.954785,-77.441055,-50.0,7.8,16.9
38.954865,-77.44094,-50.0,8.2,45.0
38.954889,-77.440872,-50.0,8.2,56.2
38.95491,-77.440746,-50.0,8.2,75.9
38.954901,-77.440506,-50.0,8.8,90.0
38.954889,-77.440216,-50.0,9.2,92.8
38.954889,-77.439896,-50.0,8.8,90.0
38.954876,-77.439447,-50.0,9.2,90.0
38.954878,-77.438965,-50.0,11.2,90.0
38.954878,-77.4384,-50.0,9.8,90.0
38.954876,-77.43791,-50.0,9.8,90.0
38.954866,-77.437393,-50.0,10.2,90.0
38.954854,-77.437134,-50.0,9.8,92.8
38.954843,-77.436584,-50.0,12.8,92.8
38.954807,-77.436268,-50.0,12.8,98.4
38.954418,-77.435984,-50.0,4.8,180.0
38.954238,-77.435989,-50.0,6.8,180.0
38.9534,-77.435999,-50.0,49.5,180.0
38.953283,-77.436005,-50.0,54.5,180.0
38.951626,-77.436044,-50.0,89.0,180.0
38.951202,-77.436044,-50.0,95.0,180.0
38.950916,-77.436044,-50.0,99.0,180.0
38.95049,-77.43605,-50.0,107.5,180.0
38.950035,-77.436059,-50.0,112.5,180.0
38.949547,-77.436066,-50.0,117.5,180.0
38.948936,-77.436074,-50.0,122.5,180.0
38.948696,-77.436074,-50.0,127.5,182.8
38.947964,-77.436089,-50.0,132.5,182.8
38.947712,-77.436104,-50.0,137.5,182.8
38.94722,-77.436119,-25,137.5,180.4
38.946626,-77.436096,-25,143.0,180.4
38.945928,-77.436096,0,146.0,180.4
38.945572,-77.436119,0,148.0,180.0
38.94495,-77.436096,25,151.0,180.0
38.944336,-77.436119,75,153.0,180.0
38.943146,-77.436119,125,156.0,179.6
38.942551,-77.436119,150,160.0,179.6
38.94136,-77.436059,200,162.0,179.3
38.940528,-77.436035,250,166.0,179.0
38.938945,-77.436035,350,169.0,178.6
38.937424,-77.435999,425,173.1,178.3
38.936199,-77.435913,500,177.1,178.1
38.934448,-77.43582,600,181.1,177.8
38.932661,-77.435791,700,183.1,178.1
38.930511,-77.435641,800,187.1,177.9
38.928406,-77.435522,900,189.2,177.6
38.926849,-77.435462,1000,189.2,177.3
38.924607,-77.435303,1100,191.2,177.3
38.922913,-77.435223,1200,194.2,177.3
38.921127,-77.435104,1300,196.2,177.7
38.918462,-77.434998,1400,199.1,178.0
38.916786,-77.434937,1500,199.1,178.3
38.915039,-77.434865,1575,199.0,178.9
38.913757,-77.434865,1675,199.0,179.1
38.911619,-77.434814,1775,200.0,179.7
38.909943,-77.434875,1875,202.0,180.3
38.908035,-77.434875,1975,202.0,180.6
38.906296,-77.434925,2075,201.0,180.6
38.904124,-77.434937,2175,202.0,180.9
38.902725,-77.434984,2275,202.0,180.9
38.901215,-77.434984,2350,204.0,181.1
38.899609,-77.435059,2450,205.0,181.1
38.89801,-77.435104,2550,205.0,181.1
38.895977,-77.43512,2650,206.0,180.8
38.894531,-77.435163,2750,208.0,180.8
38.892672,-77.435181,2850,211.0,180.8
38.890717,-77.435242,2950,215.0,180.8
38.889175,-77.435283,3050,218.0,180.8
38.887527,-77.435283,3125,220.0,180.8
38.886015,-77.435303,3225,224.0,180.8
38.884945,-77.435303,3275,225.0,180.8
38.883362,-77.435343,3375,228.0,180.8
38.881779,-77.435364,3475,231.0,180.7
38.880057,-77.435425,3575,235.0,180.7
38.878418,-77.435462,3675,236.0,180.7
38.876519,-77.435486,3775,239.0,180.7
38.874161,-77.435522,3875,243.0,180.7
38.872469,-77.435547,3975,245.0,180.7
38.870607,-77.435547,4075,247.0,180.7
38.868325,-77.435608,4175,249.0,180.7
38.866929,-77.435608,4275,250.0,180.5
38.864601,-77.435669,4375,252.0,180.2
38.862625,-77.435641,4475,253.0,180.2
38.860132,-77.435669,4575,255.0,180.0
38.858597,-77.435641,4675,256.0,180.0
38.856082,-77.435669,4775,258.0,179.8
38.854639,-77.435669,4875,258.0,179.8
38.852097,-77.435641,4975,261.0,179.8
38.84967,-77.435641,5075,263.0,179.6
38.847842,-77.435608,5175,265.0,179.6
38.84523,-77.435581,5275,267.0,179.6
38.843373,-77.435547,5350,269.0,179.4
38.841651,-77.435547,5450,271.0,179.4
38.838858,-77.435486,5550,273.0,179.4
38.836945,-77.435462,5650,275.0,179.4
38.834482,-77.435425,5750,278.0,179.6
38.83255,-77.435402,5850,279.0,179.8
38.830106,-77.435425,5950,280.0,180.2
38.828011,-77.435486,6050,280.1,181.8
38.825546,-77.435701,6150,280.6,183.9
38.822983,-77.436119,6250,281.2,187.1
38.820419,-77.436716,6350,279.9,191.8
38.818049,-77.4375,6450,280.0,195.3
38.815704,-77.438507,6550,279.2,199.0
38.81344,-77.439636,6650,279.7,202.7
38.811764,-77.440613,6750,278.8,204.4
38.80957,-77.44209,6850,279.5,207.0
38.807785,-77.443403,6925,279.4,210.8
38.804689,-77.446106,7100,279.6,214.7
38.801663,-77.449219,7275,280.0,219.2
38.798035,-77.453315,7475,282.5,222.3
38.794968,-77.457017,7650,285.8,223.3
38.791489,-77.461256,7850,287.8,224.0
38.787976,-77.465637,8050,287.1,224.4
38.784718,-77.469727,8250,288.5,224.7
38.781006,-77.474451,8450,290.6,224.9
38.777802,-77.478571,8650,291.3,225.0
38.774057,-77.483337,8850,291.3,225.0
38.771118,-77.48711,9050,291.3,225.0
38.767273,-77.492006,9250,292.7,225.0
38.763794,-77.496424,9450,294.2,225.0
38.760045,-77.501221,9650,296.3,224.9
38.756507,-77.505676,9850,299.1,224.9
38.75267,-77.510635,10050,304.1,225.0
38.748001,-77.516546,10250,309.0,224.9
38.743612,-77.522156,10450,313.2,224.9
38.739944,-77.526756,10625,318.9,224.9
38.736786,-77.530756,10800,321.7,224.9
38.733045,-77.535522,11000,325.3,224.8
38.729181,-77.540405,11200,328.1,224.8
38.724472,-77.54634,11400,333.8,224.8
38.72015,-77.551819,11600,338.7,224.6
38.715042,-77.558282,11800,346.5,224.8
