lat,lon,alt,gs,track
34.346832,-119.062145,400,58.7,240.4
34.346148,-119.063816,400,63.5,243.8
34.345825,-119.064611,500,64.4,244.2
34.344984,-119.066792,600,68.0,245.7
34.343948,-119.069376,700,67.1,245.3
34.343494,-119.070854,700,68.4,249.4
34.343122,-119.07217,700,68.7,253.9
34.342987,-119.072907,800,68.9,256.6
34.342758,-119.074308,800,71.0,260.3
34.342438,-119.076663,900,72.4,258.9
34.3423,-119.07812,900,73.7,262.2
34.342144,-119.080009,900,73.2,266.1
34.342163,-119.080586,1000,74.1,267.7
34.342163,-119.082436,1000,76.0,271.5
34.342284,-119.084072,1000,77.4,275.9
34.34247,-119.085617,1100,78.1,279.6
34.343076,-119.089966,1100,80.6,281.5
34.343262,-119.090767,1200,81.5,284.2
34.343727,-119.092541,1200,83.2,288.2
34.344379,-119.094715,1300,82.9,289.8
34.345734,-119.098972,1400,83.9,291.7
34.346939,-119.102383,1400,84.2,293.8
34.347244,-119.10312,1500,84.6,294.4
34.349121,-119.108108,1600,87.7,294.2
34.350384,-119.111595,1600,91.8,293.8
34.351827,-119.115314,1600,94.8,296.3
34.352107,-119.115944,1700,94.8,297.6
34.35476,-119.12178,1800,96.7,298.4
34.357498,-119.127951,1900,98.4,297.9
34.359421,-119.132379,2000,95.3,298.2
34.36165,-119.137344,2100,95.3,298.2
34.364722,-119.144211,2200,96.7,298.4
34.36719,-119.149818,2300,95.7,297.4
34.369796,-119.155884,2300,97.1,298.9
34.371094,-119.158556,2400,97.2,300.3
34.375429,-119.167442,2500,99.5,300.2
34.377198,-119.171333,2500,99.8,298.1
34.378647,-119.174531,2600,100.2,298.6
34.380341,-119.178062,2600,100.5,301.2
34.381943,-119.181145,2700,99.3,302.2
34.385559,-119.187983,2800,101.2,302.9
34.388855,-119.194205,2900,101.6,302.1
34.39119,-119.198409,2900,102.9,304.3
34.393158,-119.201828,3000,104.0,305.2
34.397402,-119.208927,3000,105.8,306.5
34.397552,-119.209171,3100,105.8,306.5
34.399962,-119.212933,3100,105.3,308.8
34.401535,-119.215169,3200,105.6,310.8
34.404757,-119.219513,3200,106.2,312.7
34.405975,-119.221054,3300,106.1,313.5
34.409366,-119.225235,3300,106.8,315.4
34.41243,-119.228846,3400,109.6,315.4
34.412625,-119.229069,3300,109.6,315.4
34.412796,-119.229238,3400,109.6,315.4
34.418152,-119.235684,3500,108.9,315.0
34.424515,-119.243363,3600,110.3,315.7
34.43161,-119.251715,3700,111.7,315.7
34.439026,-119.260179,3700,111.8,316.5
34.439858,-119.261169,3800,111.8,316.5
34.444199,-119.266065,3800,114.7,317.8
34.45117,-119.273357,3900,114.0,318.2
34.451356,-119.273529,3800,113.3,317.9
34.451496,-119.273701,3900,113.3,317.9
34.455825,-119.278622,3900,112.5,316.1
34.459456,-119.283028,3900,113.1,314.3
34.461594,-119.285739,4000,113.2,313.6
34.465393,-119.290728,4000,112.6,311.8
34.468277,-119.294764,4000,113.6,310.0
34.47007,-119.297333,4100,113.9,308.6
34.472488,-119.301266,4100,113.8,306.1
34.47464,-119.305021,4100,114.0,303.5
34.477472,-119.310493,4100,112.7,301.6
34.478682,-119.312954,4200,112.5,300.4
34.480684,-119.317188,4200,111.4,298.4
34.481918,-119.320324,4200,112.7,295.2
34.483617,-119.325027,4200,113.8,292.7
34.485123,-119.329628,4200,112.0,290.4
34.485672,-119.331422,4300,111.4,291.0
34.487183,-119.336355,4300,112.3,289.2
34.488327,-119.340727,4300,111.7,286.6
34.489529,-119.346142,4300,112.5,284.4
34.490433,-119.35076,4300,111.6,282.4
34.491205,-119.35564,4300,112.8,280.2
34.49181,-119.360275,4300,114.0,277.6
34.492322,-119.366112,4300,114.5,275.5
34.492355,-119.366455,4400,114.4,275.0
34.492741,-119.373035,4400,114.2,273.5
34.493179,-119.384952,4400,114.1,272.5
34.4933,-119.391232,4400,116.0,270.5
34.493362,-119.404235,4400,116.0,271.0
34.493579,-119.41206,4400,115.1,272.5
34.494095,-119.424021,4400,116.0,271.5
34.494049,-119.427104,4400,115.1,268.0
34.493858,-119.430027,4400,114.6,264.0
34.493454,-119.433662,4400,116.4,261.1
34.492172,-119.442855,4400,119.1,262.3
34.49181,-119.447079,4400,120.4,265.2
34.491624,-119.450684,4400,119.1,268.1
34.491577,-119.45726,4400,119.0,270.0
34.491669,-119.462642,4400,120.1,272.4
34.491989,-119.467742,4400,120.4,274.8
34.492229,-119.470596,4500,119.7,276.2
34.49231,-119.47161,4400,119.7,276.2
34.492927,-119.477634,4400,123.2,277.9
34.493912,-119.485119,4400,124.8,279.7
34.494417,-119.488506,4300,124.2,280.7
34.49586,-119.496803,4300,126.9,282.3
34.497894,-119.5081,4200,126.1,282.8
34.499398,-119.515457,4200,128.1,284.5
34.500366,-119.519703,4100,128.6,285.3
34.501923,-119.525981,4100,130.0,287.5
34.502609,-119.528503,4000,130.6,288.3
34.504612,-119.535313,4000,131.0,290.1
34.506195,-119.540405,3900,127.2,290.7
34.508011,-119.546104,3900,128.2,293.0
34.508615,-119.547729,3800,128.6,293.4
34.510483,-119.552774,3800,127.5,295.6
34.512619,-119.557858,3700,124.8,297.2
34.515427,-119.564265,3700,123.5,299.0
34.515793,-119.565162,3600,124.0,299.5
34.518814,-119.57144,3600,125.2,301.3
34.519318,-119.572393,3500,126.2,302.0
34.521231,-119.575882,3500,126.5,304.7
34.523392,-119.579343,3500,126.2,307.6
34.524078,-119.580464,3400,126.0,308.2
34.529145,-119.588013,3300,125.3,308.5
34.529378,-119.588356,3400,125.3,308.5
34.529526,-119.588648,3300,125.3,308.5
34.534219,-119.595795,3300,120.4,307.9
34.536804,-119.599915,3200,119.8,307.5
34.539898,-119.604664,3200,117.9,309.5
34.542086,-119.607639,3100,117.5,312.2
34.543529,-119.609413,3100,116.7,316.0
34.544815,-119.610677,3100,115.3,321.3
34.546136,-119.611816,3100,116.2,326.6
34.547673,-119.612846,3100,116.3,332.3
34.549072,-119.613591,3100,115.7,337.6
34.550629,-119.614208,3100,116.1,343.0
34.552185,-119.614656,3100,114.9,349.5
34.553741,-119.614825,3100,113.5,354.4
34.555168,-119.614849,3100,112.0,0.5
34.557123,-119.614677,3100,111.5,5.7
34.559006,-119.61432,3100,111.8,10.3
34.56102,-119.61376,3100,110.9,15.2
34.564757,-119.612389,3100,108.2,17.8
34.569971,-119.610214,3200,104.4,18.4
34.577774,-119.606977,3200,102.8,19.3
34.580492,-119.605694,3200,102.7,22.3
34.583239,-119.604206,3200,100.7,25.3
34.585147,-119.603119,3300,100.2,26.0
34.588074,-119.601372,3300,98.9,28.4
34.5905,-119.59969,3400,96.0,31.4
34.593713,-119.597111,3500,93.0,31.8
34.595575,-119.595795,3500,93.1,28.2
34.598282,-119.594197,3600,89.4,26.6
34.600416,-119.592876,3600,86.5,29.8
34.602356,-119.591395,3600,82.4,33.1
34.602493,-119.591282,3700,82.4,33.1
34.603582,-119.590359,3700,77.7,34.5
34.605584,-119.588699,3700,73.2,32.2
34.606003,-119.588413,3700,72.9,26.9
34.606142,-119.588356,3700,73.8,24.8
34.606842,-119.588087,3600,75.0,16.3
34.607529,-119.587975,3600,74.5,6.9
34.607849,-119.587975,3600,75.2,3.8
34.608215,-119.587975,3500,76.1,357.7
34.608902,-119.588143,3500,77.7,348.1
34.609451,-119.588424,3400,78.8,340.0
34.610099,-119.588814,3400,81.0,334.4
34.612659,-119.590813,3200,83.2,322.0
34.559738,-119.613255,2500,79.6,168.4
34.559189,-119.613087,2600,80.8,164.9
34.558147,-119.612675,2600,81.3,159.1
34.557175,-119.612134,2600,80.5,153.4
34.556625,-119.611742,2700,80.6,150.3
34.555726,-119.611015,2700,81.0,144.5
34.554749,-119.61006,2700,82.2,138.9
34.553696,-119.608771,2800,83.5,137.9
34.551862,-119.606152,2800,85.3,129.3
34.550949,-119.604903,2800,90.0,130.9
34.55014,-119.603748,2900,93.6,130.7
34.549023,-119.602089,2900,95.6,127.3
34.548386,-119.600867,2900,96.6,121.9
34.547998,-119.599972,2900,97.0,116.3
34.547673,-119.598942,3000,96.9,111.8
34.547347,-119.597569,3000,97.5,105.5
34.547012,-119.595486,3000,96.7,100.7
34.546875,-119.594421,3100,97.2,98.9
34.546783,-119.592796,3100,97.1,92.4
34.547021,-119.588757,3200,97.0,90.6
34.547533,-119.585609,3300,95.4,80.3
34.547791,-119.583659,3300,96.5,84.1
34.547393,-119.580517,3400,97.2,93.5
34.546602,-119.578514,3400,97.2,93.5
34.546509,-119.578285,3400,100.0,120.7
34.545764,-119.577026,3400,100.4,125.3
34.545044,-119.57598,3400,99.9,131.4
34.544174,-119.574915,3500,99.0,134.2
34.542552,-119.573021,3500,99.8,137.8
34.540146,-119.570431,3600,102.7,138.6
34.536547,-119.566555,3700,101.9,136.6
34.533691,-119.563144,3700,103.9,134.6
34.53035,-119.558828,3800,107.6,132.7
34.524994,-119.551765,3800,111.8,132.8
34.521603,-119.547272,3900,116.8,132.6
34.521423,-119.547001,3800,116.8,131.9
34.519741,-119.544697,3900,118.6,129.9
34.515365,-119.538174,3900,118.9,128.5
34.513177,-119.534683,3900,121.8,125.7
34.510803,-119.530409,3900,122.9,123.0
34.507917,-119.524841,3900,123.0,121.4
34.504938,-119.518661,3900,121.8,119.5
34.503215,-119.514942,4000,120.9,119.7
34.500981,-119.510021,4000,119.4,117.4
34.499313,-119.505858,4000,119.9,114.6
34.497675,-119.501266,4000,119.8,112.1
34.495301,-119.493713,4000,119.6,110.6
34.493591,-119.487809,4000,120.5,108.9
34.492447,-119.483381,4000,120.9,106.3
34.49167,-119.479694,4000,121.1,102.9
34.491112,-119.476147,4000,118.7,99.7
34.4906,-119.471684,4000,118.0,97.3
34.490341,-119.468471,4000,118.3,93.9
34.49025,-119.465724,4100,118.0,91.5
34.490274,-119.464874,4000,118.0,91.5
34.49025,-119.464491,4100,118.0,91.5
34.49025,-119.463482,4000,119.0,91.0
34.490295,-119.454458,4000,121.0,89.5
34.490387,-119.449974,4100,121.1,87.6
34.490387,-119.449693,4000,121.1,87.6
34.49046,-119.448452,4100,121.1,87.6
34.490799,-119.441341,4100,122.3,85.8
34.491348,-119.430972,4100,124.2,86.8
34.49181,-119.422703,4100,124.4,85.4
34.492182,-119.416122,4100,125.1,87.2
34.49231,-119.410176,4100,125.0,89.5
34.492218,-119.405187,4100,127.1,91.8
34.491856,-119.397125,4100,128.3,93.6
34.491437,-119.390945,4100,128.6,95.4
34.490832,-119.384995,4100,127.1,97.7
34.490181,-119.379902,4100,128.1,100.3
34.489014,-119.372845,4100,129.8,102.0
34.488086,-119.368229,4100,130.3,104.7
34.487201,-119.364624,4100,130.3,107.9
34.486038,-119.36085,4100,129.5,110.8
34.484665,-119.356814,4100,129.9,113.6
34.483151,-119.353123,4100,129.3,117.2
34.480499,-119.347229,4100,129.4,119.1
34.477937,-119.341908,4000,130.5,120.9
34.474772,-119.335785,4000,130.9,122.8
34.470886,-119.3289,4000,128.7,124.6
34.464204,-119.317245,4000,130.9,124.4
34.463739,-119.316387,3900,130.9,124.4
34.459084,-119.308147,3900,130.6,123.4
34.455592,-119.301395,3900,131.6,121.6
34.454801,-119.299793,3800,131.9,121.0
34.450882,-119.291625,3800,129.9,119.5
34.448656,-119.286575,3800,129.3,117.2
34.446701,-119.281654,3700,130.6,115.4
34.445351,-119.277935,3700,130.9,112.4
