lat,lon,alt,gs,track
30.167862,-82.231912,29000,470.7,164.2
30.155422,-82.228436,29000,470.1,167.0
30.142548,-82.225665,29000,468.9,170.2
30.100444,-82.21734,29000,467.9,170.2
30.05864,-82.208936,29000,466.9,170.1
30.016388,-82.200461,29000,465.9,170.1
29.974228,-82.192006,29000,465.9,170.1
29.932434,-82.183712,29000,465.7,170.2
29.890261,-82.175365,29000,465.9,170.1
29.847712,-82.166856,29000,465.9,170.1
29.806048,-82.158508,29000,466.9,170.1
29.763565,-82.150057,29000,467.9,170.2
29.720904,-82.141598,29000,468.9,170.2
29.678821,-82.133197,28975,469.9,170.2
29.670208,-82.131473,28950,469.9,170.2
29.66141,-82.12975,28875,468.9,170.2
29.652786,-82.128032,28775,468.9,170.2
29.636215,-82.124757,28525,467.9,170.2
29.613007,-82.120162,28125,463.9,170.1
29.590805,-82.115778,27725,460.7,170.2
29.569562,-82.111601,27325,458.7,170.2
29.547636,-82.107239,26925,460.7,170.2
29.526123,-82.102996,26525,465.9,170.1
29.506531,-82.09914,26125,468.9,170.2
29.487165,-82.095283,25725,467.9,170.2
29.466064,-82.091164,25325,465.7,170.2
29.444229,-82.086886,24925,462.6,170.3
29.424273,-82.083004,24525,461.6,170.3
29.402533,-82.078696,24125,458.7,170.2
29.381744,-82.074632,23725,454.6,170.2
29.361427,-82.070618,23325,451.6,170.2
29.341278,-82.066392,22925,449.1,168.4
29.33519,-82.064755,22850,447.8,166.8
29.330978,-82.06354,22800,446.8,165.8
29.326904,-82.062272,22775,444.7,164.7
29.314363,-82.0578,22700,438.0,161.8
29.308591,-82.055538,22650,435.8,161.0
29.304866,-82.053977,22600,433.7,160.2
29.300491,-82.052038,22550,432.4,159.1
29.288269,-82.046215,22325,430.0,156.7
29.277054,-82.040141,22075,427.5,153.6
29.264053,-82.032166,21825,426.1,151.1
29.246071,-82.020856,21425,422.9,151.3
29.229675,-82.010615,21025,419.3,151.4
29.21109,-81.999154,20650,413.0,151.5
29.192184,-81.987481,20275,406.2,151.8
29.171219,-81.97454,19925,400.6,151.2
29.15332,-81.96329,19550,398.8,151.1
29.134346,-81.951222,19175,395.3,150.8
29.116051,-81.93959,18825,392.1,151.0
29.098343,-81.928482,18450,389.4,151.1
29.086583,-81.920579,18225,389.1,148.6
29.076736,-81.913217,18025,387.5,145.9
29.066426,-81.904746,17800,386.0,143.4
29.06056,-81.899522,17650,386.9,142.0
29.050272,-81.889774,17325,388.6,139.4
29.040939,-81.879994,17025,389.1,136.7
29.02681,-81.864786,16650,387.7,136.7
29.012518,-81.849437,16275,385.6,136.8
28.99832,-81.834304,15925,384.1,136.8
28.994934,-81.830714,15875,382.7,136.6
28.992233,-81.827704,15825,381.9,136.1
28.984541,-81.818686,15775,377.7,133.5
28.978455,-81.81096,15700,374.0,131.5
28.97104,-81.800699,15550,370.6,128.8
28.957077,-81.780008,15225,365.0,127.7
28.944351,-81.76131,14900,362.1,127.8
28.931717,-81.742771,14550,358.6,127.6
28.919586,-81.72476,14200,356.6,127.5
28.908148,-81.707746,13850,354.4,127.6
28.896103,-81.689899,13500,353.0,127.5
28.884733,-81.673063,13150,351.0,127.4
28.872299,-81.65451,12800,354.6,127.3
28.860432,-81.636819,12450,356.8,127.3
28.848655,-81.619209,12100,354.0,127.2
28.842277,-81.609677,11900,354.0,127.2
28.839249,-81.605125,11850,352.6,127.2
28.835953,-81.600213,11825,349.6,127.3
28.824463,-81.583152,11700,340.2,127.5
28.812577,-81.565516,11600,332.2,127.7
28.806385,-81.557007,11550,327.0,130.4
28.801529,-81.55125,11500,323.2,134.6
28.796127,-81.545651,11450,319.5,138.4
28.789999,-81.540097,11350,317.1,142.1
28.784409,-81.535615,11250,315.9,145.7
28.778128,-81.531318,11150,314.5,148.8
28.771285,-81.527171,11025,312.7,152.4
28.761881,-81.521624,10850,311.8,152.3
28.752365,-81.515914,10675,311.4,152.0
28.743028,-81.510261,10500,309.6,151.9
28.733671,-81.50466,10325,309.1,152.0
28.724081,-81.498844,10150,307.8,152.1
28.714554,-81.493149,9975,306.9,152.0
28.704758,-81.487233,9800,305.5,152.1
28.695544,-81.481772,9625,304.2,152.2
28.686234,-81.476171,9450,304.2,152.2
28.676737,-81.470516,9275,303.3,152.1
28.667194,-81.464754,9100,302.4,152.0
28.657558,-81.458992,8925,301.9,152.2
