lat,lon,alt,gs,track
36.043625,-98.04245,1600,0.0,0.0
36.043024,-98.03983,1600,136.8,105.3
36.040137,-98.026389,1600,136.6,104.8
36.037111,-98.012481,1600,138.8,105.0
36.033737,-97.997303,1650,138.8,105.0
36.030594,-97.982678,1675,138.5,104.6
36.027475,-97.968653,1650,141.2,105.6
36.023895,-97.953587,1675,140.2,105.7
36.021378,-97.942829,1625,142.2,105.5
36.019096,-97.93248,1575,145.3,105.6
36.0168,-97.923145,1550,145.5,107.2
36.013416,-97.909747,1525,145.9,106.3
36.012253,-97.904429,1525,145.8,104.7
36.010162,-97.894135,1450,147.2,103.8
36.007828,-97.881546,1400,148.9,103.2
36.005875,-97.872113,1400,148.0,104.9
36.005549,-97.870535,1400,147.3,105.4
36.001406,-97.851251,1350,146.7,104.6
35.999588,-97.842293,1300,149.2,103.6
35.995633,-97.824428,1225,142.7,25.3
35.996751,-97.824019,1225,142.1,13.8
35.998473,-97.823843,1225,142.7,8.9
36.004486,-97.827244,1175,0.0,0.0
36.003479,-97.827187,1175,0.0,0.0
36.008621,-97.866386,1625,0.0,0.0
36.013321,-97.879314,1675,140.0,295.8
36.015747,-97.886696,1725,145.8,292.2
36.018677,-97.895488,1775,144.1,291.6
36.021237,-97.90402,1800,145.8,290.0
36.022354,-97.907994,1775,145.8,290.0
36.023254,-97.911816,1775,149.3,286.7
36.02403,-97.915007,1775,149.7,285.9
36.027522,-97.931369,1825,149.7,285.9
36.02861,-97.937393,1875,149.7,285.9
36.031677,-97.950382,1900,148.4,286.9
36.034882,-97.963085,1925,149.0,287.6
36.03717,-97.973099,1975,149.6,287.1
36.038741,-97.980399,1950,150.2,285.0
36.042232,-97.997696,1850,152.8,284.4
36.043259,-98.00354,1825,156.7,282.5
36.044048,-98.007689,1800,157.7,282.5
36.059922,-98.083658,1925,148.9,284.8
36.048982,-98.063322,1650,0.0,0.0
36.048098,-98.058822,1650,140.9,103.5
36.045868,-98.047771,1650,139.9,103.6
36.043945,-98.038673,1625,141.9,105.1
36.041336,-98.024368,1550,145.8,103.1
36.041245,-98.022995,1525,145.8,103.1
36.041473,-98.00909,1425,151.3,86.2
36.041977,-98.006916,1400,152.6,77.5
36.0439,-98.001766,1375,153.4,73.3
36.04184,-97.997303,1350,150.4,76.2
36.041199,-97.997017,1325,134.1,149.0
36.040329,-97.996845,1250,135.1,160.1
36.038406,-97.996788,1125,140.3,176.3
36.03154,-97.996731,1025,147.0,180.4
36.02829,-97.996731,1075,145.0,179.6
36.027008,-97.996674,1125,137.0,179.6
36.023117,-97.99221,1225,133.4,175.7
36.023621,-97.99015,1275,122.5,98.9
36.025269,-97.989407,1300,120.3,62.8
36.026367,-97.98975,1250,118.0,1.0
36.033005,-97.992554,1050,118.9,341.9
36.034149,-97.993069,1050,139.1,341.6
36.035477,-97.993526,1025,139.5,342.5
36.037674,-97.99427,1075,140.1,343.0
36.038452,-97.99427,1100,136.8,346.5
36.040192,-97.993584,1125,129.8,12.0
36.041748,-97.992725,1150,127.9,26.0
36.025681,-97.997875,1150,0.0,0.0
36.024353,-97.99902,1125,118.5,215.0
36.03923,-97.994957,1100,0.0,0.0
36.029617,-97.995872,1150,113.8,194.8
36.02916,-97.996216,1150,114.0,206.6
36.026596,-97.996845,1175,114.6,209.2
36.025909,-97.995701,1225,106.6,156.8
36.025909,-97.995071,1250,101.1,114.5
36.026642,-97.993641,1225,101.0,88.3
36.029114,-97.992897,1150,106.5,39.7
36.030304,-97.992783,1125,118.4,4.8
36.030945,-97.992783,1125,121.3,3.8
36.038269,-97.990723,1100,127.0,1.4
36.04129,-97.99324,1200,129.2,21.8
36.039001,-97.994785,1125,105.7,259.6
36.038452,-97.994785,1100,103.0,181.1
36.035294,-97.994728,1050,107.0,178.4
36.033691,-97.994728,1050,116.0,180.5
36.032639,-97.994785,1100,116.0,180.0
36.027924,-97.995987,1100,114.0,181.0
36.025864,-97.994156,1225,118.1,195.2
36.026276,-97.993126,1250,103.0,88.9
36.030441,-97.992496,1100,104.7,45.8
36.032455,-97.992439,1050,123.0,0.9
36.033554,-97.992382,1050,129.0,0.4
36.035797,-97.991982,1100,129.0,0.4
36.037903,-97.991123,1100,128.1,12.6
36.039047,-97.990665,1100,128.8,20.0
36.040192,-97.990551,1125,130.6,18.3
36.031906,-97.994442,1125,128.3,356.4
36.03241,-97.988834,1200,113.1,178.0
36.031815,-97.997417,1100,113.1,267.5
36.031311,-98.002739,1200,130.0,270.9
36.029205,-98.00148,1250,110.5,228.7
36.029343,-97.994671,1075,102.4,102.4
36.023621,-97.993755,1225,127.0,90.4
36.023483,-97.994385,1250,110.8,233.4
36.024994,-97.99736,1325,111.8,255.0
36.073748,-97.893969,1400,137.8,96.2
36.0737,-97.892933,1400,137.8,96.2
36.072584,-97.864399,1425,0.0,0.0
36.078217,-97.861302,1450,141.0,6.9
35.976242,-97.971039,1475,124.6,108.7
35.976013,-97.970352,1475,124.6,108.7
35.972916,-97.958718,1550,124.6,108.7
35.970914,-97.951063,1625,126.8,107.4
35.969192,-97.944635,1625,131.2,109.1
35.966911,-97.936512,1600,135.7,109.4
35.964443,-97.928097,1550,138.2,109.9
35.962814,-97.922954,1575,138.2,112.1
35.960347,-97.915708,1600,137.5,113.6
35.955917,-97.903461,1600,141.4,114.2
35.954667,-97.900339,1500,148.5,116.4
35.9468,-97.879301,1350,138.9,48.5
35.947917,-97.8786,1350,135.9,22.0
35.950757,-97.878132,1375,135.0,1.3
35.951431,-97.87817,1375,135.0,359.6
35.9441,-97.886314,1275,0.0,0.0
35.94397,-97.883778,1375,0.0,0.0
35.947266,-97.879028,1350,128.3,22.0
35.945526,-97.883606,1275,0.0,0.0
35.953949,-97.867298,1250,135.2,121.7
35.951935,-97.863464,1200,139.8,122.4
35.947638,-97.854757,1250,142.0,122.3
35.944472,-97.848037,1275,137.1,122.2
35.942322,-97.844353,1200,142.2,126.7
35.941028,-97.836115,1125,142.2,126.7
35.941544,-97.829876,1100,142.2,126.7
35.938843,-97.823353,1275,142.2,126.7
35.935135,-97.826614,1200,131.5,225.6
35.934603,-97.82846,1175,131.5,225.6
35.940841,-97.826882,1225,116.7,43.3
35.941406,-97.826843,1250,116.7,43.3
35.942005,-97.826882,1225,117.0,1.5
36.006806,-98.004241,1575,144.5,295.0
36.026825,-98.057785,1750,147.7,299.2
36.02948,-98.064823,1725,147.7,299.2
35.991943,-97.995014,1450,0.0,0.0
35.991257,-97.993183,1475,136.5,114.7
35.979721,-97.964516,1400,0.0,0.0
35.978302,-97.960854,1400,0.0,0.0
