lat,lon,alt,gs,track,vs
44.525959,-91.186724,34000,444.3,294.9,0
44.543015,-91.237989,34000,443.4,295.0,64
44.559998,-91.288866,34000,442.5,295.0,0
44.576933,-91.339662,34000,442.0,294.9,0
44.594009,-91.39134,34000,442.9,294.8,-64
44.610963,-91.442826,34000,442.9,294.8,64
44.627722,-91.493605,34000,442.9,294.8,0
44.639825,-91.530248,34000,442.9,294.8,-384
44.641113,-91.534162,33975,442.9,294.8,-768
44.642487,-91.538282,33950,442.0,294.9,-1152
44.644527,-91.544517,33900,442.0,294.9,-1600
44.64798,-91.554892,33750,442.9,294.8,-1984
44.649694,-91.560126,33675,442.9,294.8,-2368
44.650818,-91.563525,33625,442.9,294.8,-2752
44.653046,-91.570308,33500,443.9,294.8,-3200
44.659051,-91.588596,33100,445.7,294.7,-3584
44.664545,-91.605411,32725,446.2,294.5,-3520
44.668304,-91.617017,32475,447.1,294.4,-3136
44.67041,-91.623622,32350,447.1,294.4,-2752
44.679199,-91.65063,31950,443.5,294.4,-2432
44.687576,-91.676396,31550,440.8,294.5,-2560
44.695496,-91.700461,31150,438.5,294.8,-2560
44.703555,-91.724921,30750,436.2,294.8,-2496
44.711469,-91.74897,30350,433.6,294.7,-2560
44.71907,-91.772199,29950,432.3,294.6,-2496
44.727157,-91.796801,29550,430.4,294.7,-2496
44.735537,-91.822391,29150,428.2,294.7,-2368
44.74373,-91.847311,28750,426.4,294.8,-2368
44.751801,-91.871861,28350,424.6,294.6,-2368
44.760178,-91.897561,27950,422.0,294.5,-2304
44.768216,-91.922406,27550,419.8,294.5,-2432
44.776199,-91.94713,27150,418.0,294.3,-2368
44.783707,-91.970542,26750,416.3,294.1,-2432
44.791489,-91.994934,26350,414.5,294.2,-2368
44.799593,-92.020346,25950,412.6,294.3,-2368
44.807465,-92.044765,25550,411.3,294.3,-2368
44.815141,-92.068511,25150,409.9,294.5,-2368
44.823334,-92.093833,24750,407.7,294.5,-2368
44.831131,-92.117876,24350,405.4,294.5,-2368
44.839115,-92.142535,23950,404.1,294.4,-2432
44.843445,-92.157048,23700,402.4,291.3,-2432
44.84697,-92.171304,23475,400.7,288.5,-2368
