lat,lon,alt,gs,track
38.973267,-84.220893,900,49.7,195.1
38.972696,-84.221008,950,50.5,188.0
38.971939,-84.221012,975,55.0,180.0
38.970275,-84.221069,1075,58.0,182.0
38.969604,-84.221072,1125,58.1,176.1
38.968785,-84.220886,1175,59.8,170.4
38.968227,-84.220703,1200,59.8,162.5
38.967528,-84.220337,1250,59.1,156.0
38.96683,-84.21991,1300,59.5,150.9
38.966178,-84.21936,1325,59.6,145.2
38.965622,-84.218743,1375,61.9,140.9
38.964968,-84.218018,1375,65.1,136.2
38.96427,-84.217102,1400,66.0,130.7
38.963851,-84.216309,1425,69.1,121.4
38.963664,-84.215698,1425,71.3,112.2
38.963478,-84.214966,1450,73.2,104.2
38.963333,-84.213549,1500,71.7,98.0
38.963106,-84.212158,1525,70.8,103.1
38.962738,-84.210444,1550,71.5,107.9
38.961868,-84.2071,1625,71.8,108.7
38.961136,-84.204712,1650,72.2,111.9
38.960266,-84.202271,1675,72.9,115.2
38.958404,-84.197144,1725,75.2,115.2
38.956604,-84.192352,1725,77.4,116.9
38.955471,-84.189697,1750,74.8,119.7
38.954494,-84.187622,1775,73.8,122.8
38.953629,-84.186083,1775,74.2,127.3
38.952942,-84.185068,1775,74.5,130.1
38.95184,-84.183533,1775,75.0,133.9
38.949326,-84.180052,1775,75.7,132.3
38.94841,-84.178679,1750,76.8,128.7
38.947357,-84.176948,1775,74.1,124.6
38.945206,-84.172947,1800,71.6,125.9
38.941589,-84.166618,1825,70.8,126.4
38.939621,-84.163274,1850,69.8,128.0
38.937037,-84.15918,1900,69.8,128.0
38.934755,-84.155579,1950,70.3,129.8
38.931311,-84.15033,1975,73.2,128.9
38.93074,-84.149482,1950,74.7,129.0
38.929588,-84.147583,1850,79.5,129.9
38.927959,-84.145081,1750,79.7,128.9
38.926004,-84.142029,1650,76.7,129.7
38.924188,-84.139282,1575,75.9,130.2
38.92214,-84.136353,1475,75.8,131.3
38.920185,-84.133545,1400,76.4,132.9
38.91795,-84.130554,1300,75.0,132.8
38.915669,-84.127319,1200,75.8,131.3
38.915359,-84.126852,1175,75.8,131.3
38.911331,-84.119508,975,65.8,118.1
38.907616,-84.115784,1225,81.4,297.8
38.908966,-84.119202,1300,83.2,297.2
38.910735,-84.123657,1425,83.2,297.2
38.911102,-84.124583,1450,83.2,297.2
38.911386,-84.125122,1475,77.9,299.2
38.912659,-84.128046,1550,81.6,301.0
38.913757,-84.130256,1575,86.0,303.1
38.915297,-84.133057,1625,88.0,306.2
38.918701,-84.139033,1675,88.0,306.2
38.921677,-84.144168,1725,87.8,307.1
38.924789,-84.149541,1775,88.0,306.2
38.929262,-84.157593,1800,91.4,307.0
38.93074,-84.159931,1800,91.6,310.1
38.932755,-84.162856,1800,94.2,312.0
38.934723,-84.165484,1800,94.8,315.0
38.938248,-84.169842,1800,94.8,316.7
38.942483,-84.174744,1825,95.6,318.0
38.945183,-84.177673,1825,96.5,320.0
38.948181,-84.180769,1850,96.2,322.2
38.954587,-84.187256,1875,100.0,323.1
38.957054,-84.189453,1825,103.7,326.0
38.960541,-84.192352,1750,103.8,328.0
38.964037,-84.195007,1675,100.3,330.1
38.966995,-84.197189,1575,97.1,331.1
38.969483,-84.198853,1500,98.4,332.1
38.972183,-84.200745,1400,96.3,330.8
38.975189,-84.202742,1300,93.1,331.8
38.977798,-84.204652,1225,88.7,330.3
38.980237,-84.206543,1175,85.2,328.9
38.981827,-84.207876,1175,80.5,325.1
38.982658,-84.20874,1150,78.8,324.3
38.983077,-84.209229,1125,77.1,316.6
38.984147,-84.211121,1075,73.8,298.3
38.984299,-84.211519,1075,73.0,293.4
38.984473,-84.212097,1050,71.5,287.9
38.984566,-84.212891,1025,70.7,278.1
38.984613,-84.213745,1000,69.0,270.0
38.984473,-84.214539,1000,69.0,270.0
38.98439,-84.214922,975,67.2,255.3
38.984253,-84.215519,950,66.5,248.8
38.983887,-84.216295,925,65.7,243.8
38.983682,-84.216553,925,61.6,228.3
38.983383,-84.216833,900,58.4,218.1
38.982925,-84.217191,875,56.4,209.7
38.982797,-84.217285,850,56.4,209.7
