lat,lon,alt,gs,track,vs
29.964661,-89.551176,5900,149.0,253.6,64
29.960974,-89.565546,5900,150.0,253.7,0
29.957291,-89.580258,5900,151.0,253.9,-64
29.953525,-89.595209,5900,150.0,253.7,64
29.949801,-89.609711,5900,150.0,253.7,0
29.945891,-89.624982,5900,150.0,253.7,0
29.941956,-89.640305,5900,150.0,253.7,0
29.939467,-89.650085,5900,150.0,253.7,64
29.936096,-89.663409,6000,150.0,253.7,64
29.935684,-89.664971,5900,151.0,253.9,64
29.931839,-89.680212,5900,151.0,253.9,64
29.927968,-89.695459,5900,151.0,253.9,64
29.924803,-89.707983,5900,151.0,253.9,64
29.921125,-89.72265,5900,151.0,253.9,-64
29.917465,-89.737351,6000,151.0,253.9,0
29.917168,-89.738416,5900,151.0,253.9,0
29.913345,-89.753669,5900,149.0,253.6,0
29.909958,-89.767122,5900,149.0,253.6,0
29.90625,-89.781647,5900,147.8,253.9,-64
29.902451,-89.796278,5900,146.2,253.3,0
29.898834,-89.810222,5900,147.1,253.4,-64
29.895218,-89.824377,5900,147.8,253.9,64
29.891464,-89.838691,5900,148.4,253.1,0
29.887573,-89.853692,5900,149.3,253.3,0
29.88382,-89.868375,5900,148.8,254.0,0
29.880341,-89.882161,5900,149.0,253.6,0
29.876633,-89.896475,5900,149.0,253.6,0
29.875259,-89.902285,5900,149.9,255.3,0
29.874802,-89.905137,5900,150.3,260.0,64
29.874619,-89.907197,5900,151.5,265.5,64
29.874619,-89.90968,5900,154.1,271.5,0
29.874847,-89.913271,5900,154.6,275.2,-64
29.875763,-89.922303,5900,155.2,277.0,0
29.877411,-89.938149,5900,154.1,276.7,64
29.878281,-89.94734,5900,156.6,275.1,320
29.878372,-89.948554,5900,157.6,275.1,64
29.878418,-89.9494,5900,157.6,275.1,-256
29.87851,-89.950033,5900,157.5,274.4,-832
29.878555,-89.95072,5900,158.8,275.8,-320
29.880066,-89.966671,5900,158.7,275.4,-64
29.881348,-89.983256,5900,156.6,275.1,64
29.882629,-89.998415,5900,154.8,275.9,-64
29.884094,-90.013786,5900,154.9,276.3,0
29.884598,-90.017219,5900,155.5,280.4,-320
29.884872,-90.018539,5900,156.5,282.2,384
29.886063,-90.024508,5900,156.2,283.3,0
29.887115,-90.029103,6000,158.5,286.5,384
29.88739,-90.030054,5900,160.1,287.1,448
29.887619,-90.031005,6000,159.8,286.7,256
29.887939,-90.032008,6000,160.4,287.4,-128
29.888077,-90.032642,5900,161.3,287.3,-384
29.890503,-90.041093,5900,164.1,289.2,64
29.893204,-90.049544,6000,162.3,290.6,192
29.893661,-90.050865,5900,163.3,290.4,256
29.895538,-90.056939,5900,164.4,288.4,0
29.897461,-90.063752,6000,164.4,288.4,-192
29.897644,-90.064439,5900,164.4,288.4,-256
29.900345,-90.073049,5900,165.1,290.2,-64
29.903641,-90.083031,6000,165.6,291.6,-64
29.903915,-90.083876,5900,167.3,292.1,-128
29.904465,-90.085355,5900,167.3,292.1,-576
29.905289,-90.087679,5900,168.5,293.1,-448
29.905884,-90.089317,5900,167.5,293.2,0
29.906891,-90.091905,5900,166.6,293.3,448
29.908722,-90.096923,5900,164.2,292.2,64
29.910507,-90.10231,6000,163.9,290.0,-64
29.910873,-90.103472,5900,163.9,290.0,-192
29.911652,-90.105932,5900,164.2,290.3,-128
29.911743,-90.106255,5900,164.1,289.2,384
29.912292,-90.108301,5900,163.8,287.8,192
29.912384,-90.108786,5900,162.5,285.0,-320
29.912842,-90.111263,5900,160.8,280.8,-576
29.912979,-90.11261,5900,160.5,280.0,-512
29.913025,-90.112825,5900,157.8,275.8,0
29.913116,-90.116434,5900,155.0,270.4,256
29.913116,-90.126235,5900,153.1,271.5,128
29.913391,-90.131297,5900,154.5,274.5,128
29.914078,-90.139591,5900,156.9,276.2,64
29.915588,-90.155047,5900,158.0,276.5,0
29.917099,-90.17115,5900,157.8,275.8,0
29.918518,-90.187683,5900,156.7,275.5,64
29.919846,-90.203732,5900,156.7,275.5,64
29.921218,-90.219617,5900,156.8,275.9,64
29.922592,-90.235937,5900,155.6,275.2,0
29.923828,-90.251878,5900,154.6,275.2,-64
29.925175,-90.267737,5900,155.7,275.5,0
29.92662,-90.283975,5900,156.8,275.9,-64
29.928061,-90.299652,5900,156.8,275.9,-64
29.929092,-90.311387,6000,156.8,275.9,0
29.929179,-90.312341,5900,156.7,275.5,0
29.930511,-90.328405,5900,158.7,275.4,0
29.931931,-90.345208,5900,160.8,275.7,0
29.932617,-90.352747,6000,161.9,276.0,0
29.932709,-90.353771,5900,161.9,276.0,0
29.934219,-90.370789,5900,163.8,275.6,0
29.935593,-90.38786,5900,164.8,275.6,0
29.937057,-90.40434,5900,162.9,276.0,64
29.938396,-90.419403,5900,161.8,275.7,-64
29.939839,-90.436267,5900,160.7,275.4,0
29.941236,-90.452911,5900,161.7,275.3,0
29.94226,-90.464886,5900,162.8,275.6,64
29.94429,-90.487707,5900,162.9,276.0,64
29.95752,-90.644154,5900,155.7,275.5,-64
29.962234,-90.700648,5900,157.7,275.5,-64
29.963425,-90.714704,5900,157.7,275.5,0
29.964706,-90.730375,5900,159.7,275.4,0
29.96608,-90.746532,5900,159.8,275.8,0
29.96727,-90.760372,5900,158.8,275.8,0
29.968506,-90.774375,5900,158.7,275.4,0
29.969833,-90.790316,5900,156.7,275.5,0
29.971115,-90.805556,5900,154.7,275.6,64
29.972397,-90.821659,5900,153.6,275.2,64
29.973724,-90.838246,5900,153.6,275.2,0
29.974869,-90.852841,5900,152.6,275.3,0
29.976196,-90.869159,5900,153.6,275.2,0
29.977112,-90.880737,5900,153.6,275.2,0
29.977844,-90.889246,5900,153.7,275.6,0
29.986176,-90.990762,5900,147.7,275.4,0
29.999496,-91.154642,5900,147.6,275.0,0
30.001373,-91.178984,5900,147.6,275.0,0
30.002609,-91.194386,5900,146.6,275.1,0
30.003799,-91.209573,5900,145.6,275.1,0
30.004715,-91.221206,5900,145.6,275.1,0
30.005951,-91.23677,5900,145.6,275.1,0
30.006317,-91.241401,5900,145.6,275.1,64
30.008286,-91.265259,5900,145.7,275.5,64
30.019363,-91.405658,6000,139.6,275.3,128
30.019455,-91.407004,5900,139.6,275.3,128
30.019547,-91.407704,6000,139.6,275.3,128
30.019638,-91.408889,5900,139.6,275.3,128
30.019867,-91.411851,6000,139.6,275.3,64
30.019913,-91.412443,5900,139.6,275.3,0
30.019958,-91.413036,6000,139.6,275.3,0
30.020233,-91.416321,5900,139.6,275.3,0
30.020279,-91.416913,6000,139.6,275.3,0
30.020325,-91.417667,5900,139.6,275.3,0
30.020691,-91.422245,6000,139.6,275.3,0
30.020782,-91.422999,5900,139.6,275.3,0
30.020828,-91.423753,6000,139.6,275.3,0
30.020874,-91.424453,5900,139.6,275.3,0
30.02092,-91.425207,6000,139.6,275.3,0
30.021149,-91.427576,6000,139.6,275.3,0
30.022064,-91.439263,6000,139.6,275.3,0
30.022659,-91.446695,5900,139.6,275.3,0
30.023483,-91.457089,6000,139.6,275.3,0
30.024033,-91.464467,6000,138.5,275.0,-64
30.025131,-91.478846,6000,136.4,274.6,0
30.025589,-91.484824,5900,137.4,274.6,0
30.026001,-91.490532,6000,137.4,274.6,0
30.026642,-91.498718,5900,138.5,275.0,64
30.026688,-91.499311,6000,137.5,275.0,64
30.026917,-91.502273,5900,138.5,275.0,-64
30.027328,-91.507981,6000,138.5,275.0,0
30.02742,-91.508897,5900,138.5,275.0,0
30.027466,-91.509597,6000,138.5,275.0,-64
30.027695,-91.51229,5900,138.5,275.0,-64
30.02774,-91.513474,6000,138.5,275.0,-64
30.027786,-91.513905,5900,138.5,275.0,0
30.028198,-91.519129,6000,137.5,275.0,0
30.028244,-91.51956,5900,136.5,275.0,0
30.02829,-91.520422,6000,136.5,275.0,0
30.028381,-91.521337,5900,136.5,275.0,0
30.028519,-91.523491,6000,136.5,275.0,0
30.029846,-91.540671,6000,136.5,275.0,0
30.030624,-91.55128,5900,138.5,275.0,0
30.03067,-91.551711,6000,138.5,275.0,0
30.030762,-91.552896,5900,138.5,275.0,0
30.030807,-91.553327,6000,138.5,275.0,-64
30.030899,-91.554673,5900,138.5,275.0,0
30.030945,-91.555373,6000,138.5,275.0,0
30.031265,-91.559358,5900,138.5,275.0,0
30.031311,-91.559951,6000,138.5,275.0,64
30.031815,-91.566467,5900,138.5,275.0,0
30.031998,-91.568945,6000,139.5,274.9,64
30.032455,-91.574761,5900,139.5,274.9,0
30.032639,-91.577292,6000,139.5,274.9,-64
30.032913,-91.580685,5900,140.5,274.9,0
30.032959,-91.581708,6000,140.5,274.9,0
30.033005,-91.582031,5900,140.6,275.3,0
30.033096,-91.583054,6000,140.6,275.3,0
30.033234,-91.585316,5900,140.6,275.3,0
30.033279,-91.585747,6000,140.6,275.3,0
30.033737,-91.59124,5900,140.6,275.3,0
30.034012,-91.594687,6000,140.6,275.3,0
30.034058,-91.595603,5900,140.6,275.3,0
30.034149,-91.596626,6000,140.6,275.3,0
30.034332,-91.599157,5900,140.6,275.3,0
30.034607,-91.602604,6000,140.6,275.3,0
30.035248,-91.610682,5900,140.6,275.3,0
30.035294,-91.611597,6000,140.6,275.3,0
30.035614,-91.614883,5900,140.6,275.3,0
30.035614,-91.615636,6000,140.6,275.3,0
30.036072,-91.621237,5900,139.6,275.3,0
30.036118,-91.621884,6000,139.6,275.3,0
30.036163,-91.622422,5900,139.6,275.3,0
30.036575,-91.627484,6000,139.6,275.3,0
30.036667,-91.628669,5900,139.6,275.3,0
30.036713,-91.629369,6000,138.6,275.4,0
30.036804,-91.630123,5900,138.6,275.4,0
30.036896,-91.631308,6000,138.6,275.4,64
30.036942,-91.631901,5900,138.6,275.4,0
30.037125,-91.634109,6000,138.6,275.4,0
30.037582,-91.640033,5900,138.6,275.4,0
30.037674,-91.641056,6000,138.6,275.4,0
30.03772,-91.641918,5900,138.6,275.4,0
30.037766,-91.642348,6000,138.6,275.4,0
30.038269,-91.64838,5900,138.6,275.4,0
30.038589,-91.652527,6000,138.6,275.4,0
30.03891,-91.65662,5900,138.6,275.4,0
30.03923,-91.660874,6000,138.5,275.0,-64
30.039368,-91.662382,5900,138.5,275.0,0
30.039413,-91.663244,6000,138.5,275.0,0
30.039459,-91.663675,5900,138.5,275.0,0
30.039597,-91.66529,6000,138.5,275.0,0
30.039963,-91.670137,5900,138.5,275.0,0
30.040421,-91.676761,6000,137.5,275.0,0
30.040924,-91.683009,5900,137.5,275.0,-64
30.041016,-91.684086,6000,137.5,275.0,-64
30.04129,-91.688125,5900,137.5,275.0,0
30.041794,-91.69518,6000,137.5,275.0,0
30.041885,-91.69588,5900,137.5,275.0,0
30.041931,-91.696634,6000,137.5,275.0,0
30.041977,-91.697495,5900,137.5,275.0,0
30.04216,-91.700134,6000,137.5,275.0,0
30.042572,-91.705358,5900,136.5,275.0,0
30.042801,-91.708266,6000,137.5,275.0,0
30.042847,-91.70929,5900,137.5,275.0,0
30.042892,-91.709828,6000,137.5,275.0,0
30.04335,-91.71586,5900,137.5,275.0,0
30.043533,-91.718768,6000,137.5,275.0,0
30.043762,-91.721407,5900,137.5,275.0,0
30.044174,-91.726846,6000,137.5,275.0,0
30.044678,-91.733901,5900,138.5,275.0,0
30.044907,-91.736702,6000,138.5,275.0,-64
30.044952,-91.737402,5900,138.5,275.0,-64
30.045227,-91.741064,6000,138.5,275.0,0
30.045273,-91.741979,5900,138.5,275.0,0
30.045364,-91.743002,6000,138.5,275.0,0
30.04541,-91.743433,5900,138.5,275.0,0
30.045502,-91.74478,6000,138.5,275.0,0
30.045547,-91.745641,5900,138.5,275.0,0
30.045639,-91.746503,6000,138.5,275.0,0
30.046097,-91.752858,5900,138.5,275.0,0
30.046188,-91.75372,6000,138.5,275.0,0
30.046234,-91.754743,5900,138.5,275.0,0
30.046509,-91.758136,6000,138.5,275.0,0
30.047058,-91.765837,5900,138.5,275.0,0
30.047104,-91.766375,6000,138.5,275.0,0
30.047287,-91.76923,5900,138.5,275.0,0
30.047333,-91.769822,6000,138.5,275.0,0
30.047424,-91.770684,5900,138.5,275.0,0
30.047745,-91.775423,6000,138.5,275.0,0
30.048111,-91.78027,5900,138.5,275.0,0
30.048157,-91.780862,6000,138.5,275.0,0
30.048477,-91.785278,5900,138.5,275.0,0
30.048569,-91.786355,6000,138.5,275.0,0
30.049072,-91.79298,5900,138.5,275.0,0
30.049393,-91.797234,6000,138.5,275.0,0
30.049484,-91.798257,5900,138.5,275.0,0
30.04953,-91.79885,6000,138.5,275.0,0
30.049622,-91.800034,5900,138.5,275.0,0
30.049667,-91.800788,6000,138.5,275.0,64
30.049988,-91.805366,5900,138.5,275.0,-64
30.050217,-91.808167,6000,138.5,275.0,-64
30.0504,-91.811236,5900,138.5,275.0,0
30.050446,-91.811829,6000,138.5,275.0,0
30.050903,-91.81786,5900,138.5,275.0,0
30.050995,-91.818776,6000,138.5,275.0,0
30.051956,-91.831863,5900,138.5,275.0,0
30.052231,-91.835848,6000,138.5,275.0,0
30.05278,-91.843064,5900,138.5,275.0,0
30.052826,-91.843818,6000,138.4,274.6,0
30.053329,-91.850442,5900,139.5,274.9,64
30.053375,-91.851358,6000,139.5,274.9,64
30.053741,-91.85642,5900,140.5,274.9,-64
30.053787,-91.857282,6000,140.5,274.9,-64
30.05397,-91.859382,5900,140.5,274.9,0
30.054337,-91.864175,6000,140.5,274.9,0
30.054382,-91.865037,5900,140.5,274.9,0
30.05452,-91.867299,6000,140.5,274.9,0
