lat,lon,alt,gs,track,vs
36.210146,-117.937882,8575,125.7,174.1,64
36.209518,-117.937775,8575,125.7,174.1,64
36.194039,-117.93572,8575,124.9,173.1,64
36.191391,-117.935543,8575,129.2,176.9,-192
36.181915,-117.934914,8575,126.2,176.8,0
36.17188,-117.934083,8600,126.2,176.8,0
36.165363,-117.933382,8575,131.5,175.2,-192
36.157449,-117.932739,8575,131.5,175.2,-192
36.119659,-117.929878,8675,123.3,175.8,-64
36.112747,-117.929249,8675,127.3,175.9,0
36.102859,-117.928276,8700,131.6,174.8,320
36.097,-117.927589,8675,135.5,174.9,-128
36.091252,-117.927188,8650,135.2,177.0,0
36.079008,-117.926253,8675,136.3,176.2,128
36.075211,-117.92593,8675,136.3,176.2,-192
36.065415,-117.925376,8675,137.2,177.1,128
36.055267,-117.924967,8650,134.1,177.9,-64
36.053079,-117.924909,8650,130.1,177.8,128
36.043024,-117.924558,8675,130.1,177.8,0
36.03392,-117.924385,8675,127.0,179.1,-128
36.023518,-117.924149,8650,122.0,179.1,-192
36.02124,-117.924042,8650,120.0,179.1,0
36.020508,-117.924042,8675,121.1,178.1,512
36.019409,-117.923985,8675,121.1,178.1,384
36.015744,-117.923857,8675,120.1,178.1,-64
36.004711,-117.923214,8650,121.1,178.1,-64
35.998008,-117.92298,8675,121.0,179.1,-128
35.994423,-117.923039,8675,121.1,181.9,64
35.992421,-117.923272,8675,120.7,186.2,-128
35.989471,-117.923756,8650,119.5,189.1,0
35.985625,-117.924675,8675,120.6,192.0,-192
35.984088,-117.925084,8700,121.6,191.9,256
35.982273,-117.92561,8675,123.2,193.1,-192
35.976608,-117.927246,8675,123.2,195.1,-256
35.975464,-117.927647,8700,122.3,195.2,192
35.97464,-117.927933,8700,118.7,196.1,576
35.97138,-117.929116,8750,119.3,197.1,128
35.970474,-117.929478,8725,118.9,198.1,-320
35.968819,-117.93011,8750,119.9,198.0,128
35.965805,-117.931423,8750,118.0,199.8,0
35.964249,-117.932281,8775,116.7,205.9,384
35.96315,-117.933083,8775,115.4,211.9,128
35.962721,-117.933499,8800,114.5,214.0,512
35.960403,-117.935543,8825,114.2,217.2,192
35.956855,-117.938934,8800,119.0,217.8,-192
35.95546,-117.94035,8775,121.0,223.3,-384
35.955086,-117.940804,8775,120.9,224.0,-320
35.954681,-117.94138,8800,122.3,226.0,384
35.954295,-117.941856,8800,123.1,227.0,0
35.954041,-117.942295,8750,124.2,229.9,-896
35.953674,-117.942867,8750,124.2,232.9,-832
35.953457,-117.943317,8775,124.3,235.2,128
35.952852,-117.944485,8800,123.5,242.0,512
35.952433,-117.945771,8800,121.9,246.8,640
35.9522,-117.947115,8875,118.9,259.8,1536
35.952118,-117.947731,8875,118.6,264.2,896
35.952118,-117.948303,8850,119.3,266.1,320
35.952118,-117.949963,8825,119.2,267.1,0
35.952154,-117.950388,8800,121.2,272.8,-960
35.952347,-117.951851,8775,124.0,280.2,-1280
35.952438,-117.952251,8775,123.8,282.1,-896
35.955872,-117.96381,8875,114.4,292.1,896
35.957657,-117.969131,8950,111.2,292.2,640
35.958578,-117.97236,8975,107.6,290.1,448
35.958939,-117.974167,8975,108.9,283.3,0
35.959167,-117.976341,9000,110.0,277.8,192
35.959213,-117.978115,8975,110.1,272.1,64
35.95909,-117.980951,9025,110.1,272.1,64
35.958893,-117.982464,9025,106.7,259.7,128
