lat,lon,alt,gs,track
52.505862,14.088965,1500,0.0,0.0
52.501593,14.051562,1500,0.0,0.0
52.501697,14.051771,1500,0.0,0.0
52.503094,14.048341,1500,0.0,0.0
52.506708,13.996231,1400,0.0,0.0
52.507984,13.987967,1400,0.0,0.0
52.506439,13.969443,1400,0.0,0.0
52.50858,13.967154,1400,0.0,0.0
52.504304,13.940558,1500,0.0,0.0
52.506428,13.946153,1500,0.0,0.0
52.508953,13.943236,1500,0.0,0.0
52.513732,13.95324,1500,0.0,0.0
52.511054,13.925371,1500,143.0,0.0
52.514464,13.929803,1400,130.0,0.0
52.512646,13.909111,1400,169.0,0.0
52.51747,13.918288,1400,131.0,0.0
52.518804,13.912964,1400,126.0,0.0
52.518439,13.898162,1400,124.0,0.0
52.52046,13.899252,1300,120.0,0.0
52.521742,13.895559,1300,112.0,0.0
52.524479,13.887939,1300,107.0,0.0
52.52433,13.874744,1300,105.0,0.0
52.531872,13.881141,1400,109.0,0.0
52.534268,13.879072,1300,101.0,0.0
52.53372,13.865502,1300,116.0,0.0
52.534988,13.853643,1300,134.0,0.0
52.53477,13.845537,1400,146.0,0.0
52.535189,13.836302,1400,137.0,0.0
52.539234,13.833838,1400,149.0,0.0
52.540637,13.828189,1400,155.0,0.0
52.542998,13.821928,1400,147.0,0.0
52.545661,13.816258,1400,132.0,0.0
52.547882,13.810969,1500,118.0,0.0
52.549511,13.802349,1400,127.0,0.0
52.552044,13.795278,1500,126.0,0.0
52.556138,13.787584,1500,139.0,0.0
52.558923,13.78018,1600,133.0,0.0
52.56105,13.772715,1600,126.0,0.0
52.563151,13.765349,1600,123.0,0.0
52.566709,13.761638,1600,119.0,0.0
52.569958,13.753882,1600,123.0,0.0
52.573968,13.748467,1600,127.0,0.0
52.576417,13.743839,1600,126.0,0.0
52.579261,13.744558,1700,127.0,0.0
52.581305,13.733448,1700,124.0,0.0
52.584772,13.72796,1700,121.0,0.0
52.588014,13.722797,1700,123.0,0.0
52.591992,13.716106,1700,128.0,0.0
52.596324,13.711227,1700,126.0,0.0
52.599414,13.706102,1700,118.0,0.0
52.604627,13.701809,1700,112.0,0.0
52.608201,13.697123,1700,123.0,0.0
52.612634,13.692134,1700,134.0,0.0
52.615964,13.689766,1700,125.0,0.0
52.619563,13.685626,1700,131.0,0.0
52.623506,13.681318,1700,126.0,0.0
52.627283,13.675295,1700,125.0,0.0
52.631976,13.669281,1700,124.0,0.0
52.63589,13.667059,1700,117.0,0.0
52.638621,13.661512,1700,124.0,0.0
52.642967,13.655377,1700,122.0,0.0
52.645885,13.64832,1700,130.0,0.0
52.646905,13.646517,1600,133.0,0.0
52.64985,13.640879,1600,140.0,0.0
52.652365,13.633475,1700,132.0,0.0
52.655256,13.625895,1700,134.0,0.0
52.659223,13.61945,1700,127.0,0.0
52.662034,13.612695,1700,121.0,0.0
52.66578,13.606939,1700,123.0,0.0
52.668354,13.599774,1700,131.0,0.0
52.670538,13.597233,1600,136.0,0.0
52.672992,13.593279,1600,137.0,0.0
52.67501,13.588264,1600,135.0,0.0
