lat,lon,alt,gs,track,vs
41.200197,-112.004819,4450,102.5,227.8,64
41.199801,-112.005303,4475,102.5,224.6,64
41.199429,-112.005803,4500,111.7,225.0,64
41.19887,-112.006552,4500,116.0,225.0,64
41.198637,-112.006864,4500,121.6,225.0,128
41.197893,-112.007862,4500,125.9,225.0,128
41.197632,-112.008179,4500,130.8,225.3,128
41.197241,-112.008736,4500,135.1,224.7,64
41.196442,-112.009766,4500,140.0,224.4,128
41.195938,-112.010437,4500,144.3,225.0,128
41.195618,-112.010803,4500,148.5,225.0,128
41.195114,-112.011536,4500,152.7,225.0,128
41.19429,-112.012634,4500,157.0,225.0,192
41.193741,-112.013367,4525,164.8,224.8,192
41.193098,-112.014167,4550,168.3,224.5,384
41.19223,-112.015259,4550,171.1,224.5,576
41.191864,-112.015747,4575,174.7,224.8,768
41.19063,-112.017351,4600,178.2,225.0,1152
41.188861,-112.019785,4650,183.1,225.2,1792
41.187279,-112.021907,4750,188.1,225.0,1984
41.184952,-112.024963,4850,191.6,225.6,2560
41.183441,-112.027039,4950,195.9,225.6,2368
41.181473,-112.029663,5050,200.8,225.8,2048
41.179923,-112.031957,5150,203.1,227.2,2048
41.178061,-112.034954,5250,207.3,230.1,2048
41.176432,-112.037825,5325,211.6,233.5,1920
41.174789,-112.041321,5425,215.8,237.5,1920
41.173233,-112.045044,5525,220.1,242.4,1792
41.171539,-112.049744,5625,222.3,244.7,1792
41.170212,-112.053711,5725,223.0,246.2,1792
41.168565,-112.058674,5825,224.8,246.4,1792
41.166703,-112.064604,5925,228.6,247.4,1472
41.166144,-112.066415,5950,229.5,247.5,1472
41.165958,-112.066914,5950,229.9,247.2,832
41.163254,-112.0755,6000,234.5,247.7,704
41.159775,-112.086792,6075,236.8,247.7,256
41.15657,-112.09729,6150,234.7,248.2,640
41.155716,-112.10006,6200,235.6,248.3,896
41.154832,-112.103056,6250,235.6,248.3,1152
41.154602,-112.103699,6250,235.6,248.3,1664
41.153249,-112.108425,6350,237.1,248.7,1856
41.15181,-112.11322,6450,240.3,248.8,1856
41.150482,-112.117676,6550,245.1,248.5,1984
41.149933,-112.119629,6600,245.1,248.5,2304
41.148651,-112.12384,6700,247.9,248.7,2624
41.147598,-112.127625,6800,250.0,249.4,2368
41.146591,-112.131104,6900,253.5,249.2,2560
41.145521,-112.134767,7000,256.1,248.9,2560
41.143706,-112.140947,7200,260.0,248.6,2816
41.141739,-112.147644,7400,260.9,248.6,2816
41.139982,-112.153494,7600,263.1,248.6,2816
41.139097,-112.156552,7700,264.1,248.7,2816
41.138864,-112.157426,7725,264.1,248.7,3392
41.137328,-112.162545,7925,264.1,248.7,3328
41.135652,-112.168288,8125,265.0,248.8,3328
41.133957,-112.174194,8325,265.6,249.0,3392
41.132538,-112.179077,8475,266.5,249.1,3328
41.131897,-112.181213,8550,267.4,249.2,2880
41.130341,-112.186768,8675,270.2,249.4,2432
41.129425,-112.189941,8750,272.5,249.4,2112
41.126156,-112.201434,8925,275.1,249.1,1792
41.121918,-112.216492,9075,275.5,250.1,1792
41.118805,-112.228149,9250,272.0,250.9,1856
41.117497,-112.233332,9375,269.1,251.4,2240
41.115867,-112.239761,9550,265.3,251.8,2688
41.114273,-112.246399,9750,265.0,252.0,2752
41.112762,-112.252625,9950,267.6,252.4,2752
41.112423,-112.254056,10000,267.6,252.4,2752
41.112213,-112.254822,10025,267.6,252.4,3264
41.110933,-112.260298,10225,269.5,252.5,3264
41.110199,-112.263306,10325,269.2,252.7,3264
41.10997,-112.264282,10375,269.2,252.7,3904
41.108826,-112.269287,10575,269.2,252.7,3904
41.107773,-112.273743,10750,270.1,252.8,4096
41.10665,-112.278588,10950,269.8,253.0,4096
41.105673,-112.282708,11150,269.5,253.2,4288
41.104568,-112.287598,11350,269.2,253.4,4288
41.103653,-112.291687,11525,269.0,253.6,4352
41.102646,-112.296448,11725,268.7,253.8,4352
41.101623,-112.300998,11925,268.7,253.8,4288
41.099807,-112.309175,12300,268.0,253.5,4416
41.097931,-112.316467,12650,268.2,250.6,4416
41.09642,-112.320984,12850,268.2,246.0,4416
41.094593,-112.325093,13050,268.3,240.3,4416
41.092405,-112.329025,13250,267.8,234.1,4416
41.089828,-112.332825,13475,268.3,227.9,4416
