lat,lon,alt,gs,track
41.421661,-81.744461,3000,252.3,105.6
41.420883,-81.74134,3075,253.3,109.4
41.419714,-81.737898,3150,254.1,112.9
41.418504,-81.734832,3250,255.5,118.8
41.416781,-81.731255,3350,256.6,124.7
41.414966,-81.728189,3450,256.6,129.1
41.413336,-81.725826,3550,257.4,133.7
41.410729,-81.722824,3650,258.5,140.3
41.408681,-81.720844,3750,259.2,144.1
41.406447,-81.718927,3850,260.8,147.5
41.403793,-81.717011,3950,261.5,150.7
41.401465,-81.715542,4025,263.4,153.6
41.39816,-81.713818,4100,266.3,158.6
41.395274,-81.712732,4175,268.6,164.7
41.392822,-81.712126,4250,269.9,169.1
41.391586,-81.711877,4300,269.0,171.4
41.39035,-81.711752,4350,268.6,173.8
41.388977,-81.711627,4400,268.7,175.9
41.387127,-81.711646,4500,267.0,180.4
41.3848,-81.711814,4600,266.8,184.3
41.382935,-81.712097,4700,266.6,186.2
41.380371,-81.712708,4800,267.0,189.9
41.378677,-81.713196,4875,267.5,191.6
41.376617,-81.713928,4950,269.0,194.9
41.373779,-81.71521,5050,271.0,197.8
41.370741,-81.716933,5125,273.2,203.3
41.368286,-81.718628,5225,274.6,206.8
41.36562,-81.720741,5300,275.6,210.3
41.363525,-81.722613,5400,276.5,213.4
41.361291,-81.724611,5500,276.5,214.1
41.35968,-81.726013,5600,276.5,214.1
41.357254,-81.72821,5700,276.2,213.6
41.355743,-81.729492,5775,276.5,213.4
41.353912,-81.731079,5875,276.8,213.1
41.351887,-81.732788,5975,276.3,212.9
41.350072,-81.734411,6075,276.3,212.9
41.347916,-81.736267,6175,277.1,213.5
41.345352,-81.738525,6275,277.4,214.0
41.343229,-81.740466,6375,277.7,214.4
41.341095,-81.742371,6475,278.2,214.6
41.338989,-81.744324,6575,278.2,214.6
41.336746,-81.746338,6675,278.5,214.3
41.334503,-81.748352,6775,278.7,214.0
41.332475,-81.750204,6875,278.7,214.0
41.330241,-81.752201,6975,279.3,214.2
41.326097,-81.756009,7150,280.2,214.8
41.321721,-81.760067,7350,281.3,215.2
41.317474,-81.764099,7550,282.1,215.0
41.311759,-81.769368,7750,283.5,215.1
41.306266,-81.774549,7950,286.9,215.4
41.301361,-81.779175,8125,288.9,215.6
41.296692,-81.78363,8325,290.3,215.6
41.291416,-81.788594,8525,291.9,215.4
41.285643,-81.794024,8725,294.1,215.3
41.280533,-81.798828,8925,294.9,215.2
41.275131,-81.803833,9125,296.3,215.2
41.269867,-81.808777,9325,297.1,215.1
41.264555,-81.81375,9525,299.3,215.1
41.259979,-81.817932,9700,300.2,215.0
41.255198,-81.822364,9900,300.2,215.0
41.251328,-81.825928,10075,301.0,214.9
41.248947,-81.828186,10150,302.4,214.9
41.246613,-81.830322,10200,303.2,214.8
41.244186,-81.832581,10250,306.8,214.8
41.235626,-81.840454,10325,316.8,214.8
41.226059,-81.849243,10500,325.4,214.9
41.215393,-81.859131,10625,335.4,214.9
41.204363,-81.869306,10775,345.4,215.0
41.193051,-81.879793,10900,354.8,214.9
41.182251,-81.889771,11025,363.4,214.9
41.172455,-81.898804,11150,370.6,214.9
41.167465,-81.903381,11250,372.8,214.8
41.159912,-81.910339,11450,376.4,214.8
41.152176,-81.91748,11650,377.3,214.7
41.145447,-81.923645,11850,378.7,214.8
41.131668,-81.936279,12250,380.9,214.7
41.123409,-81.943838,12475,382.5,214.6
41.108326,-81.957571,12875,385.3,214.6
41.095524,-81.969244,13275,386.7,214.7
41.08136,-81.982239,13675,388.9,214.6
