lat,lon,alt,gs,track
46.38327,-117.026836,1700,71.7,309.9
46.385468,-117.030588,1800,70.3,309.8
46.386978,-117.0332,1800,70.9,310.4
46.387436,-117.034406,1800,71.9,301.9
46.387536,-117.034882,1900,71.7,293.0
46.387769,-117.037766,1900,73.2,273.9
46.387665,-117.039899,1900,75.7,262.4
46.38739,-117.041842,2000,76.7,258.0
46.386233,-117.049438,2100,78.6,258.3
46.385468,-117.055307,2100,82.4,259.5
46.385193,-117.057584,2200,79.9,261.4
46.384696,-117.062073,2300,78.1,260.4
46.384186,-117.067164,2300,78.8,262.0
46.383998,-117.069145,2400,77.4,264.1
46.383728,-117.074064,2400,79.2,265.7
46.383672,-117.075119,2500,79.2,266.4
46.383636,-117.078217,2500,78.0,269.3
46.383636,-117.079088,2600,78.0,269.3
46.383579,-117.083633,2700,80.0,271.4
46.383719,-117.088921,2800,80.0,271.4
46.383774,-117.092888,2900,80.0,271.4
46.383812,-117.096817,3000,81.0,271.4
46.383911,-117.101128,3100,82.0,270.7
46.384048,-117.105683,3200,79.1,272.9
46.384324,-117.114326,3200,78.1,272.2
46.384323,-117.11466,3300,77.0,271.5
46.384324,-117.119064,3400,77.0,269.3
46.384277,-117.125313,3500,77.0,268.5
46.384231,-117.130119,3500,78.0,270.0
46.384231,-117.131149,3600,78.0,270.7
46.384277,-117.134445,3700,78.0,270.7
46.384277,-117.140144,3800,76.0,270.0
46.384324,-117.146599,3900,78.0,270.0
46.384323,-117.151303,4000,78.0,270.7
46.38437,-117.154976,4100,79.0,271.5
46.38451,-117.161224,4200,78.1,272.2
46.384743,-117.169876,4300,78.0,271.5
46.384781,-117.176759,4300,80.0,270.0
46.384735,-117.179774,4400,79.0,269.3
46.384689,-117.186071,4500,77.0,270.0
46.384735,-117.190827,4500,80.1,272.1
46.384781,-117.194311,4600,76.0,271.5
46.384964,-117.199067,4600,79.2,273.6
46.385162,-117.202904,4600,83.4,275.5
46.385513,-117.20791,4700,82.4,275.6
46.385767,-117.212997,4700,84.2,273.4
46.386,-117.218697,4700,80.1,272.9
46.386017,-117.21903,4800,78.1,272.9
46.386246,-117.227873,4900,77.1,272.2
46.386383,-117.234638,4900,76.0,270.8
46.386475,-117.238323,5000,75.1,272.3
46.38652,-117.23906,4900,75.1,272.3
46.38652,-117.239864,5000,76.1,272.3
46.386795,-117.245893,5000,76.2,273.8
46.386838,-117.247398,5100,75.2,274.6
46.387257,-117.252823,5000,78.3,275.1
46.38739,-117.254802,5100,79.2,273.6
46.387583,-117.261955,5100,79.1,272.9
46.387756,-117.26887,5200,82.1,272.1
46.387756,-117.269674,5100,82.1,272.1
46.387802,-117.270143,5200,82.1,272.1
46.387802,-117.274028,5200,83.0,269.3
46.387802,-117.281732,5200,81.1,267.9
46.387769,-117.28331,5300,80.0,268.6
46.387676,-117.28791,5200,84.0,268.6
46.387665,-117.289302,5300,85.0,269.3
46.387629,-117.289627,5200,85.0,269.3
46.387629,-117.289902,5300,85.0,269.3
46.387573,-117.294393,5300,81.1,267.2
46.387489,-117.296082,5400,80.2,266.4
46.387024,-117.306038,5400,80.1,267.1
46.386977,-117.306862,5500,80.1,267.9
46.386749,-117.316902,5600,81.1,267.9
46.386749,-117.317103,5500,81.1,267.9
46.386703,-117.318309,5600,81.1,267.9
46.386605,-117.323341,5600,82.0,270.0
46.386612,-117.323668,5700,81.0,270.0
46.386612,-117.328357,5800,79.0,270.7
46.386612,-117.328625,5700,79.0,270.7
46.386612,-117.329429,5800,79.0,270.0
46.386652,-117.333916,5800,78.1,272.2
46.386703,-117.335056,5900,77.1,272.2
46.386887,-117.339879,6000,78.1,272.9
46.387253,-117.350196,6000,78.1,272.9
46.38735,-117.353279,6100,78.2,273.7
46.387436,-117.354885,6000,79.1,272.2
46.387436,-117.355153,6100,79.1,272.2
46.387527,-117.36145,6100,78.0,270.7
46.387536,-117.363853,6200,80.0,270.0
46.387482,-117.371834,6200,81.0,269.3
46.387443,-117.375458,6300,82.0,269.3
46.387436,-117.376255,6200,82.0,270.0
46.387436,-117.376456,6300,82.0,270.0
46.387489,-117.382874,6300,81.0,271.4
46.387489,-117.384384,6400,79.1,272.2
46.387802,-117.393136,6400,84.1,272.7
46.388002,-117.39949,6300,87.1,272.6
46.388077,-117.401041,6400,86.1,272.7
46.388141,-117.406082,6400,83.0,270.7
46.388123,-117.410822,6400,83.0,268.6
46.387894,-117.417253,6400,83.1,267.2
46.387527,-117.42844,6400,85.1,268.0
46.387344,-117.439828,6400,88.1,268.0
46.387161,-117.445991,6400,88.1,266.8
46.386884,-117.452019,6400,89.3,265.5
46.386838,-117.45298,6500,89.4,264.9
46.386841,-117.45336,6400,89.4,264.9
46.386745,-117.454422,6500,89.4,264.9
46.386429,-117.460729,6500,89.2,266.1
46.385814,-117.472343,6500,90.3,265.5
46.38533,-117.484309,6500,91.2,266.2
46.384929,-117.493767,6500,91.1,267.5
46.384872,-117.496502,6400,91.1,266.9
46.38451,-117.505234,6400,88.2,266.1
46.384231,-117.511139,6500,88.1,266.8
46.384232,-117.511507,6400,88.1,267.4
46.384091,-117.515877,6500,90.1,268.1
46.383951,-117.527893,6500,93.0,268.8
46.383957,-117.529528,6400,93.0,269.4
46.383951,-117.530846,6500,94.0,269.4
46.383951,-117.53167,6400,95.0,269.4
46.383998,-117.536957,6400,96.0,271.8
46.384091,-117.542587,6400,95.0,270.0
46.384048,-117.553376,6400,97.0,271.2
46.384048,-117.558735,6400,96.0,268.8
46.383865,-117.565836,6400,96.1,267.0
46.383499,-117.578095,6400,96.1,267.6
46.38316,-117.59079,6400,95.1,267.0
46.382721,-117.60335,6400,96.1,267.0
46.382508,-117.610359,6400,95.0,268.8
46.382322,-117.620728,6400,97.0,270.0
46.382462,-117.629585,6400,99.0,271.2
46.382555,-117.637001,6400,98.0,269.4
46.382415,-117.643799,6400,98.1,267.7
46.382172,-117.651717,6400,95.0,268.8
46.382182,-117.659042,6400,99.0,270.0
46.382263,-117.669402,6400,94.0,270.0
46.382229,-117.673462,6300,93.0,269.4
46.382136,-117.679504,6300,93.1,267.5
46.38176,-117.688762,6300,90.1,266.8
46.381577,-117.692715,6400,89.5,264.2
46.381073,-117.699347,6400,93.5,263.9
46.380693,-117.705254,6400,97.3,265.9
46.380367,-117.715622,6400,100.1,267.1
46.379883,-117.725741,6400,97.3,265.9
46.379471,-117.733244,6400,96.4,264.6
46.379242,-117.735789,6300,96.6,263.5
46.37925,-117.736221,6400,96.6,263.5
46.379196,-117.736526,6300,96.6,263.5
46.378598,-117.743294,6400,95.8,262.8
46.378412,-117.745628,6300,95.8,262.8
46.37762,-117.755104,6300,97.5,264.1
46.376724,-117.767743,6300,93.7,263.2
46.376038,-117.776802,6400,94.4,264.5
46.375809,-117.780203,6300,95.5,264.0
46.37492,-117.792526,6300,94.4,264.5
46.374501,-117.799736,6300,93.3,265.7
46.374269,-117.806053,6300,95.1,267.6
46.373943,-117.818001,6300,93.1,266.9
46.373384,-117.830223,6300,94.2,266.4
46.372925,-117.839288,6300,90.3,265.5
46.3725,-117.845604,6400,90.6,263.7
46.372467,-117.845987,6300,90.6,263.7
46.371755,-117.854874,6300,95.5,264.0
46.371414,-117.860055,6400,94.3,265.1
46.371323,-117.86106,6300,94.3,265.1
46.371243,-117.862701,6400,93.3,265.1
46.370684,-117.870872,6400,91.6,263.7
46.369613,-117.883095,6400,95.6,263.4
46.368915,-117.8936,6400,95.4,264.6
46.368636,-117.898544,6400,98.2,266.5
46.368217,-117.909599,6400,98.1,267.7
46.368124,-117.914818,6400,97.0,269.4
46.36817,-117.9245,6500,92.0,268.8
46.368164,-117.92537,6400,92.1,268.1
46.368027,-117.928653,6500,91.2,266.2
46.367569,-117.938567,6400,95.2,266.4
46.367523,-117.939572,6500,95.3,265.8
46.367432,-117.940778,6400,95.3,265.8
46.367386,-117.941984,6500,94.3,265.7
46.36702,-117.947946,6500,91.6,263.7
46.366516,-117.953171,6500,94.1,261.4
46.365843,-117.958832,6500,96.7,259.3
46.365144,-117.96357,6500,93.4,257.0
46.363495,-117.973536,6500,93.0,258.2
46.36322,-117.976015,6500,93.9,262.0
46.363037,-117.978761,6500,94.3,265.7
46.3629,-117.98258,6500,95.0,268.8
46.362724,-117.995224,6500,94.1,268.2
