lat,lon,alt,gs,track
21.328777,-157.920714,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328781,-157.92071,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328777,-157.920714,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328777,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328792,-157.920723,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328812,-157.920726,-50.0,0.0,42.2
21.328781,-157.920723,-50.0,0.0,42.2
21.328792,-157.920723,-50.0,0.0,42.2
21.328792,-157.920723,-50.0,0.0,42.2
21.328792,-157.920723,-50.0,0.0,42.2
21.328792,-157.920723,-50.0,0.0,42.2
21.328769,-157.920736,-50.0,0.0,42.2
21.328769,-157.920736,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328789,-157.920726,-50.0,0.0,42.2
21.328792,-157.920736,-50.0,0.0,42.2
21.328816,-157.920748,-50.0,0.0,42.2
21.328781,-157.920736,-50.0,0.0,42.2
21.328789,-157.920739,-50.0,0.0,42.2
21.3288,-157.920739,-50.0,0.0,42.2
21.328781,-157.920736,-50.0,0.0,42.2
21.328781,-157.920736,-50.0,0.0,42.2
21.328789,-157.920739,-50.0,0.0,42.2
21.328781,-157.920736,-50.0,0.0,42.2
21.328789,-157.920739,-50.0,0.0,42.2
21.328781,-157.920736,-50.0,0.0,42.2
21.328789,-157.920739,-50.0,0.0,42.2
21.328766,-157.920764,-50.0,0.0,42.2
21.328617,-157.920901,-50.0,4.8,42.2
21.32849,-157.921028,-50.0,5.8,45.0
21.328365,-157.921151,-50.0,5.8,42.2
21.328297,-157.921226,-50.0,5.8,36.6
21.328251,-157.921276,-50.0,5.8,30.9
21.328205,-157.921313,-50.0,5.8,22.5
21.328152,-157.921359,-50.0,5.8,14.1
21.328114,-157.921376,-50.0,5.8,5.6
21.328068,-157.921388,-50.0,5.2,354.4
21.328022,-157.921401,-50.0,5.2,345.9
21.327976,-157.921401,-50.0,5.2,331.9
21.327942,-157.921401,-50.0,4.8,323.4
21.327908,-157.921401,-50.0,4.8,312.2
21.327873,-157.921376,-50.0,4.2,300.9
21.32785,-157.921363,-50.0,4.2,292.5
21.327827,-157.921338,-50.0,3.8,284.1
21.327805,-157.921276,-50.0,3.8,278.4
21.327793,-157.921226,-50.0,3.2,272.8
21.327791,-157.921181,-50.0,2.8,270.0
21.327782,-157.921151,-50.0,0.2,267.2
21.32778,-157.921143,-50.0,0.0,267.2
21.32778,-157.921143,-50.0,0.0,267.2
21.32778,-157.921193,-50.0,0.0,267.2
21.32778,-157.921333,-50.0,4.8,267.2
21.327782,-157.92155,-50.0,7.8,270.0
21.32778,-157.921906,-50.0,11.2,270.0
21.327782,-157.922662,-50.0,15.5,270.0
21.32778,-157.923139,-50.0,17.5,270.0
21.327782,-157.923585,-50.0,18.5,270.0
21.327782,-157.92406,-50.0,19.5,270.0
21.32778,-157.924525,-50.0,19.5,270.0
21.32778,-157.92497,-50.0,19.5,270.0
21.327782,-157.925408,-50.0,19.5,270.0
21.32778,-157.925886,-50.0,19.5,270.0
21.32778,-157.926331,-50.0,19.5,270.0
21.32777,-157.926669,-50.0,19.5,270.0
21.327652,-157.927589,-50.0,19.5,253.1
21.327461,-157.928467,-50.0,20.0,253.1
21.327461,-157.92923,-50.0,20.0,253.1
21.327465,-157.92981,-50.0,20.0,253.1
21.327465,-157.930405,-50.0,20.0,253.1
21.327465,-157.931,-50.0,20.0,253.1
21.327461,-157.931107,-50.0,20.0,253.1
21.327454,-157.932205,-50.0,22.0,253.1
21.327465,-157.932587,-50.0,22.0,253.1
21.327465,-157.932938,-50.0,22.0,253.1
21.327466,-157.933846,-50.0,22.5,270.0
21.327466,-157.934214,-50.0,22.5,270.0
21.327461,-157.934647,-50.0,21.5,270.0
21.327473,-157.935071,-50.0,21.5,272.8
21.327473,-157.935908,-50.0,21.5,270.0
21.327473,-157.936282,-50.0,21.5,270.0
21.327466,-157.936745,-50.0,21.5,270.0
21.327461,-157.937218,-50.0,21.5,270.0
21.327454,-157.937635,-50.0,20.5,270.0
21.327461,-157.938055,-50.0,18.5,270.0
21.327461,-157.938504,-50.0,17.5,270.0
21.327461,-157.938916,-50.0,17.5,270.0
21.327466,-157.939364,-50.0,16.5,270.0
21.327454,-157.939809,-50.0,15.5,270.0
21.327454,-157.94,-50.0,15.5,267.2
21.327419,-157.940165,-50.0,15.5,261.6
21.327384,-157.940305,-50.0,15.5,253.1
21.32714,-157.940712,-50.0,16.5,227.8
21.326534,-157.941132,-50.0,18.0,227.8
21.325928,-157.941498,-50.0,20.0,227.8
21.325378,-157.941833,-50.0,20.0,227.8
21.324783,-157.942187,-50.0,21.5,208.1
21.323776,-157.94278,-50.0,22.0,208.1
21.322906,-157.943311,-50.0,23.5,208.1
21.322266,-157.943685,-50.0,24.5,210.9
21.321739,-157.943997,-50.0,24.5,208.1
21.321442,-157.944185,-50.0,24.5,208.1
21.32103,-157.944434,-50.0,24.5,210.9
21.320137,-157.944971,-50.0,23.5,208.1
21.319924,-157.945086,-50.0,23.5,208.1
21.319598,-157.94529,-50.0,23.5,208.1
21.31897,-157.94567,-50.0,23.5,208.1
21.318679,-157.945849,-50.0,23.5,208.1
21.318143,-157.946154,-50.0,23.5,208.1
21.317841,-157.94632,-50.0,23.5,205.3
21.317562,-157.946444,-50.0,24.5,199.7
21.317282,-157.946548,-50.0,24.5,194.1
21.316761,-157.946607,-50.0,22.5,177.2
21.316349,-157.946569,-50.0,20.5,171.6
21.315921,-157.946498,-50.0,18.5,171.6
21.315628,-157.946457,-50.0,16.5,171.6
21.315583,-157.946459,-50.0,16.5,171.6
21.315374,-157.946421,-50.0,16.5,171.6
21.314472,-157.946307,-50.0,16.5,171.6
21.314035,-157.946256,-50.0,16.5,171.6
21.31366,-157.946207,-50.0,17.5,171.6
21.313408,-157.94617,-50.0,17.5,174.4
21.312999,-157.946129,-50.0,16.5,171.6
21.312743,-157.946091,-50.0,14.2,171.6
21.312441,-157.946053,-50.0,11.8,171.6
21.31215,-157.946014,-50.0,10.8,174.4
21.311829,-157.94597,-50.0,10.2,171.6
21.311485,-157.945933,-50.0,11.2,174.4
21.311359,-157.945908,-50.0,11.2,171.6
21.311325,-157.945908,-50.0,11.2,171.6
21.310881,-157.945849,-50.0,10.2,171.6
21.310451,-157.945786,-50.0,8.8,171.6
21.310181,-157.945758,-50.0,6.8,171.6
21.310009,-157.945733,-50.0,3.8,174.4
21.309706,-157.945709,-50.0,4.8,174.4
21.309563,-157.945708,-50.0,5.8,177.2
21.309437,-157.945708,-50.0,6.8,180.0
21.309254,-157.945708,-50.0,7.8,180.0
21.309036,-157.945708,-50.0,6.2,180.0
21.308821,-157.945709,-50.0,1.0,180.0
21.308739,-157.945709,-50.0,2.0,180.0
21.308321,-157.945709,-50.0,4.2,180.0
21.308086,-157.945708,-50.0,2.8,180.0
21.307846,-157.945708,-50.0,4.8,180.0
21.307686,-157.945695,-50.0,5.8,177.2
21.3074,-157.945683,-50.0,6.8,177.2
21.307388,-157.945683,-50.0,6.8,177.2
21.307169,-157.945671,-50.0,6.2,174.4
21.306999,-157.945645,-50.0,5.2,171.6
21.306953,-157.945633,-50.0,4.8,165.9
21.306919,-157.945608,-50.0,4.8,157.5
21.306885,-157.945583,-50.0,4.8,149.1
21.306873,-157.945546,-50.0,4.2,140.6
21.30685,-157.945483,-50.0,3.8,120.9
21.30685,-157.945446,-50.0,3.8,112.5
21.30685,-157.945408,-50.0,3.8,104.1
21.306855,-157.945379,-50.0,3.8,98.4
21.306855,-157.94534,-50.0,2.8,92.8
21.306862,-157.945296,-50.0,0.3,90.0
21.306855,-157.945213,-50.0,0.0,90.0
21.306862,-157.945171,-50.0,11.8,90.0
21.306862,-157.945059,-50.0,16.5,90.0
21.306855,-157.944946,-50.0,22.5,90.0
21.30685,-157.944784,-50.0,27.5,90.0
21.306855,-157.944234,-50.0,41.5,90.0
21.30685,-157.94411,-50.0,46.5,90.0
21.306855,-157.943827,-50.0,51.5,87.2
21.30685,-157.943398,-50.0,55.5,87.2
21.30685,-157.943236,-50.0,60.5,87.2
21.30685,-157.942924,-50.0,64.5,87.2
21.306855,-157.942581,-50.0,69.5,87.2
21.30685,-157.942225,-50.0,73.0,87.2
21.30685,-157.94185,-50.0,79.0,87.2
21.306866,-157.941691,-100,79.0,0.0
21.30685,-157.941563,-50.0,83.0,87.2
21.306839,-157.941351,-100,83.0,90.0
21.306839,-157.940002,-125,91.0,90.0
21.306839,-157.939054,-125,103.0,90.0
21.306866,-157.937876,-100,111.0,90.0
21.306866,-157.935893,-125,122.0,90.0
21.306866,-157.928111,-100,153.0,90.0
21.30682,-157.926432,-75,162.0,90.7
21.306793,-157.92557,-50,162.0,90.7
21.306793,-157.923273,50,162.1,91.4
21.306726,-157.920888,150,164.1,91.4
21.30668,-157.918396,250,166.0,91.4
21.306633,-157.916005,350,166.0,91.4
