lat,lon,alt,gs,track
38.231426,-85.667252,-50.0,0.0,0.0
38.231438,-85.667486,-50.0,0.1,0.0
38.231444,-85.667491,-50.0,0.0,0.0
38.231468,-85.667715,-50.0,11.2,0.0
38.231374,-85.668237,-50.0,10.8,0.0
38.231095,-85.668207,-50.0,14.8,0.0
38.231037,-85.668162,-50.0,16.5,0.0
38.230583,-85.667745,-50.0,33.5,0.0
38.230048,-85.667267,300,33.5,143.4
38.229536,-85.666729,300,45.0,143.1
38.228977,-85.666252,300,58.0,144.1
38.228837,-85.666132,200,59.4,143.9
38.228465,-85.665774,200,63.0,144.0
38.22786,-85.665237,200,67.4,144.7
38.22758,-85.664998,300,68.8,144.5
38.225967,-85.663498,300,73.0,143.9
38.224319,-85.662037,400,74.1,145.4
38.223018,-85.660997,500,71.3,148.8
38.221855,-85.660162,500,67.1,151.5
38.221482,-85.659923,600,65.8,151.9
38.220016,-85.658881,700,61.9,148.9
38.21841,-85.657594,800,61.6,147.6
38.217991,-85.657236,700,64.4,147.1
38.21759,-85.656894,800,66.3,146.1
38.216904,-85.656193,800,66.7,139.9
38.216361,-85.655504,800,66.5,132.6
38.215988,-85.654849,800,66.0,125.1
38.215714,-85.654148,900,65.3,117.3
38.21553,-85.653563,900,65.5,108.7
38.215485,-85.652979,900,65.1,100.6
38.215477,-85.652399,900,65.1,92.6
38.21553,-85.651693,900,66.6,82.2
38.215663,-85.651086,1000,67.2,75.3
38.215851,-85.650349,1000,69.1,67.9
38.216175,-85.649593,1000,70.7,61.3
38.216641,-85.648757,1000,72.4,54.5
38.217133,-85.648012,1000,73.7,48.3
38.217665,-85.647384,1100,75.0,42.8
38.21846,-85.646667,1100,77.2,36.6
38.219971,-85.645323,1100,76.6,33.3
38.220132,-85.645175,1200,76.9,32.2
38.221296,-85.644339,1200,77.8,27.5
38.222646,-85.643563,1300,79.2,24.6
38.223717,-85.643085,1300,82.2,18.4
38.224869,-85.642694,1300,84.0,12.4
38.226059,-85.642518,1300,84.6,6.8
38.226789,-85.642428,1400,83.3,4.8
38.228851,-85.642343,1400,81.0,1.4
38.22908,-85.642285,1500,81.0,1.4
38.230746,-85.642189,1500,78.4,5.9
38.232236,-85.641891,1600,78.3,10.3
38.233958,-85.641353,1600,80.3,13.7
38.235214,-85.640882,1600,82.2,18.4
38.235774,-85.640637,1700,82.9,19.8
38.236751,-85.640159,1700,86.7,20.9
38.237915,-85.639562,1700,91.6,21.8
38.240103,-85.638368,1700,96.2,25.2
38.243315,-85.636398,1700,101.1,25.8
38.246063,-85.634688,1700,106.0,26.3
38.248123,-85.633402,1600,109.1,26.1
38.25705,-85.62785,1600,107.4,25.4
38.260726,-85.62565,1700,105.6,24.6
38.269455,-85.620663,1700,104.8,23.6
38.273109,-85.618545,1700,104.7,26.1
38.275948,-85.616754,1600,109.2,24.9
38.284979,-85.61132,1600,109.2,24.9
38.288452,-85.609384,1600,109.4,22.6
38.291977,-85.607689,1600,108.5,19.9
38.295959,-85.605761,1700,107.0,20.8
38.299484,-85.604242,1700,105.3,18.3
38.306486,-85.601229,1700,106.0,19.3
38.308954,-85.599976,1700,106.2,22.7
38.31333,-85.597528,1700,107.8,24.7
38.317333,-85.59496,1700,107.3,26.6
38.322372,-85.591619,1700,106.5,28.0
38.324478,-85.5901,1700,105.0,31.0
38.32782,-85.587587,1700,104.7,28.5
38.331711,-85.585074,1700,107.3,26.6
38.334824,-85.583145,1700,102.4,26.1
38.33507,-85.583018,1800,101.1,25.8
38.33757,-85.581509,1900,96.4,22.6
38.339722,-85.580516,1900,95.2,19.0
38.341214,-85.579914,2000,94.6,17.9
38.343542,-85.579018,2000,90.0,14.8
38.34375,-85.578996,2100,89.7,14.2
38.346039,-85.578354,2100,89.8,11.6
38.34708,-85.578182,2100,91.4,5.0
38.347275,-85.578178,2200,91.1,3.1
38.348328,-85.578237,2200,92.3,355.0
38.349152,-85.57847,2200,91.0,348.0
38.350204,-85.578879,2300,91.4,342.2
38.353912,-85.580516,2300,96.2,343.1
38.355194,-85.580866,2300,96.9,348.7
38.356522,-85.5811,2400,95.5,354.0
38.358765,-85.581227,2400,93.1,357.5
38.359789,-85.581287,2500,92.0,358.8
38.362381,-85.581275,2600,87.0,0.7
38.365747,-85.581287,2700,85.0,359.3
38.369843,-85.581275,2700,87.0,0.7
38.370071,-85.581275,2800,87.0,1.3
38.374283,-85.5811,2900,89.0,1.3
38.379015,-85.580988,3000,90.0,0.0
38.382065,-85.5811,3000,91.1,357.5
38.383577,-85.581227,3100,92.2,356.3
38.387953,-85.581585,3200,94.2,356.4
38.39177,-85.581765,3200,99.0,358.3
38.395541,-85.581824,3200,103.0,0.0
38.396472,-85.581824,3300,105.0,1.1
38.399048,-85.581626,3200,109.2,3.7
38.400522,-85.581466,3300,110.5,5.2
38.404175,-85.581159,3300,113.2,3.0
38.406481,-85.581108,3200,117.0,0.5
