lat,lon,alt,gs,track
29.184994,-81.053628,-75,61.4,161.0
29.183551,-81.053036,-25,59.8,159.4
29.181839,-81.05227,25,64.1,157.0
29.179413,-81.05116,100,68.2,157.6
29.178543,-81.050632,150,67.6,150.8
29.178012,-81.050236,175,67.2,143.5
29.177686,-81.049805,200,66.6,131.4
29.177353,-81.049312,200,66.6,125.8
29.177124,-81.048836,200,66.2,116.9
29.176941,-81.048189,225,66.1,110.3
29.17662,-81.046882,275,66.5,105.7
29.176103,-81.044742,325,67.7,102.8
29.175476,-81.041547,400,69.4,105.0
29.174939,-81.038926,475,69.6,102.4
29.174332,-81.035684,550,70.4,101.5
29.173729,-81.032248,625,73.4,101.0
29.173217,-81.029663,675,77.1,103.5
29.172565,-81.02697,750,81.0,105.8
29.172332,-81.026001,800,81.6,107.1
29.171727,-81.023901,900,84.1,108.0
29.17099,-81.021371,1000,85.7,109.1
29.170703,-81.020508,1050,84.2,110.2
29.170563,-81.020077,1075,82.9,109.8
29.170074,-81.018465,1175,78.1,108.7
29.169708,-81.017092,1250,74.3,107.2
29.169113,-81.01461,1325,71.3,104.6
29.168375,-81.011137,1400,74.2,104.0
29.167831,-81.008641,1500,73.8,102.5
29.167191,-81.005472,1575,73.2,104.2
29.166367,-81.00225,1650,73.8,105.7
29.165536,-80.998643,1725,76.2,103.7
29.16493,-80.995304,1800,76.5,101.3
29.164352,-80.992162,1900,74.5,101.6
29.163757,-80.988887,1975,75.7,102.2
29.163022,-80.985179,2050,76.9,102.8
29.162704,-80.983922,2075,76.5,107.5
29.16237,-80.983079,2100,76.6,113.9
29.162044,-80.982433,2100,75.8,121.0
29.161625,-80.981786,2125,75.3,129.6
29.160919,-80.980964,2150,75.7,135.5
29.160141,-80.980277,2200,76.2,141.9
29.158905,-80.979274,2225,77.7,145.5
29.157249,-80.978124,2275,78.0,149.2
29.155472,-80.977003,2325,78.3,151.8
29.154236,-80.976316,2375,79.7,156.3
29.152267,-80.975471,2425,81.0,159.8
29.149615,-80.974462,2525,79.4,160.9
29.146591,-80.973253,2600,81.3,161.3
29.143616,-80.972143,2600,85.4,161.6
29.141418,-80.971298,2575,90.1,160.6
29.133499,-80.968076,2575,94.6,160.2
29.129271,-80.96633,2575,95.6,158.5
29.127363,-80.965307,2575,95.3,154.5
29.120147,-80.961376,2575,96.2,153.4
29.11235,-80.956826,2575,96.6,152.9
29.104431,-80.952389,2575,97.0,153.7
29.100269,-80.949958,2575,95.3,151.8
29.092542,-80.945273,2575,97.1,152.4
29.087328,-80.942203,2575,92.1,152.9
29.084907,-80.940695,2575,90.1,150.0
29.08365,-80.93978,2575,88.2,144.7
29.08123,-80.937626,2575,86.2,142.1
29.075131,-80.932186,2575,84.8,142.2
29.070057,-80.927663,2575,87.8,142.9
29.065541,-80.923731,2575,90.4,141.7
29.060394,-80.919166,2575,88.4,142.4
29.057814,-80.916999,2575,86.8,144.9
29.0526,-80.91296,2575,87.1,145.8
29.047119,-80.908813,2600,85.1,146.5
29.044733,-80.907144,2650,86.1,149.3
29.042498,-80.905636,2700,88.0,148.5
29.039978,-80.903849,2650,91.3,147.5
29.036407,-80.90126,2575,94.9,147.5
29.033249,-80.898989,2575,93.0,148.2
29.030813,-80.897342,2575,89.1,151.1
29.0283,-80.895888,2600,89.4,153.4
29.024901,-80.894057,2600,90.4,155.1
29.022263,-80.892757,2625,91.9,157.6
29.019641,-80.891634,2600,92.4,160.4
29.017453,-80.890826,2600,92.7,161.8
29.016724,-80.890697,2600,93.9,172.0
29.016037,-80.890697,2600,96.1,182.4
29.015305,-80.890908,2600,98.5,192.9
29.014618,-80.891225,2575,101.0,201.5
29.014023,-80.891595,2575,103.6,210.8
29.013519,-80.89207,2575,106.7,218.9
29.012937,-80.892819,2550,109.0,228.0
29.012518,-80.893519,2550,110.8,233.4
29.012146,-80.894327,2575,113.1,243.2
29.011368,-80.896084,2575,111.5,240.4
29.010864,-80.896824,2575,108.4,232.5
29.010361,-80.897352,2575,105.4,224.6
29.009632,-80.897989,2575,102.7,215.1
29.00898,-80.898366,2600,99.4,203.7
29.008347,-80.898619,2600,98.1,200.3
29.007491,-80.898797,2575,95.5,190.2
29.007019,-80.898831,2600,94.2,183.6
29.006332,-80.898778,2575,91.4,175.0
29.005675,-80.898581,2600,88.5,166.3
29.005024,-80.898258,2600,86.7,159.1
29.004135,-80.897774,2600,84.1,151.6
29.002579,-80.896929,2600,84.2,156.2
29.00102,-80.896212,2600,85.1,160.1
28.999158,-80.895565,2600,87.4,164.1
28.998093,-80.895239,2625,87.8,165.5
28.993711,-80.893896,2650,90.5,164.0
28.990127,-80.892603,2675,89.5,161.8
28.988068,-80.891859,2650,91.7,161.6
28.985332,-80.89088,2625,96.2,163.1
28.982849,-80.890063,2625,97.7,166.4
28.982166,-80.890018,2625,99.1,177.7
28.981608,-80.890018,2600,99.0,181.7
28.981142,-80.89018,2600,100.6,190.3
28.980927,-80.890274,2625,103.4,198.6
28.980258,-80.890611,2625,105.6,205.8
28.979828,-80.891014,2625,107.2,210.9
28.979653,-80.891203,2625,111.7,224.3
28.979141,-80.891964,2600,115.8,233.4
28.978867,-80.892915,2575,119.8,247.9
28.978768,-80.893465,2575,123.5,264.9
28.978861,-80.894488,2550,124.8,276.4
28.979094,-80.895134,2550,124.6,287.3
28.979373,-80.895673,2575,124.4,297.8
28.979932,-80.896373,2575,124.2,307.1
28.980909,-80.897019,2550,123.8,317.3
28.981155,-80.897141,2575,121.5,337.2
28.981705,-80.897246,2575,119.6,346.0
28.982254,-80.897299,2575,118.4,351.2
28.982865,-80.897181,2575,114.5,5.5
28.98349,-80.896982,2575,111.0,18.9
28.983889,-80.89675,2575,108.7,26.8
28.984451,-80.89619,2575,105.0,40.4
28.984818,-80.895556,2575,102.3,56.2
28.984955,-80.895028,2575,101.8,67.5
28.985046,-80.894183,2550,101.0,73.9
28.984955,-80.893707,2550,99.7,96.9
28.984773,-80.893142,2550,99.7,96.9
28.984308,-80.892496,2550,100.4,128.1
28.983935,-80.892172,2550,100.4,128.1
28.983749,-80.892065,2550,101.2,147.1
28.983144,-80.891795,2550,103.5,159.6
28.98262,-80.891647,2575,102.9,164.2
28.981613,-80.89133,2550,103.3,165.4
28.978442,-80.890341,2575,98.5,164.7
28.974655,-80.88927,2575,93.9,165.8
28.970306,-80.88795,2575,91.0,165.4
28.969437,-80.887844,2575,92.4,174.4
28.968933,-80.887844,2575,94.0,181.2
28.968063,-80.888161,2575,96.3,189.6
28.967642,-80.888456,2575,99.4,208.9
28.967177,-80.888995,2575,102.7,222.2
28.96699,-80.889318,2575,106.3,238.9
28.966736,-80.890116,2575,108.9,249.6
28.96669,-80.890697,2575,111.5,260.7
28.966804,-80.89158,2550,113.1,272.0
28.966965,-80.89207,2550,114.8,286.7
28.967177,-80.892549,2550,115.4,297.9
28.967549,-80.893034,2550,115.9,309.0
28.967968,-80.893411,2550,114.9,324.9
28.968658,-80.89376,2525,112.5,337.5
28.969225,-80.893788,2525,109.3,351.0
28.969482,-80.89376,2525,107.0,359.5
28.96997,-80.893626,2525,102.6,12.9
28.970249,-80.893411,2550,99.7,25.5
28.970621,-80.893088,2525,96.7,39.1
28.970856,-80.892598,2525,93.2,54.6
28.970947,-80.892176,2525,89.8,71.2
28.970901,-80.891542,2525,86.5,100.7
28.970668,-80.891095,2525,85.9,114.8
28.970398,-80.890855,2525,85.6,132.6
28.970078,-80.890591,2525,86.2,142.1
28.969894,-80.890538,2525,88.3,160.1
28.969039,-80.890341,2550,88.6,168.9
28.968292,-80.890168,2525,87.9,168.2
28.967789,-80.889957,2525,86.0,160.3
28.967468,-80.889693,2500,83.2,151.3
28.967223,-80.889426,2500,80.9,140.0
28.96701,-80.889165,2500,77.7,121.8
28.966851,-80.888672,2550,76.5,115.6
28.966851,-80.888456,2575,75.0,103.1
28.966897,-80.888026,2575,74.2,93.9
28.96701,-80.887739,2600,74.0,73.5
28.967148,-80.887369,2625,77.1,56.1
28.967549,-80.886895,2625,79.9,44.5
28.967689,-80.886841,2600,83.5,34.3
28.96834,-80.886518,2600,87.2,25.1
28.968842,-80.886471,2575,94.1,8.6
28.969783,-80.886679,2550,99.5,350.2
28.970202,-80.886949,2550,103.8,328.0
28.970764,-80.887527,2550,103.8,328.0
28.970994,-80.887918,2550,106.6,306.2
28.971222,-80.888848,2550,106.2,278.7
