lat,lon,alt,gs,track
38.735605,-90.311646,2725,179.9,98.3
38.735372,-90.309265,2825,182.0,98.5
38.735092,-90.307259,2925,183.0,98.5
38.734863,-90.305109,3025,184.8,98.1
38.734589,-90.302423,3125,188.7,97.6
38.734314,-90.299795,3225,191.5,97.2
38.734022,-90.296936,3325,194.5,97.1
38.733789,-90.294373,3425,196.5,97.0
38.73351,-90.291626,3525,199.6,97.2
38.733277,-90.289001,3625,201.6,97.1
38.732952,-90.286133,3725,204.7,97.3
38.732672,-90.283203,3825,207.9,97.7
38.732391,-90.280629,3925,210.0,97.9
38.732025,-90.277405,4025,213.3,98.4
38.731648,-90.274231,4125,216.4,98.5
38.731339,-90.271553,4225,218.5,98.7
38.730881,-90.267911,4325,221.6,98.8
38.730577,-90.265442,4425,223.8,99.0
38.730148,-90.262179,4525,227.0,99.4
38.729736,-90.258955,4625,230.2,99.5
38.729324,-90.255671,4725,232.1,99.4
38.728855,-90.252136,4825,235.3,99.5
38.728409,-90.248984,4925,237.4,99.7
38.72797,-90.245483,5025,240.5,99.8
38.727458,-90.241821,5125,242.5,99.7
38.727081,-90.238833,5225,244.6,99.9
38.726667,-90.23584,5325,245.6,99.8
38.726155,-90.232361,5425,247.8,100.0
38.725736,-90.229187,5525,249.9,100.1
38.725224,-90.225647,5625,251.9,100.1
38.724619,-90.221191,5725,254.8,99.9
38.724107,-90.217285,5825,257.8,99.8
38.723602,-90.213517,5925,260.6,99.5
38.723082,-90.209717,6025,262.5,99.4
38.722617,-90.206055,6125,264.2,98.9
38.722245,-90.202942,6225,265.2,98.9
38.721919,-90.200134,6325,266.0,98.7
38.7215,-90.196411,6425,266.9,98.4
38.72113,-90.193455,6525,267.9,98.4
38.720764,-90.19029,6600,269.3,99.0
38.720306,-90.187126,6700,268.9,100.9
38.719684,-90.183594,6800,268.8,102.9
38.719079,-90.180481,6900,269.2,104.2
38.718427,-90.177429,7000,269.5,105.3
38.717031,-90.171326,7200,269.2,106.6
38.715683,-90.165631,7400,270.4,107.4
38.714035,-90.159242,7575,270.7,108.3
38.712562,-90.153625,7775,272.0,109.1
38.710739,-90.147121,7975,272.0,109.8
38.708817,-90.140494,8175,273.4,110.6
38.706882,-90.133972,8375,274.5,111.1
38.704697,-90.12682,8575,275.2,111.5
38.702786,-90.120667,8775,275.2,111.5
38.700851,-90.114461,8975,275.6,111.7
38.698975,-90.10843,9175,276.1,111.4
38.697153,-90.102478,9350,277.1,111.4
38.695244,-90.096375,9550,277.1,111.4
38.693069,-90.089204,9750,278.9,111.2
38.690961,-90.082275,9950,279.5,111.0
38.688812,-90.074994,10150,280.1,110.7
38.686523,-90.067232,10350,282.0,110.6
38.68477,-90.061096,10525,282.2,110.1
38.684491,-90.060181,10550,282.2,110.1
38.682675,-90.053894,10725,283.1,110.0
38.68072,-90.046936,10925,283.7,109.8
38.678485,-90.039001,11125,286.0,109.8
38.676251,-90.031067,11325,286.9,109.8
