lat,lon,alt,gs,track,vs
38.804735,-76.066711,0,54.4,212.2,704
38.803292,-76.067871,0,53.0,211.9,704
38.803152,-76.067993,0,61.6,215.8,-128
38.802733,-76.068481,0,64.4,225.6,64
38.802155,-76.069455,0,69.0,231.5,128
38.800598,-76.071903,100,72.8,232.8,640
38.799009,-76.074646,200,71.8,231.2,640
38.797101,-76.077454,200,72.3,229.5,512
38.796753,-76.077994,300,73.7,228.3,448
38.79451,-76.081098,400,73.6,227.2,768
38.792352,-76.083984,500,74.3,225.6,448
38.791002,-76.085693,500,79.2,224.0,192
38.789745,-76.087158,500,83.6,221.1,192
38.788055,-76.08898,500,86.2,217.9,320
38.785602,-76.091248,500,88.2,215.3,256
38.784897,-76.091846,600,88.5,214.4,192
38.783693,-76.092896,500,89.3,214.1,-128
38.782669,-76.093872,500,91.1,218.8,-192
38.780761,-76.096069,500,94.2,222.0,-64
38.774277,-76.103609,500,97.7,221.7,64
38.767685,-76.111012,500,97.7,221.7,-192
38.764526,-76.114774,500,99.0,223.4,-64
38.75809,-76.122742,500,98.4,222.9,-64
38.755017,-76.126404,500,97.1,221.2,256
38.753714,-76.127686,500,98.8,215.9,-320
38.752457,-76.128662,500,100.3,209.9,128
38.749803,-76.130493,600,97.5,208.1,320
38.742645,-76.135552,600,96.6,207.1,192
38.737653,-76.138611,600,97.5,205.5,-128
38.733856,-76.141046,600,98.0,207.4,128
38.728064,-76.14502,600,95.8,208.7,128
38.723007,-76.148688,600,97.2,210.3,-64
38.719312,-76.151611,600,97.9,212.1,128
38.715775,-76.15448,700,93.2,213.2,192
38.7134,-76.156555,700,89.6,215.5,320
38.711288,-76.1586,700,90.4,218.3,-64
38.709091,-76.160988,700,91.4,221.0,0
38.707068,-76.163269,700,91.2,223.7,64
38.705154,-76.165765,700,92.7,226.3,128
38.703415,-76.168213,700,88.6,229.1,384
38.703251,-76.168457,800,88.0,229.6,384
38.699112,-76.174721,800,89.3,228.6,192
38.697898,-76.176331,800,90.5,225.0,64
38.696915,-76.177408,800,91.6,220.1,-64
38.696175,-76.178101,800,93.7,213.7,0
38.695198,-76.178772,800,94.8,206.3,64
38.694351,-76.17914,800,94.9,198.4,192
38.693522,-76.179382,800,95.7,190.8,128
38.692795,-76.179438,800,95.0,178.8,512
38.692429,-76.179319,800,94.4,170.2,640
38.691742,-76.17902,800,94.7,158.3,320
38.691193,-76.178662,800,95.0,149.7,-64
38.690735,-76.178184,800,95.8,139.7,-320
38.690277,-76.177587,800,96.3,137.5,-320
38.689891,-76.176941,800,97.8,127.1,-576
38.689545,-76.176154,800,97.9,122.1,-512
38.689332,-76.175354,800,97.7,109.7,0
38.689286,-76.174805,800,94.6,96.7,384
38.689453,-76.17293,800,91.7,83.1,128
38.689751,-76.17218,800,90.1,72.6,-64
38.690123,-76.171448,800,87.3,50.1,-128
38.690826,-76.17084,800,85.4,38.3,-192
38.691101,-76.170654,800,85.4,38.3,-192
38.69133,-76.170542,800,83.8,17.4,-256
38.691939,-76.170471,800,84.0,8.9,-320
38.692337,-76.170482,800,83.2,355.9,-384
38.692886,-76.170721,800,82.6,343.1,-64
38.693429,-76.171021,800,82.9,330.3,-256
38.693894,-76.171448,800,83.2,321.3,-128
38.694127,-76.171814,800,83.5,312.1,64
38.694305,-76.172213,800,82.7,304.6,512
38.694453,-76.172607,800,82.9,293.5,192
38.694534,-76.173348,800,83.2,283.2,320
38.694534,-76.173825,800,84.1,267.3,0
38.694453,-76.174255,800,85.4,256.5,384
38.694168,-76.17496,800,85.4,249.4,320
38.693941,-76.175354,800,88.4,232.4,128
38.693661,-76.175659,800,89.4,216.4,0
38.693298,-76.175915,800,90.6,210.5,-192
38.69273,-76.176208,800,92.3,197.6,128
38.692079,-76.176331,800,93.3,184.9,64
38.691193,-76.176214,800,93.4,167.0,320
38.690552,-76.175915,800,93.8,158.1,192
38.690077,-76.175537,800,94.6,146.6,-256
38.688634,-76.174133,800,99.0,142.0,-384
38.687714,-76.173169,800,100.3,141.1,-128
38.687073,-76.172452,800,101.2,133.0,-192
38.685887,-76.169617,800,99.4,118.9,128
38.685745,-76.169049,800,98.2,104.7,-256
38.685608,-76.167198,800,97.9,97.6,-192
38.685654,-76.166382,800,97.9,97.6,-192
38.685699,-76.165765,800,94.4,84.5,448
38.685794,-76.165039,800,90.5,76.6,448
38.686066,-76.163974,800,89.2,70.3,256
38.686446,-76.162964,800,87.7,62.8,0
38.68689,-76.162003,800,87.7,57.6,-192
38.687531,-76.160928,800,87.5,51.0,-256
38.688215,-76.160034,800,87.7,44.1,-128
38.689146,-76.158997,800,87.6,38.0,-128
38.690123,-76.158203,800,87.7,32.4,-64
38.691284,-76.157346,800,87.2,28.0,-128
38.692337,-76.156689,800,88.1,24.8,-64
38.697372,-76.153763,800,88.1,26.3,64
38.702227,-76.150696,800,85.4,27.2,64
38.708405,-76.146539,900,85.4,27.2,128
38.711119,-76.144897,800,87.2,26.6,-64
38.712981,-76.143616,800,88.7,29.7,-64
38.715134,-76.141882,800,90.4,32.8,-64
38.717514,-76.139792,800,91.8,35.2,-64
38.723465,-76.134358,900,91.3,34.7,64
38.724991,-76.132996,800,91.5,33.9,-192
38.728729,-76.13,800,91.3,32.5,192
38.730252,-76.128845,900,89.7,30.9,128
38.732346,-76.127372,900,90.4,27.7,-64
38.734222,-76.125999,900,91.1,31.1,-64
38.74086,-76.120625,900,90.2,31.4,64
38.742828,-76.118954,900,90.7,34.2,0
38.746312,-76.115967,900,94.0,32.8,-192
38.748779,-76.113953,800,94.0,32.8,-128
38.751014,-76.111938,800,93.8,35.9,-128
38.751991,-76.111023,900,93.6,36.8,128
38.753528,-76.109497,800,93.2,38.5,0
38.755234,-76.107788,900,92.3,39.7,0
38.758788,-76.103943,900,89.3,41.4,0
38.76051,-76.101868,900,91.2,44.6,-64
38.762373,-76.099365,900,92.0,46.8,0
38.764002,-76.097229,900,91.2,43.7,0
38.765762,-76.095249,900,91.4,41.0,0
38.767726,-76.093201,900,91.2,37.9,128
38.77121,-76.089935,900,93.6,36.8,-192
38.774872,-76.086472,900,93.2,38.5,-64
38.776571,-76.084595,900,92.8,41.9,64
38.778214,-76.08283,900,91.8,38.4,192
38.78225,-76.078918,900,92.3,39.7,0
38.784066,-76.076843,900,92.0,43.2,128
38.785835,-76.074829,900,89.4,40.5,256
38.787552,-76.073038,900,89.2,37.3,192
38.788239,-76.072441,900,90.4,35.1,192
38.788376,-76.072321,900,91.3,34.7,-448
38.790802,-76.070351,900,93.0,31.8,-192
38.793686,-76.068022,800,96.6,31.9,-320
38.795844,-76.066406,800,92.7,29.0,-320
38.796076,-76.066284,900,92.7,29.0,320
38.799911,-76.063664,900,90.4,27.7,128
38.803024,-76.061693,900,88.6,25.4,128
38.810275,-76.05719,900,89.1,24.5,-64
38.816711,-76.053454,900,90.8,25.4,-64
38.821014,-76.050588,900,89.9,27.1,64
38.828244,-76.045837,900,90.8,26.9,0
38.830032,-76.044856,900,91.0,22.6,0
38.832458,-76.043661,900,90.5,20.0,64
38.835646,-76.042297,900,89.2,17.6,64
38.842489,-76.03949,900,90.4,18.0,0
38.848892,-76.036675,900,91.1,19.2,0
38.851799,-76.035217,900,91.6,21.8,-64
38.858597,-76.0316,900,91.0,22.6,-64
38.863403,-76.028913,900,90.9,24.0,-64
38.868046,-76.026245,1000,89.1,24.5,64
38.874252,-76.022525,1000,87.7,24.2,64
38.881639,-76.018188,1000,90.0,24.3,192
38.885834,-76.015957,1000,88.8,22.5,128
38.88858,-76.014583,1000,88.0,21.3,192
38.889926,-76.014038,1000,86.0,17.6,128
38.891556,-76.013449,1000,86.6,14.0,64
38.893021,-76.01315,1000,87.0,8.6,-64
38.89486,-76.012939,1000,88.3,4.6,0
38.897374,-76.012634,1000,89.7,7.1,-128
38.899567,-76.012195,1000,90.3,9.6,64
38.902402,-76.011475,1000,90.0,12.2,64
38.906937,-76.010165,1000,89.5,13.6,0
38.911386,-76.008667,1000,90.3,15.4,64
38.913437,-76.007836,1000,89.8,18.8,64
38.914764,-76.007239,1100,89.2,19.6,128
38.91916,-76.005066,1100,89.0,21.1,64
38.923553,-76.002821,1100,87.8,22.8,0
38.925771,-76.001526,1100,89.9,25.7,-192
38.927028,-76.000732,1000,91.2,27.4,-128
38.929495,-75.999084,1100,89.5,28.0,128
38.933824,-75.996033,1100,89.6,29.4,64
38.940903,-75.990879,1100,88.2,29.2,64
38.94779,-75.985901,1100,86.0,29.2,64
38.950583,-75.984009,1100,86.3,26.9,0
38.957147,-75.979797,1100,85.9,26.3,-64
38.962509,-75.976549,1100,85.0,25.1,64
38.965294,-75.974976,1100,84.7,22.9,-64
38.969577,-75.972778,1100,85.8,21.2,-64
38.974915,-75.97016,1100,85.2,22.0,0
38.982099,-75.966309,1100,85.6,22.7,0
38.989288,-75.962458,1100,86.5,22.4,64
38.992676,-75.960607,1100,84.6,24.4,64
38.99707,-75.95792,1100,82.3,25.9,128
39.00342,-75.954041,1100,82.8,25.0,-64
39.007782,-75.951531,1100,85.1,23.5,-128
39.01236,-75.949143,1100,85.2,22.0,-64
39.016754,-75.946874,1100,85.4,20.6,-128
39.019455,-75.94574,1100,86.3,18.2,-64
39.024628,-75.94371,1100,86.7,16.8,0
39.029396,-75.941772,1100,86.3,18.2,64
39.033213,-75.940063,1100,84.2,20.2,0
39.036332,-75.93866,1100,84.1,18.0,64
39.039731,-75.937378,1100,84.2,15.9,0
39.044665,-75.935669,1100,84.6,14.4,64
39.04974,-75.934082,1100,84.2,13.1,0
39.054062,-75.932902,1100,86.7,11.3,0
39.056396,-75.932434,1100,86.8,7.9,-64
39.064403,-75.93103,1100,86.7,7.3,0
39.069397,-75.930096,1100,86.0,8.7,64
39.077112,-75.928528,1100,86.8,7.9,-64
39.083164,-75.927429,1100,87.1,9.2,0
39.088669,-75.926155,1100,86.5,10.7,0
39.093567,-75.924842,1100,84.9,12.2,0
39.095687,-75.924133,1100,85.9,14.9,-64
39.098328,-75.92311,1100,86.0,17.6,-64
39.103592,-75.920961,1100,85.4,18.4,128
39.10675,-75.919468,1100,84.5,20.8,128
39.113283,-75.916382,1100,84.2,20.2,-64
39.117101,-75.914612,1100,86.3,18.2,-64
39.124689,-75.91156,1100,85.1,17.8,128
39.131927,-75.908721,1100,87.0,17.4,-64
39.136734,-75.90681,1100,86.7,18.9,-64
39.138611,-75.905914,1100,86.5,22.4,-64
39.141037,-75.904481,1100,86.3,25.4,-64
39.143728,-75.902771,1100,85.4,27.2,0
39.145432,-75.901615,1100,85.6,30.2,-128
39.14992,-75.898071,1100,85.8,31.6,0
39.151703,-75.89654,1100,85.1,33.5,64
39.153305,-75.895047,1100,85.0,36.9,0
39.159119,-75.889375,1100,86.2,37.9,-64
39.16008,-75.88836,1000,86.8,38.5,-128
39.165939,-75.88227,1100,85.6,37.4,64
39.167953,-75.880359,1000,85.6,37.4,64
39.170543,-75.877625,1000,85.9,39.8,-64
39.172714,-75.875344,1100,84.4,40.7,64
39.1745,-75.87323,1100,84.9,43.1,-64
39.177109,-75.86991,1100,83.4,45.0,192
39.180176,-75.86579,1100,83.5,46.0,64
39.182556,-75.862626,1100,84.2,46.4,0
39.183763,-75.861084,1100,84.2,43.6,0
39.184788,-75.859924,1100,84.6,38.8,0
39.185905,-75.858948,1100,84.6,35.4,0
39.187115,-75.857971,1100,85.2,31.1,0
39.188977,-75.856628,1000,85.9,27.8,0
39.194145,-75.85321,1000,85.0,26.6,0
39.195969,-75.852117,1000,86.0,23.3,-64
39.200569,-75.849548,1000,86.4,23.9,64
39.203339,-75.847878,1100,84.2,23.8,128
39.207458,-75.845669,1100,84.7,22.9,-64
39.209518,-75.844654,1100,84.5,20.8,64
39.216583,-75.841309,1100,82.3,20.6,128
39.222702,-75.838205,1100,84.5,20.8,-128
39.224543,-75.837341,1100,85.7,19.1,-128
39.227509,-75.836115,1000,87.0,17.4,-128
39.230438,-75.834802,1000,86.0,19.7,64
39.232727,-75.833787,1100,85.4,20.6,0
39.238632,-75.83098,1100,85.1,19.9,-64
39.240371,-75.830261,1000,85.4,16.3,0
39.243347,-75.829249,1100,84.9,15.0,64
39.249076,-75.827393,1100,84.4,13.7,-64
39.255175,-75.825562,1100,83.0,12.5,64
39.260605,-75.823995,1100,84.0,12.4,0
39.262204,-75.823364,1100,83.2,16.0,128
39.266098,-75.821785,1100,82.9,17.6,0
39.268799,-75.820591,1100,85.1,19.9,-64
39.270863,-75.819519,1100,86.0,23.3,-192
39.27269,-75.818442,1000,87.2,25.1,-192
39.275006,-75.817139,1000,87.5,22.2,-64
39.276535,-75.816471,1000,88.2,17.8,-128
39.278637,-75.815735,1000,88.8,14.4,-128
39.281204,-75.814799,1000,87.9,17.2,-64
39.283722,-75.813725,1000,88.3,19.9,-128
39.285873,-75.81265,1000,88.6,20.5,-128
39.287668,-75.811646,1000,87.7,24.2,128
39.291253,-75.809509,1000,86.9,23.0,-256
39.293115,-75.808655,900,88.3,19.9,-320
39.295944,-75.807396,900,89.2,19.6,64
39.296677,-75.806978,900,86.8,27.5,704
39.297363,-75.806321,1000,86.8,27.5,704
39.297638,-75.806022,1000,82.8,42.5,768
39.298096,-75.805306,1000,80.6,52.6,640
39.298462,-75.804589,1000,81.0,57.1,576
39.298691,-75.803933,1000,81.0,66.0,320
39.298965,-75.802798,1000,81.3,71.3,64
39.299149,-75.801425,1000,83.5,79.0,-64
39.299789,-75.797066,1000,86.4,73.9,-64
39.299973,-75.796529,1000,86.4,73.9,-64
39.300568,-75.795454,1000,85.4,62.8,-64
39.301447,-75.794556,1000,84.9,34.4,-192
39.302078,-75.79414,1000,85.4,25.7,-256
39.302658,-75.793945,1000,85.9,12.1,-320
39.303263,-75.793884,1000,86.5,6.0,-448
39.304092,-75.793961,1000,88.1,356.8,-448
39.304753,-75.79425,1000,89.5,341.8,0
39.305451,-75.794678,1000,89.9,334.3,-64
39.305637,-75.794861,900,89.7,329.1,-192
39.306107,-75.795275,900,90.4,324.9,-128
39.306564,-75.795872,900,91.2,313.7,-192
39.307251,-75.797006,900,91.7,309.2,-320
39.307732,-75.798218,900,95.3,294.1,-448
39.308121,-75.799514,900,96.5,287.5,-384
39.30835,-75.801186,900,97.1,281.9,-640
39.308337,-75.803528,800,97.1,267.6,-640
39.308151,-75.804626,800,97.3,260.5,-640
39.307938,-75.805545,800,97.1,251.4,-576
39.307639,-75.806519,800,97.7,250.3,-704
39.307022,-75.808112,700,99.1,239.0,-832
39.306335,-75.809366,700,98.4,232.4,-640
39.305544,-75.810486,700,97.6,225.0,-704
39.304688,-75.811515,600,97.7,221.7,-832
39.303452,-75.81265,600,98.4,217.6,-960
39.302353,-75.813605,600,98.8,211.8,-832
39.30217,-75.813725,500,98.1,210.0,-896
39.300935,-75.814514,500,98.0,204.7,-896
39.30011,-75.814919,500,97.7,199.7,-896
39.299011,-75.815337,400,97.5,195.5,-960
39.29763,-75.815613,400,98.2,188.8,-1088
39.296327,-75.815735,300,97.6,186.5,-1024
39.295489,-75.815613,300,94.3,175.7,-576
39.293627,-75.815247,300,91.8,172.5,-320
39.292694,-75.814859,300,87.6,166.1,-384
39.291951,-75.814514,300,85.1,160.1,-704
39.291275,-75.814143,200,81.5,150.6,-768
39.290415,-75.813354,200,80.6,142.6,-768
39.289719,-75.81259,200,79.9,135.5,-896
39.289124,-75.811695,100,79.5,129.9,-1024
39.2883,-75.809903,100,79.1,124.7,-1088
39.2883,-75.806679,0,79.1,124.7,-1088
39.289577,-75.804382,-100,68.3,58.2,-960
