lat,lon,alt,gs,track,vs
33.457809,-111.731396,1500,55.6,52.3,0
33.457993,-111.731122,1500,62.5,50.2,0
33.458397,-111.730565,1500,66.0,49.3,0
33.458817,-111.729968,1500,69.0,51.5,192
33.459229,-111.729309,1500,73.4,52.2,256
33.459412,-111.728979,1600,74.2,52.7,320
33.460281,-111.727661,1600,76.2,51.9,640
33.461097,-111.726361,1600,77.0,52.4,1088
33.461283,-111.726024,1700,72.6,51.7,1280
33.462845,-111.723706,1800,74.8,52.1,1216
33.464493,-111.721124,1900,73.4,52.2,896
33.466232,-111.718542,2000,76.8,51.3,832
33.468384,-111.715302,2100,79.8,52.1,576
33.470261,-111.71261,2200,81.7,50.5,768
33.471863,-111.710138,2300,80.3,50.6,832
33.473923,-111.706952,2400,82.5,50.9,640
33.475528,-111.70478,2400,85.0,47.9,768
33.475994,-111.704108,2500,82.9,48.4,832
33.478317,-111.700909,2600,83.1,50.4,896
33.47937,-111.699591,2600,84.2,45.5,640
33.480369,-111.698615,2600,85.7,41.7,768
33.480835,-111.698163,2700,86.1,38.9,640
33.481796,-111.697339,2700,88.2,33.0,640
33.483582,-111.696036,2700,87.8,30.1,640
33.484085,-111.695746,2800,88.6,28.3,640
33.485444,-111.694859,2800,88.2,23.4,704
33.486794,-111.694299,2800,88.3,19.9,704
33.487061,-111.694208,2900,90.1,17.4,704
33.488205,-111.693933,2900,91.6,10.7,512
33.488892,-111.693878,2900,94.1,3.0,448
33.490052,-111.69385,2900,93.0,359.4,448
33.490768,-111.693823,2900,103.0,1.7,0
33.490751,-111.693794,2900,113.4,4.6,0
33.490997,-111.693823,3000,113.4,4.6,0
33.491272,-111.693988,3000,104.0,359.5,0
33.491868,-111.69413,3000,93.1,351.4,0
33.493171,-111.694411,3000,92.4,350.0,448
33.494019,-111.694647,3100,90.6,349.2,768
33.497314,-111.695306,3200,90.4,349.8,640
33.499921,-111.69598,3200,92.4,346.9,640
33.50197,-111.696597,3300,90.8,348.6,768
33.505463,-111.697614,3400,93.2,347.6,576
33.508896,-111.698383,3400,96.5,349.9,384
33.511466,-111.698895,3500,97.7,353.0,448
33.514755,-111.699371,3500,99.7,353.1,512
33.516354,-111.699792,3500,101.4,347.5,320
33.517378,-111.700128,3600,101.7,344.6,320
33.519287,-111.700909,3600,101.5,341.0,576
33.522732,-111.702258,3700,101.8,342.3,448
33.526154,-111.703656,3700,106.6,341.4,192
33.532333,-111.706348,3700,105.3,340.0,0
33.535999,-111.707919,3700,109.2,339.1,-320
33.543168,-111.71133,3700,106.4,338.5,64
33.550291,-111.714821,3700,107.0,339.2,0
33.552525,-111.715679,3700,103.7,342.6,0
33.55632,-111.716944,3700,102.6,344.7,64
33.560672,-111.718483,3700,103.4,343.1,0
33.56556,-111.7202,3700,102.6,344.7,-64
33.569843,-111.72163,3700,101.2,343.4,0
33.573303,-111.723054,3700,104.7,341.0,-320
33.575729,-111.72395,3600,106.6,341.4,-64
33.576453,-111.724262,3700,106.6,343.1,-64
33.580032,-111.725576,3700,102.5,343.0,64
33.589209,-111.729012,3700,105.0,342.3,192
33.590652,-111.729584,3800,102.8,342.5,320
33.591156,-111.729724,3800,99.0,339.9,1024
33.591797,-111.729892,3800,106.2,345.8,512
33.592896,-111.730453,3800,102.5,341.2,-128
33.592886,-111.730499,3800,95.5,329.1,-128
33.593216,-111.730677,3900,95.5,329.1,1216
33.593765,-111.730901,3900,94.9,331.0,2112
33.593771,-111.7309,3900,97.9,338.4,1536
