lat,lon,alt,gs,track
35.426614,-119.041672,-50.0,0.1,0.0
35.426509,-119.041643,-50.0,4.2,0.0
35.426148,-119.041643,-50.0,0.1,0.0
35.426148,-119.041643,-50.0,0.0,0.0
35.426113,-119.0416,-50.0,0.0,0.0
35.426009,-119.041584,-50.0,6.8,0.0
35.425713,-119.041915,-50.0,11.8,0.0
35.425671,-119.042358,-50.0,11.8,0.0
35.425683,-119.042797,-50.0,10.8,0.0
35.425694,-119.043293,-50.0,10.2,0.0
35.425678,-119.043818,-50.0,10.2,0.0
35.425555,-119.044345,-50.0,8.2,0.0
35.425613,-119.044564,-50.0,3.8,0.0
35.425613,-119.04455,-50.0,0.0,0.0
35.425793,-119.044776,-50.0,4.8,0.0
35.42577,-119.045119,-50.0,0.1,0.0
35.425781,-119.045119,-50.0,0.1,0.0
35.425694,-119.045178,-50.0,6.2,0.0
35.425461,-119.045491,-50.0,10.8,0.0
35.425299,-119.045806,-50.0,7.8,0.0
35.425334,-119.045879,-50.0,3.8,0.0
35.425334,-119.045879,-50.0,2.2,0.0
35.42538,-119.045952,-50.0,7.8,0.0
35.425566,-119.046186,-50.0,10.8,0.0
35.425655,-119.046321,-50.0,15.5,0.0
35.425781,-119.046478,-50.0,21.5,0.0
35.425869,-119.046551,-50.0,24.5,0.0
35.425873,-119.046593,600,24.5,315.0
35.426113,-119.0468,600,32.5,315.0
35.4263,-119.047033,600,38.2,315.0
35.426905,-119.047793,600,48.8,315.8
35.427338,-119.048309,600,55.2,315.0
35.428162,-119.049313,600,59.4,315.0
35.429306,-119.050655,600,64.4,316.9
35.430163,-119.051592,700,65.8,315.6
35.432281,-119.054203,800,68.6,314.4
35.434213,-119.056676,900,69.3,313.8
35.436588,-119.059773,900,74.3,313.4
35.436905,-119.060268,1000,75.0,313.9
35.438416,-119.062042,1000,76.4,317.1
35.438828,-119.0625,1100,75.7,317.7
35.44043,-119.064388,1100,73.5,315.0
35.440591,-119.064506,1200,73.6,313.9
35.440704,-119.064732,1100,73.6,313.9
35.44087,-119.064915,1200,74.3,314.5
35.442627,-119.06702,1200,76.4,317.1
35.443359,-119.067879,1300,76.5,318.2
35.444269,-119.068948,1300,75.0,312.8
35.444412,-119.069138,1400,74.4,311.2
35.445014,-119.070116,1400,72.4,305.5
35.445419,-119.070911,1400,71.6,298.4
35.445665,-119.071753,1500,73.2,291.7
35.445898,-119.072571,1500,75.4,284.6
35.445991,-119.073389,1500,77.4,275.9
35.445969,-119.074631,1500,80.0,268.6
35.445945,-119.075201,1600,80.4,264.3
35.445758,-119.076369,1600,82.8,258.1
35.445479,-119.07748,1600,85.1,250.1
35.445053,-119.078465,1600,87.2,242.0
35.444408,-119.0797,1600,90.7,235.8
35.443726,-119.080753,1600,93.7,230.2
35.442764,-119.081955,1600,98.3,224.6
35.442081,-119.082681,1700,99.2,221.7
35.440109,-119.084644,1700,102.5,218.7
35.438873,-119.085732,1700,104.6,213.7
35.43782,-119.086533,1700,105.5,207.1
35.436867,-119.086947,1700,105.7,200.5
35.435703,-119.087356,1700,106.2,194.2
35.434493,-119.087589,1700,106.8,187.0
35.433329,-119.087589,1800,108.0,178.9
35.431961,-119.087505,1800,108.9,172.6
35.43035,-119.087063,1800,109.7,167.4
35.428848,-119.086533,1800,109.4,161.9
35.427383,-119.085789,1800,110.2,156.5
35.425974,-119.084843,1800,112.0,150.0
35.424683,-119.083843,1800,110.7,145.3
35.42346,-119.082681,1800,109.3,140.2
35.422577,-119.081669,1700,107.6,137.3
35.420975,-119.079666,1700,108.9,133.5
35.420108,-119.078531,1600,109.0,132.8
35.41745,-119.074917,1600,104.1,131.5
35.416489,-119.073601,1500,102.7,132.2
35.413684,-119.07,1500,101.8,134.2
35.412753,-119.068889,1400,100.4,135.8
35.408157,-119.06353,1300,99.8,137.0
35.407958,-119.063279,1400,99.0,136.6
35.406738,-119.061813,1400,94.8,135.9
35.403168,-119.057751,1400,89.8,136.4
35.401382,-119.055634,1400,88.4,133.6
35.400879,-119.05489,1400,86.3,124.6
35.400463,-119.053929,1400,86.3,116.9
35.400192,-119.053116,1300,86.0,109.7
35.400009,-119.052143,1400,85.7,101.4
35.399951,-119.051475,1300,84.6,96.8
35.399963,-119.050426,1300,84.1,87.9
35.400055,-119.049511,1300,83.4,79.6
35.40023,-119.048787,1300,83.2,74.0
35.40051,-119.047968,1300,82.9,66.5
35.400835,-119.047267,1300,82.0,60.0
35.40158,-119.045982,1300,81.8,55.0
35.402664,-119.044304,1300,82.5,50.9
35.403259,-119.043446,1200,80.8,49.0
35.404839,-119.041248,1200,77.8,46.0
35.406143,-119.039726,1200,75.0,42.8
35.406784,-119.039097,1200,75.2,35.8
35.407516,-119.038525,1200,75.8,31.0
35.408191,-119.038151,1200,76.6,23.9
35.408844,-119.037952,1200,76.7,15.1
35.409393,-119.037781,1100,76.3,10.6
35.410332,-119.037683,1100,76.3,5.3
35.411224,-119.037666,1100,78.0,358.5
35.411449,-119.037683,1000,78.2,356.3
35.412474,-119.037859,1000,79.1,350.5
35.413696,-119.038239,1000,78.9,344.5
35.414848,-119.038677,1000,77.5,340.4
35.415939,-119.039268,1000,77.0,335.4
35.41658,-119.039726,900,77.8,332.5
35.417501,-119.040372,900,79.1,327.9
35.418339,-119.041131,900,77.6,321.8
35.419317,-119.042183,900,78.5,316.5
35.419876,-119.042931,800,78.5,315.5
35.420853,-119.044053,800,75.0,315.0
35.422529,-119.04604,700,70.7,315.0
35.424484,-119.048378,600,67.9,313.8
35.42601,-119.050255,600,64.4,315.6
35.426858,-119.051241,600,60.1,314.3
35.42751,-119.052059,500,55.9,315.7
35.428022,-119.052643,500,52.3,315.0
35.429139,-119.054046,500,43.1,315.9
35.429993,-119.055061,500,28.3,315.0
35.43013,-119.055233,500,28.3,315.0
35.43013,-119.055229,500,9.2,40.6
35.431548,-119.055332,-50.0,4.8,0.0
35.43163,-119.055215,-50.0,3.2,0.0
35.433128,-119.053345,-50.0,8.2,0.0
35.433083,-119.05303,-50.0,11.8,0.0
35.432819,-119.05273,-50.0,16.5,0.0
35.432538,-119.052381,-50.0,19.5,0.0
35.432235,-119.051986,-50.0,21.5,0.0
35.431967,-119.051679,-50.0,22.5,0.0
35.431686,-119.051342,-50.0,23.5,0.0
35.431412,-119.051027,-50.0,22.5,0.0
35.431034,-119.050555,-50.0,22.5,0.0
35.430782,-119.050226,-50.0,21.5,0.0
35.430462,-119.049869,-50.0,21.5,0.0
35.430141,-119.049497,-50.0,20.5,0.0
35.429838,-119.049108,-50.0,20.5,0.0
35.429535,-119.048743,-50.0,20.5,0.0
35.429291,-119.048451,-50.0,20.5,0.0
35.428778,-119.047808,-50.0,19.5,0.0
35.428546,-119.04753,-50.0,19.5,0.0
35.428231,-119.047165,-50.0,19.5,0.0
35.427917,-119.046785,-50.0,19.5,0.0
35.427635,-119.04645,-50.0,20.5,0.0
35.427394,-119.046128,-50.0,20.5,0.0
35.427074,-119.045777,-50.0,20.5,0.0
35.426765,-119.04542,-50.0,20.5,0.0
35.426462,-119.045032,-50.0,20.5,0.0
35.426265,-119.044784,-50.0,20.5,0.0
35.425927,-119.044375,-50.0,16.5,0.0
35.425706,-119.044082,-50.0,12.2,0.0
35.425671,-119.043556,-50.0,10.8,0.0
35.425667,-119.043031,-50.0,11.2,0.0
35.425667,-119.042516,-50.0,11.8,0.0
35.425655,-119.041972,-50.0,11.2,0.0
35.425655,-119.0415,-50.0,10.8,0.0
35.425701,-119.041014,-50.0,7.2,0.0
35.42609,-119.041014,-50.0,3.8,0.0
35.426137,-119.041219,-50.0,0.1,0.0
