lat,lon,alt,gs,track
40.65873,-75.431412,-50.0,38.5,0.0
40.656862,-75.434439,150,64.7,230.6
40.656071,-75.435749,175,67.6,231.6
40.655652,-75.436436,200,73.2,231.1
40.653697,-75.439495,300,75.9,229.8
40.651835,-75.442304,375,79.4,229.1
40.651043,-75.443552,400,83.9,230.8
40.648995,-75.446861,500,88.2,231.4
40.647086,-75.450044,600,89.6,231.3
40.644992,-75.453415,700,90.1,229.9
40.642548,-75.457397,775,93.2,231.5
40.640808,-75.460449,825,95.8,233.5
40.64003,-75.462036,850,97.8,239.2
40.638382,-75.465881,950,98.1,240.0
40.636473,-75.470207,1025,99.5,239.8
40.635681,-75.472107,1050,100.6,243.4
40.635269,-75.473572,1075,101.2,249.8
40.634983,-75.475075,1100,101.6,256.9
40.634843,-75.476511,1125,100.4,264.9
40.634843,-75.477884,1150,100.0,269.4
40.634903,-75.47937,1175,99.6,276.3
40.635132,-75.480774,1200,98.8,281.1
40.635498,-75.482239,1225,97.1,288.6
40.636002,-75.483887,1250,96.7,294.4
40.636705,-75.485438,1300,95.9,300.0
40.637404,-75.486811,1325,95.2,306.0
40.638288,-75.488122,1350,94.8,312.4
40.639219,-75.489245,1400,92.9,318.9
40.640104,-75.490119,1425,92.4,324.2
40.641081,-75.490868,1450,91.3,331.2
40.642181,-75.491577,1500,90.5,336.5
40.64313,-75.491992,1525,89.2,342.4
40.64415,-75.49231,1550,89.1,347.7
40.646202,-75.492741,1600,88.0,351.5
40.648956,-75.493164,1700,86.5,354.0
40.652344,-75.493591,1800,84.5,353.9
40.655745,-75.494114,1900,83.6,353.1
40.658936,-75.494629,1975,83.7,352.5
40.661937,-75.495175,2075,83.9,351.8
40.665381,-75.4958,2150,84.9,351.9
40.668594,-75.496399,2225,85.2,350.5
40.671945,-75.497111,2300,87.0,351.4
40.675809,-75.497922,2375,89.1,351.0
40.68093,-75.499046,2450,92.2,350.6
40.68457,-75.499817,2525,92.1,351.2
40.688232,-75.500549,2600,93.1,351.4
40.692382,-75.501293,2650,94.6,353.3
40.69455,-75.501526,2675,97.1,357.0
40.695734,-75.50148,2650,99.0,1.2
40.696897,-75.501355,2650,101.7,6.8
40.698166,-75.500977,2675,103.6,12.8
40.69969,-75.500357,2675,104.7,19.0
40.701134,-75.499545,2675,106.9,24.9
40.702698,-75.498413,2675,108.0,30.6
40.704066,-75.497173,2675,109.6,35.7
40.705215,-75.495911,2675,112.7,41.0
40.705948,-75.494934,2675,114.6,45.0
40.706999,-75.49324,2675,117.3,50.9
40.707837,-75.49168,2675,119.3,57.0
40.70942,-75.488122,2675,120.1,60.0
40.712865,-75.479944,2675,123.1,61.3
40.714913,-75.474701,2650,126.1,63.6
40.717706,-75.467023,2650,128.0,65.0
40.722656,-75.452637,2625,131.6,65.8
40.727554,-75.438049,2625,131.6,65.8
40.73251,-75.423577,2625,129.9,66.4
