lat,lon,alt,gs,track
38.018372,-78.477153,975,102.9,116.6
38.016885,-78.473551,1075,102.9,117.8
38.014976,-78.469072,1150,105.2,119.0
38.013673,-78.466266,1175,108.8,122.2
38.01195,-78.463042,1200,110.4,125.4
38.009809,-78.459519,1225,111.8,128.1
38.007156,-78.455459,1225,114.2,130.4
38.0052,-78.452712,1225,116.7,133.3
38.002167,-78.448869,1200,118.1,135.3
37.99738,-78.442741,1200,118.1,134.0
37.993698,-78.437708,1225,118.9,132.3
37.991002,-78.433785,1250,121.3,130.6
37.989512,-78.431695,1250,122.5,132.0
37.989075,-78.431104,1250,123.2,132.4
37.984904,-78.425067,1225,122.7,130.7
37.980789,-78.418715,1250,122.3,129.0
37.973557,-78.407612,1225,122.9,129.4
37.966562,-78.396646,1225,122.4,128.4
37.959533,-78.385421,1225,123.2,128.1
37.952829,-78.374674,1225,124.5,128.8
37.94577,-78.363901,1225,125.0,129.8
37.9384,-78.352797,1225,125.0,129.8
37.931229,-78.341774,1250,125.7,129.5
37.923752,-78.330416,1225,125.0,129.8
37.918121,-78.321767,1225,123.7,129.1
37.915494,-78.317413,1250,122.2,126.7
37.908875,-78.305989,1225,124.2,127.2
37.903473,-78.297281,1225,123.8,128.4
37.896454,-78.286007,1250,124.0,127.8
37.889374,-78.2749,1225,124.5,128.8
37.882396,-78.263855,1225,124.5,128.8
37.875137,-78.25246,1250,124.5,128.8
37.868011,-78.241345,1250,125.1,129.2
37.860888,-78.230299,1250,125.1,129.2
37.853999,-78.219671,1250,123.8,128.4
37.846848,-78.208222,1250,125.9,128.9
37.839478,-78.196768,1250,125.9,128.9
37.832245,-78.185548,1250,125.1,129.2
37.82495,-78.174352,1225,123.8,128.4
37.819748,-78.165621,1250,124.2,127.2
37.815582,-78.1589,1225,125.3,128.5
37.808258,-78.147505,1250,124.5,128.8
37.801163,-78.136343,1250,123.7,129.1
37.794067,-78.125532,1225,121.5,129.3
37.787384,-78.115189,1250,120.9,129.0
37.780472,-78.104144,1250,121.7,128.7
37.773697,-78.093742,1225,122.1,129.7
37.766922,-78.083282,1250,121.7,128.7
37.76001,-78.072588,1225,122.1,129.7
37.75298,-78.061921,1225,122.1,129.7
37.746184,-78.051413,1250,121.5,129.3
37.739365,-78.040797,1250,121.7,128.7
37.732358,-78.029918,1225,122.3,129.0
37.725375,-78.019051,1225,121.7,128.7
37.720322,-78.010819,1250,122.0,127.3
37.714714,-78.001616,1250,124.6,128.2
37.70755,-77.990541,1225,123.1,128.7
37.702238,-77.981972,1250,123.4,127.4
37.697342,-77.974178,1250,125.9,128.9
37.690088,-77.962985,1250,126.5,129.2
37.682547,-77.951581,1250,127.1,129.6
37.675471,-77.940714,1250,126.5,129.2
37.668091,-77.929239,1250,127.3,128.9
37.660807,-77.917965,1250,127.9,129.3
37.653397,-77.906507,1250,126.5,129.2
37.646118,-77.895345,1250,125.1,129.2
37.639114,-77.884418,1250,125.3,128.5
37.631991,-77.873064,1250,124.6,128.2
37.624878,-77.861685,1250,126.7,128.6
37.617599,-77.850348,1250,125.9,128.9
37.610484,-77.83921,1250,126.7,128.6
37.603455,-77.828343,1250,128.6,129.6
37.596039,-77.817156,1250,127.7,130.6
37.591863,-77.811027,1175,127.7,130.6
37.587021,-77.803773,1125,127.9,129.3
37.582306,-77.79641,1075,128.1,128.7
37.575058,-77.784875,1025,128.1,128.7
37.567935,-77.773829,1000,128.1,128.7
37.560745,-77.762458,975,126.0,128.2
37.553551,-77.75102,975,126.7,128.6
37.546326,-77.739842,975,127.9,129.3
37.538864,-77.728447,975,127.1,129.6
37.531531,-77.717285,975,126.4,129.9
37.524269,-77.70612,975,125.9,128.9
37.517075,-77.694903,1000,126.7,128.6
37.511467,-77.686237,975,127.8,129.9
37.504028,-77.675035,975,127.8,129.9
37.496658,-77.663931,975,127.1,129.6
37.49025,-77.654114,975,125.3,128.5
37.483024,-77.642769,975,126.7,128.6
37.475715,-77.631425,975,127.1,129.6
37.468267,-77.620199,975,123.6,129.8
37.462921,-77.61198,975,118.9,128.5
37.460958,-77.608735,925,119.2,127.2
37.458115,-77.604091,850,118.6,126.8
37.455325,-77.599361,775,116.6,126.3
37.452439,-77.594167,725,117.3,124.2
37.448685,-77.586969,650,120.7,123.2
37.444107,-77.578028,625,121.3,121.9
37.439484,-77.568853,575,120.1,122.8
37.435089,-77.560496,575,118.2,124.0
37.431747,-77.554477,525,118.2,125.7
37.429116,-77.550102,500,119.0,127.8
37.426712,-77.546413,450,116.4,130.1
37.423599,-77.541913,375,112.6,131.8
37.421761,-77.539414,325,109.0,132.8
37.421356,-77.538933,300,103.9,134.6
37.420166,-77.537413,300,99.7,135.4
37.418839,-77.535894,250,94.8,137.6
37.416641,-77.533556,175,90.9,140.4
37.416046,-77.532972,175,88.9,140.9
37.416,-77.528005,200,75.5,34.7
37.416412,-77.527596,200,76.5,41.8
37.416733,-77.527011,225,78.2,51.2
37.417106,-77.526278,250,79.7,61.5
37.417478,-77.524845,275,82.2,76.6
37.417557,-77.523856,275,84.2,85.9
37.417525,-77.522815,300,86.0,90.0
37.417385,-77.522039,300,89.6,100.9
37.417106,-77.520785,300,93.9,108.6
37.416458,-77.51883,300,96.3,113.9
37.415497,-77.516434,350,98.4,117.9
37.414444,-77.514155,400,103.1,120.3
37.413428,-77.512008,425,107.7,121.3
37.411473,-77.508246,450,112.6,123.4
37.408676,-77.50311,500,116.3,125.2
37.405328,-77.497379,575,117.4,126.0
37.401581,-77.490838,650,118.6,126.8
37.397873,-77.484878,725,118.9,128.5
37.393411,-77.477974,775,120.1,129.3
37.390549,-77.473424,800,124.8,127.5
37.386847,-77.467286,800,129.2,127.1
37.381439,-77.458171,775,132.4,126.1
37.37884,-77.453494,775,131.7,124.2
37.375626,-77.447302,775,132.6,122.4
37.372375,-77.44064,775,132.7,120.8
37.368622,-77.432576,775,128.5,119.4
37.365967,-77.426323,775,128.4,117.4
37.360685,-77.413489,775,124.8,117.2
37.35575,-77.401548,775,122.6,118.2
37.351374,-77.391158,750,118.5,117.7
37.346512,-77.379397,750,114.9,117.5
37.343307,-77.371742,700,114.9,117.5
37.341064,-77.366015,650,114.1,115.4
37.338043,-77.358126,600,114.5,115.9
37.334518,-77.348893,550,114.1,115.4
37.330984,-77.339929,500,114.0,116.6
37.327469,-77.331069,450,113.6,116.1
37.324356,-77.322829,400,112.7,115.2
37.321335,-77.314589,350,109.7,114.2
37.318974,-77.307327,250,104.9,112.4
37.316368,-77.298965,150,102.3,111.8
37.315475,-77.295891,100,87.0,110.0
37.314972,-77.294136,50,79.0,110.0
37.309105,-77.291087,-125,0.0,0.0
37.309799,-77.29174,-25,17.8,321.8
37.309845,-77.291799,-25,25.8,324.5
37.312177,-77.293535,150,27.2,324.0
37.312643,-77.293774,150,55.0,333.0
37.317438,-77.296282,325,73.2,338.3
37.31868,-77.296883,350,78.2,339.0
37.320786,-77.297759,400,81.9,340.0
37.320976,-77.297834,400,87.3,342.0
37.323303,-77.29873,450,90.1,342.6
37.327148,-77.300097,525,92.4,344.3
37.328339,-77.300506,550,97.3,345.1
37.330845,-77.301297,575,101.9,346.4
37.334662,-77.302372,600,106.5,347.5
37.339645,-77.303603,650,109.8,349.5
37.346191,-77.305064,700,114.8,350.0
37.3517,-77.306253,700,119.5,350.9
37.362361,-77.308224,700,121.3,351.5
37.373068,-77.310433,700,121.7,350.5
37.381165,-77.312194,700,122.0,349.6
37.392061,-77.314791,700,124.2,349.3
37.403229,-77.317336,700,124.0,349.8
37.414359,-77.319747,700,123.8,350.2
37.425485,-77.322076,700,124.6,350.8
37.436691,-77.324407,700,123.6,350.7
37.447906,-77.326803,700,123.8,350.2
37.459143,-77.329301,700,124.8,350.3
37.470245,-77.331653,700,124.8,350.3
37.481506,-77.334049,700,123.8,350.2
37.49263,-77.336504,700,124.8,350.3
37.503786,-77.338914,700,124.8,350.3
37.514959,-77.341362,700,124.0,349.8
37.525945,-77.343869,700,125.0,349.9
37.537216,-77.34638,700,124.0,349.8
37.548477,-77.348951,700,125.0,349.9
37.559649,-77.351393,700,124.8,350.3
37.570953,-77.353801,700,124.8,350.3
37.582214,-77.356197,700,125.8,350.4
37.593492,-77.358617,700,124.8,350.3
37.604898,-77.361125,700,125.9,349.9
37.616117,-77.363573,700,124.8,350.3
37.627336,-77.366021,700,125.0,349.9
37.638474,-77.368469,700,125.8,350.4
37.64996,-77.370917,700,124.8,350.3
37.661224,-77.373378,700,125.8,350.4
37.672585,-77.375873,700,125.0,349.9
