lat,lon,alt,gs,track
42.848099,-73.9362,500,50.8,259.8
42.847641,-73.939394,600,52.0,258.9
42.847331,-73.941912,700,48.7,260.5
42.847092,-73.943929,800,44.7,259.7
42.847,-73.944631,800,44.2,256.9
42.846866,-73.945116,800,45.7,246.8
42.846725,-73.945525,800,46.1,242.9
42.846497,-73.945909,800,47.4,235.3
42.8464,-73.946032,900,49.5,225.0
42.846085,-73.94642,900,53.0,215.8
42.84519,-73.946882,900,57.2,207.0
42.845032,-73.946995,900,62.6,196.7
42.844711,-73.947058,900,67.1,190.3
42.844116,-73.947122,900,71.3,184.8
42.843607,-73.947078,900,76.0,178.5
42.843109,-73.947058,900,79.2,175.7
42.842537,-73.946882,900,85.5,169.2
42.842118,-73.946751,900,89.7,165.8
42.841745,-73.946555,900,93.6,161.9
42.841003,-73.946164,900,97.7,157.1
42.840134,-73.945589,900,102.0,154.4
42.837183,-73.943678,900,106.9,151.5
42.836517,-73.943098,900,107.1,147.2
42.83574,-73.942174,900,106.2,137.3
42.835098,-73.941182,900,106.2,127.7
42.834961,-73.940926,1000,106.0,125.8
42.834229,-73.939138,1000,105.7,119.5
42.833924,-73.937923,1000,105.6,108.8
42.833633,-73.9362,1000,106.3,101.9
42.833459,-73.934195,1000,106.5,95.4
42.832854,-73.926152,1000,106.8,97.0
42.832306,-73.919784,1000,104.5,95.5
42.832077,-73.915952,1000,100.2,94.0
42.831923,-73.91183,1000,100.0,91.7
42.83194,-73.909437,900,99.0,89.4
42.831923,-73.909084,1000,99.0,88.8
42.831969,-73.908757,900,99.0,88.8
42.832077,-73.905796,900,94.3,85.1
42.832443,-73.902283,900,92.9,82.0
42.832667,-73.900582,900,91.0,77.9
42.832807,-73.899994,900,87.0,72.6
42.832947,-73.899536,900,84.9,68.6
42.833273,-73.898686,900,80.6,60.3
42.833645,-73.898097,900,77.2,53.4
42.834091,-73.897492,900,73.6,43.9
42.83453,-73.896986,900,69.6,35.1
42.834902,-73.896724,800,68.1,30.0
42.835373,-73.89647,800,66.3,23.1
42.836159,-73.896136,800,65.3,15.1
42.83757,-73.895704,800,62.4,12.0
42.83858,-73.895482,800,61.5,7.5
42.839722,-73.895448,700,58.1,3.0
42.841415,-73.895384,700,57.0,1.0
42.844025,-73.895448,700,58.0,359.0
42.844166,-73.895482,600,58.0,359.0
42.844306,-73.895482,700,58.0,359.0
42.844445,-73.895482,600,58.0,359.0
42.847412,-73.895448,600,56.0,358.0
42.847778,-73.895512,600,54.3,353.7
42.848145,-73.89564,600,51.9,344.4
42.848449,-73.895809,600,49.7,335.0
42.848694,-73.896087,600,47.7,327.0
42.848961,-73.896397,600,46.0,317.6
42.849152,-73.896726,600,44.8,308.7
42.849287,-73.897051,600,43.9,300.1
42.84938,-73.897364,600,44.4,292.5
42.849472,-73.897812,600,44.7,280.3
42.849472,-73.898323,500,46.0,271.2
42.849426,-73.898961,500,47.4,262.7
42.84938,-73.900047,500,47.0,267.6
42.84938,-73.900909,500,45.1,273.8
42.84938,-73.901836,500,42.0,268.6
42.84938,-73.903525,400,41.0,268.6
