lat,lon,alt,gs,track
24.556229,-81.748558,325,150.0,0.0
24.556398,-81.745796,550,150.0,86.0
24.557562,-81.740715,925,160.0,76.0
24.557981,-81.739525,1000,160.0,69.0
24.559845,-81.73584,1250,160.0,61.0
24.561287,-81.733879,1375,170.0,51.0
24.56501,-81.730354,1575,180.0,41.0
24.566986,-81.729126,1675,180.0,30.0
24.57218,-81.727242,1975,190.0,18.0
24.574739,-81.72683,2125,190.0,8.0
24.576004,-81.726738,2200,190.0,4.0
24.583511,-81.727142,2650,200.0,357.0
24.585754,-81.727448,2800,200.0,353.0
24.588409,-81.727806,2925,200.0,353.0
24.594864,-81.729179,3275,210.0,349.0
24.597244,-81.729637,3375,210.0,350.0
24.600204,-81.730194,3475,210.0,350.0
24.606396,-81.730972,3675,220.0,354.0
24.609795,-81.731079,3750,230.0,358.0
24.613129,-81.730904,3825,230.0,3.0
24.619629,-81.729584,3975,240.0,10.0
24.62265,-81.728516,4050,240.0,18.0
24.626226,-81.726883,4200,240.0,22.0
24.632372,-81.723358,4425,250.0,28.0
24.635118,-81.721436,4525,250.0,32.0
24.644011,-81.714546,4975,250.0,35.0
24.649017,-81.710152,5225,250.0,39.0
24.655136,-81.704445,5525,260.0,40.0
24.658022,-81.701744,5650,260.0,40.0
24.663116,-81.696983,5900,260.0,40.0
24.666355,-81.69397,6050,260.0,40.0
24.669054,-81.691536,6175,260.0,39.0
24.676575,-81.684929,6550,270.0,38.0
24.680603,-81.681572,6750,270.0,37.0
24.686646,-81.676537,7000,270.0,37.0
24.689941,-81.673836,7125,270.0,37.0
24.692047,-81.672112,7225,270.0,37.0
24.699097,-81.666412,7500,280.0,36.0
24.702484,-81.663666,7650,280.0,36.0
24.711914,-81.65609,8025,280.0,36.0
24.715256,-81.653389,8175,280.0,36.0
24.737183,-81.636403,9200,280.0,36.0
24.74042,-81.633963,9325,290.2,34.9
24.744423,-81.630905,9525,291.6,34.9
24.75648,-81.621629,10025,294.9,35.2
