lat,lon,alt,gs,track,vs
37.692673,-121.835808,1025,64.0,270.9,512
37.692673,-121.838087,1125,62.0,270.0,640
37.692602,-121.839454,1150,61.2,265.3,640
37.692509,-121.84017,1200,62.2,258.9,832
37.692352,-121.840833,1200,62.3,251.3,704
37.692123,-121.841359,1225,64.4,242.2,576
37.69194,-121.841651,1225,65.0,239.5,576
37.691757,-121.841944,1250,67.9,225.0,640
37.691391,-121.842294,1250,68.8,215.5,640
37.690933,-121.842586,1275,69.8,209.1,704
37.69043,-121.84282,1300,72.7,198.4,640
37.689669,-121.843036,1325,75.3,190.7,640
37.689011,-121.843054,1350,78.1,182.2,640
37.688416,-121.842996,1375,80.5,173.6,960
37.687668,-121.842797,1400,82.2,166.6,832
37.687062,-121.842558,1425,83.5,161.1,640
37.686504,-121.8422,1425,85.0,153.4,704
37.685852,-121.841603,1450,86.6,143.9,704
37.68544,-121.841067,1475,87.2,139.2,768
37.685014,-121.840528,1500,88.0,130.4,832
37.68457,-121.839606,1525,90.2,121.4,704
37.684067,-121.83832,1550,92.6,114.9,384
37.683711,-121.837125,1550,96.1,108.8,256
37.683426,-121.835983,1525,99.7,105.7,-128
37.683245,-121.834856,1525,103.4,102.3,-256
37.683059,-121.833005,1525,106.6,95.9,0
37.682826,-121.828706,1525,109.2,93.2,-192
37.682547,-121.824467,1475,112.6,96.1,-512
37.681778,-121.816698,1425,111.6,96.2,-64
37.681662,-121.815451,1425,108.5,95.3,64
37.681641,-121.814536,1400,104.4,94.9,-192
37.681549,-121.813192,1400,100.1,92.9,-256
37.681595,-121.811381,1400,95.1,87.0,-192
37.681755,-121.809779,1375,92.2,80.6,-448
37.682007,-121.808576,1350,87.6,73.4,-384
37.68219,-121.807933,1350,83.8,70.5,-128
37.682454,-121.807092,1350,79.2,65.4,-192
37.682922,-121.806063,1325,76.7,59.4,-320
37.683472,-121.805069,1300,76.6,54.0,-768
37.684067,-121.804251,1250,75.7,47.7,-832
37.684549,-121.803688,1225,75.2,40.7,-768
