lat,lon,alt,gs,track,vs
29.845413,-90.031163,50,26.1,85.6,704
29.845431,-90.030913,75,36.4,82.1,640
29.845617,-90.030105,100,44.9,78.4,640
29.845664,-90.029943,100,51.0,74.1,640
29.845825,-90.029367,125,52.2,73.3,576
29.846083,-90.028651,150,65.2,69.3,448
29.846375,-90.027783,150,68.7,68.7,384
29.846649,-90.027043,175,72.6,67.3,384
29.846828,-90.026658,175,78.7,62.8,448
29.847198,-90.025934,200,82.9,60.3,384
29.847619,-90.025258,200,87.7,55.2,256
29.848892,-90.023452,225,93.7,50.2,320
29.850226,-90.021919,250,98.3,45.4,448
29.851456,-90.020811,275,100.7,41.0,448
29.85246,-90.020034,300,102.6,33.1,832
29.854294,-90.018804,375,103.0,29.0,832
29.857255,-90.017018,475,103.8,27.5,960
29.860977,-90.014789,550,108.2,27.5,448
29.864238,-90.012817,575,113.2,27.9,256
29.86702,-90.011092,600,117.7,29.0,0
29.870132,-90.009032,600,121.9,30.6,-64
29.875397,-90.005599,550,126.8,29.8,-128
29.880811,-90.002208,525,130.2,27.9,-64
29.890168,-89.996553,500,129.3,28.1,-64
29.891797,-89.995422,500,129.2,33.3,-64
29.893066,-89.994296,500,128.8,38.4,-64
29.894165,-89.993028,500,128.0,46.0,-64
29.895126,-89.991655,500,127.6,52.3,-64
29.895894,-89.990198,500,126.9,59.2,128
29.8965,-89.988697,500,125.7,65.1,192
29.896871,-89.987129,500,123.1,73.5,320
29.896918,-89.986213,500,119.8,83.3,448
29.896866,-89.98558,500,117.1,92.4,704
29.896732,-89.984705,550,113.2,101.2,832
29.896452,-89.983897,575,109.6,111.4,576
29.89595,-89.982887,600,107.7,121.3,128
29.895081,-89.981619,600,107.6,127.8,0
29.892961,-89.978727,600,109.2,130.5,64
29.890457,-89.975545,600,111.1,133.2,-64
29.885838,-89.969734,550,113.3,132.1,-192
29.883041,-89.966143,550,115.0,130.1,-128
29.881577,-89.963978,525,115.6,127.3,-64
29.879647,-89.960902,500,117.1,124.9,-192
29.878281,-89.958432,500,117.0,123.2,-64
29.876678,-89.955368,500,116.1,120.5,0
29.871407,-89.945445,525,118.0,121.1,320
29.869263,-89.941741,550,118.0,121.1,320
29.866612,-89.937259,625,114.6,122.2,640
29.865635,-89.935105,675,114.1,117.7,576
29.86496,-89.933395,700,115.7,112.3,448
29.864192,-89.930905,750,114.8,108.3,640
29.863174,-89.92674,750,116.5,105.9,192
29.862888,-89.925196,750,119.3,103.6,0
29.862469,-89.922719,750,123.6,99.3,-64
29.862236,-89.920188,725,126.6,95.4,-256
29.862143,-89.91701,725,130.0,91.3,-320
29.861911,-89.90317,750,126.0,90.9,448
29.861893,-89.899116,750,130.0,89.6,-256
29.861938,-89.895155,750,134.0,89.1,-128
29.862076,-89.888658,725,136.2,87.1,0
29.862469,-89.882651,700,135.4,85.3,-64
29.863167,-89.873765,700,135.7,84.1,128
29.86377,-89.868428,700,134.4,81.9,-128
29.864285,-89.864017,675,132.9,83.5,-192
29.864548,-89.859502,675,130.2,86.5,-128
29.86489,-89.854754,650,130.2,86.5,-128
29.865123,-89.853139,650,126.9,80.0,-128
29.865738,-89.850206,650,127.6,76.4,-128
29.868622,-89.83774,650,123.0,75.4,-192
29.869217,-89.834783,625,122.6,78.2,64
29.86972,-89.830399,650,122.6,78.2,64
29.869731,-89.830089,650,110.0,89.0,192
29.869675,-89.829025,650,105.5,95.4,64
29.869452,-89.828042,650,102.0,101.3,64
29.869452,-89.828041,650,102.0,81.0,0
29.863819,-89.824973,525,102.0,81.0,0
29.863358,-89.825222,500,102.0,81.0,0
29.863129,-89.825328,500,85.4,207.2,0
29.861984,-89.826384,450,86.5,209.8,0
29.861069,-89.827599,425,88.7,230.0,0
29.859723,-89.82982,400,82.7,237.9,0
29.859536,-89.830197,400,81.3,238.1,0
29.858605,-89.796753,550,112.9,110.2,192
29.856138,-89.789106,625,112.0,110.4,384
29.853745,-89.7817,675,112.7,111.3,320
29.851669,-89.775911,750,112.7,111.3,320
29.850311,-89.771928,750,113.3,113.4,192
29.848178,-89.766648,825,111.4,114.9,384
29.845596,-89.760466,900,108.7,115.6,512
29.843755,-89.7562,975,108.2,116.3,384
29.84166,-89.751329,1000,112.3,114.7,-192
29.840915,-89.749199,975,114.8,112.5,-192
29.840469,-89.747579,975,118.3,107.2,-128
29.839147,-89.742521,950,120.8,109.3,-320
29.836807,-89.735272,900,122.8,110.5,-192
29.835469,-89.731589,875,121.9,113.2,-128
29.834165,-89.728304,875,121.7,114.2,-192
29.831772,-89.722701,850,119.9,115.7,-128
29.827698,-89.712824,850,118.5,115.5,0
29.82486,-89.705852,850,119.0,114.8,0
29.820969,-89.696556,900,115.4,115.7,192
29.816254,-89.685728,900,114.5,115.9,0
29.814567,-89.682527,875,115.5,119.0,-128
29.813461,-89.680657,900,114.5,124.0,256
29.81331,-89.680427,900,112.6,125.2,448
29.801812,-89.660662,900,115.8,117.2,0
29.797028,-89.649652,900,116.3,116.6,64
29.79413,-89.642944,950,115.4,115.7,128
29.791672,-89.636765,950,116.0,113.9,64
29.788742,-89.629264,1000,115.0,114.1,128
29.786822,-89.624095,1000,117.5,112.0,-64
29.785812,-89.621077,975,119.4,111.6,-256
29.784439,-89.616852,950,121.5,110.2,-320
29.780594,-89.604598,925,120.8,109.3,64
29.778488,-89.59752,900,121.8,107.7,-64
29.777744,-89.594745,900,121.5,107.2,0
29.776161,-89.590005,925,120.2,109.9,0
29.75116,-89.532923,1000,118.5,116.6,64
29.746994,-89.523468,1025,117.6,117.9,128
29.74553,-89.520479,1075,113.4,120.2,512
29.742085,-89.514124,1075,114.1,121.7,64
29.739059,-89.508685,1100,114.0,123.6,0
29.738937,-89.508415,1100,114.0,123.6,-64
29.732495,-89.496245,1125,115.4,123.7,-64
29.730652,-89.492411,1100,118.6,118.7,-192
29.729874,-89.49072,1075,120.8,118.7,-192
29.725233,-89.480034,1125,120.8,118.7,-192
29.721695,-89.470879,1100,122.4,112.6,-64
29.719482,-89.464681,1100,122.0,112.2,0
29.716807,-89.457469,1075,121.9,113.2,0
29.713898,-89.449838,1100,120.8,114.4,0
29.710739,-89.442233,1075,121.2,115.9,0
29.706007,-89.430919,1100,120.3,116.1,0
29.701026,-89.41961,1075,120.3,116.1,0
29.696228,-89.408164,1100,121.7,115.3,0
29.691788,-89.39702,1100,121.7,114.2,0
29.687107,-89.385143,1075,123.1,114.5,0
29.682638,-89.373887,1075,123.0,115.5,-512
29.680573,-89.368709,1000,127.1,114.2,-320
29.678375,-89.362951,975,128.2,113.0,-192
29.676132,-89.35693,925,128.6,113.4,-128
29.672836,-89.348268,875,128.6,113.4,-64
29.669907,-89.340767,775,130.3,114.0,-512
29.668114,-89.336135,750,130.4,113.0,-128
29.619141,-89.239628,775,111.2,292.2,192
29.62088,-89.244584,800,110.7,292.9,256
29.624122,-89.252984,875,110.7,292.9,256
29.624773,-89.254545,900,109.2,294.9,256
29.628021,-89.26212,950,109.1,297.3,320
29.630779,-89.268224,1025,108.2,297.5,320
29.633711,-89.274687,1075,109.1,297.3,320
29.636784,-89.281796,1150,110.0,295.9,256
29.639531,-89.288581,1200,110.1,294.7,192
29.642258,-89.295396,1275,109.6,295.4,384
29.644418,-89.300537,1350,108.7,295.6,384
29.647247,-89.307228,1425,107.8,295.9,384
29.650144,-89.314324,1450,111.0,294.5,-64
29.652191,-89.319693,1425,114.8,292.5,-128
29.65567,-89.329623,1375,118.5,291.8,-256
29.658417,-89.337176,1350,119.6,293.1,-192
29.660751,-89.343092,1300,119.9,294.6,-192
29.663551,-89.349814,1275,119.0,295.9,-128
29.666764,-89.357031,1275,119.4,297.4,0
29.671745,-89.367855,1250,119.4,297.4,0
29.676865,-89.37922,1250,119.9,296.8,-64
29.679798,-89.386166,1200,120.8,295.5,-192
29.682871,-89.393759,1150,121.2,294.9,-192
29.685943,-89.401407,1100,123.1,294.5,-256
29.689155,-89.4097,1050,123.6,293.9,-256
29.692154,-89.417461,1000,124.4,294.7,-192
29.69545,-89.425383,950,125.2,295.5,-192
29.700256,-89.436792,925,122.5,296.1,-64
29.705246,-89.448148,925,119.9,296.8,0
29.710098,-89.459187,900,119.4,296.4,0
29.713642,-89.467809,925,118.1,295.0,64
29.71788,-89.478255,900,118.2,294.0,0
29.722183,-89.4894,925,118.2,294.0,0
29.726118,-89.499799,925,120.0,293.6,0
29.73056,-89.51132,925,119.5,294.2,0
29.734818,-89.521936,900,119.0,294.8,64
29.738388,-89.530493,925,119.0,295.9,-64
29.74283,-89.540836,900,119.4,296.4,-64
29.747543,-89.551779,925,119.4,296.4,-64
29.75228,-89.562809,925,119.0,295.9,64
29.755027,-89.569648,925,118.6,294.4,0
29.759445,-89.581146,925,117.8,293.5,0
29.763685,-89.592483,925,118.7,293.3,-64
29.767037,-89.601099,925,117.7,294.6,64
29.771622,-89.612204,925,118.1,295.0,64
29.776382,-89.623613,900,119.4,295.3,128
29.78064,-89.634018,925,118.1,295.0,0
29.78508,-89.644846,925,119.4,295.3,-192
29.789615,-89.655816,925,116.8,294.8,0
29.793479,-89.665725,950,117.3,294.2,-64
29.797073,-89.675005,1000,117.3,294.2,320
29.800003,-89.682506,950,120.0,293.6,-192
29.804139,-89.693244,950,119.5,294.2,64
29.808655,-89.704584,950,117.3,294.2,-64
29.810843,-89.710532,975,117.9,292.4,256
29.814285,-89.720482,975,115.9,291.2,0
29.817032,-89.728775,1050,114.6,291.0,256
29.819222,-89.735682,1050,114.5,289.4,192
29.821472,-89.743089,1100,113.8,288.4,128
29.822937,-89.748424,1100,115.1,287.2,64
29.824902,-89.755985,1050,118.4,285.7,-256
29.826345,-89.761694,1025,121.5,287.2,-256
29.828476,-89.769287,1000,122.4,288.6,-128
29.8293,-89.771558,975,121.9,293.2,-64
29.830395,-89.774188,1000,120.3,297.2,192
29.831419,-89.77618,1000,120.6,300.4,-64
29.833048,-89.779035,1000,120.4,303.8,64
29.837703,-89.786898,950,120.9,304.2,-384
29.840543,-89.791691,875,125.1,304.6,-512
29.845139,-89.798971,825,125.4,305.6,-256
29.847153,-89.802354,800,125.1,304.6,-320
29.850412,-89.807901,775,126.2,303.7,-704
29.852693,-89.811724,600,126.2,303.7,-832
29.853438,-89.812909,600,131.2,305.4,-896
29.86084,-89.824111,450,131.2,305.4,-896
29.864378,-89.829443,475,95.5,316.3,64
29.865309,-89.830143,475,94.2,322.8,-64
29.865867,-89.830466,475,92.3,330.1,0
29.866699,-89.830715,475,88.8,345.6,320
29.867569,-89.830768,500,86.1,358.0,256
29.868759,-89.830451,500,82.9,17.6,256
29.869731,-89.829712,525,82.1,22.2,192
29.87027,-89.828867,525,78.9,59.5,-320
29.870569,-89.828042,500,78.4,66.7,-256
29.870662,-89.827504,500,77.3,79.6,-256
29.870662,-89.826858,500,76.0,88.5,-256
29.86441,-89.874925,700,108.7,276.3,0
29.865143,-89.883112,600,115.7,276.5,-384
29.866104,-89.892355,600,115.7,276.5,-192
29.866519,-89.895738,550,116.3,278.4,-256
29.867218,-89.900369,575,112.0,280.8,64
29.867683,-89.9029,575,112.0,280.8,64
