lat,lon,alt,gs,track,vs
48.523213,-123.024469,50,72.3,174.4,256
48.519836,-123.024128,125,76.4,174.0,256
48.519608,-123.024057,150,89.1,176.8,832
48.517822,-123.023987,200,93.1,177.5,896
48.516266,-123.023916,275,97.0,178.8,1280
48.514322,-123.02389,375,98.0,178.8,1280
48.512192,-123.023916,475,98.0,181.8,1088
48.509108,-123.02418,575,101.1,182.8,896
48.506104,-123.024339,675,104.2,183.3,1152
48.504127,-123.024613,775,103.4,185.0,1280
48.501752,-123.024975,875,103.6,186.1,1152
48.498688,-123.025325,975,107.3,184.3,832
48.495002,-123.025697,1075,110.2,183.1,960
48.49173,-123.025888,1175,112.0,181.5,1024
48.489258,-123.025959,1275,112.0,180.0,1152
48.48639,-123.025914,1375,112.0,179.0,1024
48.483597,-123.025697,1450,114.3,176.0,896
48.481201,-123.025254,1525,116.3,171.6,896
48.479599,-123.024761,1575,116.4,166.1,960
48.477768,-123.023846,1625,117.0,161.6,1088
48.475683,-123.022662,1675,119.2,157.3,640
48.47374,-123.02124,1725,120.3,152.8,832
48.471817,-123.01955,1775,120.7,148.6,896
48.469119,-123.016879,1850,122.9,145.3,576
48.467304,-123.014928,1875,127.4,143.9,128
48.464883,-123.012181,1875,132.0,142.7,-64
48.460228,-123.006544,1875,135.7,140.7,64
48.456345,-123.001592,1875,136.7,138.3,-256
48.450405,-122.993389,1825,141.5,137.3,-64
48.445983,-122.987028,1825,142.1,135.3,64
48.441513,-122.980042,1850,141.5,133.3,192
48.435322,-122.969826,1850,142.3,131.9,-192
48.429153,-122.959407,1825,143.9,130.8,192
48.42401,-122.950094,1875,140.6,129.8,64
48.419083,-122.941449,1925,138.9,131.5,64
48.41442,-122.933831,1900,137.2,133.2,-64
48.407717,-122.923207,1900,136.5,134.1,-128
48.401898,-122.914605,1925,134.4,135.6,128
48.393146,-122.901884,1900,133.7,135.9,128
48.384208,-122.889163,1900,133.0,136.8,64
48.375596,-122.876731,1925,131.6,136.9,-128
48.36676,-122.863981,1925,131.6,136.2,128
48.359396,-122.853241,1900,132.2,135.3,0
48.352432,-122.843205,1925,130.9,136.6,-128
48.343801,-122.830835,1925,130.2,136.9,128
48.335095,-122.81862,1900,131.6,136.9,128
48.326431,-122.806232,1900,132.3,136.5,0
48.317685,-122.793756,1925,130.9,136.6,-64
48.30898,-122.781107,1900,132.9,135.6,0
48.300321,-122.768314,1900,132.2,135.3,0
48.291755,-122.755593,1900,132.9,135.0,0
48.283173,-122.74299,1925,133.6,135.3,64
48.274475,-122.730173,1900,134.4,135.0,-128
48.265778,-122.717003,1925,132.2,135.3,0
48.260101,-122.708482,1900,134.4,133.8,-128
48.251541,-122.695383,1925,133.7,134.1,-192
48.245865,-122.686932,1900,134.4,135.6,256
48.23909,-122.676509,1900,134.4,134.4,-192
48.233734,-122.667988,1925,132.3,132.9,128
48.225279,-122.654692,1925,133.0,133.2,256
48.218203,-122.643633,1900,135.1,134.1,0
48.21122,-122.633008,1900,132.9,135.0,-320
48.204423,-122.622673,1925,133.0,133.8,128
48.196014,-122.609464,1925,133.0,133.8,320
48.1875,-122.596224,1900,132.2,134.1,192
48.179077,-122.583125,1900,132.2,134.1,128
48.170563,-122.570167,1900,132.9,134.4,64
48.162094,-122.556997,1900,133.7,133.5,-64
48.153809,-122.543839,1900,133.7,132.9,-64
48.145442,-122.530447,1900,134.5,132.6,64
48.137054,-122.516922,1900,135.1,132.9,0
48.128776,-122.503474,1900,135.8,133.2,0
48.120346,-122.489799,1925,136.6,132.9,-192
48.111786,-122.476135,1925,135.8,133.2,-192
48.103126,-122.462416,1925,136.5,133.5,64
48.094437,-122.448669,1900,136.5,133.5,64
48.087763,-122.43812,1925,135.2,132.3,-128
48.086367,-122.435514,1900,135.9,128.7,-320
48.085098,-122.432739,1875,137.6,124.0,-192
48.082947,-122.427658,1900,135.5,121.1,320
48.079524,-122.418753,1900,134.3,119.4,-384
48.073425,-122.402837,1925,134.0,120.0,-192
48.068025,-122.38854,1900,135.2,119.2,64
48.062119,-122.372589,1925,134.3,119.4,-128
48.056853,-122.358258,1925,134.2,118.5,128
48.05571,-122.354874,1900,134.2,114.7,-128
48.054977,-122.351921,1900,134.4,109.1,-192
48.054292,-122.348257,1900,135.3,104.6,-192
48.053082,-122.340299,1925,133.2,102.6,320
48.051132,-122.32679,1875,135.1,102.4,-128
48.050079,-122.320061,1875,135.3,104.6,-384
48.048981,-122.314568,1850,138.5,107.7,-192
48.047542,-122.308326,1850,137.6,110.4,192
48.046234,-122.303581,1875,135.2,113.5,320
48.044495,-122.298225,1900,134.2,116.6,192
48.041956,-122.290931,1900,133.4,118.7,0
48.040192,-122.286552,1900,134.8,122.3,0
48.038544,-122.283051,1900,134.4,126.5,64
48.037068,-122.280438,1900,134.7,130.8,-64
48.035346,-122.277762,1900,135.8,135.6,-64
48.0336,-122.275429,1900,135.6,140.1,0
48.031528,-122.273184,1900,135.7,144.9,64
48.029713,-122.271494,1900,135.3,149.8,0
48.02742,-122.26973,1900,135.1,154.6,-192
48.025085,-122.268356,1875,136.1,158.9,-320
48.022544,-122.267057,1850,136.0,162.9,-320
48.019145,-122.265719,1825,136.1,166.0,-192
48.014648,-122.264236,1800,135.7,168.5,-256
48.009975,-122.263113,1775,136.6,171.2,-256
48.002563,-122.26149,1750,135.1,172.8,-64
47.992518,-122.259733,1700,132.0,173.0,-256
47.988235,-122.259169,1675,133.4,175.7,-384
47.982147,-122.258675,1650,134.1,177.4,-64
47.970245,-122.258194,1600,132.1,177.8,-256
47.958206,-122.257233,1575,129.1,178.2,-128
47.949829,-122.256752,1525,131.1,177.4,-192
47.94191,-122.256134,1475,133.1,177.4,-64
47.932419,-122.255719,1475,131.0,178.7,-256
47.926987,-122.255722,1450,131.0,180.9,-64
47.921539,-122.255722,1450,129.0,179.1,-128
