lat,lon,alt,gs,track
35.70957,-83.665155,4600,109.2,249.1
35.708918,-83.667609,4600,110.7,253.2
35.70845,-83.670101,4600,110.4,258.0
35.707993,-83.673363,4600,109.2,261.6
35.707718,-83.67548,4700,108.0,262.0
35.707672,-83.67691,4700,105.0,268.9
35.707754,-83.67842,4700,102.4,275.0
35.707894,-83.679297,4800,100.8,280.9
35.708173,-83.680407,4800,99.6,287.5
35.708639,-83.681634,4800,99.3,295.0
35.709274,-83.682919,4800,100.7,302.4
35.710129,-83.684322,4800,102.0,307.4
35.711385,-83.686075,4800,105.5,312.3
35.712799,-83.687725,4800,108.2,316.9
35.715179,-83.690357,4800,112.0,319.3
35.717484,-83.692562,4900,114.0,322.1
35.718521,-83.693619,4800,114.8,322.4
35.71875,-83.69379,4900,114.2,322.8
35.724187,-83.698756,4900,113.8,323.9
35.727167,-83.701269,4900,115.4,326.3
35.732437,-83.705463,4900,119.9,324.9
35.733124,-83.706036,4800,120.8,323.4
35.735229,-83.708153,4800,120.7,320.4
35.73806,-83.711145,4700,121.2,318.7
35.741179,-83.714359,4600,121.7,321.3
35.745575,-83.718681,4500,118.2,321.9
35.749,-83.721781,4400,118.0,323.6
35.754074,-83.726164,4300,113.5,325.0
35.758163,-83.729553,4200,112.9,325.5
35.761336,-83.7323,4100,112.4,324.0
35.764269,-83.73493,4000,109.6,324.3
35.765945,-83.73639,4000,104.9,325.1
35.768326,-83.738365,3900,101.5,325.8
35.770507,-83.740072,3800,100.7,327.6
35.773021,-83.742,3700,99.1,329.0
35.775628,-83.743929,3600,98.3,328.7
35.778141,-83.745857,3500,97.6,327.1
35.780594,-83.747807,3400,96.6,328.1
35.783066,-83.74958,3300,95.0,329.7
35.785497,-83.751409,3200,93.5,327.7
35.788848,-83.754097,3100,90.1,326.3
35.790344,-83.755302,3100,93.7,329.9
35.790527,-83.755417,3000,94.0,330.7
35.791455,-83.755909,3000,94.2,337.5
35.792313,-83.756218,3000,93.6,346.4
35.792542,-83.756275,2900,93.6,346.4
35.793597,-83.756435,2900,93.4,354.5
35.794968,-83.756561,2800,96.4,354.6
35.796707,-83.756733,2700,98.3,355.9
35.799276,-83.756961,2600,99.3,355.4
35.802255,-83.757253,2500,96.5,354.0
35.804816,-83.75772,2500,92.1,351.2
35.805908,-83.757992,2400,89.6,349.1
35.807693,-83.758507,2400,87.8,345.5
35.809296,-83.759079,2300,88.9,341.0
35.810806,-83.759823,2300,88.6,336.0
35.812088,-83.760624,2200,86.8,331.1
35.814926,-83.762741,2100,85.2,328.9
35.8165,-83.763973,2100,86.8,324.9
35.817398,-83.764915,2100,86.5,318.8
35.818085,-83.765831,2100,86.4,312.2
35.818542,-83.766575,2000,86.4,307.0
35.818875,-83.767304,2000,86.3,295.4
35.8192,-83.768473,2000,87.0,287.4
35.819526,-83.770168,2000,88.3,283.1
35.819806,-83.772213,1900,91.1,278.8
35.820038,-83.774726,1900,92.3,275.0
35.820099,-83.775902,1800,92.3,274.4
35.820318,-83.779693,1800,89.1,271.9
35.820282,-83.780994,1700,87.4,264.8
35.820085,-83.782381,1700,87.9,258.2
35.819852,-83.783375,1700,87.9,250.7
35.819247,-83.785069,1700,88.1,245.2
35.818176,-83.787641,1600,88.1,242.3
35.816919,-83.790387,1600,87.0,239.6
35.816437,-83.791237,1500,87.1,235.8
35.815842,-83.792152,1500,85.9,230.2
35.815337,-83.792783,1500,83.5,223.1
35.814835,-83.79324,1500,81.5,213.5
35.814173,-83.793601,1500,79.2,204.6
35.813381,-83.793952,1500,78.8,200.1
35.812866,-83.794041,1500,76.5,186.8
35.812357,-83.79401,1400,76.0,179.2
35.811566,-83.793952,1400,76.0,170.9
35.810961,-83.793718,1400,75.3,163.0
35.810394,-83.793411,1400,74.3,156.2
35.810074,-83.79324,1300,73.1,149.6
35.809564,-83.792725,1300,71.2,141.8
35.809192,-83.792199,1300,68.8,130.9
35.808838,-83.79158,1300,66.9,121.6
35.80854,-83.790796,1300,66.7,113.9
35.808472,-83.790607,1200,66.9,112.0
35.808307,-83.789744,1200,67.9,103.6
35.808243,-83.789005,1200,69.4,95.8
35.808214,-83.78805,1100,69.0,90.8
35.808289,-83.78706,1100,68.0,88.3
35.808354,-83.786296,1100,66.6,82.2
35.80854,-83.785186,1100,66.5,77.8
35.809021,-83.783684,1000,65.8,73.2
35.809616,-83.782024,900,65.8,73.2
35.809433,-83.78437,1000,65.8,253.2
35.809052,-83.785946,1100,68.0,252.9
35.808447,-83.788576,1200,68.0,252.9
35.807516,-83.79179,1200,69.9,250.8
35.807283,-83.792608,1300,72.5,249.8
35.806641,-83.79467,1300,76.6,246.1
35.806166,-83.795763,1300,77.0,240.4
35.805725,-83.796558,1300,77.2,233.4
35.805374,-83.796991,1400,77.1,226.6
35.804816,-83.797575,1400,77.3,220.3
35.804164,-83.798042,1400,77.7,211.9
35.803574,-83.798389,1400,77.5,203.6
35.803024,-83.798618,1400,78.2,196.4
35.802861,-83.798627,1500,77.9,192.6
35.801926,-83.79879,1500,78.2,184.4
35.801231,-83.798744,1500,78.3,174.9
35.800533,-83.79851,1500,78.1,166.7
35.800323,-83.798447,1600,77.9,164.4
35.799683,-83.798103,1600,78.3,155.1
