lat,lon,alt,gs,track,vs
43.351364,-76.386534,250,61.7,229.6,832
43.350311,-76.388195,350,61.6,228.3,1024
43.34935,-76.389728,450,58.8,228.4,1088
43.348206,-76.391453,550,58.8,228.4,1024
43.346977,-76.393367,650,59.6,229.1,768
43.345999,-76.394937,750,58.9,229.8,1024
43.345001,-76.396499,825,58.1,227.8,832
43.343904,-76.398076,900,62.9,224.4,704
43.34317,-76.39899,950,63.8,221.2,896
43.342554,-76.399514,1000,65.2,212.5,960
43.342089,-76.399841,1025,65.4,203.4,960
43.341483,-76.400103,1050,67.2,194.7,896
43.341064,-76.400203,1050,68.6,187.5,832
43.340424,-76.400203,1100,70.0,181.6,704
43.339737,-76.400139,1100,71.7,172.0,640
43.339016,-76.399841,1150,73.5,165.0,640
43.338318,-76.399501,1150,75.2,156.5,768
43.33762,-76.398991,1200,77.0,150.4,640
43.336875,-76.398206,1200,78.2,144.9,576
43.335897,-76.39716,1250,80.9,140.0,384
43.33493,-76.39586,1275,82.7,134.5,448
43.334314,-76.394871,1275,84.5,129.7,448
43.333694,-76.393688,1300,84.6,122.9,576
43.33329,-76.392582,1325,84.5,116.0,512
43.332871,-76.391209,1350,85.4,110.6,448
43.332685,-76.390163,1375,85.4,103.6,448
43.332592,-76.389051,1400,84.9,98.1,448
43.332545,-76.387809,1400,85.0,90.7,384
43.332592,-76.38722,1400,85.4,84.6,384
43.332825,-76.385576,1450,85.5,79.2,384
43.333145,-76.384299,1450,85.4,71.6,192
43.333523,-76.382969,1450,85.9,65.2,128
43.334128,-76.381465,1450,86.0,60.8,64
43.334885,-76.380019,1475,85.4,55.0,192
43.336223,-76.377607,1475,85.4,51.7,-64
43.337806,-76.374991,1450,85.0,48.8,-256
43.339389,-76.372768,1425,84.9,46.0,-256
43.341705,-76.369671,1350,80.6,44.0,-576
43.343353,-76.3675,1325,75.7,43.4,-320
43.345487,-76.364724,1250,72.9,42.2,-640
43.34679,-76.36322,1175,71.1,39.3,-640
43.348251,-76.361751,1125,70.2,35.7,-640
43.349304,-76.360801,1075,69.1,31.4,-576
43.350142,-76.360147,1050,67.1,24.7,-576
43.350861,-76.359835,1025,64.5,19.0,-512
43.351547,-76.359579,1000,62.6,12.9,-512
43.352284,-76.359427,975,61.3,5.6,-512
43.352935,-76.359427,950,60.0,0.0,-512
43.35354,-76.359493,925,59.4,353.2,-512
43.354065,-76.359707,900,58.5,347.1,-576
43.354706,-76.359963,875,57.2,340.6,-704
43.355449,-76.360408,850,57.3,335.2,-640
43.35624,-76.360997,825,55.6,329.7,-512
43.356903,-76.361623,800,54.4,324.0,-384
43.35787,-76.362632,750,53.3,320.3,-448
43.358475,-76.363482,725,53.7,315.0,-448
43.358894,-76.36407,725,54.0,309.0,-384
43.359283,-76.364817,700,53.5,302.8,-448
43.359685,-76.365836,675,55.0,297.0,-320
43.35997,-76.366861,650,54.8,291.4,-320
43.360197,-76.367667,650,54.8,284.8,-384
43.360291,-76.368586,625,55.4,277.2,-448
43.360337,-76.369825,600,56.1,273.1,-256
43.360291,-76.370693,600,56.1,265.9,-384
43.360199,-76.371588,575,55.9,259.7,-448
43.360062,-76.37229,550,56.3,253.5,-640
43.359825,-76.373095,550,58.2,245.6,-576
43.359467,-76.374015,500,59.2,239.5,-832
43.358941,-76.375057,450,60.8,233.7,-896
43.357963,-76.376757,375,61.1,230.3,-768
43.357823,-76.376888,375,61.1,230.3,-768
43.357822,-76.376884,375,60.9,247.0,-640
43.35054,-76.387748,325,58.7,227.1,1088
43.349397,-76.389378,425,58.7,225.7,896
43.34816,-76.391197,525,58.7,225.7,1024
43.346977,-76.392713,625,58.0,223.6,1024
43.345673,-76.394414,725,58.0,225.0,1024
43.344543,-76.39586,800,58.1,222.2,832
43.343578,-76.397029,875,62.6,218.5,768
43.342973,-76.397618,900,63.2,214.7,896
43.342554,-76.397879,950,64.8,206.6,960
43.342135,-76.398076,950,66.4,198.4,960
43.341577,-76.398272,1000,67.9,189.3,960
43.341064,-76.398337,1000,69.0,181.7,896
43.340413,-76.398272,1050,69.6,172.6,896
43.339691,-76.398032,1075,70.9,163.6,768
43.338959,-76.397648,1100,72.6,157.3,640
43.338181,-76.39701,1125,75.2,151.4,512
43.337265,-76.396243,1150,77.4,147.1,576
43.33599,-76.394937,1200,77.8,142.8,832
43.335059,-76.39389,1250,78.6,137.6,832
43.334518,-76.393049,1300,78.0,130.8,832
43.334061,-76.392283,1325,78.8,123.1,512
43.333649,-76.391197,1350,81.0,117.2,384
43.333337,-76.390097,1350,83.5,108.9,448
43.333151,-76.389051,1375,83.2,103.2,576
43.333104,-76.388005,1400,83.2,93.4,640
43.333145,-76.386917,1425,83.3,85.2,576
43.333244,-76.385912,1450,82.4,79.5,320
43.333511,-76.38481,1450,82.9,72.4,384
43.333923,-76.383404,1475,84.2,66.2,256
43.334564,-76.381744,1500,86.8,61.1,192
43.335525,-76.379569,1500,87.1,58.1,64
43.336761,-76.377081,1500,86.0,54.5,0
43.338821,-76.373312,1475,84.2,52.7,-320
43.339966,-76.371332,1450,83.0,49.4,-512
43.341344,-76.369302,1400,82.0,46.0,-448
43.342941,-76.36718,1375,77.1,43.4,-64
43.345161,-76.364332,1300,73.6,42.8,-512
43.346651,-76.362501,1250,71.7,39.9,-448
43.347954,-76.361128,1200,71.4,37.0,-576
43.349258,-76.35995,1175,71.6,33.0,-448
43.35022,-76.359196,1150,69.8,27.3,-384
43.351166,-76.358643,1125,67.8,21.6,-384
43.351771,-76.358381,1100,66.0,14.0,-384
43.352417,-76.358302,1100,65.4,6.2,-448
43.353058,-76.358302,1075,65.0,1.8,-512
43.35382,-76.358316,1050,64.4,353.8,-640
43.354565,-76.358577,1025,64.8,346.6,-576
43.355216,-76.358839,1000,64.5,341.0,-448
43.355915,-76.359231,1000,64.4,334.2,-384
43.35672,-76.359899,975,62.4,328.1,-384
43.357497,-76.36067,950,60.6,322.4,-384
43.358382,-76.361716,925,60.2,318.4,-448
43.359833,-76.363667,850,58.7,315.7,-512
43.360291,-76.364332,850,58.1,310.8,-448
43.360616,-76.36492,825,56.3,303.4,-384
43.360849,-76.365574,800,55.0,297.0,-512
43.361035,-76.366163,800,54.4,290.4,-640
43.361175,-76.366882,750,54.6,283.8,-768
43.361252,-76.367628,750,56.3,276.1,-832
43.361268,-76.368452,700,58.0,270.0,-832
43.36116,-76.369416,675,58.6,262.1,-832
43.361035,-76.370283,625,58.9,255.3,-768
43.360756,-76.371198,625,60.2,248.6,-704
43.360337,-76.372506,550,63.5,243.8,-960
43.359787,-76.373759,500,64.7,238.3,-896
43.359127,-76.374926,450,66.4,233.0,-768
43.358335,-76.376234,400,66.6,228.6,-768
43.356753,-76.378523,300,64.4,228.1,-576
43.356194,-76.379373,275,64.4,228.1,-512
