lat,lon,alt,gs,track,vs
40.876144,-74.280273,200,68.0,26.2,832
40.876923,-74.279663,200,69.8,29.1,576
40.878571,-74.27832,300,71.0,32.3,832
40.880034,-74.277004,300,71.0,35.3,640
40.880779,-74.276255,400,71.6,35.9,576
40.883331,-74.273743,500,74.4,36.2,448
40.884689,-74.272322,500,73.9,39.5,704
40.88576,-74.271136,600,74.5,40.1,704
40.887817,-74.268738,600,72.6,38.3,576
40.888227,-74.26839,700,70.5,31.7,576
40.888646,-74.26814,700,66.7,23.9,1024
40.889099,-74.267944,700,64.6,16.2,1024
40.889717,-74.267828,700,63.6,8.1,1024
40.889877,-74.267822,800,63.0,1.8,1024
40.890747,-74.268005,800,64.0,350.1,512
40.891342,-74.268311,800,65.5,341.3,384
40.891625,-74.268514,800,66.6,334.2,256
40.892395,-74.269226,800,67.6,321.6,256
40.892899,-74.269897,800,67.2,314.4,256
40.893208,-74.270387,900,68.0,311.4,256
40.893813,-74.271448,900,69.2,307.4,320
40.894363,-74.272522,900,73.6,301.1,320
40.894744,-74.273571,900,74.3,293.8,320
40.894958,-74.274414,1000,74.6,288.0,320
40.89505,-74.275146,1000,77.1,279.7,320
40.89505,-74.276062,1000,80.1,272.1,448
40.895004,-74.276855,1000,82.4,264.4,384
40.894821,-74.27771,1000,85.6,255.8,320
40.894501,-74.278748,1000,87.5,247.8,320
40.894089,-74.279602,1000,91.4,239.8,320
40.893448,-74.280884,1000,94.3,235.8,320
40.892761,-74.281921,1000,98.7,230.3,320
40.890976,-74.284546,1000,103.3,227.4,0
40.889145,-74.287109,1000,101.9,227.4,128
40.88855,-74.288025,1100,101.9,227.4,512
40.886078,-74.291382,1100,100.4,225.0,384
40.884177,-74.293671,1100,101.3,221.4,384
40.882553,-74.295349,1100,102.0,217.4,384
40.880173,-74.297607,1100,104.3,214.4,384
40.876282,-74.300964,1100,100.7,212.4,384
40.874817,-74.302185,1100,95.7,212.2,384
40.873489,-74.303284,1100,91.8,213.0,384
40.872213,-74.30447,1100,86.8,215.1,-384
40.871561,-74.305094,1000,86.4,217.0,-512
40.86807,-74.308714,1000,82.6,218.1,0
40.865479,-74.311401,900,81.2,218.0,-640
40.863135,-74.313646,900,84.4,216.3,-768
40.862961,-74.313843,800,85.4,215.0,-832
40.861862,-74.314697,800,86.0,209.2,-384
40.860947,-74.315269,800,85.8,201.2,-128
40.860168,-74.31543,800,84.9,192.2,-64
40.859619,-74.315491,800,85.1,183.4,-64
40.858853,-74.315456,800,83.5,173.8,0
40.858246,-74.315247,800,83.0,167.5,-192
40.857513,-74.31488,800,82.1,157.8,-384
40.857037,-74.31452,800,81.5,150.6,-448
40.856461,-74.313965,800,79.8,142.1,-704
40.856292,-74.313771,700,79.8,142.1,-704
40.855774,-74.313049,700,80.6,134.0,-832
40.855082,-74.311898,700,82.0,127.6,-704
40.853897,-74.30957,600,81.3,124.5,-448
40.852386,-74.306824,600,76.6,126.0,-384
40.851151,-74.304443,600,72.1,123.7,-320
40.850876,-74.30365,500,70.2,116.2,-640
40.850659,-74.302909,500,70.8,108.9,-832
40.850555,-74.302185,500,72.0,99.6,-576
40.850555,-74.30127,500,72.1,93.2,-704
40.850555,-74.30072,500,72.4,83.7,-320
40.850693,-74.299988,500,72.5,74.8,0
40.850922,-74.299377,500,71.2,66.0,-64
40.851196,-74.298767,500,69.1,58.6,-192
40.851562,-74.298157,500,67.4,49.2,-384
40.852158,-74.297424,400,67.2,43.2,-576
40.85257,-74.297058,400,67.7,34.2,-768
