lat,lon,alt,gs,track
37.685666,-97.216943,1450,85.1,192.9
37.683152,-97.217719,1550,84.2,193.1
37.680731,-97.218376,1650,84.0,192.4
37.678031,-97.219033,1725,84.3,190.2
37.677155,-97.219186,1725,88.1,189.1
37.67575,-97.219391,1750,92.8,187.4
37.671478,-97.220121,1825,95.2,189.1
37.669,-97.220704,1875,94.2,192.3
37.666067,-97.2216,1900,94.1,194.8
37.66239,-97.222854,1975,96.0,194.5
37.658157,-97.224212,2050,95.1,194.6
37.652753,-97.225959,2100,97.3,194.9
37.648361,-97.227485,2175,95.3,195.2
37.6447,-97.228765,2250,94.4,195.4
37.640533,-97.230231,2325,94.9,196.5
37.638369,-97.231094,2350,96.2,196.9
37.632876,-97.233183,2400,100.3,196.8
37.631293,-97.2339,2425,99.2,201.9
37.630463,-97.234439,2425,98.9,208.4
37.629776,-97.235023,2450,98.8,215.9
37.628919,-97.23599,2475,98.3,223.8
37.62822,-97.23701,2500,99.4,229.9
37.627533,-97.238237,2500,101.2,237.1
37.626963,-97.239572,2525,102.9,244.7
37.626638,-97.240826,2550,103.1,251.9
37.626343,-97.242503,2600,102.0,258.7
37.626068,-97.24449,2625,103.2,261.1
37.625846,-97.246976,2650,104.3,265.6
37.625473,-97.254892,2700,106.2,266.8
37.625288,-97.257962,2750,104.2,266.1
37.625194,-97.259754,2800,102.2,266.1
37.625055,-97.26262,2900,100.2,266.6
37.624924,-97.265002,2950,100.1,267.1
37.624741,-97.27032,3025,102.2,266.6
37.62445,-97.276233,3100,102.2,266.6
37.624217,-97.281189,3175,101.3,265.5
37.623984,-97.284771,3275,102.2,266.1
37.623658,-97.290623,3350,104.4,265.0
37.623286,-97.295937,3425,104.4,265.0
37.622913,-97.301072,3500,105.3,265.6
37.622541,-97.307699,3550,109.1,267.4
37.622223,-97.315492,3625,110.2,266.4
37.621936,-97.323821,3675,113.1,267.5
37.621719,-97.330043,3750,113.2,267.0
37.621674,-97.332848,3775,114.0,271.0
37.621843,-97.334628,3775,115.1,278.0
37.622169,-97.336359,3800,115.7,284.5
37.622634,-97.33827,3850,116.1,288.6
37.623844,-97.342211,3950,116.5,290.6
37.626032,-97.349376,4025,119.0,291.2
37.627755,-97.354869,4100,116.6,292.2
37.628906,-97.358385,4200,113.5,292.3
37.629868,-97.361424,4250,111.8,291.5
37.63147,-97.366625,4325,109.9,291.9
37.633392,-97.37282,4400,109.6,291.4
37.63559,-97.379715,4475,109.6,291.4
37.637283,-97.385325,4550,109.6,291.4
37.639206,-97.391578,4625,110.1,290.7
37.640557,-97.396068,4725,105.1,291.2
37.642186,-97.401203,4800,104.5,291.9
37.644514,-97.408308,4850,107.2,292.5
37.646888,-97.415652,4925,109.0,292.1
37.648145,-97.419533,4975,107.7,291.8
37.649139,-97.422667,5075,105.1,291.2
37.650558,-97.427342,5150,106.0,291.0
37.652069,-97.432368,5225,107.6,290.1
37.65429,-97.439953,5275,107.9,290.6
37.656235,-97.446627,5350,104.8,290.7
37.65834,-97.453209,5425,106.8,292.0
37.659668,-97.457555,5525,107.0,290.8
37.660947,-97.461926,5625,106.3,289.8
37.662964,-97.469242,5700,107.8,288.9
37.663971,-97.473158,5725,106.0,285.9
37.664474,-97.476021,5750,104.3,282.2
37.66481,-97.478346,5775,103.1,278.4
37.66495,-97.480495,5800,103.2,273.9
37.664978,-97.482624,5825,104.0,268.9
37.664904,-97.48778,5875,105.0,270.5
37.66509,-97.492974,5925,105.1,272.7
37.66539,-97.499221,5950,109.2,273.7
37.665573,-97.502493,5950,113.3,274.0
37.665848,-97.506818,5950,117.5,275.4
37.666306,-97.512252,5925,121.6,275.7
37.667045,-97.522769,5950,126.5,275.0
37.667542,-97.530719,5925,128.2,273.1
37.667604,-97.532442,5925,127.1,272.7
37.668091,-97.547198,5950,128.1,272.7
37.668411,-97.556432,5925,132.2,273.0
37.669052,-97.571684,5950,132.2,273.5
37.669698,-97.586716,5950,132.1,272.6
37.670257,-97.602121,5950,135.1,272.1
37.670816,-97.617645,5925,135.1,272.5
37.671374,-97.633587,5950,138.1,272.5
37.671607,-97.641349,5925,138.0,270.8
37.671561,-97.654067,5950,136.0,269.6
37.671616,-97.666529,5950,135.0,270.9
37.671936,-97.682307,5925,136.1,271.7
37.672259,-97.697774,5925,135.0,271.3
37.672623,-97.713396,5925,138.1,272.1
37.673218,-97.729174,5925,137.1,272.5
37.673748,-97.745122,5925,136.1,272.5
37.674354,-97.760945,5950,139.2,272.9
37.674912,-97.776947,5925,139.1,272.5
37.675415,-97.792462,5950,137.1,272.5
37.675964,-97.80865,5925,139.2,272.9
37.676559,-97.824837,5925,141.1,272.4
37.677109,-97.840732,5925,137.1,272.1
37.677612,-97.856978,5925,141.2,272.8
37.678078,-97.869913,5950,142.1,271.6
37.678391,-97.878717,5925,137.1,272.5
37.678636,-97.889617,5950,133.0,271.3
37.678894,-97.900981,5950,137.1,272.1
37.679335,-97.916844,5925,140.1,272.0
37.679614,-97.927949,5950,136.1,272.1
37.679993,-97.943524,5925,134.1,271.7
37.680405,-97.958938,5950,133.1,271.7
37.680824,-97.974283,5950,137.1,271.7
37.681197,-97.986643,5925,136.1,272.5
37.681686,-98.002079,5950,136.1,272.5
37.682007,-98.01213,5950,135.1,271.7
37.682053,-98.014643,5950,136.1,272.1
37.682547,-98.030648,5950,137.1,272.1
37.68306,-98.046258,5950,139.1,272.1
37.683563,-98.062212,5925,137.1,272.5
37.684204,-98.078107,5950,139.1,272.5
37.684735,-98.092565,5925,141.1,271.6
37.684982,-98.103703,5950,140.1,272.0
37.684968,-98.104089,5950,140.1,272.0
37.685107,-98.10785,5975,141.1,271.6
37.68512,-98.108611,5975,142.1,272.0
37.685486,-98.119364,5925,142.2,272.8
37.685989,-98.133272,5925,138.1,272.5
37.686457,-98.14881,5925,135.1,272.1
37.686813,-98.16366,5925,140.0,271.2
37.687156,-98.176276,5925,138.1,272.5
37.687621,-98.191979,5925,136.1,271.7
37.687683,-98.194749,5950,136.0,271.3
37.687761,-98.198488,5925,137.1,271.7
37.688226,-98.214131,5925,136.1,272.5
37.688645,-98.229476,5950,133.1,271.7
37.688965,-98.245122,5950,137.1,271.7
37.689343,-98.258614,5925,135.1,272.5
37.689835,-98.271536,5950,138.3,273.7
37.690063,-98.273932,5925,139.2,277.4
37.690414,-98.275929,5925,139.7,284.9
37.691206,-98.278377,5925,140.2,290.9
37.691671,-98.279512,5925,140.1,298.6
37.692928,-98.28184,5950,140.9,304.6
37.694837,-98.285005,5975,143.2,307.9
37.695488,-98.28608,5950,143.8,308.2
37.699677,-98.292925,5925,144.2,307.1
37.702285,-98.297663,5925,144.0,304.2
37.706451,-98.305547,5925,139.2,303.6
37.713409,-98.318988,5950,142.8,303.6
37.716019,-98.32378,5950,147.3,304.8
37.723792,-98.337429,5925,145.7,305.2
37.730759,-98.350077,5925,140.9,304.6
37.738129,-98.363576,5925,137.3,304.6
37.745224,-98.376316,5925,133.5,305.2
37.751724,-98.388178,5950,130.9,304.4
37.758591,-98.400859,5975,132.3,304.5
37.765549,-98.413318,5950,134.8,305.3
37.77269,-98.426046,5950,134.8,305.3
37.779831,-98.438961,5950,138.5,305.3
37.784134,-98.446441,5950,139.4,306.5
37.787155,-98.451584,5950,136.0,306.0
37.791046,-98.458421,5925,137.6,305.5
37.795017,-98.465324,5850,140.8,306.6
37.798369,-98.471056,5775,141.6,306.4
37.802419,-98.478042,5725,144.0,305.7
37.804374,-98.481445,5675,144.6,306.0
37.808212,-98.487932,5575,142.2,306.7
37.811646,-98.493776,5500,139.4,306.5
37.813019,-98.496113,5475,138.0,306.5
37.813964,-98.497746,5475,138.6,306.8
37.816617,-98.502343,5450,139.8,305.4
37.820062,-98.508433,5350,143.5,305.4
37.823318,-98.514287,5275,145.1,304.9
37.82753,-98.521826,5200,145.7,305.2
37.831924,-98.529715,5100,147.6,305.6
37.835424,-98.53584,5025,149.3,305.2
37.839009,-98.542348,4950,145.1,304.9
37.842361,-98.548298,4875,142.9,305.0
37.845666,-98.554289,4800,144.0,305.7
37.849045,-98.560336,4725,144.5,304.6
37.850784,-98.563492,4700,144.5,304.6
37.855302,-98.571724,4600,143.7,304.8
37.858421,-98.577337,4525,142.3,304.7
37.862228,-98.584296,4475,144.8,305.5
37.873271,-98.603907,4250,145.7,305.2
37.874482,-98.606116,4250,131.5,304.8
37.877787,-98.612326,4250,126.8,304.1
37.881139,-98.618715,4250,122.0,303.3
37.885529,-98.627306,4300,122.3,302.6
37.886306,-98.628865,4275,126.5,303.1
37.88681,-98.629819,4275,127.9,303.2
37.891613,-98.638956,4250,129.0,302.3
37.892395,-98.640922,4250,127.9,296.0
37.892944,-98.642851,4250,127.1,289.3
37.893402,-98.64513,4250,126.8,284.1
37.893568,-98.646957,4250,125.0,277.4
37.893631,-98.649045,4250,124.0,270.9
37.893631,-98.663596,4250,124.0,270.0
37.893539,-98.677388,4250,121.0,269.5
37.893475,-98.684633,4275,125.0,268.6
37.893382,-98.694664,4250,124.0,270.0
37.893382,-98.708874,4250,124.0,270.5
37.893448,-98.71619,4250,119.0,270.5
37.893475,-98.719622,4250,114.0,270.5
37.893494,-98.724839,4250,109.0,269.5
37.893382,-98.732758,4250,106.0,268.4
37.893196,-98.736161,4275,108.5,264.7
37.892944,-98.737754,4275,111.0,259.1
37.892637,-98.739027,4275,112.3,252.4
37.892172,-98.740341,4275,112.3,245.3
37.891525,-98.741786,4250,112.1,237.0
37.890728,-98.743027,4250,110.6,229.4
37.889984,-98.743923,4250,109.0,222.8
37.889192,-98.744699,4225,106.6,216.2
37.888122,-98.745475,4225,103.8,208.8
37.887039,-98.746052,4250,101.4,202.0
37.885895,-98.74652,4250,100.3,196.8
37.884338,-98.746987,4225,101.0,191.4
37.88314,-98.747147,4225,102.6,186.2
37.880951,-98.747338,4175,105.1,182.2
37.87825,-98.747279,4150,110.0,178.4
37.876111,-98.747147,4150,113.1,178.0
37.873901,-98.747104,4100,118.0,178.5
37.872713,-98.747088,4125,119.0,179.0
37.871642,-98.747028,4075,120.0,179.5
37.871083,-98.747028,4050,120.0,179.5
37.867218,-98.747163,3975,119.0,181.4
37.866754,-98.747147,3975,115.1,182.0
37.865544,-98.747207,4000,111.1,182.1
37.864059,-98.747279,4025,108.0,181.6
37.862549,-98.747279,4050,103.0,180.0
37.858521,-98.747221,4100,100.0,179.4
37.852753,-98.747163,4075,103.0,180.0
37.848552,-98.747267,4100,107.0,181.1
37.84534,-98.747326,4100,111.0,181.0
37.835999,-98.747513,4100,110.0,181.6
37.833376,-98.747625,4075,110.1,182.1
37.831741,-98.747572,4050,108.0,178.9
37.828674,-98.747446,4075,103.1,177.8
37.827805,-98.747396,4075,99.0,178.3
37.825516,-98.747396,4075,94.0,180.0
37.822995,-98.747386,4050,93.0,180.0
37.819244,-98.747396,3975,97.0,180.0
37.815314,-98.747386,3900,98.0,180.0
37.811217,-98.747386,3850,102.0,179.4
37.80899,-98.747396,3800,106.0,180.0
37.804793,-98.747386,3700,108.0,180.0
37.800464,-98.747326,3625,110.0,179.0
37.796036,-98.747279,3550,113.0,179.5
37.792364,-98.747267,3500,117.0,180.5
37.788528,-98.747338,3400,115.0,180.5
37.784042,-98.747338,3325,110.0,179.5
37.78026,-98.747326,3250,105.0,178.9
37.77607,-98.747147,3175,101.0,178.3
37.772141,-98.747104,3100,101.0,179.4
37.768296,-98.747088,3025,102.0,180.0
37.764246,-98.747147,2950,101.0,180.6
37.759735,-98.747163,2875,104.0,180.6
37.755587,-98.747207,2800,105.0,181.1
37.751258,-98.747207,2700,104.0,179.4
37.74678,-98.747104,2625,101.0,179.4
37.741882,-98.747104,2550,103.0,179.4
37.739456,-98.747046,2525,105.0,180.0
37.732635,-98.747104,2375,102.0,180.6
37.730026,-98.747104,2325,102.0,180.0
37.674362,-98.747805,2825,103.2,183.9
37.671295,-98.748098,2925,103.4,185.0
37.669693,-98.748331,2950,103.7,186.6
37.66658,-98.748799,3075,103.6,186.1
37.664764,-98.749237,3125,100.5,189.7
37.660621,-98.750192,3150,100.0,191.5
37.657641,-98.751148,3175,100.2,194.4
37.653359,-98.752402,3225,99.9,193.9
37.651217,-98.752939,3250,103.6,190.0
37.647959,-98.753596,3325,104.6,189.9
37.642884,-98.754432,3450,104.6,189.9
37.641998,-98.754584,3475,103.6,186.1
37.632477,-98.749149,3550,104.4,184.9
37.631945,-98.747864,3525,119.9,116.8
37.6306,-98.741903,3575,120.8,115.5
37.630463,-98.741143,3575,123.0,100.3
37.630096,-98.737462,3625,122.8,96.6
37.629959,-98.734598,3625,122.2,93.3
37.629776,-98.729164,3625,124.0,90.9
37.62985,-98.724697,3625,126.0,88.6
37.630142,-98.719229,3575,130.3,86.0
37.630508,-98.713385,3600,132.7,83.9
37.631246,-98.707083,3600,132.4,81.8
37.631665,-98.701709,3600,132.6,84.4
37.631945,-98.695977,3575,133.2,87.0
37.632131,-98.689469,3575,134.0,88.7
37.63227,-98.678065,3625,133.0,88.7
37.63255,-98.674303,3600,135.5,84.9
37.633341,-98.663854,3525,137.7,84.2
37.63376,-98.658719,3525,138.6,84.6
37.634079,-98.654597,3525,138.8,83.8
37.634857,-98.64437,3575,136.5,85.0
37.635452,-98.634436,3625,134.3,86.2
37.635855,-98.629641,3625,137.1,82.9
37.636414,-98.623566,3625,136.8,83.7
37.637283,-98.612054,3575,139.9,83.4
37.638199,-98.601009,3525,138.6,84.6
37.638794,-98.594464,3525,139.0,83.0
37.638881,-98.593398,3550,139.0,83.0
37.639755,-98.58377,3600,136.8,83.7
37.6409,-98.570855,3600,134.1,82.7
37.642233,-98.559544,3550,135.5,81.5
37.643738,-98.546604,3575,134.1,82.7
37.644467,-98.537153,3600,132.7,83.9
37.645352,-98.525331,3575,134.7,84.0
37.646072,-98.515106,3575,134.7,84.0
37.646439,-98.504996,3575,132.3,86.1
37.646393,-98.501899,3575,134.0,90.9
37.646072,-98.491847,3600,134.0,91.3
37.645752,-98.476244,3600,136.1,91.7
37.645817,-98.473504,3600,136.0,88.7
37.646072,-98.46929,3575,137.4,85.4
37.646376,-98.462876,3550,140.4,85.9
37.64653,-98.458245,3575,140.0,89.2
37.646655,-98.446516,3525,141.1,88.0
37.647079,-98.440013,3550,142.6,84.8
37.647812,-98.43113,3500,140.8,83.9
37.648471,-98.423827,3500,137.9,83.3
37.648796,-98.420603,3475,138.1,82.9
37.649551,-98.41167,3475,135.6,84.5
37.650146,-98.402809,3525,135.9,83.2
37.650925,-98.394548,3575,135.5,84.9
37.651171,-98.389315,3625,133.1,87.8
37.651245,-98.383854,3625,132.0,88.7
37.651428,-98.37801,3625,136.2,86.6
37.652023,-98.3679,3625,139.4,85.5
37.652241,-98.365193,3625,139.6,84.7
37.652618,-98.362466,3650,138.1,80.0
37.653442,-98.356914,3625,137.5,81.6
37.653731,-98.353968,3600,139.9,83.4
37.654312,-98.34546,3550,142.5,85.2
37.655319,-98.331377,3550,139.7,84.2
37.655593,-98.328711,3575,138.8,83.8
37.656143,-98.320507,3625,136.4,85.4
37.656757,-98.309067,3600,137.2,86.7
37.65699,-98.299693,3600,135.1,88.3
37.657242,-98.289535,3550,133.1,88.3
37.65715,-98.287373,3525,132.0,90.9
37.65683,-98.284685,3500,130.7,95.7
37.656509,-98.283224,3500,129.8,105.6
37.655128,-98.279154,3475,130.0,108.8
37.653305,-98.275335,3400,130.0,108.8
37.634766,-98.097917,2875,103.5,84.4
37.634924,-98.094237,2925,104.1,87.8
37.63497,-98.089401,3025,103.0,88.9
37.635157,-98.082176,3100,106.0,88.4
37.635343,-98.076742,3175,106.2,86.8
37.635669,-98.07101,3250,107.2,86.3
37.635995,-98.065458,3350,105.3,85.6
37.63632,-98.060442,3425,104.5,84.5
37.636739,-98.055009,3500,106.5,84.6
37.6371,-98.050524,3600,107.6,84.1
37.637484,-98.045097,3675,106.5,84.6
37.637857,-98.039723,3750,107.5,84.7
37.638245,-98.034395,3850,108.5,84.7
37.638648,-98.029095,3925,107.5,84.7
37.639069,-98.023643,4000,107.5,84.7
37.639435,-98.018909,4100,106.4,85.2
37.639765,-98.01381,4175,105.4,85.1
37.640076,-98.008799,4275,104.3,85.6
37.640417,-98.003301,4350,103.3,85.6
37.640883,-97.996614,4425,105.5,84.6
37.641348,-97.990762,4500,106.5,84.6
37.641907,-97.983538,4575,108.5,84.7
37.642319,-97.978003,4675,107.5,84.7
37.642745,-97.972551,4775,106.5,84.6
37.643164,-97.967237,4850,107.5,84.7
37.64349,-97.962162,4950,107.5,84.7
37.644012,-97.955037,5025,111.5,84.8
37.644333,-97.950128,5025,116.4,85.6
37.644514,-97.946339,5025,121.2,87.2
37.6447,-97.940249,5025,126.1,88.2
37.644933,-97.929502,5025,131.1,87.8
37.64534,-97.921376,5025,131.3,86.1
37.645864,-97.913619,5025,132.6,84.4
37.647217,-97.898352,5025,134.7,84.0
37.648377,-97.883049,5025,137.5,85.0
37.649215,-97.872719,5025,139.8,83.8
37.65065,-97.856627,5025,140.7,84.3
37.65184,-97.840674,5025,142.6,84.8
37.65303,-97.824077,5025,145.7,84.5
37.654175,-97.807539,5025,141.6,84.7
37.655407,-97.791396,5025,138.7,84.2
37.656617,-97.775514,5025,137.6,84.6
37.657781,-97.759632,5000,137.6,84.6
37.658991,-97.743809,5025,138.6,84.6
37.660034,-97.728064,5025,141.4,85.5
37.66104,-97.712104,5025,137.5,85.0
37.66211,-97.696401,5025,138.5,85.0
37.662735,-97.687625,5025,139.9,83.4
37.663055,-97.685521,5025,141.0,78.1
37.663554,-97.683563,5025,143.3,70.4
37.664246,-97.681664,5025,144.9,63.8
37.665161,-97.679736,5025,145.1,58.0
37.666489,-97.677398,5025,146.4,53.0
37.668907,-97.673771,5025,147.5,49.4
37.677752,-97.661053,5025,146.8,49.1
37.686504,-97.648156,5025,146.9,49.7
37.695116,-97.635438,5025,146.8,49.1
37.704071,-97.62235,5025,149.6,49.1
37.712945,-97.609406,5025,148.9,49.4
37.721786,-97.596345,5025,147.5,49.4
