lat,lon,alt,gs,track
43.517303,-84.652533,6800,161.4,176.1
43.508926,-84.651511,6800,161.8,174.3
43.500459,-84.650181,6800,162.2,172.9
43.494035,-84.649266,6800,162.6,175.1
43.487091,-84.6487,6800,162.2,177.2
43.472168,-84.64787,6800,162.1,177.9
43.45819,-84.646977,6800,161.2,177.2
43.443247,-84.645735,6800,161.3,176.4
43.428443,-84.644427,6800,161.4,176.1
43.413872,-84.643119,6800,161.4,176.1
43.399109,-84.641738,6800,162.4,176.1
43.384311,-84.640307,6800,162.4,176.1
43.369675,-84.638927,6800,161.4,176.1
43.35489,-84.63756,6800,162.3,176.5
43.340286,-84.636309,6800,162.3,176.5
43.325423,-84.634944,6800,162.4,176.1
43.31076,-84.633562,6800,162.4,176.1
43.295862,-84.632198,6800,161.4,176.1
43.281189,-84.630815,6800,161.4,176.1
43.271484,-84.629985,6700,164.3,176.5
43.262054,-84.629155,6600,168.3,176.6
43.253546,-84.62847,6500,170.3,176.6
43.247401,-84.628013,6400,172.3,176.7
43.23837,-84.627359,6300,172.2,177.3
43.232254,-84.626855,6200,173.4,176.4
43.224518,-84.626153,6100,173.4,176.0
43.214535,-84.625201,6000,173.4,176.0
43.208158,-84.624547,5900,173.5,175.7
43.198056,-84.6235,5800,172.5,175.7
43.192842,-84.622977,5700,173.4,176.0
43.183299,-84.622062,5600,173.4,176.0
43.173663,-84.621146,5500,173.4,176.0
43.166702,-84.620532,5400,174.4,176.1
43.15741,-84.619637,5300,175.4,176.1
43.149124,-84.618871,5200,174.4,176.1
43.143036,-84.618296,5100,174.4,176.1
43.132919,-84.617338,5000,174.4,176.1
43.126179,-84.616765,4900,174.3,176.4
43.116217,-84.615849,4800,174.3,176.4
43.111084,-84.615422,4700,174.3,176.4
43.102112,-84.614655,4600,173.4,176.0
43.091537,-84.613633,4500,173.4,176.0
43.084808,-84.613058,4400,173.4,176.4
43.075251,-84.612187,4300,173.4,176.4
43.069246,-84.611664,4200,173.4,176.4
43.061704,-84.61101,4100,173.4,176.0
43.050888,-84.609992,4000,173.4,176.4
43.045715,-84.609545,3900,173.4,176.4
43.03517,-84.60859,3800,171.4,176.3
43.025665,-84.607757,3700,170.4,176.3
43.018616,-84.607118,3600,169.4,176.3
43.005295,-84.605905,3500,168.4,175.9
42.997421,-84.605202,3400,168.4,176.2
42.986526,-84.60418,3300,167.4,176.2
42.976547,-84.603222,3200,166.4,175.9
42.969624,-84.602574,3100,166.4,175.9
42.9578,-84.601397,3000,165.4,175.8
42.950546,-84.600731,2900,165.4,176.2
42.93837,-84.599581,2800,166.4,176.2
42.933639,-84.599043,2800,166.1,173.4
42.928472,-84.598062,2700,165.6,172.0
42.922531,-84.596834,2600,166.0,171.0
42.911806,-84.5944,2500,165.4,170.2
42.904265,-84.592634,2400,165.7,169.6
42.893143,-84.589808,2300,166.7,169.6
42.884949,-84.587764,2200,165.7,169.6
42.875077,-84.585048,2100,166.5,168.2
42.864304,-84.582016,2000,165.5,168.1
42.85762,-84.580099,1900,166.7,167.9
42.853337,-84.578705,1900,165.4,165.3
42.847937,-84.576547,1900,164.5,162.7
42.84256,-84.574223,1800,163.2,162.9
42.835554,-84.571184,1700,163.8,161.1
42.827362,-84.567133,1600,162.3,159.4
42.820221,-84.563428,1600,157.9,159.6
42.816188,-84.561441,1500,153.1,160.1
42.813629,-84.560235,1500,148.7,160.4
