lat,lon,alt,gs,track,vs
42.281754,-71.756079,475,71.6,15.4,384
42.282653,-71.755989,475,72.0,9.6,384
42.283165,-71.755925,500,71.1,2.4,384
42.284142,-71.755989,550,71.2,356.0,640
42.285828,-71.756266,600,73.7,352.2,576
42.287727,-71.756691,650,75.3,349.3,576
42.289261,-71.757202,700,75.2,346.1,640
42.290634,-71.757764,750,74.3,342.8,640
42.292099,-71.758451,800,73.7,339.4,640
42.293639,-71.75931,875,72.5,335.6,704
42.295268,-71.760396,925,72.5,332.0,640
42.296585,-71.761447,975,73.6,328.9,576
42.297363,-71.762184,1000,74.2,322.7,640
42.297829,-71.762759,1025,74.3,315.5,704
42.298279,-71.763507,1050,74.0,308.4,768
42.29862,-71.764228,1075,74.4,300.7,640
42.298946,-71.765186,1100,74.8,292.8,704
42.299179,-71.766208,1150,75.3,287.0,768
42.299412,-71.767614,1175,75.3,280.7,768
42.299606,-71.769624,1225,74.5,276.9,704
42.299877,-71.77349,1325,75.5,276.8,576
42.300156,-71.775804,1350,77.3,280.4,512
42.300668,-71.779175,1450,77.5,281.2,704
42.301134,-71.782369,1550,77.3,280.4,832
42.301575,-71.785854,1650,77.3,280.4,832
42.302078,-71.789162,1750,78.5,281.0,768
42.302536,-71.792533,1850,78.1,279.6,832
42.302948,-71.795592,1950,76.5,281.3,896
42.303497,-71.798651,2025,77.4,284.2,832
42.303927,-71.801147,2125,77.9,282.6,896
42.304276,-71.803582,2200,77.1,279.7,960
42.304532,-71.806194,2300,76.7,277.5,896
42.304905,-71.810281,2400,76.5,276.8,704
42.305283,-71.814443,2475,76.7,277.5,576
42.30574,-71.818626,2575,77.9,278.9,576
42.306244,-71.82287,2650,82.7,277.6,512
42.306427,-71.825055,2650,87.5,275.9,192
42.306564,-71.827302,2650,92.4,275.6,0
42.306793,-71.830611,2625,97.3,274.7,-192
42.307114,-71.834731,2625,101.6,276.2,0
42.308163,-71.847264,2625,105.7,276.5,64
42.308807,-71.855143,2625,107.5,275.3,0
42.30954,-71.867502,2625,109.4,274.7,-64
42.310119,-71.876008,2625,109.7,276.3,0
42.311236,-71.888144,2625,113.9,277.1,0
42.312493,-71.902196,2625,113.9,277.1,0
42.313657,-71.915418,2625,117.7,276.3,-64
42.314758,-71.929051,2625,117.8,276.8,0
42.316124,-71.943459,2625,116.0,277.4,0
42.317381,-71.957511,2600,112.9,277.1,0
42.318649,-71.971436,2625,114.9,277.0,0
42.319895,-71.985616,2625,113.9,277.1,0
42.321151,-71.999668,2600,114.9,277.0,-64
42.322403,-72.013259,2625,110.9,277.2,64
42.323619,-72.026814,2625,112.8,276.6,0
42.324783,-72.040483,2625,113.6,276.1,0
42.3259,-72.054408,2625,112.8,276.6,0
42.327118,-72.068128,2625,112.9,277.1,64
42.3284,-72.082048,2625,112.8,276.6,0
42.329624,-72.095798,2625,112.6,276.1,0
42.330788,-72.109595,2625,112.8,276.6,0
42.331998,-72.123264,2625,113.7,276.6,0
42.333162,-72.137189,2625,113.9,277.1,0
42.334372,-72.151177,2625,114.7,276.5,64
42.335541,-72.165382,2625,113.7,276.6,0
42.336823,-72.179364,2625,113.9,277.1,0
42.338104,-72.193409,2625,116.8,276.9,0
42.339307,-72.207961,2625,116.7,276.4,0
42.340564,-72.222269,2625,117.7,276.3,0
42.341721,-72.236793,2625,118.6,275.8,0
42.342499,-72.246094,2600,117.0,277.4,-64
42.343776,-72.260465,2625,114.7,276.5,0
42.345033,-72.274582,2600,114.7,276.5,-64
42.345978,-72.285045,2600,118.8,276.8,-128
42.347128,-72.299748,2600,117.7,276.3,0
42.348358,-72.314196,2600,116.8,276.9,0
42.349641,-72.328427,2600,117.0,277.4,64
42.350922,-72.342599,2600,117.0,277.4,0
42.3517,-72.35165,2600,119.7,276.2,0
42.352807,-72.365474,2575,116.8,276.9,0
42.354064,-72.37959,2600,115.6,276.0,0
42.355225,-72.39391,2575,117.7,276.3,0
42.356369,-72.408142,2600,117.6,275.9,0
42.357285,-72.419128,2575,116.8,276.9,-64
42.358579,-72.433436,2575,119.7,276.2,-64
42.359848,-72.44803,2575,116.7,276.4,0
42.361084,-72.462387,2575,118.8,276.8,0
42.362211,-72.476998,2600,120.7,276.2,0
42.363327,-72.49029,2600,118.8,276.8,0
42.364538,-72.504783,2600,116.7,276.4,0
42.365795,-72.519091,2600,116.8,276.9,0
42.367005,-72.533527,2600,116.7,276.4,0
42.368134,-72.547781,2575,116.5,275.4,0
42.368866,-72.557207,2575,115.7,276.5,0
42.370193,-72.571314,2600,116.8,276.9,0
42.371384,-72.585421,2575,115.7,276.5,-64
42.372528,-72.599654,2575,115.7,276.5,-64
42.373616,-72.613752,2575,116.6,275.9,0
42.374687,-72.627996,2575,115.5,275.5,0
42.375824,-72.642351,2600,115.6,276.0,64
42.376785,-72.654273,2625,111.8,276.7,256
42.377433,-72.660828,2700,110.0,277.8,320
42.37825,-72.669067,2775,106.8,277.0,320
42.378845,-72.675934,2850,105.7,276.5,384
42.379486,-72.683362,2925,105.7,276.5,384
42.380087,-72.690529,3000,106.7,276.5,384
42.380645,-72.697427,3075,107.7,276.4,384
42.381226,-72.705085,3150,106.5,275.4,320
42.381866,-72.713512,3200,108.6,275.8,192
42.382462,-72.72144,3200,113.5,275.6,-64
42.383514,-72.735235,3175,112.6,276.1,0
42.384602,-72.747952,3175,111.8,276.7,0
42.385766,-72.761749,3200,112.8,276.6,0
42.386883,-72.775545,3200,111.6,276.2,0
42.388,-72.788981,3175,111.8,276.7,-64
42.389025,-72.801542,3200,111.6,276.2,0
42.390152,-72.815323,3175,111.6,276.2,0
42.391251,-72.828931,3175,112.6,276.1,0
42.39233,-72.842613,3175,112.6,276.1,0
42.393401,-72.856346,3200,112.5,275.6,0
42.394455,-72.869505,3200,113.7,276.6,64
42.395589,-72.883492,3200,112.8,276.6,64
42.396752,-72.896714,3200,112.8,276.6,0
42.397888,-72.91033,3200,112.6,276.1,0
42.398941,-72.923813,3225,108.7,276.3,192
42.399628,-72.931616,3300,105.7,276.5,320
42.40029,-72.939254,3375,104.6,276.0,256
42.401184,-72.951404,3400,109.6,275.8,0
42.401873,-72.961163,3400,114.5,275.5,64
42.402878,-72.975499,3400,118.5,275.3,0
42.403885,-72.987921,3375,116.7,276.4,0
42.405085,-73.002234,3400,116.8,276.9,0
42.406296,-73.016478,3375,115.7,276.5,0
42.407413,-73.030786,3400,117.6,275.9,0
42.408508,-73.045349,3375,118.6,275.8,0
42.409561,-73.058583,3400,116.8,276.9,0
42.410706,-73.072565,3400,117.6,275.9,0
42.411835,-73.087123,3375,116.7,276.4,0
42.412949,-73.101342,3375,117.7,276.3,0
42.414093,-73.115637,3400,118.6,275.8,64
42.415234,-73.130238,3400,119.6,275.8,64
42.416336,-73.144663,3375,117.6,275.9,0
42.417515,-73.159045,3375,115.6,276.0,0
42.418632,-73.173225,3400,115.6,276.0,0
42.419678,-73.187173,3375,115.5,275.5,0
42.420587,-73.200563,3375,117.4,274.9,-128
42.420914,-73.207335,3300,120.2,272.9,-384
42.420959,-73.211677,3225,122.0,269.5,-704
42.420913,-73.216595,3125,123.0,269.1,-768
42.420866,-73.220875,3025,122.0,268.6,-896
42.420727,-73.225538,2925,120.1,268.1,-896
42.42068,-73.229689,2825,117.0,269.0,-1024
42.420685,-73.233677,2725,115.0,270.5,-1152
42.420727,-73.236843,2625,112.0,271.5,-1216
42.420822,-73.240294,2525,107.1,272.7,-1152
42.420959,-73.243614,2425,105.2,273.3,-1152
42.421097,-73.246411,2325,103.2,273.3,-1216
42.421188,-73.249345,2225,101.2,273.4,-1280
42.421371,-73.252217,2125,101.2,274.0,-1344
42.421518,-73.255303,2025,100.3,274.6,-1216
42.421692,-73.258334,1925,100.2,274.0,-1216
42.421875,-73.26133,1825,100.2,274.0,-1152
42.42203,-73.264629,1725,99.2,273.5,-1216
42.422195,-73.267448,1625,95.3,274.8,-1152
42.422403,-73.270633,1525,91.4,275.0,-1152
42.422496,-73.272293,1475,88.2,273.9,-1152
42.422589,-73.27389,1400,83.3,274.8,-1152
42.422728,-73.27587,1325,78.5,276.6,-1088
42.422961,-73.277978,1275,73.8,278.6,-960
42.423241,-73.279894,1225,71.6,282.1,-832
42.42366,-73.281683,1200,66.8,286.5,-576
42.424072,-73.283241,1150,62.6,289.6,-448
42.424451,-73.284685,1125,60.4,289.3,-448
42.424637,-73.285451,1100,56.3,289.7,-448
42.424823,-73.286218,1100,53.1,289.8,-448
42.424916,-73.286537,1100,50.3,291.0,-384
42.426041,-73.290107,1050,50.3,291.0,-384
42.426041,-73.290169,1050,18.5,282.5,-64
42.426086,-73.290544,1050,16.1,277.1,0
42.426034,-73.290881,1050,15.0,270.0,0
42.425995,-73.290919,1050,10.8,248.2,0
42.425941,-73.291009,1050,8.1,240.3,-64
42.425858,-73.291168,975,5.0,216.9,-512
42.425847,-73.2912,950,3.2,251.6,-320
42.425858,-73.291231,950,3.1,270.0,-320
42.425858,-73.291293,950,1.2,270.0,-192
42.425847,-73.291264,950,1.6,315.0,-256
42.425847,-73.291264,925,1.2,0.0,-256
42.425847,-73.291264,950,0.7,0.0,0
