lat,lon,alt,gs,track,vs
25.998121,-80.236799,0,56.1,93.1,448
25.998075,-80.234686,0,55.0,91.0,576
25.998121,-80.232256,0,55.0,89.0,640
25.998168,-80.230936,0,60.0,89.1,256
25.998276,-80.227972,100,63.1,87.3,640
25.998505,-80.222479,200,64.0,90.0,1128
25.998596,-80.22222,300,64.0,90.0,1128
25.998871,-80.22165,300,63.9,72.7,2432
25.999329,-80.221132,300,64.4,57.0,2448
25.999969,-80.220821,300,66.9,31.5,2384
26.000656,-80.220717,300,68.7,21.3,2416
26.001114,-80.220717,400,73.0,0.8,640
26.001892,-80.220924,400,74.2,349.9,832
26.00322,-80.221339,400,73.5,345.0,576
26.004684,-80.221702,500,74.0,346.7,384
26.008642,-80.222802,500,75.4,345.4,448
26.008896,-80.222893,600,76.7,344.9,384
26.010085,-80.22333,600,78.8,340.0,640
26.010644,-80.223594,600,81.0,332.8,640
26.011185,-80.224085,600,82.7,325.4,768
26.011622,-80.224545,600,86.4,312.2,448
26.011994,-80.225179,600,90.2,301.4,320
26.012146,-80.225588,700,92.3,293.0,320
26.012329,-80.226314,700,94.4,285.4,320
26.012459,-80.227608,700,95.9,277.8,320
26.012459,-80.228718,700,99.0,270.0,384
26.012366,-80.231306,700,100.1,267.7,448
26.012283,-80.232895,800,101.2,266.6,576
26.011871,-80.238751,900,102.4,265.0,512
26.011528,-80.243137,900,104.2,266.7,320
26.011528,-80.245989,1000,106.0,269.5,192
26.011505,-80.252018,1000,109.0,268.4,448
26.011368,-80.254142,1100,110.2,266.4,512
26.010956,-80.260361,1200,110.3,265.8,576
26.01059,-80.267305,1300,113.2,266.5,384
26.010551,-80.268068,1200,113.2,266.5,384
26.010498,-80.26829,1300,113.2,266.5,384
26.010086,-80.274353,1400,115.4,265.5,384
26.009583,-80.282696,1500,113.3,266.0,448
26.009108,-80.29004,1600,114.2,266.5,448
26.008968,-80.295005,1600,113.0,268.5,704
26.008968,-80.295956,1700,112.0,268.5,704
26.008828,-80.302241,1700,114.0,268.5,320
26.008759,-80.308297,1700,118.0,269.0,0
26.008713,-80.317314,1800,119.0,270.0,320
26.008735,-80.329021,1800,120.0,271.0,192
26.008804,-80.337265,1800,124.0,269.5,128
26.008875,-80.346398,1800,124.0,270.9,0
26.008875,-80.348247,1900,124.0,270.9,448
26.008921,-80.35205,1900,122.0,270.5,448
26.008828,-80.35374,1900,121.7,263.9,576
26.008642,-80.354902,1900,122.2,262.0,512
26.008209,-80.35675,2000,121.5,256.2,576
26.006973,-80.362088,2000,122.3,254.8,128
26.006195,-80.365198,2000,127.1,255.4,-256
26.003998,-80.3738,2000,132.0,254.2,-320
26.003952,-80.374111,1900,133.2,253.9,-512
26.001846,-80.382558,1900,137.5,255.3,-128
26.001068,-80.385823,1900,137.0,256.1,256
25.999969,-80.390539,2000,134.6,254.9,384
25.998642,-80.395669,2000,133.2,252.5,64
25.995667,-80.405774,2000,134.1,251.3,-128
25.991776,-80.418471,2000,133.5,252.1,0
25.98848,-80.429664,1900,138.2,252.7,-320
25.985779,-80.439148,1900,136.9,251.7,0
25.982574,-80.450445,1900,135.1,252.8,-256
25.979233,-80.462779,1900,131.3,253.6,0
25.977768,-80.46822,1800,131.6,253.2,-448
25.976212,-80.474128,1800,133.0,254.3,0
25.973419,-80.48527,1800,130.5,254.9,192
25.972366,-80.489623,1800,129.5,254.8,-128
25.969391,-80.501801,1800,127.9,254.1,-64
25.966553,-80.512114,1800,129.4,253.4,-128
25.963303,-80.524447,1800,127.2,253.6,-128
25.960785,-80.533931,1700,128.4,253.3,-192
25.957901,-80.544244,1700,129.0,252.4,-64
25.954376,-80.556785,1700,129.7,253.0,-64
25.951401,-80.567512,1700,127.2,253.6,128
25.950668,-80.569999,1800,126.5,253.0,0
25.948151,-80.578343,1800,127.4,251.7,64
25.945816,-80.586427,1700,128.4,251.9,-192
25.943893,-80.593475,1700,130.4,253.5,-64
25.942017,-80.601818,1700,130.5,254.9,128
25.939838,-80.610598,1700,127.2,253.6,0
25.936393,-80.622852,1700,128.2,253.7,64
25.935229,-80.627394,1800,127.9,254.1,64
25.935104,-80.627937,1700,127.9,254.1,64
25.931738,-80.640599,1700,130.8,254.5,-256
25.929886,-80.648458,1700,131.0,255.9,-64
25.928759,-80.653276,1700,131.2,255.4,-64
25.926291,-80.663575,1700,130.3,255.3,-120
25.923523,-80.674732,1700,127.6,254.6,-128
25.920227,-80.687377,1700,127.2,253.6,0
25.917539,-80.69701,1700,128.7,252.8,0
25.916003,-80.701922,1700,130.0,251.1,0
25.913132,-80.710593,1700,130.6,250.3,0
25.911115,-80.716341,1700,127.6,248.9,0
25.909998,-80.719986,1700,127.6,248.9,0
25.909486,-80.721887,1700,129.0,252.4,0
25.907364,-80.730389,1700,129.4,253.4,0
25.906952,-80.732203,1700,129.0,255.6,0
25.901688,-80.753658,1700,123.7,252.6,64
25.899338,-80.761766,1700,125.9,252.4,-128
25.897339,-80.768271,1700,125.9,252.4,-128
25.896405,-80.77122,1800,125.3,250.4,128
25.856653,-80.520398,1800,125.3,250.4,0
25.891517,-80.787753,1800,126.9,254.0,0
25.88942,-80.796359,1800,126.4,254.9,0
25.887048,-80.806662,1800,128.8,256.1,0
25.885279,-80.814637,1700,130.5,256.7,-192
25.883044,-80.825201,1700,133.2,257.4,-384
25.882782,-80.826468,1600,133.0,257.9,-448
25.88118,-80.834863,1500,133.8,258.4,-512
25.879134,-80.846487,1400,131.8,258.2,-320
25.87797,-80.852509,1400,130.1,257.6,-320
25.876511,-80.85922,1300,129.5,256.6,-448
25.875177,-80.865079,1200,129.3,255.2,-576
25.87326,-80.873678,1100,129.5,256.6,-448
25.872198,-80.879552,1000,129.5,256.6,-448
25.871872,-80.881876,1000,130.4,261.6,-768
25.871406,-80.886471,900,129.9,263.4,-576
25.870987,-80.891753,900,128.4,265.5,-704
25.870697,-80.896065,800,128.4,265.5,-704
25.870475,-80.901155,700,127.2,266.9,-384
25.870382,-80.905592,700,127.2,266.9,-384
25.870377,-80.906326,700,120.0,269.5,-192
