lat,lon,alt,gs,track,vs
44.62707,-93.226028,800,61.3,296.1,192
44.627396,-93.226966,900,61.3,296.1,640
44.628467,-93.230047,900,66.2,295.0,64
44.628932,-93.23132,900,71.1,295.8,64
44.62991,-93.233933,1000,76.1,298.2,704
44.631226,-93.237435,1100,71.6,298.4,768
44.63237,-93.240574,1100,73.8,296.6,128
44.633331,-93.243386,1100,75.6,294.2,640
44.633541,-93.244115,1200,75.2,293.5,704
44.634658,-93.248001,1200,75.4,291.8,896
44.634751,-93.248269,1300,76.0,290.8,896
44.635589,-93.251484,1300,71.8,288.7,576
44.635757,-93.252215,1400,71.2,287.2,512
44.636008,-93.253762,1400,70.4,281.5,640
44.636101,-93.254901,1400,69.3,275.0,704
44.636078,-93.255746,1400,67.1,266.6,576
44.635962,-93.256575,1400,67.3,258.9,384
44.635822,-93.257245,1500,68.0,252.9,320
44.635589,-93.257915,1500,68.5,244.9,320
44.635263,-93.258652,1500,68.8,237.5,384
44.634798,-93.259523,1500,70.8,228.4,320
44.634109,-93.260324,1500,74.4,221.2,64
44.633261,-93.261332,1500,76.6,216.0,768
44.632324,-93.262024,1600,77.0,209.6,576
44.631317,-93.262678,1600,78.4,203.3,320
44.63031,-93.263136,1600,81.9,197.8,256
44.629211,-93.263609,1600,81.0,192.8,832
44.627908,-93.263877,1600,81.1,189.2,512
44.627655,-93.26392,1700,80.8,187.8,448
44.626007,-93.264051,1700,82.2,184.2,256
44.624649,-93.264078,1700,85.0,178.6,256
44.623352,-93.26392,1700,86.7,172.7,320
44.620972,-93.263341,1800,87.0,171.4,832
44.618039,-93.262671,1800,84.5,169.1,512
44.617218,-93.262416,1900,84.5,169.1,512
44.613831,-93.261566,2000,82.2,170.2,704
44.609659,-93.260595,2000,86.3,170.0,256
44.607193,-93.259997,2100,87.1,170.8,704
44.60263,-93.258987,2200,88.0,171.5,448
44.598161,-93.258116,2300,87.0,171.4,640
44.594297,-93.257379,2300,84.6,173.2,512
44.593506,-93.257245,2400,84.5,173.9,512
44.589844,-93.256662,2500,82.4,174.4,640
44.586777,-93.256269,2500,85.4,174.6,192
44.584242,-93.255973,2500,89.6,173.6,256
44.583893,-93.255877,2500,88.6,173.5,704
44.583264,-93.255839,2600,87.6,173.4,832
44.581076,-93.255437,2600,85.3,169.9,768
44.57991,-93.254961,2600,85.9,165.1,576
44.578749,-93.254432,2700,87.7,159.3,256
44.577621,-93.253719,2700,88.6,153.1,192
44.576385,-93.252607,2700,91.3,147.5,320
44.574234,-93.25058,2700,94.1,145.0,320
44.573364,-93.24973,2800,94.6,144.5,576
