lat,lon,alt,gs,track,vs
38.37735,-121.961975,200,67.1,213.4,640
38.377213,-121.962092,300,68.5,213.7,640
38.374695,-121.964254,400,71.3,214.1,448
38.372684,-121.966035,500,70.2,215.7,832
38.370775,-121.967767,600,70.5,214.6,640
38.368401,-121.969857,700,69.6,215.1,832
38.366306,-121.971708,800,68.2,214.9,640
38.364532,-121.973195,800,68.8,212.5,768
38.363617,-121.974013,800,69.1,214.4,384
38.36348,-121.97413,900,69.7,219.2,384
38.363159,-121.974539,900,70.0,225.6,704
38.362747,-121.975182,900,69.0,231.5,768
38.362396,-121.975947,900,69.8,242.7,768
38.362244,-121.976526,900,69.6,251.6,704
38.362152,-121.976994,900,69.6,254.2,704
38.362116,-121.97744,1000,70.6,262.7,704
38.36221,-121.978514,1000,70.6,262.7,576
38.362335,-121.979097,1000,74.3,287.2,640
38.362656,-121.979916,1000,75.6,295.9,640
38.36356,-121.982037,1100,77.0,299.6,640
38.364304,-121.98353,1100,76.9,302.2,640
38.36477,-121.984246,1100,77.2,311.3,768
38.365142,-121.984605,1200,77.6,321.8,704
38.365654,-121.985023,1200,77.9,330.8,704
38.366213,-121.985261,1200,78.2,339.0,704
38.366776,-121.985467,1200,79.1,346.8,704
38.367144,-121.9855,1200,78.8,352.0,704
38.367703,-121.9855,1200,79.1,2.2,704
38.368308,-121.985321,1200,79.1,13.2,512
38.369192,-121.984903,1300,79.1,20.7,704
38.370403,-121.984187,1300,80.1,25.9,704
38.372177,-121.983013,1400,81.8,26.9,576
38.374557,-121.981376,1400,81.5,29.4,576
38.374741,-121.98126,1500,81.1,30.4,576
38.376389,-121.979916,1500,81.5,33.5,640
38.377851,-121.978634,1600,81.3,34.5,704
38.380877,-121.975947,1700,84.1,34.8,576
38.383158,-121.973857,1700,82.8,37.2,832
38.383624,-121.973379,1800,82.0,37.6,832
38.385681,-121.971267,1900,80.4,38.4,768
38.389069,-121.967994,2000,81.4,37.0,576
38.392003,-121.96514,2100,82.6,38.1,576
38.395111,-121.961975,2200,83.9,39.2,640
38.397729,-121.959348,2300,81.4,37.0,768
38.400103,-121.957079,2400,78.6,36.7,832
38.401825,-121.955467,2400,75.2,35.8,832
38.402435,-121.955021,2500,73.8,26.6,768
38.402939,-121.954787,2500,72.5,20.2,768
38.403501,-121.954631,2500,72.8,12.7,448
38.404541,-121.954437,2500,72.6,7.1,448
38.405731,-121.95432,2600,72.1,3.2,704
38.40825,-121.954213,2600,71.3,4.8,640
38.408948,-121.954034,2700,72.0,13.6,640
38.409439,-121.953735,2700,72.6,22.7,640
38.409832,-121.953437,2700,73.2,32.2,640
38.410172,-121.953034,2700,75.7,43.4,640
38.410531,-121.952422,2700,77.5,50.8,640
38.41081,-121.951765,2700,80.1,62.5,384
38.41095,-121.951108,2700,83.2,71.8,384
38.411087,-121.950112,2700,85.8,82.0,512
38.411087,-121.949002,2800,88.0,90.0,512
38.410996,-121.947705,2800,89.8,97.7,576
38.410629,-121.944385,2900,88.7,97.1,640
38.410531,-121.942391,2900,87.1,92.6,832
38.410538,-121.941171,2900,84.1,87.3,896
38.410675,-121.940119,3000,81.4,79.4,960
38.410858,-121.939477,3000,79.4,70.9,896
38.411136,-121.938868,3000,77.9,60.8,768
38.411453,-121.938308,3000,76.7,50.3,704
38.411881,-121.937913,3000,76.1,39.1,640
38.412346,-121.937614,3000,75.2,28.6,384
38.412812,-121.937439,3000,75.6,20.1,384
38.41333,-121.937316,3000,76.5,11.3,384
38.414017,-121.937256,3100,78.2,4.4,384
38.415512,-121.937073,3100,79.5,6.5,576
38.41621,-121.936829,3100,78.9,12.4,640
38.416769,-121.936584,3100,78.8,20.0,640
38.417221,-121.936241,3100,78.4,29.8,640
38.417653,-121.935791,3200,78.6,41.4,640
38.417979,-121.935303,3200,78.2,51.2,576
38.418258,-121.934631,3200,78.9,59.5,640
38.418445,-121.934021,3200,79.1,71.6,640
38.418503,-121.933196,3200,78.9,81.2,704
38.418538,-121.932373,3200,80.0,89.3,448
38.418491,-121.930908,3300,81.2,93.5,448
38.418398,-121.92749,3300,83.0,90.7,384
38.418445,-121.926208,3300,84.2,86.6,448
38.418584,-121.925537,3300,84.5,79.1,384
38.41877,-121.924866,3400,84.4,71.3,384
38.41905,-121.924194,3400,84.1,63.1,384
38.419418,-121.923583,3400,83.8,54.2,640
38.419739,-121.923165,3400,82.0,46.0,960
38.420214,-121.922729,3400,81.0,35.5,960
38.420726,-121.922424,3500,79.2,24.6,1024
38.421331,-121.92218,3500,78.5,17.0,960
38.422073,-121.921971,3500,78.6,11.7,768
38.422634,-121.921814,3500,80.4,10.8,448
38.424171,-121.921509,3500,85.2,9.5,0
38.425567,-121.921204,3500,89.8,7.7,0
38.427615,-121.920898,3500,94.5,6.1,0
38.432131,-121.92041,3600,94.4,5.5,128
38.433341,-121.920288,3600,89.5,5.8,128
38.434204,-121.92012,3700,85.0,8.8,128
38.434433,-121.92006,3700,83.7,11.7,1344
38.435297,-121.919678,3700,81.9,17.8,1216
38.435809,-121.919373,3700,80.5,28.2,832
38.43646,-121.918823,3700,80.2,35.9,704
38.436859,-121.918328,3800,80.7,43.0,704
38.437345,-121.917542,3800,82.0,52.4,704
38.437764,-121.916687,3800,82.9,60.3,704
38.438043,-121.915771,3800,83.8,70.5,384
38.438324,-121.914268,3800,84.4,76.3,384
38.438462,-121.912964,3800,86.6,83.4,320
38.438602,-121.911072,3900,87.2,86.1,384
38.438919,-121.905909,3900,88.4,84.8,512
38.439021,-121.905029,4000,87.0,81.4,512
38.43924,-121.903998,4000,86.6,76.0,704
38.43944,-121.903259,4000,85.8,68.8,576
38.439859,-121.902405,4000,86.6,58.7,448
38.440292,-121.901729,4000,86.6,49.7,448
38.44079,-121.901245,4000,85.3,39.3,576
38.441437,-121.900714,4100,84.6,29.0,640
38.442,-121.900452,4100,84.6,24.4,384
38.442698,-121.900208,4100,85.9,14.9,320
38.444458,-121.899759,4100,87.5,10.5,384
38.446838,-121.899222,4100,91.9,8.1,320
38.447708,-121.899102,4100,96.6,6.5,320
38.448349,-121.899043,4100,99.5,5.8,320
38.44861,-121.898987,4100,99.5,5.8,-512
38.450845,-121.898804,4100,101.2,3.4,-128
38.453685,-121.898743,4100,100.0,0.6,0
38.454848,-121.898743,4000,100.0,0.0,-192
38.462585,-121.898804,4000,98.0,359.4,128
38.463776,-121.898923,4000,95.6,353.4,384
38.464671,-121.89917,4100,94.4,344.6,256
38.465515,-121.89964,4100,92.6,335.1,256
38.466202,-121.900237,4100,91.5,326.1,256
38.466626,-121.900757,4100,91.3,317.2,64
38.466952,-121.901245,4100,91.2,307.9,0
38.467278,-121.901978,4100,91.3,298.8,0
38.467484,-121.902685,4000,92.1,291.0,0
38.467697,-121.903687,4000,93.2,282.4,0
38.467941,-121.90579,4000,94.9,277.9,-384
38.468399,-121.910566,4000,92.9,278.0,64
38.468628,-121.91188,4000,91.0,284.6,192
38.468948,-121.912895,4000,90.5,293.5,192
38.469373,-121.913757,4000,91.0,303.3,128
38.469955,-121.914567,4100,89.9,311.9,128
38.47035,-121.915039,4100,89.2,317.7,128
38.470871,-121.915462,4100,90.1,326.3,128
38.471468,-121.915833,4100,89.9,331.4,-64
38.4717,-121.915955,4000,90.1,337.1,-64
38.472306,-121.916138,4000,91.1,342.8,-64
38.473068,-121.916239,4000,91.8,352.5,-64
38.473888,-121.916321,4000,93.0,359.4,-192
38.476135,-121.916179,4000,94.1,3.0,-128
38.478125,-121.916016,4000,91.2,3.8,320
38.479288,-121.915894,4000,86.2,4.0,384
38.479475,-121.915894,4100,85.2,4.0,384
38.481383,-121.915649,4100,80.3,5.0,128
38.482035,-121.915588,4000,78.3,5.1,128
38.483734,-121.915403,4000,77.1,3.0,-128
38.484828,-121.915527,4000,76.1,357.0,-128
38.485382,-121.915641,4000,75.9,347.1,-128
38.486206,-121.916,4000,75.6,339.9,-320
38.486876,-121.916443,4000,75.7,330.7,-320
38.487396,-121.916955,4000,74.4,323.8,-320
38.487994,-121.917664,4000,72.1,316.1,-64
38.488358,-121.918209,4000,71.2,308.2,64
38.488692,-121.918884,4000,69.1,301.4,0
38.488953,-121.919642,4000,68.9,294.0,-64
38.489204,-121.920654,4000,68.0,287.1,-64
38.489344,-121.921509,4000,67.1,280.3,-64
38.48941,-121.922508,4000,65.2,274.4,64
38.489437,-121.923584,4000,65.0,268.2,0
38.489319,-121.924598,4000,64.8,261.1,0
38.489182,-121.925434,4000,65.5,254.1,0
38.488878,-121.92627,4000,65.4,246.6,-64
38.488586,-121.926926,4000,64.1,239.0,64
38.488273,-121.927368,4000,64.0,231.3,0
38.487714,-121.92804,4000,62.9,224.4,0
38.487156,-121.92865,4000,62.0,217.8,0
38.486435,-121.929255,3900,62.4,211.9,-192
38.485611,-121.929852,3900,64.8,206.6,-448
38.484782,-121.930237,3900,67.4,200.9,-448
38.484083,-121.930481,3900,68.9,193.4,-448
38.483292,-121.930664,3800,69.2,190.8,-576
38.48172,-121.930986,3800,69.6,187.4,-576
38.479889,-121.931225,3800,68.2,184.2,-576
38.478125,-121.931335,3700,66.1,182.6,-320
38.476456,-121.931345,3700,67.0,179.1,-448
38.474726,-121.931274,3600,68.1,177.5,-704
38.471466,-121.930986,3500,70.2,175.9,-576
38.469818,-121.930927,3500,70.0,179.2,-512
38.466797,-121.930986,3500,66.0,180.9,-128
38.464718,-121.931091,3500,62.1,183.7,0
38.463867,-121.931225,3400,61.8,189.3,-64
38.463321,-121.931396,3400,62.4,195.8,-64
38.462576,-121.931763,3400,64.1,203.0,-64
38.461971,-121.93219,3400,64.0,209.0,-256
38.461273,-121.9328,3400,63.8,215.4,-256
38.460481,-121.933594,3400,63.1,220.5,0
38.459969,-121.934265,3400,63.0,226.9,-64
38.459504,-121.935059,3400,62.8,232.8,-64
38.459152,-121.935823,3400,62.3,240.1,-64
38.458832,-121.936718,3400,61.9,247.2,-64
38.458573,-121.937744,3400,62.6,253.3,-64
38.45848,-121.938477,3400,63.0,259.9,-64
38.458433,-121.939331,3400,63.1,266.4,-64
38.458466,-121.940182,3400,63.1,272.7,-64
38.458557,-121.941197,3400,62.7,278.3,-64
38.45874,-121.942152,3400,63.1,284.7,-64
38.458992,-121.942993,3400,63.3,291.3,-64
38.459335,-121.943824,3400,63.1,297.4,64
38.45969,-121.944458,3400,62.7,303.9,64
38.460062,-121.945068,3400,63.3,309.2,64
38.460528,-121.945679,3400,63.0,316.9,64
38.461086,-121.946228,3400,63.6,323.3,64
38.461645,-121.946655,3400,64.0,331.0,64
38.462343,-121.947021,3400,63.6,335.9,64
38.462855,-121.947205,3400,64.3,344.7,64
38.463554,-121.947388,3400,63.8,351.0,64
38.464371,-121.947466,3400,64.1,357.3,64
38.465469,-121.947466,3400,64.1,2.7,64
38.467138,-121.947266,3400,65.4,6.2,0
38.468162,-121.947083,3400,67.5,6.8,-448
38.471008,-121.94663,3300,71.7,8.0,-512
38.472911,-121.946289,3300,67.6,7.7,-512
38.473389,-121.946212,3300,64.5,7.1,-192
38.473892,-121.946093,3300,60.5,7.6,0
38.474121,-121.946045,3300,56.6,8.1,0
38.47589,-121.945801,3300,60.5,7.6,-384
38.476216,-121.94574,3300,63.4,6.3,-384
38.476402,-121.945679,3200,66.5,6.9,-384
38.47738,-121.945557,3200,71.5,6.4,-256
38.477966,-121.945436,3200,75.5,6.8,-384
38.478776,-121.945312,3200,79.6,7.2,-192
38.480126,-121.945129,3200,84.6,6.8,-64
38.482315,-121.944839,3300,88.4,5.2,256
38.485852,-121.944519,3300,92.1,3.1,192
38.487342,-121.944458,3300,92.1,1.9,576
38.4879,-121.944421,3400,91.0,0.6,832
38.491252,-121.944519,3400,91.1,358.1,448
38.492928,-121.94458,3500,93.1,358.1,320
38.499446,-121.944763,3600,96.0,358.2,384
38.503601,-121.944958,3700,91.0,358.7,640
38.505078,-121.945007,3700,86.1,358.0,1024
38.505203,-121.945018,3700,85.1,358.0,1536
38.505451,-121.945007,3700,82.1,357.9,1536
38.505569,-121.945018,3800,80.1,357.9,1536
38.506165,-121.945078,3800,76.2,356.2,1536
38.506531,-121.945137,3800,72.4,353.7,1792
38.506989,-121.945257,3900,68.3,349.0,1728
38.507401,-121.945376,3900,65.5,344.0,1664
38.507629,-121.945555,3900,61.3,335.9,1472
38.507965,-121.945801,4000,57.7,326.3,1472
38.508224,-121.946152,4000,57.0,322.1,1152
38.508453,-121.946451,4000,56.7,310.7,384
38.508591,-121.94669,4000,58.8,305.3,384
38.508663,-121.946899,4000,60.7,302.9,-128
38.508803,-121.947205,4000,65.0,300.5,-512
38.508865,-121.947406,3900,66.2,298.9,-512
38.509035,-121.947815,3900,72.0,297.3,-512
38.50914,-121.948063,3900,73.8,296.6,-1536
38.509323,-121.948481,3900,78.7,295.6,-1536
38.509598,-121.949317,3900,83.3,294.1,-1536
38.510056,-121.950571,3900,88.1,294.8,-1536
38.510292,-121.951111,3900,90.4,297.7,-128
38.510804,-121.952026,3900,91.5,303.9,-128
38.511177,-121.952515,3900,92.0,312.4,-128
38.511642,-121.953003,3900,93.4,322.4,-128
38.512161,-121.953437,3900,92.9,326.0,-128
38.512344,-121.953556,3900,93.0,328.2,512
38.513039,-121.953979,3900,93.6,336.7,512
38.513923,-121.954285,3900,94.4,344.6,512
38.514761,-121.954468,3900,93.9,352.0,192
38.516098,-121.954571,3900,95.0,358.8,192
38.517929,-121.954512,3900,96.1,2.4,-64
38.52207,-121.954163,3900,91.2,3.8,256
38.523141,-121.954041,4000,87.4,5.2,256
38.525049,-121.953796,4000,82.5,6.3,256
38.526581,-121.953556,4000,77.5,6.7,256
38.527771,-121.953377,4000,73.4,6.2,256
38.529239,-121.953186,3900,71.3,5.6,256
38.531799,-121.952899,3900,67.2,4.3,256
38.532079,-121.952881,3900,61.2,4.7,256
38.532451,-121.95282,4000,56.2,5.1,256
38.532578,-121.95284,4000,53.2,4.3,256
38.532806,-121.95284,4000,51.2,4.5,256
38.53287,-121.95282,4000,47.1,3.7,256
38.533722,-121.95278,3900,49.0,1.2,-1408
38.534088,-121.95278,3900,56.0,0.0,-1408
38.534267,-121.952759,3900,58.0,0.0,-1344
38.534546,-121.952759,3900,63.0,0.0,-1280
38.534686,-121.952759,3900,66.0,0.0,-1088
38.534965,-121.952759,3900,69.0,0.8,-640
38.53571,-121.952698,3900,73.0,1.6,-384
38.536102,-121.95272,3800,77.1,2.2,-384
38.536874,-121.952637,3800,81.1,2.8,-384
38.538208,-121.952601,3800,86.1,2.7,-128
38.539764,-121.952481,3900,86.1,2.7,-128
38.540877,-121.952454,3900,82.0,1.4,-128
38.541622,-121.952454,3900,79.0,0.0,-128
38.541994,-121.952454,3900,74.0,0.0,-128
38.542693,-121.952454,3900,69.0,359.2,-128
38.543577,-121.952454,3900,64.0,359.1,-128
38.544322,-121.952454,3900,59.0,0.0,-128
38.544834,-121.952454,3900,54.0,0.0,-128
38.546173,-121.952541,3800,49.0,357.7,-512
38.54651,-121.952576,3800,53.2,355.7,-512
38.546649,-121.952576,3800,57.1,356.0,-512
38.547684,-121.95272,3800,53.2,354.6,-512
38.547821,-121.95272,3900,51.2,354.4,-512
38.548325,-121.95282,3900,46.5,351.4,-512
38.548931,-121.952942,3900,43.4,345.3,-512
38.549332,-121.953138,3900,40.9,338.5,-512
38.549582,-121.953308,3900,44.7,333.4,-512
38.549862,-121.953552,3800,49.4,328.2,-512
38.549955,-121.953613,3800,53.8,324.8,-512
38.550281,-121.953918,3800,58.0,324.1,-512
38.550842,-121.954332,3800,61.7,333.0,-512
38.5513,-121.954571,3800,63.0,339.5,-256
38.55191,-121.954773,3800,66.0,346.0,-256
38.552701,-121.954956,3800,70.7,351.9,-704
38.553353,-121.955017,3700,74.3,354.6,-704
38.553864,-121.955049,3700,79.2,356.4,-704
38.55542,-121.955109,3700,84.0,358.6,-704
38.560501,-121.955168,3800,82.0,359.3,-704
38.561826,-121.955139,3800,77.0,359.3,-704
38.564072,-121.955347,3800,76.2,356.2,-704
38.565491,-121.955407,3800,76.1,357.0,-704
38.565643,-121.955444,3800,76.1,357.0,384
38.566177,-121.955467,3900,74.1,356.9,384
38.568466,-121.955586,3900,76.0,358.5,384
38.568649,-121.955586,3900,76.0,358.5,-192
38.57103,-121.955527,3900,77.0,1.5,-128
38.572393,-121.955444,3900,72.1,3.2,-128
38.573836,-121.955261,3900,67.4,6.0,-128
38.575186,-121.955017,4000,62.8,9.2,-128
38.576955,-121.954651,4000,57.9,9.9,-128
38.577484,-121.954512,4000,53.0,10.9,-128
38.577805,-121.954392,4000,50.0,11.5,-128
38.578119,-121.954346,4000,45.9,11.3,-128
38.578995,-121.954094,4000,50.0,11.5,-128
38.579269,-121.954034,4000,57.1,11.1,-1280
38.579376,-121.953979,3900,59.2,11.7,-1152
38.579795,-121.953918,3900,63.4,11.8,-768
38.581796,-121.953308,3900,59.7,13.6,64
38.582262,-121.953125,3900,55.1,15.8,0
38.582886,-121.952899,3900,50.3,17.4,-256
38.583845,-121.952454,3800,51.9,19.1,-1472
38.584124,-121.952332,3800,56.7,20.7,-1088
38.585907,-121.951347,3800,60.9,23.2,64
38.587196,-121.950623,3800,65.8,24.2,-64
38.587784,-121.950272,3800,70.8,23.3,-64
38.588425,-121.949974,3800,74.3,23.8,-64
38.588826,-121.949768,3800,77.5,23.6,-320
38.589478,-121.949377,3800,81.2,22.5,-320
38.590714,-121.94872,3800,86.2,21.8,-192
38.592457,-121.947876,3800,91.2,21.2,64
38.594552,-121.946899,3800,96.1,18.8,-128
38.59758,-121.945734,3800,97.8,16.0,-128
38.601209,-121.944519,3800,92.9,14.3,64
38.604721,-121.943406,3800,88.8,14.4,-128
38.607056,-121.942689,3700,86.9,12.0,0
38.608285,-121.942444,3700,87.7,7.2,0
38.610214,-121.942271,3700,91.1,3.1,-320
38.61713,-121.941711,3700,92.3,4.3,-320
38.619038,-121.941528,3700,90.2,3.8,-320
38.619318,-121.941467,3700,90.1,3.2,256
38.620062,-121.941528,3800,90.1,358.1,256
38.620468,-121.941674,3800,89.1,347.7,256
38.620807,-121.941833,3800,87.1,338.4,256
38.621109,-121.942152,3800,86.5,330.2,256
38.621338,-121.94251,3800,83.1,309.6,576
38.621475,-121.942928,3800,80.5,295.0,576
38.621567,-121.943466,3800,77.7,281.9,576
38.621552,-121.944092,3800,78.0,269.3,576
38.621521,-121.944719,3800,79.5,263.5,576
38.621459,-121.944946,3800,80.8,262.2,-576
38.621292,-121.945973,3700,84.7,258.4,-576
38.621063,-121.947287,3700,89.3,257.0,-640
38.620807,-121.94873,3700,90.7,256.0,-192
38.620481,-121.950562,3700,89.4,259.7,128
38.620422,-121.951705,3800,89.0,269.4,256
38.620528,-121.952454,3800,88.1,279.1,384
38.620761,-121.953003,3800,86.2,291.8,384
38.620926,-121.953377,3800,84.6,302.9,384
38.621201,-121.953735,3800,82.9,311.6,384
38.621567,-121.953974,3800,80.8,323.6,384
38.621841,-121.954153,3800,76.5,342.5,384
38.622297,-121.954163,3800,74.3,354.6,384
38.622623,-121.954102,3800,71.2,10.5,384
38.622803,-121.954034,3900,71.2,10.5,832
38.622949,-121.953918,3900,68.0,24.3,832
38.623181,-121.953674,3900,66.4,37.0,832
38.623444,-121.953258,3900,65.8,53.7,832
38.6236,-121.952881,3900,65.3,64.6,832
38.623672,-121.952422,3900,63.1,75.3,832
38.623672,-121.951825,3900,63.0,88.2,832
38.623627,-121.951048,3900,67.4,96.0,832
38.623535,-121.950451,3800,71.5,96.4,832
38.623489,-121.949615,3800,76.3,95.3,832
38.623489,-121.948063,3800,81.0,90.0,832
38.6236,-121.947144,3800,83.2,80.3,832
38.623693,-121.946899,3800,83.5,73.3,-64
38.62381,-121.946451,3800,83.3,65.9,-64
38.624084,-121.946033,3800,83.0,53.8,0
38.624359,-121.945675,3800,83.4,45.0,0
38.624671,-121.945435,3800,83.9,30.9,0
38.625,-121.945316,3800,83.4,22.6,-128
38.625458,-121.945257,3800,83.2,9.7,-128
38.625974,-121.945374,3800,83.1,357.9,64
38.6263,-121.945557,3800,81.0,332.8,128
38.626626,-121.945862,3800,79.4,323.7,128
38.626859,-121.946228,3800,78.6,311.4,128
38.627045,-121.946594,3800,77.2,301.2,128
38.627138,-121.947021,3800,77.3,291.2,128
38.627138,-121.94751,3800,75.4,276.1,128
38.627092,-121.947937,3800,74.7,257.6,128
38.626812,-121.948547,3800,73.8,243.4,128
38.62674,-121.94866,3700,73.8,243.4,128
38.626465,-121.948959,3700,71.0,215.3,128
38.626068,-121.949097,3700,69.3,200.3,128
38.625742,-121.949158,3700,67.7,188.5,128
38.625416,-121.949036,3700,66.5,173.1,128
38.625137,-121.948839,3700,65.9,157.7,128
38.62495,-121.948547,3700,65.1,135.0,128
38.624817,-121.948182,3700,64.9,118.5,128
38.624771,-121.947824,3700,65.3,101.5,128
38.624764,-121.947571,3600,65.3,95.3,128
