lat,lon,alt,gs,track,vs
28.329737,-96.857031,2600,130.0,359.6,384
28.332733,-96.857,2700,130.0,1.3,384
28.337585,-96.856736,2700,129.3,4.0,512
28.344269,-96.855838,2800,130.5,4.8,448
28.445663,-96.767578,3200,133.0,43.8,-192
28.447952,-96.765201,3200,133.0,43.2,-192
28.453125,-96.760236,3200,133.2,41.3,0
28.455002,-96.758546,3200,129.8,37.5,320
28.456924,-96.756909,3300,127.8,37.0,512
28.463699,-96.751257,3300,129.6,35.9,128
28.466171,-96.74925,3300,127.6,35.4,448
28.469284,-96.746979,3400,129.2,33.3,448
28.470291,-96.746292,3400,127.0,33.4,640
28.470795,-96.745922,3300,127.6,33.8,1472
28.4729,-96.744443,3400,132.4,31.4,1152
28.473404,-96.744127,3300,132.4,31.4,576
28.473953,-96.743757,3400,132.4,31.4,448
28.476059,-96.742331,3300,133.1,30.2,192
28.476654,-96.741961,3400,129.0,32.3,960
28.477158,-96.741591,3300,129.0,32.3,1344
28.477661,-96.741222,3400,129.0,32.3,1792
28.478714,-96.740535,3400,128.5,32.0,2240
28.481369,-96.738845,3400,127.9,31.6,2560
28.481689,-96.738686,3400,123.7,30.1,2752
28.482742,-96.738052,3400,124.2,30.5,3392
28.484024,-96.737154,3400,128.3,31.0,2944
28.484573,-96.736785,3400,126.4,30.4,2816
28.567383,-96.678103,3300,132.4,36.1,640
28.571869,-96.674511,3300,130.1,34.7,192
28.575806,-96.671236,3300,130.6,37.2,64
28.578186,-96.669124,3300,130.6,40.0,0
28.58226,-96.665004,3300,128.1,42.2,192
28.584,-96.663208,3400,128.8,43.1,0
28.584412,-96.662733,3300,128.8,43.1,0
28.588852,-96.65782,3300,133.7,44.1,-384
28.595215,-96.651007,3300,133.7,43.5,0
28.60025,-96.645778,3300,132.5,41.6,0
28.607803,-96.638277,3200,136.8,41.2,-320
28.613754,-96.632573,3200,141.4,39.5,-320
28.616318,-96.630196,3100,141.5,39.0,-256
28.619385,-96.627397,3200,140.9,38.7,-256
28.619934,-96.626921,3100,141.5,39.0,-192
28.625427,-96.621692,3200,139.1,40.3,-128
28.626389,-96.620742,3100,138.3,40.6,-128
28.626892,-96.620266,3200,138.3,40.6,-128
28.627396,-96.619791,3100,138.3,40.6,-192
28.627899,-96.619316,3200,138.3,40.6,-192
28.628357,-96.618787,3100,138.3,40.6,-192
28.633209,-96.614086,3100,135.2,42.3,128
28.636917,-96.610231,3200,133.1,42.6,128
28.638245,-96.608805,3100,133.1,42.6,0
28.641449,-96.605424,3200,133.0,43.2,0
28.641907,-96.604949,3100,133.0,43.2,128
28.643692,-96.602994,3200,132.2,44.1,128
28.649826,-96.596181,3200,130.8,45.3,128
28.650284,-96.595705,3200,130.8,45.9,128
28.699814,-96.507075,3200,127.1,50.4,192
28.703979,-96.501265,3200,129.6,51.9,0
28.705444,-96.4991,3200,131.0,54.0,-320
28.707138,-96.496142,3100,133.1,57.3,-448
28.710434,-96.490173,3100,134.1,59.0,-320
28.713226,-96.48468,3200,131.2,60.3,0
28.713547,-96.484099,3100,130.4,60.1,0
28.718536,-96.474539,3100,130.5,59.1,0
28.720413,-96.471,3100,128.3,59.0,256
28.721008,-96.469891,3200,126.6,58.6,512
28.722977,-96.466563,3200,123.1,55.9,640
28.726181,-96.461229,3200,123.1,55.9,192
28.729202,-96.456316,3300,123.1,55.9,64
28.735565,-96.445753,3400,126.2,56.3,320
28.739227,-96.43989,3500,122.1,55.0,640
28.741425,-96.436087,3500,121.2,56.4,448
28.742569,-96.433816,3500,123.3,59.3,0
28.743988,-96.430858,3400,127.9,62.0,-128
28.745087,-96.428481,3500,127.5,62.4,0
28.747192,-96.423886,3600,125.2,62.4,448
28.747742,-96.422776,3600,120.4,61.7,640
28.748886,-96.420611,3700,120.6,59.6,768
28.753326,-96.411684,3700,118.9,59.1,640
28.754196,-96.409889,3700,125.2,62.4,-64
28.756165,-96.405822,3700,127.5,61.4,-64
28.759781,-96.398638,3600,130.4,60.1,-256
28.760651,-96.396842,3700,130.7,60.7,-192
28.763397,-96.391455,3700,129.1,59.3,128
28.765366,-96.388022,3700,127.6,56.2,128
28.768845,-96.38237,3700,130.7,55.0,-128
28.769897,-96.38068,3600,131.2,54.6,0
28.772507,-96.376507,3700,131.2,54.6,0
28.776855,-96.369324,3700,130.1,55.3,0
28.779144,-96.365309,3700,130.1,56.9,-64
