lat,lon,alt,gs,track,vs
38.043732,-84.597123,800,120.4,221.6,-512
38.040619,-84.600629,750,117.6,221.6,-576
38.040619,-84.600632,750,117.6,221.0,-576
38.036623,-84.605176,925,106.2,221.9,1152
38.035675,-84.606239,950,111.1,222.4,768
38.035273,-84.606668,975,114.7,222.2,832
38.034668,-84.607385,1000,117.7,220.9,896
38.034256,-84.607817,1000,121.2,221.3,1152
38.033844,-84.608343,1025,126.0,222.4,1152
38.033132,-84.609176,1050,128.7,223.7,960
38.032288,-84.610154,1075,133.7,222.9,832
38.031372,-84.611206,1125,137.4,222.1,1216
38.030385,-84.612341,1175,141.7,221.6,1536
38.029358,-84.613427,1225,145.3,220.8,1472
38.028488,-84.614362,1275,149.9,219.3,1472
38.026428,-84.616349,1375,153.6,216.8,1856
38.024963,-84.617693,1475,156.4,216.9,2048
38.023087,-84.619504,1550,160.2,216.4,1856
38.021805,-84.620731,1650,161.6,216.4,2176
38.020237,-84.622133,1750,162.6,215.7,2304
38.018933,-84.623327,1850,162.1,215.5,2688
38.01741,-84.624705,1950,163.4,215.5,2688
38.016094,-84.625835,2050,165.1,215.1,2560
38.014572,-84.627218,2150,165.1,215.1,2432
38.013114,-84.628462,2250,166.7,214.7,2560
38.011578,-84.629835,2350,166.7,214.7,2560
38.010042,-84.631149,2450,167.5,214.5,2624
38.008599,-84.632403,2550,168.1,214.8,2624
38.007065,-84.633646,2650,167.1,211.8,2688
38.005666,-84.634612,2750,165.9,206.9,2880
38.004044,-84.635516,2850,165.7,203.5,2816
38.002579,-84.636159,2925,165.4,198.3,2624
38.001383,-84.636522,3000,165.7,193.6,2624
37.9998,-84.636761,3100,166.7,185.2,2368
37.99791,-84.636743,3175,168.2,177.3,2112
37.996033,-84.636334,3250,170.7,169.9,1920
37.994522,-84.63575,3300,173.0,161.5,1728
37.993004,-84.634851,3375,177.1,153.9,1664
37.991514,-84.633656,3450,179.4,146.1,1920
37.990211,-84.632283,3500,182.5,140.1,1856
37.988983,-84.630666,3575,186.0,133.9,2048
37.987976,-84.628999,3650,187.2,126.8,2368
37.987198,-84.62751,3725,188.7,122.0,2816
37.986533,-84.626014,3825,190.5,117.5,3072
37.985825,-84.623946,3925,191.6,111.8,3072
37.985321,-84.6219,4025,193.9,107.4,3136
37.984857,-84.619864,4125,193.1,105.6,3072
37.984392,-84.617655,4225,191.4,104.8,3264
37.983994,-84.61594,4325,191.4,104.8,3392
37.983582,-84.613836,4425,192.1,104.5,3072
37.982986,-84.611089,4525,193.1,104.4,2688
37.982529,-84.608758,4625,193.1,104.4,2624
37.981934,-84.605947,4725,194.5,104.9,2368
37.981247,-84.602908,4825,194.9,106.4,2240
37.980515,-84.600044,4925,194.8,108.2,2112
37.979736,-84.597234,5025,195.2,110.4,2176
37.978805,-84.594129,5125,195.0,111.0,2368
37.977921,-84.591383,5225,195.7,111.6,2496
37.977129,-84.588815,5325,197.0,111.8,2240
37.976105,-84.585591,5425,198.0,111.6,2240
37.975159,-84.582396,5525,200.4,111.1,2048
37.97429,-84.579561,5625,202.3,110.8,2048
37.973236,-84.576085,5725,202.6,111.1,2112
37.972195,-84.572873,5825,203.7,111.9,2176
37.97131,-84.570186,5900,203.3,113.8,2304
37.970627,-84.56843,6000,202.2,115.8,2368
37.969634,-84.565947,6100,199.9,117.7,2688
37.968517,-84.563439,6200,198.8,119.5,2688
37.967586,-84.561469,6300,197.9,121.4,2624
37.966329,-84.558961,6400,198.1,122.0,2624
37.964951,-84.556274,6500,198.0,123.1,2176
37.963676,-84.553886,6600,199.1,123.5,2048
37.962112,-84.550781,6700,198.9,122.9,2496
37.961334,-84.549262,6800,198.9,122.9,2752
37.959998,-84.546602,6900,199.7,122.7,2496
37.958695,-84.544034,7000,200.3,121.9,2432
37.956274,-84.538899,7200,201.7,120.4,2304
37.954193,-84.53436,7375,201.1,119.5,2752
37.952457,-84.53048,7575,200.7,119.9,2880
37.950269,-84.525704,7775,198.8,119.5,2624
37.948546,-84.521823,7975,196.7,120.2,3008
37.946777,-84.518114,8125,197.4,121.1,2688
37.944496,-84.513404,8325,197.3,122.2,2240
37.941563,-84.507791,8525,199.7,123.8,2112
37.939934,-84.504806,8600,202.2,124.3,1728
37.938491,-84.502179,8675,204.7,124.8,1280
37.937513,-84.500328,8675,207.3,125.4,832
37.934784,-84.495616,8725,211.8,126.2,768
37.932907,-84.49246,8775,216.4,126.9,768
37.930298,-84.488136,8800,221.2,127.3,384
37.92811,-84.484505,8800,223.2,127.5,-64
37.915541,-84.463607,8775,228.0,126.6,192
37.912003,-84.457278,8775,228.8,123.4,192
37.909768,-84.4528,8775,231.0,121.0,-256
37.906494,-84.445476,8725,235.8,118.1,-512
37.904368,-84.439843,8725,238.0,115.4,-64
37.903748,-84.438171,8725,237.6,114.6,384
37.899015,-84.425692,8825,233.4,116.5,448
37.891937,-84.407784,8900,232.6,116.0,64
37.890427,-84.403927,8850,233.9,115.6,-320
37.886678,-84.393808,8800,238.0,114.8,-320
37.88562,-84.390895,8750,239.4,114.4,-768
37.88314,-84.383897,8725,241.8,113.9,-384
37.882416,-84.38172,8725,241.9,113.4,64
37.878671,-84.370343,8775,240.5,112.0,512
37.874908,-84.358754,8825,239.0,112.4,64
37.869873,-84.342742,8825,239.6,110.8,448
37.865637,-84.328487,8900,237.2,112.6,448
37.863739,-84.323399,8925,235.2,116.2,320
37.862751,-84.321024,8925,233.9,117.8,0
37.860168,-84.315452,8900,233.9,121.7,-128
37.848724,-84.292135,8900,236.7,121.9,64
37.84552,-84.285473,8875,239.9,120.8,-384
37.842728,-84.279454,8825,244.1,119.7,-512
37.840393,-84.274311,8825,246.7,119.4,-64
37.835403,-84.262975,8875,247.5,118.7,256
37.832565,-84.256371,8875,248.0,118.9,-128
37.824326,-84.237671,8775,252.4,118.9,-128
37.814896,-84.216692,8800,253.2,120.1,64
37.804047,-84.193375,8800,253.4,119.3,-192
37.793015,-84.167752,8800,254.6,118.4,-64
37.789617,-84.159931,8800,253.7,118.5,256
37.782532,-84.143294,8900,251.4,117.5,192
37.776396,-84.127688,8875,254.5,115.9,-128
37.768296,-84.10685,8875,255.4,115.8,320
37.764525,-84.09664,8875,255.9,115.0,-128
37.757126,-84.076558,8800,258.5,116.2,-512
37.755386,-84.072292,8800,258.1,117.5,-64
37.748185,-84.055561,8825,257.3,118.6,256
37.742413,-84.041828,8850,256.8,117.9,-128
37.735657,-84.025892,8825,256.0,119.0,256
37.734787,-84.023963,8850,254.8,119.4,704
37.73085,-84.015315,8900,253.7,120.3,448
37.730309,-84.014123,8900,252.8,120.4,192
37.729332,-84.012153,8875,253.0,120.9,-192
37.727749,-84.008809,8875,253.5,121.1,-512
37.721092,-83.994957,8825,257.9,121.0,-64
37.708832,-83.969616,8850,257.1,121.2,320
37.707047,-83.965759,8825,257.3,120.3,-128
37.695814,-83.940921,8875,259.0,120.1,320
37.692276,-83.933278,8900,258.0,119.7,-64
37.690155,-83.928476,8875,259.6,119.0,-512
37.684616,-83.91521,8850,260.7,117.2,-64
37.67395,-83.888446,8850,258.9,116.9,384
37.671432,-83.882193,8875,257.6,117.3,64
37.6604,-83.855896,8825,259.0,117.8,192
37.658014,-83.850224,8800,259.0,117.8,-256
37.651749,-83.8348,8800,260.3,117.0,192
37.642884,-83.813025,8825,258.6,118.2,0
37.637741,-83.801724,8850,257.3,120.3,64
37.629044,-83.783375,8850,255.9,121.6,-128
37.617645,-83.760525,8775,258.5,122.5,-384
37.615585,-83.756493,8800,257.7,122.6,64
37.602676,-83.731482,8825,259.0,123.5,256
37.596725,-83.719911,8875,259.0,121.4,192
37.592514,-83.710678,8875,260.0,118.7,-192
37.585625,-83.694564,8875,261.8,118.5,192
37.57782,-83.676492,8850,261.6,117.1,-128
37.574432,-83.667492,8875,261.9,114.1,320
37.57251,-83.662057,8900,262.8,114.0,-128
37.570724,-83.65709,8850,263.7,113.9,-576
37.567337,-83.647331,8825,265.1,113.6,-128
37.557724,-83.619398,8825,263.4,113.3,128
37.550949,-83.599003,8800,263.3,112.1,128
37.54438,-83.578551,8800,262.5,113.3,64
37.542285,-83.573058,8800,260.7,117.2,0
37.539688,-83.567446,8800,258.6,121.7,-64
37.536209,-83.560901,8800,256.1,125.3,384
37.531357,-83.552779,8850,254.4,127.8,128
37.520964,-83.536158,8850,255.2,126.6,64
37.517612,-83.529948,8850,256.0,122.9,128
37.514511,-83.523443,8850,258.0,119.7,128
37.506114,-83.504095,8825,261.0,119.1,-320
37.475098,-83.48166,8875,238.5,183.9,1344
37.473527,-83.481883,8875,238.9,185.0,1280
37.472443,-83.482069,8900,237.6,188.5,576
37.470795,-83.482478,8900,237.5,191.2,128
37.466125,-83.483973,8875,238.6,196.3,-512
37.458572,-83.487094,8825,241.0,198.9,-320
37.451741,-83.489824,8775,241.8,196.3,-64
37.445177,-83.491914,8750,243.3,193.1,-320
37.442047,-83.492763,8775,243.0,191.6,128
37.436005,-83.494224,8800,241.6,191.2,512
37.432235,-83.495198,8800,241.0,191.7,128
37.410542,-83.501109,8850,239.5,192.3,512
37.407898,-83.501821,8850,239.9,191.5,64
37.398514,-83.503866,8825,242.2,189.3,-192
37.3814,-83.507199,8800,244.4,188.0,-256
37.368118,-83.509242,8775,245.5,186.3,-64
37.359195,-83.510364,8800,245.3,185.9,128
37.354614,-83.510937,8825,244.2,185.6,576
37.346466,-83.51193,8875,243.0,185.2,192
37.344019,-83.512215,8850,244.1,185.4,-256
37.33564,-83.513469,8825,244.4,188.0,-128
37.327586,-83.515141,8800,245.2,190.6,0
37.321488,-83.516813,8825,243.0,193.8,256
37.31163,-83.519878,8825,243.5,193.3,-128
37.305567,-83.521709,8825,242.6,193.4,320
37.294327,-83.525254,8850,242.5,194.3,192
37.273087,-83.532092,8850,241.1,193.9,256
37.269516,-83.533143,8850,241.8,193.6,-192
37.25543,-83.537173,8775,243.4,192.1,-192
37.241139,-83.540815,8775,243.2,190.7,-192
37.233215,-83.542377,8775,243.5,188.3,192
37.220702,-83.544398,8825,241.6,186.6,256
37.207295,-83.54601,8825,240.9,185.0,64
37.195424,-83.547323,8850,240.5,186.4,256
37.191696,-83.548045,8825,240.2,189.3,-64
37.18644,-83.549354,8850,239.7,192.5,128
37.165833,-83.555584,8825,240.8,191.5,0
37.152786,-83.558622,8825,241.7,190.0,-64
37.138412,-83.561544,8825,241.7,188.6,-128
37.12326,-83.564115,8825,241.9,187.1,0
37.10758,-83.566609,8825,241.4,188.1,-128
37.101994,-83.567803,8825,241.8,191.4,-192
