lat,lon,alt,gs,track,vs
31.269699,-85.712962,375,71.0,181.6,768
31.267868,-85.71307,450,71.1,183.2,704
31.266129,-85.713286,525,72.3,185.6,832
31.263107,-85.713663,625,72.3,185.6,832
31.262155,-85.713629,650,74.0,179.2,704
31.260433,-85.7133,700,72.6,168.1,512
31.254847,-85.712311,700,73.4,169.0,192
31.252938,-85.712146,675,73.4,169.0,192
31.247452,-85.711885,600,77.1,177.8,-256
31.245536,-85.711707,600,78.2,175.6,-384
31.239671,-85.711157,575,78.3,174.9,-64
31.239304,-85.711131,575,78.4,174.1,64
31.232455,-85.710059,550,76.8,171.8,0
31.230148,-85.709785,575,76.2,175.5,64
31.227539,-85.709623,575,77.1,177.0,64
31.225021,-85.709516,600,76.0,178.5,64
31.220584,-85.709399,600,78.1,177.8,0
31.218018,-85.709193,575,79.2,175.7,-64
31.215454,-85.708923,575,79.5,173.5,0
31.213788,-85.70863,575,79.9,171.4,-64
31.210529,-85.707971,550,80.1,170.7,-64
31.208542,-85.707308,550,77.2,161.1,0
31.208062,-85.707037,525,74.7,152.1,-64
31.207224,-85.706378,525,74.6,144.8,-64
31.206619,-85.705746,525,73.7,138.3,-64
31.20369,-85.702622,550,72.2,137.2,192
31.202225,-85.701276,575,71.3,145.9,192
31.201405,-85.70072,575,71.6,151.6,256
31.20038,-85.700226,600,70.8,156.7,192
31.196686,-85.698314,600,71.3,157.8,128
31.196274,-85.697991,625,68.5,146.3,64
31.195725,-85.697479,625,67.3,138.0,128
31.194841,-85.695996,625,67.2,135.6,128
31.194794,-85.695831,625,66.6,115.8,128
31.194214,-85.694275,650,66.9,112.0,64
31.192048,-85.688031,675,66.9,112.0,128
31.190369,-85.683235,700,63.7,112.1,128
31.189636,-85.68135,700,63.1,115.3,0
31.188091,-85.677594,650,65.3,115.4,-256
31.187714,-85.676718,650,66.2,118.9,-192
31.187073,-85.675534,650,67.1,123.4,-192
31.18634,-85.674349,625,66.6,125.8,-64
31.18418,-85.671277,625,67.3,132.0,-128
31.182083,-85.66864,600,66.5,132.6,-64
31.181015,-85.667377,600,66.5,133.8,-64
31.175766,-85.653076,700,64.9,114.6,192
31.175941,-85.651941,700,71.6,82.8,256
31.176086,-85.651137,725,72.8,77.3,384
31.176682,-85.648876,750,74.9,71.3,384
31.177663,-85.645624,800,72.8,69.1,256
31.17906,-85.641614,825,70.4,67.4,128
31.180939,-85.636327,825,68.7,68.7,-64
31.18148,-85.634583,825,69.6,71.6,-256
31.181713,-85.633484,800,68.7,77.4,-256
31.183063,-85.626123,775,71.6,77.9,0
31.183868,-85.622056,775,71.8,77.1,0
31.184692,-85.618323,800,70.3,75.2,0
31.185745,-85.613547,825,66.9,76.2,192
31.186229,-85.610962,800,67.3,78.9,-128
31.186661,-85.607838,775,69.1,80.0,-192
31.186973,-85.606567,775,72.5,74.8,-192
31.187576,-85.604392,750,74.9,71.3,-128
31.18837,-85.601459,750,75.3,70.6,-64
31.188766,-85.600406,750,77.4,64.8,0
31.189161,-85.599646,750,78.6,58.5,0
31.189774,-85.598629,750,80.8,53.6,-64
31.190558,-85.597559,750,82.9,48.4,64
31.191861,-85.596021,750,84.2,44.5,64
31.193537,-85.594263,750,86.5,41.2,0
31.197464,-85.590174,800,85.6,42.6,256
31.199799,-85.587589,825,84.9,44.0,256
31.201447,-85.585596,850,85.6,46.4,128
31.20282,-85.583819,850,85.8,49.2,0
31.203552,-85.582688,825,85.8,53.5,-64
31.204151,-85.581464,825,85.1,56.5,-192
31.204524,-85.580695,825,84.1,64.7,-128
31.205338,-85.578434,825,83.9,68.3,-64
31.206525,-85.574707,825,83.2,69.6,-64
31.207809,-85.57084,850,81.2,67.5,128
31.209086,-85.567072,875,80.4,68.9,128
31.210327,-85.563408,875,79.3,67.0,192
31.212433,-85.557915,900,79.7,66.3,0
31.21295,-85.555646,875,76.1,80.2,-64
31.213028,-85.554307,875,76.1,80.2,-64
31.212996,-85.553668,875,73.0,91.6,-128
31.212903,-85.552679,875,72.4,96.3,-64
31.212753,-85.551722,875,70.8,103.1,-64
31.211472,-85.548975,875,68.5,115.1,-64
31.211105,-85.548598,875,67.9,135.0,0
31.210419,-85.547898,875,67.2,136.8,0
31.209915,-85.547521,875,66.3,146.1,64
31.209137,-85.546929,875,65.4,150.7,192
31.208359,-85.546552,900,65.0,157.4,192
31.206805,-85.546143,900,66.1,176.5,192
31.206207,-85.546175,925,67.1,183.4,192
31.205566,-85.546336,925,69.9,193.2,192
31.205063,-85.546552,925,72.6,202.7,64
31.204431,-85.547021,925,76.0,212.6,0
31.204012,-85.547461,925,79.3,221.9,0
31.203461,-85.548168,925,82.5,230.9,64
31.203278,-85.548598,925,85.4,237.4,128
31.202941,-85.549384,925,90.3,248.6,64
31.20282,-85.549999,925,93.6,256.4,64
31.202728,-85.551022,925,96.3,265.2,0
31.202774,-85.552045,925,100.5,275.7,0
31.203003,-85.553068,925,102.2,286.5,64
31.203278,-85.553768,950,103.6,292.1,128
31.203732,-85.554547,925,105.5,301.4,0
31.20401,-85.554953,925,105.6,307.3,0
31.204697,-85.555653,950,105.4,316.9,0
31.206253,-85.557161,975,103.1,320.9,448
31.209503,-85.560069,975,105.8,320.0,64
31.210063,-85.560699,975,105.4,313.9,-64
31.210648,-85.561577,950,105.6,307.3,-448
31.211227,-85.562732,900,105.6,298.3,-768
31.211472,-85.563516,875,103.4,288.6,-896
31.211563,-85.564432,850,99.3,279.3,-832
31.211563,-85.565186,825,96.2,273.6,-832
31.211517,-85.56567,825,91.4,264.4,-832
31.211413,-85.566193,825,86.9,258.0,-896
31.211274,-85.566632,800,82.6,253.1,-768
31.21106,-85.567178,800,79.9,247.9,-640
31.210948,-85.567511,800,76.0,243.4,-192
31.210327,-85.56874,775,71.3,238.8,-512
31.208946,-85.571301,725,67.4,237.7,-384
31.208248,-85.572729,700,65.8,241.9,-256
31.208015,-85.573224,700,65.3,244.6,-256
31.207855,-85.573964,675,67.7,253.7,-192
31.207764,-85.574664,700,68.7,261.6,-64
31.207736,-85.575421,675,69.0,269.2,0
31.207782,-85.57608,700,69.3,275.0,0
31.207901,-85.576872,675,68.7,282.6,-64
31.208084,-85.577411,675,69.0,289.5,-128
31.208359,-85.578111,675,68.9,295.8,-128
31.208771,-85.578972,675,68.0,303.0,-192
31.209319,-85.579761,650,66.7,310.1,-256
31.209737,-85.580255,650,66.5,313.8,-256
31.210098,-85.580588,650,65.3,320.0,-320
31.210785,-85.58118,625,64.1,325.8,-320
31.211838,-85.581773,625,64.5,330.3,-192
31.214207,-85.582947,625,62.8,337.5,-64
31.216581,-85.583276,600,61.9,346.0,-64
31.216736,-85.583227,600,61.9,346.0,-64
31.216813,-85.583167,600,52.2,20.2,-256
31.217194,-85.582958,575,50.3,31.2,-192
31.217468,-85.582688,600,48.2,41.6,-64
31.217838,-85.582123,600,47.6,51.0,128
31.218613,-85.580911,625,51.6,54.5,256
