lat,lon,alt,gs,track
42.419935,-87.866034,650,41.0,178.6
42.419678,-87.865906,625,39.3,172.7
42.419516,-87.865842,625,35.4,163.6
42.418865,-87.865459,600,33.5,162.6
42.418446,-87.865139,600,16.7,147.3
42.41803,-87.86472,575,14.4,146.3
42.41803,-87.864723,575,0.0,146.0
42.415649,-87.862036,725,45.3,138.6
42.415146,-87.861287,750,48.8,134.2
42.414871,-87.86085,775,49.7,130.1
42.414093,-87.859039,800,59.0,116.1
42.413681,-87.857666,825,62.4,111.6
42.413139,-87.855814,850,66.5,111.2
42.411928,-87.851662,875,70.4,112.6
42.410568,-87.847678,900,70.3,114.4
42.408691,-87.84231,925,68.9,115.8
42.406219,-87.835444,925,67.1,116.6
42.404526,-87.831074,925,63.5,118.2
42.402603,-87.82608,925,60.8,117.4
42.400104,-87.819533,900,59.5,117.0
42.397683,-87.813146,875,57.2,117.0
42.395599,-87.807666,875,55.5,117.9
42.39503,-87.806375,875,54.4,122.2
42.394657,-87.805736,850,53.6,126.7
42.394332,-87.805225,850,53.2,131.2
42.394052,-87.804842,850,53.1,137.3
42.393587,-87.804395,850,53.0,144.2
42.392944,-87.80392,825,52.0,150.0
42.392532,-87.803671,825,51.6,158.4
42.391818,-87.803373,825,51.7,165.4
42.391159,-87.803234,800,51.5,172.2
42.390002,-87.803118,800,51.2,175.5
42.388978,-87.803054,800,51.0,177.8
42.387535,-87.803054,775,51.0,180.0
42.385483,-87.803171,775,50.0,182.3
42.384788,-87.803245,750,50.3,185.7
42.384155,-87.803483,750,51.7,194.6
42.382828,-87.804482,725,51.7,194.6
42.3826,-87.804778,725,55.3,220.6
42.381669,-87.806184,725,56.1,230.1
42.38063,-87.807416,725,54.5,222.8
42.379994,-87.807908,725,53.0,211.9
42.379349,-87.808228,725,53.0,211.9
42.379109,-87.808355,725,51.6,198.1
42.377293,-87.808994,725,52.6,194.3
42.375641,-87.809601,725,54.4,197.1
42.372824,-87.810719,725,55.1,195.8
42.370962,-87.811357,725,55.5,193.5
42.369799,-87.811677,725,55.9,190.3
42.368914,-87.811804,725,55.6,188.3
42.367797,-87.811996,725,54.2,185.3
42.366623,-87.812035,725,54.0,181.1
42.365842,-87.812124,725,53.2,185.4
42.365423,-87.812252,725,53.2,191.9
42.364631,-87.812699,750,53.9,211.3
42.364119,-87.813274,750,54.0,219.0
42.363374,-87.814232,750,55.2,223.5
42.362869,-87.814782,750,55.4,219.1
42.362257,-87.815318,750,55.8,212.6
42.361038,-87.81628,750,55.1,209.4
42.359756,-87.817216,750,55.9,206.6
42.357276,-87.818767,750,55.5,205.6
42.354263,-87.82065,750,54.6,206.1
42.354017,-87.820875,750,55.1,209.4
42.353806,-87.821149,750,55.3,220.6
42.353645,-87.821449,750,55.0,233.1
42.353531,-87.821773,750,55.0,245.3
42.353505,-87.822152,750,55.7,252.2
42.353598,-87.822791,750,55.7,279.3
42.353878,-87.823302,750,56.0,304.8
42.354297,-87.823685,750,53.7,333.4
42.35463,-87.823833,750,51.8,350.0
42.354996,-87.823833,750,51.8,350.0
42.355453,-87.823646,750,52.2,20.2
42.356392,-87.822663,750,52.2,20.2
42.356644,-87.822273,750,54.0,51.0
42.356997,-87.821577,750,54.7,59.2
