lat,lon,alt,gs,track,vs
34.11937,-119.117133,-100,0.7,0.0,0
34.11937,-119.117133,-100,1.2,270.0,0
34.119345,-119.117146,-100,2.3,296.6,0
34.119392,-119.117203,-100,6.4,288.4,0
34.119392,-119.117317,-100,9.2,282.5,-64
34.119439,-119.117432,-100,11.4,285.3,-64
34.119485,-119.117661,-75,16.5,284.0,0
34.119532,-119.117889,-75,19.7,284.7,-64
34.119578,-119.118061,-50,21.6,283.4,0
34.119578,-119.118118,-50,25.7,283.5,128
34.119625,-119.118347,-50,29.1,286.0,64
34.11969,-119.118534,-50,34.2,285.3,0
34.119718,-119.118748,-50,35.4,286.4,64
34.119781,-119.118982,-50,39.3,284.7,64
34.119781,-119.119095,-50,42.5,285.0,64
34.119858,-119.11932,-25,45.6,285.3,64
34.119904,-119.119663,-25,49.7,285.1,64
34.12001,-119.120103,-25,54.8,284.8,64
34.120148,-119.120608,-25,59.2,285.7,64
34.12023,-119.121094,-25,61.1,285.2,0
34.120416,-119.121838,-25,68.4,285.3,256
34.121155,-119.125148,75,70.3,284.8,704
34.121796,-119.128231,175,68.2,284.4,704
34.122418,-119.131336,275,66.7,283.0,704
34.123077,-119.134565,375,67.9,283.6,704
34.123764,-119.137704,475,69.4,285.0,704
34.124466,-119.140949,575,69.4,285.0,640
34.125164,-119.143982,650,70.9,286.4,640
34.125824,-119.146729,750,70.6,285.6,768
34.126608,-119.149876,850,68.7,286.1,704
34.127399,-119.15308,950,69.9,286.6,640
34.12819,-119.156284,1050,72.1,286.9,704
34.128983,-119.159565,1125,72.1,286.9,640
34.12968,-119.162292,1225,73.4,287.5,704
34.130518,-119.165497,1325,73.1,286.7,768
34.131309,-119.168587,1425,71.5,287.9,704
34.132233,-119.172064,1525,71.5,287.9,640
34.133078,-119.175339,1600,73.1,286.7,640
34.133835,-119.178342,1700,75.3,287.0,768
34.134613,-119.181369,1800,74.6,288.0,768
34.135546,-119.184723,1900,74.9,288.7,640
34.13657,-119.188156,1975,75.3,289.4,704
34.13736,-119.190954,2075,76.8,288.2,704
34.138275,-119.194317,2175,75.9,288.4,768
34.139223,-119.197769,2250,77.2,288.9,640
34.140015,-119.200595,2350,77.8,288.0,704
34.141022,-119.204183,2450,78.1,288.7,768
34.14197,-119.207611,2550,77.2,288.9,640
34.142944,-119.211189,2650,76.8,288.2,704
34.14386,-119.214496,2725,76.8,288.2,704
34.144592,-119.217187,2825,75.6,287.7,704
34.145415,-119.220428,2900,72.4,287.7,704
34.145927,-119.222088,2950,71.9,291.2,704
34.146332,-119.223184,3000,71.1,295.8,704
34.147018,-119.224642,3050,70.8,300.5,704
34.148208,-119.227066,3125,70.7,298.7,640
34.14949,-119.230023,3225,70.2,298.0,704
34.150818,-119.23305,3325,69.4,298.4,704
34.152072,-119.235935,3425,66.7,297.7,704
34.153244,-119.238655,3500,62.6,296.6,704
34.15412,-119.240799,3600,59.9,295.7,704
34.155029,-119.243027,3675,59.1,298.3,704
34.156029,-119.245033,3750,58.3,301.0,704
34.157146,-119.247437,3825,58.2,298.8,704
34.158096,-119.249529,3925,59.1,298.3,704
34.159194,-119.252071,4000,60.4,296.6,704
34.160065,-119.254294,4100,60.4,296.6,704
34.161149,-119.256821,4200,60.8,297.4,704
34.162313,-119.259338,4300,59.5,299.1,960
34.163132,-119.261132,4400,58.2,298.8,960
34.163956,-119.262926,4500,56.4,297.5,960
34.164687,-119.264717,4600,55.9,296.6,960
34.165479,-119.266548,4700,56.8,296.1,960
34.166153,-119.268307,4800,56.4,295.2,960
34.166885,-119.270269,4900,56.0,294.3,960
34.167526,-119.272062,5000,56.5,292.9,960
34.168179,-119.27393,5100,56.5,292.9,960
34.168877,-119.275818,5200,56.9,293.9,960
34.169482,-119.277306,5275,57.2,297.0,1024
34.170181,-119.278845,5375,56.4,299.7,1024
34.171018,-119.280567,5475,55.1,299.4,1024
34.171717,-119.282227,5575,55.5,298.0,1024
34.172508,-119.283943,5675,55.0,297.0,1024
34.173294,-119.285795,5775,55.0,297.0,960
34.174044,-119.287548,5875,56.4,297.5,832
34.175115,-119.290009,5950,59.1,298.3,256
34.175766,-119.291457,5950,64.0,299.0,64
34.177048,-119.294147,5975,68.6,300.7,64
34.178238,-119.296669,5975,70.2,298.0,-64
34.179212,-119.299107,5950,72.0,295.5,0
34.181027,-119.30357,5950,71.6,296.6,0
34.183685,-119.309786,5950,74.2,297.3,-64
34.184647,-119.312028,5950,78.7,297.2,0
34.185425,-119.313822,5950,83.2,297.2,64
34.186288,-119.315872,5950,87.7,297.1,64
34.1884,-119.320772,5975,92.6,297.7,64
34.190896,-119.326687,5950,97.5,296.8,-128
34.192062,-119.329572,5950,101.5,296.3,0
34.194809,-119.335906,5950,105.1,297.8,128
34.197786,-119.342651,5950,110.1,298.2,-128
34.202581,-119.353638,5950,111.9,298.9,0
34.207443,-119.364325,5950,113.3,299.0,0
34.212387,-119.375143,5950,114.1,298.8,0
34.217331,-119.385961,5950,113.3,299.0,0
34.222458,-119.397172,5950,113.3,299.0,0
34.227393,-119.407997,5950,112.8,298.6,0
34.232374,-119.419155,5950,114.5,298.1,0
34.237309,-119.430485,5950,115.4,297.9,0
34.242336,-119.4417,5950,114.1,298.8,0
34.247318,-119.452858,5925,116.8,298.1,-64
34.252438,-119.464417,5900,116.8,298.1,-64
34.257326,-119.475632,5900,116.3,297.7,64
34.262307,-119.486961,5925,115.9,298.3,0
34.26741,-119.498347,5925,114.5,298.1,64
34.2724,-119.509558,5950,114.5,298.1,64
34.27739,-119.520664,5950,115.0,298.6,-64
34.282371,-119.531765,5950,114.5,298.1,0
34.287323,-119.542909,5950,114.5,298.1,0
34.292358,-119.554232,5950,115.0,298.6,0
34.297361,-119.565239,5950,114.1,298.8,0
34.302342,-119.576168,5950,114.1,298.8,0
34.307373,-119.587303,5950,114.1,298.8,0
34.312454,-119.598345,5950,114.6,299.2,0
34.317581,-119.609444,5950,115.5,299.0,0
34.322779,-119.620743,5950,116.8,299.2,-64
34.327927,-119.631921,5950,116.8,299.2,0
34.333237,-119.64358,5950,117.7,299.0,0
