lat,lon,alt,gs,track,vs
39.104095,-85.910996,1375,105.0,180.0,-128
39.097269,-85.911133,1375,106.0,181.1,-64
39.088238,-85.911316,1350,105.0,180.0,-64
39.078781,-85.911235,1350,103.0,180.6,0
39.069059,-85.911377,1350,106.0,180.5,0
39.059509,-85.911414,1350,106.0,180.0,-128
39.049942,-85.911354,1350,106.0,180.0,64
39.040192,-85.911354,1350,106.0,180.0,-64
39.030441,-85.911354,1350,104.0,180.0,0
39.021515,-85.911235,1350,106.0,178.9,0
39.011799,-85.91095,1350,107.0,178.9,-128
39.00174,-85.910757,1350,108.0,179.5,-64
38.998067,-85.910706,1350,109.1,177.4,128
38.996577,-85.910461,1350,109.2,171.6,-64
38.995377,-85.910101,1350,110.4,165.8,0
38.99411,-85.909546,1350,111.1,159.4,0
38.992538,-85.908668,1350,111.8,153.4,0
38.991257,-85.907712,1350,112.4,147.7,-64
38.989827,-85.906433,1350,112.4,144.1,128
38.988235,-85.904786,1350,113.5,139.3,192
38.982751,-85.898499,1325,113.3,137.9,0
38.975721,-85.890503,1350,112.7,139.0,128
38.968048,-85.881799,1350,110.0,139.8,-64
38.966085,-85.879822,1325,109.4,143.6,-64
38.964875,-85.878845,1350,107.4,147.9,128
38.963104,-85.877559,1325,106.0,152.5,-64
38.961685,-85.876783,1325,104.0,157.4,-64
38.960083,-85.876007,1325,103.1,161.9,0
38.958683,-85.875549,1350,101.2,168.0,64
38.956868,-85.875122,1350,100.0,171.9,192
38.954956,-85.874932,1350,98.2,176.5,192
38.952759,-85.874813,1375,97.0,180.6,64
38.951468,-85.874939,1375,96.6,186.5,0
38.950025,-85.875244,1375,96.5,190.1,0
38.948959,-85.875649,1375,96.3,195.1,0
38.947632,-85.876246,1375,94.3,201.1,64
38.946394,-85.876953,1375,91.7,205.2,64
38.944531,-85.878174,1375,86.8,208.9,-192
38.942963,-85.879351,1325,82.5,210.6,-384
38.941452,-85.880485,1300,77.7,211.9,-448
38.939643,-85.882019,1250,73.2,215.0,-448
38.9382,-85.883362,1200,68.6,216.7,-576
38.937149,-85.884426,1150,64.7,219.4,-640
38.93578,-85.885925,1075,60.2,221.6,-768
38.934769,-85.887113,1025,56.6,222.1,-576
38.933762,-85.888307,950,51.7,222.6,-512
38.932526,-85.889859,875,47.4,224.1,-448
38.931244,-85.891472,800,43.1,224.1,-640
38.930054,-85.892964,725,39.0,221.9,-384
38.929367,-85.8938,675,36.8,225.0,-640
38.929076,-85.894165,675,36.8,225.0,-640
38.921997,-85.902936,550,43.1,224.1,640
38.921767,-85.903137,575,49.5,225.0,448
38.921255,-85.903809,600,51.6,224.2,640
38.920324,-85.905029,675,58.0,225.0,704
38.919067,-85.906555,750,60.1,224.3,640
38.918648,-85.907104,800,65.1,223.8,896
38.917764,-85.908203,850,68.6,224.4,960
38.917191,-85.908787,900,71.7,219.9,1024
38.916833,-85.90918,925,72.9,213.2,896
38.916088,-85.909668,950,73.4,205.9,832
38.914993,-85.910101,1000,74.3,190.9,960
38.914307,-85.91016,1050,74.2,183.9,960
38.913757,-85.910101,1075,74.7,172.3,960
38.912922,-85.90979,1125,75.6,155.8,1024
38.912271,-85.909302,1150,76.9,147.8,960
38.911805,-85.908875,1175,77.7,145.5,960
38.911433,-85.908386,1175,81.4,132.5,640
38.910874,-85.90741,1200,84.1,124.8,576
38.910553,-85.906578,1225,87.2,116.6,512
38.910233,-85.905563,1225,90.5,110.0,448
38.909943,-85.904175,1250,93.4,103.0,448
38.909803,-85.902832,1275,95.4,95.4,576
38.909821,-85.901383,1325,96.1,87.6,896
38.909943,-85.899963,1350,96.7,82.9,832
38.910049,-85.899174,1350,97.5,80.0,640
38.910176,-85.89856,1350,98.7,76.5,256
38.910782,-85.896248,1325,97.7,67.1,0
38.911469,-85.894576,1325,97.2,59.7,-128
38.912155,-85.893263,1325,98.2,54.5,-64
38.913528,-85.890991,1325,102.3,50.5,64
38.914902,-85.889023,1325,104.7,47.3,128
38.916693,-85.886658,1350,104.0,43.8,64
38.919434,-85.88353,1350,106.3,41.2,0
38.926804,-85.87535,1350,109.1,41.3,-64
38.93161,-85.869797,1350,109.0,42.8,0
38.935407,-85.865173,1375,108.9,44.3,128
38.93834,-85.861267,1350,108.9,46.5,0
38.945251,-85.851646,1350,110.3,46.5,0
38.951385,-85.843585,1350,111.0,45.4,0
38.958497,-85.83429,1350,111.7,45.7,64
38.965576,-85.824956,1350,111.0,46.1,0
38.97171,-85.816538,1350,110.4,47.2,0
38.97757,-85.808298,1350,108.4,48.4,0
38.982513,-85.800954,1350,109.2,49.5,0
38.988785,-85.79146,1350,109.2,49.5,0
38.99532,-85.781677,1350,108.6,49.9,-64
39.001877,-85.771876,1350,108.5,49.1,0
39.008286,-85.762322,1325,107.2,49.9,-64
39.014453,-85.753052,1350,107.1,49.2,128
39.02097,-85.743408,1350,108.5,49.1,0
39.027557,-85.733722,1350,107.1,49.2,0
39.033234,-85.725244,1350,107.1,49.2,-64
39.039777,-85.715637,1325,107.0,48.4,-128
39.046108,-85.706421,1350,108.5,49.1,0
39.048431,-85.702793,1350,108.1,51.0,64
39.054474,-85.693359,1350,105.1,50.4,64
39.059235,-85.686194,1325,107.1,49.2,64
39.065323,-85.677417,1350,111.2,48.3,256
39.069351,-85.671745,1350,109.0,47.2,-192
39.075806,-85.66261,1350,108.3,47.6,0
39.082489,-85.653295,1350,106.2,48.0,128
39.089127,-85.643742,1350,110.5,48.7,-64
39.095873,-85.634094,1350,107.6,48.0,0
39.102448,-85.624635,1350,108.4,48.4,64
39.109039,-85.615082,1350,106.3,48.8,0
39.115356,-85.605767,1350,107.8,49.5,0
39.121674,-85.596274,1350,107.8,49.5,128
39.128082,-85.586541,1350,107.2,49.9,-64
39.129684,-85.583974,1325,104.4,53.6,0
39.130321,-85.582703,1350,101.9,58.7,0
39.13088,-85.581421,1350,99.7,64.5,64
39.131252,-85.580078,1350,99.3,71.2,0
39.131532,-85.578552,1350,95.6,76.7,192
39.132416,-85.573669,1350,95.3,74.8,0
39.132751,-85.57251,1350,95.6,68.5,0
39.133254,-85.571228,1350,98.4,62.1,-128
39.133673,-85.570374,1350,101.4,53.0,-192
39.134308,-85.569405,1350,102.5,45.4,64
39.135163,-85.568481,1350,102.0,37.4,256
39.136185,-85.567673,1350,103.5,32.8,-64
39.138747,-85.565613,1325,104.9,34.9,-128
39.139893,-85.564449,1350,105.9,39.2,0
39.141037,-85.563076,1325,108.2,44.6,0
39.142548,-85.561046,1325,112.7,49.0,-192
39.143682,-85.559143,1325,115.8,53.4,0
39.145032,-85.55658,1350,118.2,57.8,128
39.149082,-85.548096,1375,113.5,58.7,-128
39.150199,-85.545715,1375,108.6,59.0,-192
39.152108,-85.541748,1375,109.0,56.6,0
39.153625,-85.539073,1375,111.4,53.0,128
39.155548,-85.535968,1375,108.6,49.9,0
39.159485,-85.530117,1375,104.1,48.5,0
39.161591,-85.527131,1350,106.9,47.7,-192
39.448517,-85.590183,1550,112.8,263.4,-64
39.447235,-85.602125,1525,112.0,262.3,-128
39.446548,-85.608454,1550,112.5,260.8,64
39.445899,-85.613037,1550,112.2,258.7,0
39.445108,-85.617615,1550,111.1,256.5,0
39.442734,-85.630371,1550,111.1,256.5,192
39.441238,-85.638726,1525,110.4,258.0,0
39.439407,-85.649414,1550,108.7,257.2,0
39.43721,-85.661774,1575,108.9,256.7,-64
39.435192,-85.673035,1575,109.7,257.4,64
39.433051,-85.685913,1550,112.4,258.2,-64
39.430956,-85.698975,1575,109.4,257.9,-64
39.429792,-85.706726,1575,109.8,259.5,0
39.428055,-85.719213,1575,109.5,260.5,0
39.42659,-85.730558,1575,108.9,259.4,0
39.425183,-85.740967,1575,110.5,260.6,128
39.423477,-85.754023,1550,111.5,260.7,-64
39.422333,-85.762621,1575,112.0,259.2,0
39.420502,-85.775578,1575,112.8,259.8,64
39.420249,-85.77832,1575,114.5,264.5,64
39.420135,-85.780951,1575,114.0,269.0,0
39.420227,-85.783399,1575,116.3,274.0,0
39.420482,-85.78656,1550,116.1,277.9,-128
39.421188,-85.791997,1550,117.9,280.3,64
39.422104,-85.797431,1550,118.9,282.6,128
39.424438,-85.810913,1575,118.7,282.2,64
39.426813,-85.824707,1575,120.1,283.0,0
39.429373,-85.838623,1575,120.5,283.9,0
39.431142,-85.848267,1575,117.9,282.7,-64
39.433377,-85.861633,1575,115.5,282.0,0
39.43468,-85.868713,1575,114.2,283.7,0
39.437147,-85.881897,1550,112.8,282.8,-192
39.439475,-85.894409,1575,109.1,283.8,-128
39.441055,-85.90198,1550,107.7,285.1,0
39.443665,-85.913743,1550,109.2,286.0,0
39.445724,-85.923356,1575,110.6,284.7,0
39.447647,-85.933148,1575,111.1,283.5,64
39.449344,-85.942932,1550,108.5,282.2,-64
39.451447,-85.955061,1550,107.7,282.9,0
39.453781,-85.967779,1550,110.1,283.7,0
39.455978,-85.97984,1550,110.9,283.0,0
39.456528,-85.983243,1550,110.6,279.9,-128
39.456746,-85.985413,1550,108.7,276.3,0
39.45694,-85.988557,1550,107.2,273.2,0
39.456932,-85.990173,1550,104.1,267.8,192
39.456757,-85.992259,1550,100.8,262.6,0
39.456528,-85.993931,1550,98.5,257.1,-64
39.456141,-85.995605,1550,96.8,251.9,0
39.455442,-85.997864,1550,95.5,247.2,0
39.454651,-85.999878,1550,91.9,239.2,0
39.453964,-86.001215,1550,90.4,234.9,0
39.453208,-86.002441,1550,89.4,229.5,64
39.452277,-86.003662,1550,88.4,223.6,0
39.451066,-86.005066,1550,87.3,219.9,0
39.450073,-86.005932,1550,86.3,214.6,0
39.447854,-86.007812,1550,85.8,211.6,0
39.442566,-86.011843,1550,87.0,210.4,0
39.435791,-86.016978,1550,87.5,211.0,0
39.433456,-86.01871,1550,87.7,208.6,0
39.43158,-86.019904,1550,87.2,205.1,-64
39.430115,-86.02068,1550,86.4,200.3,0
39.427917,-86.021636,1525,86.3,198.2,-448
39.425323,-86.022705,1425,86.4,196.1,-640
39.423601,-86.023254,1400,85.1,192.9,-640
39.421319,-86.023865,1375,84.3,190.2,-192
39.418526,-86.024414,1375,83.7,187.6,0
39.412399,-86.025338,1350,85.7,187.4,0
39.410339,-86.025636,1350,86.5,186.0,64
39.405492,-86.026123,1350,87.3,184.6,0
39.39798,-86.02689,1350,86.4,185.3,0
39.391022,-86.027845,1350,86.5,186.0,0
39.385025,-86.028801,1350,86.7,187.3,-64
39.378708,-86.029816,1300,83.5,186.2,-320
39.374405,-86.030472,1250,79.8,187.9,-320
39.369833,-86.031311,1200,77.6,187.4,-192
39.366806,-86.031726,1125,75.3,185.3,-384
39.363876,-86.032085,1075,70.4,185.7,-384
39.361919,-86.032288,1050,66.2,184.3,-320
39.359312,-86.032532,975,62.1,183.7,-448
39.357776,-86.032654,950,57.1,184.0,-320
39.356552,-86.032801,925,52.2,184.4,-384
39.355774,-86.032861,900,48.2,184.8,-384
39.354983,-86.032959,875,44.1,183.9,-320
39.353679,-86.03302,850,40.1,182.9,-256
39.352981,-86.033081,825,37.0,181.6,-256
39.35191,-86.033081,800,32.0,181.8,-320
39.351242,-86.0331,750,30.0,180.0,-384
