lat,lon,alt,gs,track,vs
53.727381,-113.08066,2225,43.6,279.2,-64
53.727493,-113.081569,2225,51.6,278.9,0
53.727539,-113.08204,2225,58.9,279.8,-64
53.727614,-113.083002,2225,62.0,280.2,0
53.727676,-113.083609,2225,69.1,280.0,-64
53.728226,-113.08973,2300,71.9,278.8,-64
53.728265,-113.090273,2300,83.0,279.0,576
53.728638,-113.093968,2400,86.1,279.4,832
53.729004,-113.098049,2500,89.8,277.7,1088
53.729279,-113.101423,2600,90.8,277.6,1216
53.729569,-113.105298,2700,91.8,277.5,1088
53.729848,-113.109176,2800,92.7,276.8,1088
53.730103,-113.112723,2900,93.7,276.8,1216
53.730267,-113.116527,3000,95.2,273.6,1152
53.73036,-113.120728,3100,98.0,271.2,1024
53.73036,-113.125332,3200,99.0,269.4,1088
53.73024,-113.128418,3300,97.3,265.3,1408
53.730057,-113.13038,3350,97.3,257.5,1408
53.729691,-113.132106,3400,98.7,250.5,1280
53.729324,-113.133519,3450,99.3,245.0,1216
53.728684,-113.135349,3500,100.5,238.8,1216
53.727905,-113.137207,3575,100.2,233.9,1408
53.726624,-113.139875,3675,103.1,230.9,1280
53.725146,-113.142943,3775,102.9,230.1,1216
53.723511,-113.145996,3875,104.1,227.7,1152
53.721634,-113.149292,3975,104.7,225.0,1280
53.720491,-113.151102,4075,102.6,223.8,1472
53.719048,-113.153363,4175,101.2,222.2,1408
53.717,-113.156272,4275,103.7,219.5,1024
53.714439,-113.159826,4375,106.5,219.7,960
53.711838,-113.163496,4475,110.6,220.6,768
53.710017,-113.166369,4525,111.7,224.3,832
53.708221,-113.169381,4625,111.7,225.0,1024
53.70592,-113.173317,4725,113.1,225.0,960
53.703918,-113.176629,4775,118.1,224.7,576
53.702429,-113.179133,4800,120.9,224.7,448
53.701451,-113.180748,4800,124.5,225.0,192
53.70038,-113.182606,4800,129.4,225.9,0
53.698883,-113.185233,4800,133.7,226.5,0
53.696517,-113.189554,4800,138.7,226.8,192
53.692513,-113.196824,4850,143.0,227.8,448
53.690872,-113.199908,4900,141.7,228.4,832
53.689499,-113.202497,5000,139.5,228.2,1280
53.688675,-113.204067,5050,135.9,227.4,1664
53.68689,-113.207284,5150,133.7,226.5,1280
53.68602,-113.208775,5150,135.1,226.5,896
53.685623,-113.209507,5150,135.8,226.8,448
53.683715,-113.21298,5150,140.1,227.3,0
53.680801,-113.21827,5150,145.1,227.5,0
53.676313,-113.226875,5150,149.6,229.1,-64
53.669083,-113.241263,5150,154.0,230.0,64
53.661713,-113.256016,5150,157.1,230.9,64
53.658096,-113.263942,5175,156.4,233.1,192
53.65329,-113.275085,5200,154.3,234.8,64
53.647568,-113.289132,5200,155.6,236.0,-192
53.642578,-113.301923,5150,159.8,237.0,-192
53.637675,-113.315089,5125,159.3,238.6,-64
53.630493,-113.335275,5125,157.8,239.5,0
53.623215,-113.356227,5125,157.8,239.5,-64
53.616074,-113.376725,5150,156.4,239.7,0
53.610302,-113.39377,5150,155.8,240.8,-64
53.603394,-113.414847,5125,157.1,241.5,-192
53.596802,-113.435721,5100,156.2,241.3,0
53.595824,-113.438766,5125,154.8,241.4,384
53.595172,-113.440866,5175,152.6,241.4,768
53.594055,-113.44434,5225,149.0,241.5,1024
53.593048,-113.447414,5275,145.0,241.1,1088
53.591766,-113.451259,5375,140.5,241.1,1152
53.589633,-113.457669,5475,136.1,241.0,768
53.586594,-113.466797,5550,136.2,240.1,448
53.582696,-113.478349,5600,137.4,240.8,0
53.57872,-113.490653,5600,141.4,242.2,192
53.573959,-113.506348,5625,145.3,243.4,64
