lat,lon,alt,gs,track
45.961166,-66.54707,2825,106.9,7.5
45.963593,-66.546668,2925,106.6,5.9
45.965121,-66.546455,3025,106.5,5.4
45.966843,-66.546112,3050,109.7,10.0
45.970779,-66.544926,3100,114.0,10.6
45.973966,-66.544052,3125,116.1,10.9
45.975769,-66.543788,3150,117.4,4.9
45.980669,-66.543228,3150,114.9,7.0
45.983505,-66.542917,3200,110.3,4.2
45.985697,-66.542747,3300,108.2,3.2
45.992615,-66.541979,3350,104.3,4.4
45.996544,-66.541512,3350,103.7,6.7
46.000992,-66.540572,3425,108.0,8.0
46.003247,-66.540138,3400,112.0,7.7
46.006668,-66.539366,3375,121.2,8.1
46.009578,-66.538696,3375,124.5,8.8
46.038345,-66.533538,3275,126.0,7.3
46.040176,-66.53327,3250,123.5,5.1
46.046402,-66.532533,3200,124.1,2.8
46.054781,-66.531487,3250,124.1,2.8
46.062103,-66.530591,3200,121.9,7.1
46.066558,-66.52977,3175,122.1,7.5
46.070469,-66.52874,3100,124.3,11.1
46.073867,-66.527916,3125,123.0,7.5
46.078522,-66.527161,3125,123.9,6.9
46.084015,-66.526405,3050,120.5,5.2
46.087738,-66.525767,3000,123.0,7.5
46.091184,-66.525032,3050,118.4,8.8
46.09845,-66.523289,3150,114.4,9.1
46.102823,-66.522217,3125,111.9,7.2
46.108383,-66.52148,3150,113.5,5.6
46.115997,-66.520706,3200,115.4,4.5
46.121246,-66.520274,3225,117.2,2.9
46.13108,-66.519402,3250,117.3,3.9
46.132988,-66.51899,3250,115.7,9.9
46.139465,-66.517528,3200,117.4,8.8
46.141368,-66.517273,3200,118.3,3.9
46.149536,-66.516456,3250,114.4,4.5
46.15448,-66.51592,3325,113.4,4.6
46.159195,-66.515183,3375,114.7,6.5
46.163956,-66.514312,3450,115.1,8.0
46.168213,-66.513307,3475,116.7,9.9
46.170868,-66.512503,3500,117.4,13.8
46.175165,-66.511093,3450,121.6,11.9
46.177446,-66.510406,3400,126.5,11.4
46.182613,-66.508759,3350,127.6,13.6
46.188354,-66.506675,3375,129.3,14.8
46.194624,-66.504433,3400,127.3,13.2
46.197556,-66.503594,3400,127.1,10.4
46.201234,-66.502853,3425,127.9,6.7
46.206867,-66.501755,3400,129.4,8.4
46.213431,-66.500519,3400,130.0,7.1
46.225022,-66.498322,3400,129.0,7.1
46.232657,-66.496948,3450,127.8,6.3
46.240723,-66.495488,3400,128.1,7.6
46.250952,-66.493515,3400,126.9,6.8
46.257981,-66.492554,3375,127.6,5.4
46.263521,-66.491661,3400,131.9,6.5
46.266407,-66.491112,3500,132.2,7.8
46.271988,-66.489995,3425,135.9,6.8
46.277893,-66.489057,3350,135.9,6.8
46.289683,-66.486923,3350,134.7,6.0
46.301514,-66.485238,3375,133.7,6.0
46.307373,-66.484383,3325,134.5,5.1
46.310725,-66.484177,3300,134.2,3.4
46.318222,-66.483497,3350,132.2,3.0
46.328018,-66.482224,3375,131.3,3.9
46.336349,-66.48142,3450,131.2,3.5
46.346649,-66.480549,3475,130.2,3.5
46.350108,-66.480057,3450,130.4,4.4
46.350632,-66.479946,3450,131.9,6.5
47.414106,-66.343407,2800,130.1,12.4
47.418045,-66.342178,2800,130.4,11.1
47.443992,-66.333407,2775,0.0,0.0
47.453201,-66.329338,2800,146.5,12.6
47.459015,-66.327965,2750,147.2,7.4
47.464475,-66.327069,2650,145.8,5.9
47.472382,-66.325768,2575,147.9,6.2
47.476672,-66.325097,2500,147.9,6.2
47.481979,-66.324604,2425,146.0,0.4
47.482315,-66.3246,2425,146.0,0.4
47.566285,-66.329745,2300,0.0,0.0
47.566589,-66.330025,2325,141.2,327.4
47.612931,-66.399395,2450,150.0,299.1
47.618424,-66.412565,2375,150.0,299.1
47.61937,-66.414482,2350,148.5,305.4
47.647934,-66.458702,2225,150.7,317.4
47.6525,-66.464679,2150,152.4,319.0
47.653702,-66.466324,2125,152.3,318.5
47.887077,-66.357985,1875,0.0,0.0
47.900484,-66.354816,1850,151.1,9.5
47.910539,-66.352281,1750,147.5,10.6
47.913472,-66.351577,1775,144.7,8.8
47.915726,-66.351105,1825,140.2,7.4
47.920455,-66.349675,1800,139.3,12.4
47.923667,-66.348267,1800,139.3,12.4
47.926646,-66.346999,1700,140.2,15.7
47.931976,-66.344719,1625,140.5,16.1
47.936701,-66.342703,1600,137.6,16.5
47.94131,-66.340942,1600,130.5,13.3
47.945114,-66.339706,1600,130.1,12.4
47.956253,-66.335731,1500,130.1,12.4
47.957428,-66.335243,1475,138.2,14.2
47.964028,-66.332491,1550,136.7,16.6
47.966681,-66.331224,1550,136.0,17.1
47.969559,-66.329544,1550,137.1,21.0
47.976923,-66.325308,1475,141.7,20.2
47.981323,-66.323433,1450,144.1,15.3
47.985814,-66.322984,1450,146.2,3.1
47.987955,-66.323125,1450,146.0,359.6
47.990888,-66.323688,1500,144.4,352.0
47.993774,-66.324252,1475,144.3,352.4
48.001549,-66.325097,1450,144.4,355.6
48.007647,-66.325871,1425,146.7,354.5
48.011719,-66.327072,1400,147.7,345.5
48.016399,-66.332703,1300,148.8,337.0
48.016937,-66.334076,1250,152.9,302.4
48.026176,-66.376648,1250,152.9,288.0
48.027245,-66.383759,1425,152.9,283.0
