lat,lon,alt,gs,track
49.486843,-50.051857,-50.0,382.0,272.0
49.483212,-50.067146,-50.0,382.0,250.0
49.474274,-50.105377,-50.0,382.0,250.0
49.465664,-50.142639,-50.0,382.0,251.0
49.460449,-50.165058,-50.0,382.0,250.0
49.451797,-50.202026,40000,382.0,250.0
49.439896,-50.252331,40000,382.0,250.0
49.431026,-50.289173,40000,382.0,250.0
49.417831,-50.343086,40000,383.0,249.0
49.407028,-50.387104,40000,381.0,249.0
49.397556,-50.425728,40000,381.0,250.0
49.391785,-50.449509,40000,382.0,250.0
49.390411,-50.45591,40000,382.0,252.0
49.387314,-50.471771,40000,384.0,254.0
49.384735,-50.48732,40000,385.0,256.0
49.380936,-50.512882,40000,386.0,257.0
49.375629,-50.551636,40000,386.0,258.0
49.370186,-50.592258,40000,387.0,258.0
49.362457,-50.648491,40000,387.0,258.0
49.356686,-50.689037,40000,387.0,258.0
49.349655,-50.737103,40000,387.0,257.0
49.342533,-50.785095,40000,388.0,257.0
49.335598,-50.832657,40000,387.0,257.0
49.329731,-50.8727,40000,387.0,257.0
49.321655,-50.92804,40000,388.0,257.0
49.31572,-50.967815,40000,388.0,257.0
49.312088,-50.991562,40000,387.0,257.0
49.292358,-51.121357,40000,386.0,257.0
49.286575,-51.159283,40000,386.0,257.0
49.277824,-51.216526,40000,385.9,257.0
49.272099,-51.254185,40000,385.9,257.0
49.26572,-51.296032,40000,385.9,257.0
49.254828,-51.36636,40000,385.0,257.0
49.247147,-51.416016,40000,384.4,256.6
49.239029,-51.468482,40000,384.4,256.6
49.231339,-51.518062,40000,384.4,256.6
49.223465,-51.568627,40000,383.7,256.4
49.216562,-51.612541,40000,383.7,256.4
49.208602,-51.662991,40000,380.0,257.0
49.206161,-51.67849,40000,383.5,256.6
49.201897,-51.705563,40000,380.0,256.0
49.192383,-51.766171,40000,380.0,256.0
49.186844,-51.801243,40000,380.0,256.0
49.177692,-51.859081,40000,380.0,256.0
49.16835,-51.917936,40000,381.8,256.4
49.162887,-51.952177,40000,381.8,256.4
49.158279,-51.980873,40000,381.8,256.4
49.15744,-51.986149,40950,381.8,256.4
49.154251,-52.006248,40000,380.0,256.0
49.149061,-52.038333,40000,380.0,256.0
49.145096,-52.063152,40000,380.0,256.0
49.134338,-52.129986,40000,382.0,256.2
49.127472,-52.172241,40000,380.0,256.0
49.119003,-52.224426,40000,381.3,256.0
49.116847,-52.237677,40000,381.3,256.0
49.109678,-52.281406,40000,381.3,256.0
49.101857,-52.328748,40000,380.5,255.9
49.097202,-52.356792,40000,380.6,256.5
49.093918,-52.37901,40000,380.6,256.5
49.091995,-52.409644,40000,387.3,267.6
49.091895,-52.417578,40000,387.3,267.6
49.092407,-52.453139,40000,390.5,272.8
49.092728,-52.461618,40000,390.5,272.8
49.094879,-52.506127,40000,391.2,274.5
49.09548,-52.518479,40000,391.2,274.4
49.097534,-52.560425,40000,391.1,274.2
49.099204,-52.594661,40000,391.1,274.2
49.10051,-52.622398,40000,391.0,274.1
49.10358,-52.691731,40000,390.9,273.8
49.10582,-52.74522,40000,390.7,273.5
49.108049,-52.799209,40000,390.7,273.5
49.109678,-52.838673,40000,390.7,273.5
49.112052,-52.891798,40000,389.9,274.0
49.113868,-52.933936,40000,389.9,273.8
49.116074,-52.986779,40000,389.7,273.4
49.11795,-53.03495,40000,389.7,273.4
49.120056,-53.089036,40000,389.7,273.4
49.122208,-53.14263,40000,389.7,273.4
49.124313,-53.196153,40000,388.7,273.4
49.126465,-53.251366,40000,388.7,273.4
49.128433,-53.30165,40000,388.7,273.4
49.130539,-53.355736,40000,388.7,273.4
49.131866,-53.389611,40000,388.7,273.4
49.132815,-53.414443,40000,388.6,273.2
49.134816,-53.468507,40000,388.6,273.2
49.136719,-53.520672,40000,388.6,273.1
49.138354,-53.565794,40000,388.6,273.1
49.139239,-53.590875,40000,388.6,273.1
49.140015,-53.614128,40000,388.6,273.1
49.142497,-53.686499,40000,388.5,273.0
49.143196,-53.706737,40000,388.5,273.0
49.145197,-53.763548,40000,380.0,273.0
49.146454,-53.800699,40000,388.5,273.0
49.147659,-53.840824,40000,388.0,272.0
49.147751,-53.878995,40000,387.0,271.0
49.147293,-53.915405,40000,386.0,268.0
49.146194,-53.971394,40000,386.0,268.0
49.144913,-54.035128,39900,389.2,268.2
49.143894,-54.080995,39775,392.2,268.1
49.142944,-54.129991,39625,394.2,268.3
49.142032,-54.176403,39475,396.2,268.3
49.141705,-54.193172,39425,397.0,268.0
49.141335,-54.209942,39375,397.0,268.0
49.141159,-54.219711,39350,397.0,268.0
49.140656,-54.244291,39275,397.0,268.0
49.139969,-54.276264,39150,398.2,268.1
49.13887,-54.330139,39025,399.2,268.3
49.137796,-54.380373,38875,399.2,268.3
49.136865,-54.426992,38750,399.2,268.1
49.13562,-54.483103,38575,401.2,268.1
49.134444,-54.537723,38400,403.2,268.0
49.133194,-54.593248,38250,405.3,267.9
49.132023,-54.640431,38100,407.3,267.9
49.130814,-54.689941,37975,407.3,267.9
49.129395,-54.74607,37800,407.3,267.8
49.128066,-54.796191,37675,406.4,267.5
49.126577,-54.846352,37525,405.4,267.6
49.125183,-54.902485,37350,404.2,268.0
49.12383,-54.958384,37200,403.3,267.9
49.122433,-55.014978,37025,402.3,267.7
49.120944,-55.069114,36850,401.4,267.6
49.119644,-55.115239,36600,403.4,267.6
49.11829,-55.165606,36375,405.4,267.6
49.116987,-55.210563,36225,405.4,267.5
49.115635,-55.256245,35800,408.4,267.6
49.114151,-55.309401,35550,409.4,267.6
49.113007,-55.350177,35275,408.4,267.5
49.112137,-55.383911,35075,405.0,268.0
49.111588,-55.40377,34925,403.0,268.0
49.111355,-55.41193,34875,402.0,268.0
49.110423,-55.444023,34625,402.0,268.0
49.109352,-55.48045,34325,397.0,267.0
49.108658,-55.503564,34175,397.0,267.0
49.108109,-55.521873,34050,389.5,267.2
49.10733,-55.547157,34000,389.5,267.2
49.106232,-55.579624,34000,383.0,267.0
49.104138,-55.639247,34000,373.5,266.9
49.103027,-55.671316,34000,371.5,266.9
49.102203,-55.694557,34000,367.0,267.0
49.099686,-55.763855,34000,360.6,266.8
49.099344,-55.773179,33975,360.6,266.8
49.098312,-55.801109,33975,358.0,267.0
49.095992,-55.864105,34000,352.6,266.8
49.094362,-55.909062,33775,352.6,266.8
49.093735,-55.925269,33525,355.6,266.8
49.093735,-55.92527,32825,359.6,267.0
49.090452,-56.011336,32025,359.6,267.0
49.089844,-56.027879,31725,361.6,266.8
49.087333,-56.096481,30500,361.6,266.8
49.064616,-56.244651,27525,316.6,238.2
49.060891,-56.253686,27300,316.3,237.9
49.056564,-56.264015,27050,314.8,237.3
49.05217,-56.274438,26800,314.0,237.2
