lat,lon,alt,gs,track
62.461899,-114.413249,1000,142.2,116.8
62.461232,-114.410565,1050,145.8,116.9
62.459743,-114.404121,1125,150.7,117.2
62.458008,-114.397278,1200,154.8,118.6
62.456589,-114.391785,1300,157.2,119.3
62.454803,-114.385071,1400,158.1,120.0
62.453339,-114.379679,1500,160.0,120.4
62.451462,-114.372762,1600,162.2,120.4
62.449493,-114.36554,1675,164.5,120.3
62.447937,-114.359639,1725,172.3,118.8
62.446894,-114.354788,1775,173.2,114.2
62.44573,-114.34602,1900,175.6,104.5
62.445465,-114.341532,1975,175.6,97.8
62.445374,-114.335225,2075,176.0,89.7
62.44573,-114.328801,2150,175.0,79.5
62.446522,-114.323942,2225,172.2,67.5
62.447639,-114.319611,2300,171.2,59.8
62.44857,-114.31697,2375,171.0,52.1
62.449594,-114.31454,2400,171.1,45.5
62.451416,-114.311015,2475,171.2,39.5
62.453086,-114.308202,2550,171.5,38.6
62.454895,-114.305115,2650,170.9,38.3
62.456251,-114.302814,2700,170.1,38.5
62.457787,-114.300173,2800,169.1,39.2
62.459335,-114.297384,2900,167.6,39.7
62.461093,-114.294152,3000,164.5,40.6
62.462265,-114.29189,3075,163.8,40.8
62.463409,-114.289856,3175,163.0,41.0
62.464783,-114.287313,3275,161.6,41.0
62.466431,-114.284159,3375,159.5,41.2
62.467667,-114.28182,3475,158.7,41.4
62.469658,-114.277989,3600,158.0,41.7
62.471288,-114.27482,3700,156.5,42.2
62.472473,-114.272461,3775,155.1,42.1
62.473892,-114.269714,3875,155.1,42.1
62.475128,-114.267273,3975,153.6,42.1
62.476685,-114.264221,4075,152.9,42.3
62.477805,-114.262038,4150,151.5,42.3
62.479155,-114.259397,4250,151.5,42.3
62.480458,-114.256756,4350,150.7,42.6
62.482181,-114.25327,4450,150.0,42.8
62.483996,-114.249678,4550,149.3,43.1
62.485565,-114.246521,4650,148.6,42.8
62.487167,-114.243266,4750,148.6,42.8
62.488998,-114.239705,4850,149.3,42.6
62.490793,-114.236157,4950,150.0,42.8
62.492515,-114.232671,5050,150.0,42.8
62.494145,-114.229396,5150,149.3,43.1
62.495682,-114.226278,5250,149.3,43.1
62.497264,-114.223163,5350,148.6,42.8
62.498847,-114.219889,5450,147.2,42.8
62.500259,-114.217021,5550,147.1,43.3
62.501724,-114.213969,5650,145.7,43.9
62.503316,-114.210592,5750,145.0,44.2
62.504517,-114.208171,5825,144.3,44.4
62.50569,-114.205627,5925,142.8,44.4
62.507133,-114.20267,6025,141.5,43.8
62.508529,-114.199712,6125,141.5,43.3
62.510159,-114.196437,6225,140.8,43.0
62.511555,-114.193585,6325,141.5,43.3
62.512859,-114.190944,6425,141.5,43.3
62.514442,-114.187775,6525,141.5,43.3
62.515931,-114.184711,6625,141.5,43.3
62.517467,-114.181648,6725,142.2,43.0
62.518678,-114.179218,6800,142.3,42.4
62.520447,-114.17572,6900,143.0,42.2
62.521657,-114.173408,7000,143.0,42.2
62.524658,-114.167582,7175,143.0,42.2
62.52743,-114.162105,7375,142.3,42.4
62.530655,-114.155579,7575,142.9,43.3
62.533997,-114.148661,7775,142.9,43.3
62.536973,-114.142667,7975,145.0,43.6
62.540231,-114.135801,8175,145.7,43.3
62.543335,-114.129639,8375,146.5,42.5
62.546722,-114.123027,8575,146.7,41.4
62.550287,-114.116258,8775,148.1,41.4
62.553359,-114.110448,8950,148.1,41.4
62.556339,-114.104743,9150,147.2,42.2
62.559318,-114.098616,9325,147.9,43.1
62.562763,-114.091644,9500,148.6,43.4
62.565262,-114.086507,9650,148.6,43.4
62.568628,-114.079285,9850,149.2,44.7
62.571167,-114.073995,10000,149.9,44.5
62.574097,-114.067688,10200,149.2,44.7
62.576614,-114.062297,10400,147.1,44.5
62.579382,-114.056467,10575,146.4,43.6
62.582199,-114.050903,10775,145.8,42.2
62.585201,-114.045058,10975,144.5,41.6
62.58818,-114.039248,11175,143.1,41.6
62.590714,-114.034424,11325,143.1,41.6
62.593394,-114.029212,11500,142.4,41.3
62.596298,-114.023641,11675,141.6,42.1
62.598748,-114.018649,11850,140.8,43.6
62.599725,-114.016641,11925,140.0,43.8
62.607825,-113.999211,12375,144.3,43.9
62.614855,-113.98495,12650,154.3,42.9
62.622536,-113.969316,13000,161.3,43.0
62.629578,-113.955078,13325,164.1,43.0
62.636627,-113.940837,13675,164.1,43.0
62.643624,-113.926532,14000,165.6,43.0
62.617859,-114.320272,4525,270.1,225.9
62.615553,-114.325526,4450,270.1,225.9
62.587784,-114.387919,3825,267.3,225.9
62.58278,-114.399156,3725,263.8,226.1
62.580002,-114.405416,3625,263.8,226.1
62.574966,-114.416809,3525,261.7,225.9
62.570025,-114.427784,3425,261.7,225.9
62.565903,-114.437052,3325,260.9,225.8
62.553177,-114.465332,3025,256.7,226.1
62.550007,-114.472574,2950,253.9,226.1
62.541916,-114.490763,2775,240.5,226.0
62.530151,-114.512634,2525,223.3,212.2
62.527337,-114.51578,2475,218.7,205.7
62.523659,-114.518949,2400,216.5,202.5
62.519028,-114.521688,2325,208.9,192.4
62.512344,-114.523315,2250,206.9,191.1
62.507172,-114.52301,2125,206.9,191.1
62.506248,-114.522858,2100,189.8,174.9
62.501779,-114.521696,2025,185.3,173.2
62.48941,-114.517924,1625,168.9,169.4
62.487854,-114.516703,1550,162.9,161.0
62.485486,-114.513984,1500,162.9,161.0
62.484927,-114.513139,1500,149.8,144.5
62.48395,-114.511132,1450,145.8,137.2
