lat,lon,alt,gs,track
63.792056,20.286227,-50.0,6.2,0.0
63.792103,20.285647,-50.0,4.8,0.0
63.791782,20.282901,-50.0,9.2,0.0
63.791817,20.282795,-50.0,9.2,0.0
63.7945,20.277438,-50.0,21.5,0.0
63.794804,20.276827,-50.0,20.5,0.0
63.795101,20.276246,-50.0,20.5,0.0
63.795408,20.275653,-50.0,19.5,0.0
63.79571,20.275049,-50.0,19.5,0.0
63.79604,20.274371,-50.0,18.5,0.0
63.796816,20.272769,-50.0,17.5,0.0
63.7981,20.26996,-50.0,9.8,0.0
63.798329,20.269528,-50.0,5.2,0.0
63.790857,20.284827,-100,0.0,0.0
63.788223,20.289952,0,104.9,138.9
63.78566,20.295023,75,109.9,139.1
63.78434,20.297571,100,114.9,139.2
63.781547,20.302844,200,117.2,140.2
63.779778,20.30614,300,117.4,141.6
63.77759,20.309985,400,116.8,141.9
63.774983,20.3146,500,119.0,142.2
63.772156,20.319636,600,121.0,141.7
63.769455,20.32439,675,125.3,141.5
63.765812,20.330859,775,129.2,142.9
63.762589,20.336327,875,130.6,142.8
63.761169,20.339179,950,130.2,136.9
63.760133,20.341626,1000,129.6,131.6
63.759064,20.344778,1075,129.0,125.5
63.75824,20.347947,1125,129.8,118.5
63.757619,20.351184,1150,131.9,112.3
63.757247,20.353711,1175,133.8,106.9
63.756912,20.357138,1175,135.1,100.2
63.756775,20.361363,1225,135.4,94.2
63.756828,20.364038,1250,134.2,86.6
63.757014,20.367664,1325,134.0,80.1
63.757433,20.371399,1375,133.5,73.5
63.758102,20.375519,1425,134.1,67.6
63.758881,20.379005,1475,134.2,62.5
63.759807,20.382495,1525,134.8,56.2
63.76125,20.38667,1575,134.5,51.3
63.762554,20.389746,1625,135.8,45.0
63.764465,20.393688,1675,136.2,40.2
63.767721,20.399414,1775,138.8,38.3
63.771606,20.406471,1875,141.5,39.0
63.774216,20.41133,1975,140.7,39.2
63.77624,20.415125,2075,137.8,39.7
63.778149,20.41875,2175,134.2,39.9
63.780121,20.422422,2275,133.4,40.1
63.781403,20.424957,2325,134.7,40.8
63.781906,20.425908,2325,136.8,41.2
63.782867,20.427809,2325,138.9,41.5
63.785385,20.432986,2325,143.8,41.9
63.787491,20.437211,2325,148.0,42.0
63.789833,20.442041,2325,152.9,42.3
63.792906,20.448303,2325,157.9,42.2
63.796071,20.454895,2350,162.0,43.2
63.804683,20.473572,2350,166.9,44.0
63.809571,20.484558,2350,171.1,46.0
63.812943,20.492988,2350,172.9,48.8
63.819122,20.509467,2375,174.0,50.4
63.829422,20.537462,2350,175.2,49.4
63.840017,20.565308,2350,175.9,49.6
63.847046,20.584576,2375,174.1,50.8
63.857162,20.612887,2350,178.4,50.7
63.867669,20.641223,2350,177.6,50.5
63.878096,20.669788,2350,177.6,50.5
63.887314,20.694727,2325,178.0,49.3
63.89681,20.719336,2325,177.1,48.2
63.907471,20.746582,2325,177.2,49.1
63.918038,20.774487,2350,176.6,49.4
63.928482,20.802401,2375,176.1,50.1
63.938873,20.830501,2350,177.3,49.6
63.946655,20.850572,2350,177.1,48.2
63.957328,20.877759,2350,175.7,48.7
63.966685,20.902478,2350,176.7,49.8
63.976927,20.930383,2350,176.2,50.5
63.984055,20.950188,2350,171.8,50.2
63.986191,20.955981,2350,168.1,49.6
63.988449,20.961914,2350,163.8,49.2
63.990189,20.966456,2350,159.5,48.8
63.99202,20.97121,2350,155.2,48.9
63.99614,20.981985,2350,150.3,49.3
63.999756,20.991598,2325,145.5,49.7
64.002763,20.999487,2325,141.0,48.7
64.005341,21.006071,2325,136.6,47.7
64.008396,21.01366,2350,131.6,47.5
64.01445,21.028466,2300,128.7,46.3
64.021989,21.046509,2300,126.7,47.2
64.02626,21.057305,2275,127.6,48.8
64.033401,21.07632,2275,125.6,49.8
64.04061,21.095728,2300,125.5,49.2
64.043683,21.103638,2300,125.9,46.9
64.047043,21.111392,2300,125.2,44.7
64.049967,21.11759,2300,124.6,42.4
64.053589,21.124702,2300,124.2,40.1
64.058579,21.13407,2275,124.5,38.8
64.063933,21.143518,2275,124.2,37.2
64.067285,21.149011,2275,124.3,34.8
64.070683,21.154175,2275,122.3,32.7
64.074005,21.158717,2300,121.1,30.8
64.077576,21.163365,2300,120.4,28.3
64.081111,21.167358,2300,119.9,25.7
64.084625,21.170866,2300,120.5,23.0
64.088242,21.17414,2300,120.6,20.4
64.092407,21.177415,2300,119.9,18.0
64.097031,21.180542,2275,121.6,15.8
64.101966,21.183618,2200,122.7,14.1
64.106854,21.186255,2125,124.0,12.6
64.112,21.188613,2025,125.3,11.0
64.118912,21.191571,1950,125.0,10.1
64.124496,21.193683,1900,125.4,8.7
64.13031,21.195585,1825,124.3,8.3
64.135895,21.197592,1750,124.6,9.2
64.142944,21.200022,1675,125.2,7.8
64.148751,21.201636,1600,125.9,6.8
64.153592,21.202844,1525,125.8,6.4
64.158573,21.204163,1450,125.7,5.9
64.163229,21.205151,1350,126.5,5.0
64.168579,21.206043,1275,125.3,4.1
64.17361,21.206799,1200,124.2,3.2
64.178731,21.207458,1125,124.2,3.2
64.183758,21.208008,1025,125.1,2.8
64.188995,21.208367,950,125.0,0.9
64.194093,21.208447,875,124.0,0.0
64.1987,21.208367,800,123.0,359.5
64.200936,21.208228,775,122.0,359.1
64.223923,21.203825,425,0.0,0.0
64.231707,21.199658,300,116.2,344.5
64.233307,21.198648,300,115.5,343.9
64.244431,21.190937,200,115.5,343.9
64.24498,21.19062,200,115.5,343.9
64.282196,21.16582,125,110.4,340.4
64.282728,21.16539,125,110.4,340.4
64.385795,21.078987,175,118.9,340.4
64.40094,21.066174,225,113.9,340.0
64.40139,21.065826,225,113.9,340.0
64.242004,20.73342,2375,137.3,197.4
64.238937,20.731201,2375,137.3,197.4
64.236877,20.729722,2375,148.0,197.7
64.23175,20.725814,2400,152.1,198.8
64.226486,20.721482,2400,157.0,200.5
64.22374,20.718947,2400,161.2,201.5
64.219231,20.714612,2375,164.0,203.0
64.208405,20.702996,2375,165.2,203.9
64.208012,20.702637,2375,170.8,206.4
64.195312,20.688418,2400,172.7,205.4
64.193208,20.686157,2400,173.6,205.2
64.177101,20.669458,2375,177.8,203.5
64.164047,20.656198,2400,176.7,205.1
64.159607,20.651339,2400,177.1,206.1
64.14512,20.634741,2425,176.2,206.3
64.130735,20.618042,2400,179.8,207.1
64.117722,20.603168,2375,180.2,206.0
64.10299,20.586621,2375,181.6,206.1
64.095914,20.578821,2375,180.7,205.6
64.08696,20.568942,2450,180.7,205.6
64.085495,20.567251,2475,176.2,206.3
64.082135,20.56366,2450,178.5,205.6
64.081055,20.562392,2425,179.4,205.4
64.072815,20.55373,2350,182.6,204.6
64.060441,20.540918,2300,178.6,204.1
64.050064,20.530489,2350,176.0,203.8
64.049036,20.529382,2350,165.6,204.2
64.039444,20.519292,2350,165.6,204.2
64.036423,20.516017,2350,156.5,205.8
64.028183,20.506615,2375,155.2,207.2
64.017101,20.493896,2400,158.3,206.2
64.0047,20.4801,2375,163.2,205.8
63.991058,20.465522,2375,163.7,205.3
63.981445,20.455487,2400,163.4,204.2
63.970322,20.444606,2400,164.0,203.0
63.956406,20.430979,2375,167.0,203.6
63.942757,20.417212,2400,164.7,204.4
63.929024,20.403259,2425,165.7,203.5
63.916502,20.390955,2425,166.8,202.6
63.912415,20.387456,2425,166.7,199.6
63.908478,20.384604,2425,166.5,196.0
63.904212,20.382166,2425,168.1,192.7
63.900146,20.380484,2400,169.2,189.2
63.896345,20.379419,2375,169.0,186.1
63.891769,20.378688,2375,168.2,182.7
63.886755,20.37854,2400,166.0,180.0
63.882248,20.378899,2425,165.2,176.9
63.877396,20.37985,2450,164.0,173.7
63.870741,20.381836,2475,162.8,171.5
63.865108,20.384033,2500,162.0,169.0
63.859708,20.38667,2525,162.5,166.5
63.853982,20.390076,2575,160.9,164.5
63.844998,20.396228,2600,157.9,163.1
63.844299,20.396667,2575,158.1,162.7
63.843601,20.397217,2550,157.2,162.6
63.839039,20.400403,2450,155.9,162.8
63.833872,20.404138,2375,151.2,162.3
63.830063,20.406893,2350,147.1,162.2
63.824654,20.41084,2275,142.9,162.1
63.819347,20.414575,2200,138.6,163.7
63.814178,20.417774,2125,135.1,165.9
63.811569,20.419147,2100,130.5,166.7
63.809189,20.420415,2075,125.7,168.1
63.806168,20.421683,2050,121.5,171.0
63.803329,20.422422,2000,119.5,174.7
63.800401,20.422815,1950,118.1,178.1
63.797607,20.422815,1900,117.0,181.5
63.794628,20.422375,1875,115.4,185.0
63.79097,20.421471,1825,113.0,187.6
63.788223,20.420415,1800,112.0,190.8
63.785783,20.41908,1775,109.6,194.8
63.783737,20.417563,1750,110.1,199.1
63.781952,20.415978,1725,110.2,203.5
63.780029,20.41376,1700,110.1,208.2
