lat,lon,alt,gs,track,vs
49.1945,-123.185384,-25,7.2,194.1,0
49.194275,-123.185433,-25,8.2,194.1,0
49.194007,-123.185758,-25,7.8,241.9,0
49.193996,-123.185877,-25,7.8,255.9,0
49.193996,-123.185965,-25,7.8,267.2,0
49.194008,-123.186088,-25,8.2,275.6,0
49.194019,-123.186246,-25,8.8,278.4,0
49.193974,-123.186669,-25,9.2,253.1,0
49.193871,-123.186792,-25,9.2,227.8,0
49.19381,-123.186842,-25,9.2,219.4,0
49.193751,-123.186878,-25,9.2,210.9,0
49.193658,-123.186896,-25,9.8,199.7,0
49.193504,-123.186951,-25,10.8,194.1,0
49.193088,-123.187059,-25,11.8,194.1,0
49.192898,-123.187109,-25,12.2,194.1,0
49.192564,-123.187186,-25,12.8,194.1,0
49.191994,-123.187285,-25,12.2,177.2,0
49.191765,-123.187074,-25,12.2,151.9,0
49.191616,-123.186915,-25,13.2,146.2,0
49.191181,-123.186386,-25,12.0,146.2,0
49.191044,-123.186211,-25,12.0,146.2,0
49.190678,-123.185768,-25,11.0,146.2,0
49.189476,-123.183676,-25,12.2,104.1,0
49.18943,-123.183324,-25,12.8,104.1,0
49.189364,-123.182795,-25,12.8,104.1,0
49.18927,-123.181961,-25,14.0,101.2,0
49.189224,-123.181442,-25,14.0,101.2,0
49.18911,-123.180542,-25,14.8,101.2,0
49.189038,-123.179885,-25,14.8,101.2,0
49.188984,-123.179362,-25,15.5,101.2,0
49.188904,-123.178711,-25,15.5,101.2,0
49.188824,-123.178042,-25,15.5,101.2,0
49.188755,-123.177408,-25,14.8,101.2,0
49.188095,-123.171628,-25,17.5,101.2,0
49.187977,-123.170542,-25,16.5,101.2,0
49.187851,-123.169468,-25,15.5,101.2,0
49.187805,-123.16908,-25,15.5,101.2,0
49.187714,-123.168253,-25,15.5,101.2,0
49.187645,-123.167584,-25,14.8,101.2,0
49.187572,-123.166984,-25,15.5,101.2,0
49.187519,-123.166527,-25,15.5,101.2,0
49.187439,-123.165823,-25,17.5,101.2,0
49.18737,-123.165172,-25,16.5,101.2,0
49.187327,-123.164833,-25,16.5,101.2,0
49.187256,-123.164274,-25,15.5,101.2,0
49.187222,-123.163922,-25,14.2,101.2,0
49.187153,-123.163429,-25,12.8,104.1,0
49.187083,-123.163153,-25,12.8,115.3,0
49.186913,-123.162795,-25,13.2,129.4,0
49.185605,-123.168375,0,100.5,279.7,192
49.185884,-123.17076,0,114.8,280.0,64
49.186117,-123.173001,0,119.7,279.6,-64
49.186203,-123.173499,0,127.9,279.9,-128
49.186676,-123.177627,-50,143.0,279.7,-960
49.186981,-123.180472,25,148.1,279.7,640
49.187094,-123.181458,50,148.1,279.7,1216
49.187188,-123.182397,100,147.0,279.4,1792
49.187393,-123.184345,200,144.8,279.1,2688
49.187607,-123.1863,300,144.8,279.1,3072
49.187793,-123.188324,400,143.7,278.8,3072
49.188034,-123.190542,500,143.7,278.8,3008
49.188171,-123.192162,600,143.5,278.4,3008
49.188354,-123.194134,700,142.6,278.5,3008
49.188584,-123.196202,800,142.4,278.1,3008
49.18877,-123.198298,900,142.3,277.7,3008
49.18891,-123.199889,975,141.3,277.7,3008
49.189041,-123.201529,1050,142.3,277.7,2944
49.189224,-123.203641,1150,143.3,277.6,2752
49.189329,-123.205237,1200,146.1,277.1,2432
49.189407,-123.206318,1225,147.9,276.2,1856
49.189515,-123.209068,1275,151.3,273.8,1408
49.189515,-123.211236,1300,155.0,270.4,1088
49.189376,-123.214633,1375,159.3,266.4,1216
49.189133,-123.21829,1475,164.1,263.4,1536
49.188766,-123.222234,1575,166.6,262.1,1664
49.188444,-123.226053,1675,168.7,261.8,1792
49.18808,-123.229628,1775,170.7,261.9,1856
49.187746,-123.233498,1875,172.5,262.3,1920
49.187467,-123.237184,1975,174.3,263.1,2048
49.187188,-123.240437,2075,175.3,263.1,2048
49.186935,-123.244066,2175,176.1,263.5,2048
49.186661,-123.247587,2275,177.1,263.5,2112
49.186443,-123.250773,2375,178.1,263.5,2176
49.186163,-123.25417,2475,179.0,263.9,2176
49.185977,-123.257133,2575,180.0,263.9,2176
49.185744,-123.260458,2675,180.9,264.3,2240
49.185516,-123.264348,2775,180.9,264.3,2304
49.185333,-123.267165,2875,181.9,264.3,2304
49.185104,-123.270757,2975,182.8,264.7,2368
49.184921,-123.273644,3075,182.8,264.7,2304
49.18472,-123.277082,3175,183.7,265.0,2240
49.184509,-123.281039,3275,184.7,265.0,2240
49.184301,-123.284238,3375,184.8,264.7,2240
49.184097,-123.287588,3475,185.8,264.8,2240
49.183868,-123.290969,3575,186.9,264.5,2240
49.18364,-123.294912,3675,189.0,264.2,2176
49.183324,-123.299055,3750,192.2,263.7,1728
49.182951,-123.30397,3825,195.4,263.2,1344
49.182719,-123.306572,3850,198.5,263.0,1152
49.182495,-123.30935,3850,201.6,262.9,896
49.182253,-123.31286,3875,204.5,263.0,512
49.181534,-123.322449,3900,209.2,264.0,320
49.180893,-123.332167,3900,214.0,264.4,320
49.180389,-123.339914,3925,218.1,264.2,320
49.179693,-123.350517,3925,222.2,264.1,192
49.179181,-123.357383,3950,226.3,263.9,128
49.178421,-123.367239,3950,230.7,263.0,64
49.177689,-123.375056,3950,234.5,261.7,-64
49.176361,-123.387803,3950,239.0,260.9,-64
49.175782,-123.396052,3925,243.0,264.8,-128
49.17572,-123.402663,3925,245.0,269.5,-128
49.175949,-123.409072,3925,245.7,274.4,0
49.176527,-123.415712,3925,246.8,278.6,64
49.177551,-123.423157,3925,247.5,282.1,64
49.179181,-123.43277,3925,249.2,285.6,0
49.182404,-123.448862,3925,250.8,287.6,0
49.189407,-123.482525,3900,247.6,287.6,-128
49.192657,-123.498934,3900,242.7,286.3,64
49.195175,-123.513301,3925,239.1,284.0,0
49.19783,-123.531119,3925,236.4,282.2,128
49.202362,-123.563514,3925,233.6,282.6,-64
49.206894,-123.592952,3925,231.4,283.5,-64
49.211953,-123.624235,3925,228.7,283.9,0
49.216782,-123.654433,3925,227.3,283.5,64
49.221588,-123.685209,3925,227.0,283.2,-64
