lat,lon,alt,gs,track,vs
49.045395,-123.870286,250,124.0,180.9,1664
49.043248,-123.870344,350,123.0,180.9,1792
49.041339,-123.870416,450,122.0,180.9,1792
49.037933,-123.869934,625,122.0,180.9,1792
49.034543,-123.867886,825,116.8,150.8,1280
49.033658,-123.866947,850,117.6,144.7,1280
49.032532,-123.865497,900,118.6,140.1,1280
49.032308,-123.865212,900,120.3,137.7,1280
49.03212,-123.864934,900,120.3,137.7,640
49.030472,-123.862258,950,123.8,132.7,640
49.028538,-123.85914,1050,124.5,133.1,896
49.028137,-123.858384,1050,124.5,133.1,896
49.027746,-123.857839,1075,124.5,133.1,1408
49.026306,-123.855497,1175,123.1,133.0,1408
49.024796,-123.852962,1275,122.4,132.7,1536
49.022873,-123.849722,1375,124.0,131.4,1280
49.021741,-123.847793,1375,129.0,131.2,1280
49.021275,-123.846925,1350,129.0,131.2,-1664
49.020584,-123.845708,1300,136.1,130.8,-1664
49.020205,-123.845046,1300,139.7,130.6,-1664
49.019531,-123.843877,1275,144.0,130.2,-1664
49.019134,-123.843167,1275,146.2,130.0,-1664
49.018936,-123.84275,1275,146.2,130.0,192
49.015503,-123.83659,1375,150.7,129.1,576
49.012619,-123.831059,1475,150.4,127.7,1024
49.01001,-123.825848,1525,149.2,127.1,768
49.009872,-123.825496,1525,149.2,127.1,192
49.007961,-123.821773,1525,150.4,127.7,192
49.007767,-123.821341,1525,151.2,127.5,-512
49.00621,-123.818242,1475,154.4,126.6,-512
49.00502,-123.814298,1475,154.3,125.2,256
49.004883,-123.813242,1475,153.3,105.1,256
49.004745,-123.810707,1475,152.1,91.5,256
49.004837,-123.809439,1500,151.3,86.2,256
49.005066,-123.807326,1500,151.4,79.7,64
49.005569,-123.805143,1475,152.1,72.4,64
49.007496,-123.797198,1450,156.6,69.8,-256
49.009125,-123.790982,1425,159.9,66.8,-192
49.010925,-123.785424,1400,161.4,63.1,-128
49.012207,-123.781621,1425,160.6,62.2,-128
49.012384,-123.781152,1425,159.7,62.0,448
49.016667,-123.768865,1475,159.7,62.0,256
49.017179,-123.767491,1450,160.6,62.2,-448
49.020309,-123.758662,1375,165.1,61.4,-576
49.02301,-123.750775,1350,166.4,63.6,-128
49.023972,-123.747324,1350,166.9,68.2,-128
49.02475,-123.743732,1350,167.0,73.3,-64
49.025931,-123.736556,1350,167.1,75.8,-64
49.026993,-123.731337,1375,165.4,71.7,192
49.030865,-123.713933,1425,163.2,72.9,192
49.032669,-123.704083,1425,162.5,75.0,-64
49.036469,-123.681969,1400,165.4,75.3,-64
49.040039,-123.661898,1400,165.2,74.2,64
49.042694,-123.648306,1400,165.4,72.8,-128
49.045389,-123.635945,1375,166.0,71.0,-64
49.050339,-123.614572,1425,164.5,70.5,128
49.055398,-123.593011,1400,165.4,70.6,0
49.060272,-123.571824,1400,165.1,70.9,64
49.063889,-123.555345,1425,163.8,72.2,0
49.06834,-123.533671,1400,162.9,73.2,0
49.072483,-123.512204,1400,161.4,73.8,0
49.076626,-123.490593,1400,161.4,73.8,0
49.080723,-123.469126,1400,159.5,73.6,64
49.084959,-123.447876,1400,159.1,72.8,-64
49.08934,-123.426537,1400,158.4,72.4,64
49.093048,-123.409213,1425,157.2,71.4,0
49.097668,-123.388897,1425,155.3,71.2,0
49.101392,-123.371622,1400,155.6,72.0,-64
49.103952,-123.359046,1375,155.4,73.6,-64
49.105133,-123.352309,1350,158.4,76.5,-256
49.10582,-123.346745,1275,161.3,80.4,-704
49.106559,-123.337724,1225,164.5,82.3,-576
49.106644,-123.337168,1225,163.6,81.9,576
49.106964,-123.333787,1275,160.1,80.7,576
49.107193,-123.332027,1325,156.5,79.7,576
49.107376,-123.330548,1350,153.6,79.5,576
49.107444,-123.330062,1350,153.6,79.5,1088
49.108017,-123.325336,1400,149.5,79.6,1088
49.108049,-123.324786,1400,149.5,79.6,448
49.109848,-123.310476,1425,150.6,79.3,128
49.111816,-123.295053,1425,153.2,78.3,-64
49.112657,-123.289948,1400,153.6,74.5,-128
49.113542,-123.285828,1400,153.1,70.1,0
49.115021,-123.280334,1400,153.6,66.6,0
49.118958,-123.267165,1400,152.1,65.1,64
49.123627,-123.251601,1400,151.8,66.3,64
49.126483,-123.241015,1375,152.1,68.0,-128
49.128662,-123.232304,1375,152.2,70.0,0
49.130952,-123.222078,1400,151.5,71.9,64
49.133559,-123.209285,1400,150.6,73.0,0
49.134351,-123.204731,1375,151.9,77.1,-64
49.134723,-123.20119,1375,152.3,82.5,-128
49.134842,-123.1985,1375,152.2,87.0,-128
49.134816,-123.196275,1375,152.2,93.0,128
49.134584,-123.194106,1375,151.6,100.6,128
49.134165,-123.192082,1400,151.2,107.7,128
49.133606,-123.190131,1400,150.8,114.7,256
49.133047,-123.188685,1400,150.6,120.3,256
49.132256,-123.186951,1425,150.7,129.1,256
49.131046,-123.185144,1400,150.7,136.3,0
49.129898,-123.183782,1425,150.4,144.2,0
49.128718,-123.182831,1400,150.8,151.9,-64
49.127747,-123.182162,1400,151.5,157.5,-64
49.126204,-123.18153,1400,152.3,166.3,-64
49.124808,-123.181313,1400,151.8,173.9,-64
49.123627,-123.181387,1400,152.1,181.5,-64
49.122208,-123.181669,1400,152.1,189.5,192
49.120804,-123.182325,1400,151.2,197.7,192
49.119547,-123.183192,1425,150.7,206.4,192
49.118383,-123.184421,1425,150.3,214.4,64
49.117545,-123.185505,1425,151.2,219.9,64
49.116568,-123.187023,1425,150.7,226.3,64
49.115845,-123.188711,1400,151.2,234.4,64
49.115387,-123.190049,1400,151.0,240.2,-320
49.114975,-123.191599,1375,151.7,248.3,-320
49.114609,-123.193641,1375,152.1,256.7,-320
49.114473,-123.195696,1350,152.0,263.6,-320
49.114517,-123.197726,1350,152.3,273.4,-320
49.114752,-123.199744,1350,151.6,278.3,-320
49.115125,-123.201768,1350,150.7,285.8,0
49.11559,-123.203286,1350,150.5,293.5,0
49.116348,-123.205191,1375,148.7,303.5,0
49.117218,-123.206811,1375,147.3,311.7,0
49.118151,-123.208128,1375,146.0,318.9,384
49.119232,-123.209205,1400,144.8,326.0,384
49.120651,-123.210332,1425,144.0,333.6,384
49.121735,-123.210875,1425,142.6,341.2,384
49.123271,-123.211309,1425,142.8,348.7,384
49.124268,-123.211388,1425,142.4,356.0,0
49.125646,-123.211309,1425,142.4,4.0,0
49.126877,-123.211036,1425,142.2,10.1,0
49.128113,-123.210473,1425,143.0,16.7,-64
49.129277,-123.209718,1425,142.9,23.5,-64
49.130534,-123.208634,1400,142.9,32.1,-64
49.131546,-123.207374,1400,144.0,40.2,-128
49.132462,-123.205895,1400,144.4,47.8,-128
49.13324,-123.204275,1375,145.1,56.5,-320
49.133839,-123.202491,1375,146.2,63.6,-320
49.134247,-123.200684,1350,147.4,70.6,-320
49.134584,-123.198515,1350,148.1,78.3,-320
49.134659,-123.196317,1350,149.3,86.5,-192
49.134613,-123.194627,1350,149.2,92.7,-192
49.13443,-123.192585,1350,149.3,100.0,-192
49.134025,-123.190637,1350,149.6,107.1,64
49.133469,-123.18857,1350,149.5,114.5,64
49.132828,-123.186951,1350,149.9,121.4,128
49.132004,-123.185331,1375,148.7,128.7,128
49.131042,-123.183852,1375,147.8,133.6,128
49.130487,-123.183048,1400,146.7,138.6,768
49.129183,-123.181674,1425,144.8,146.0,768
49.12793,-123.180612,1450,143.1,152.5,768
49.126465,-123.179767,1475,142.3,160.3,512
49.125183,-123.179274,1475,142.2,167.8,512
49.124621,-123.179217,1475,142.7,171.1,512
49.124202,-123.179145,1475,143.1,172.8,-256
49.122852,-123.179145,1450,144.1,182.4,-256
49.121409,-123.179434,1450,145.8,189.1,-256
49.12001,-123.179979,1425,146.8,196.2,-384
49.118709,-123.180879,1425,148.1,204.3,-384
49.117447,-123.18195,1400,149.8,212.7,-256
49.116195,-123.183481,1400,149.8,219.9,-256
49.115112,-123.18519,1400,150.1,228.2,-256
49.11424,-123.187023,1375,150.2,233.7,-256
49.113728,-123.188541,1375,151.6,243.8,-256
49.113098,-123.191035,1350,151.8,251.6,-320
49.112823,-123.193078,1350,151.8,259.0,-320
49.112732,-123.195261,1350,152.2,267.0,-320
49.112797,-123.197503,1350,151.7,275.7,0
49.11317,-123.199744,1350,151.3,283.8,0
49.113728,-123.201912,1350,149.7,292.8,0
49.11438,-123.203641,1350,148.6,299.0,0
49.115171,-123.205165,1350,148.2,307.9,192
49.116102,-123.206683,1375,146.4,314.2,192
49.117264,-123.207937,1375,145.0,323.1,192
49.117493,-123.208149,1400,143.1,327.0,768
49.118774,-123.209135,1425,140.9,334.3,768
49.120059,-123.209791,1450,139.5,339.9,768
49.121246,-123.210191,1475,137.7,348.7,640
49.122482,-123.210402,1475,137.7,354.2,640
49.123458,-123.210369,1475,137.0,1.2,640
49.123993,-123.210261,1475,137.5,5.0,640
49.124342,-123.210224,1475,137.8,6.2,-192
49.125916,-123.209698,1475,139.5,14.5,-192
49.127106,-123.208994,1450,139.9,20.5,-192
49.128439,-123.207984,1425,140.9,27.5,-192
49.129623,-123.206811,1425,142.6,34.1,-384
49.130766,-123.205309,1400,143.8,41.9,-384
49.131683,-123.203712,1400,145.2,48.6,-128
49.132489,-123.201912,1400,145.6,56.2,-128
49.133102,-123.200191,1400,144.9,63.8,-128
49.133559,-123.198154,1400,146.1,72.1,64
49.133789,-123.196458,1400,146.1,78.2,64
49.133881,-123.194768,1400,145.8,84.1,64
49.133885,-123.192878,1400,146.1,92.0,-64
49.133698,-123.190894,1400,147.1,99.8,-64
49.13328,-123.188758,1400,148.4,106.8,-64
49.132721,-123.186878,1375,149.4,115.4,-256
49.131958,-123.184979,1375,150.3,123.1,-256
49.131278,-123.18377,1375,151.0,131.0,-256
49.130356,-123.182373,1350,151.5,137.7,-256
49.129074,-123.181035,1350,152.0,146.0,-256
49.127838,-123.180049,1325,153.0,155.3,-256
49.12619,-123.179345,1325,153.7,163.0,-384
49.125133,-123.179072,1325,153.9,171.0,-384
49.124016,-123.179,1325,153.2,177.0,-384
49.12369,-123.179,1325,153.0,179.2,192
49.122294,-123.179217,1350,152.1,186.8,192
49.120743,-123.179767,1375,149.4,193.9,192
49.119461,-123.180472,1400,147.8,201.0,640
49.118134,-123.181528,1425,146.8,208.5,640
49.117035,-123.182655,1425,145.7,215.2,640
49.115963,-123.184132,1450,145.8,222.2,320
49.115112,-123.185542,1450,145.2,228.1,320
49.114333,-123.187312,1450,145.1,236.5,128
49.113693,-123.189275,1450,144.5,243.3,128
49.11319,-123.191176,1450,144.6,250.2,128
49.112844,-123.193456,1450,144.2,258.0,128
49.112704,-123.19548,1450,144.5,265.2,128
49.112732,-123.197585,1450,145.1,271.6,-192
49.112937,-123.200539,1450,145.2,277.5,-192
49.114288,-123.213783,1400,149.3,277.7,-64
49.115341,-123.225685,1425,148.9,279.3,0
49.115845,-123.228713,1450,146.8,286.2,320
49.116382,-123.230896,1475,145.1,293.6,320
49.117172,-123.232938,1475,144.4,300.8,384
49.118104,-123.234799,1475,143.7,308.8,384
49.118523,-123.235522,1475,144.4,312.2,-192
49.11964,-123.23704,1475,144.6,318.9,-192
49.120851,-123.238268,1450,145.3,327.1,-192
49.121979,-123.239206,1425,146.3,331.9,-384
49.123398,-123.239981,1425,146.8,340.1,-384
49.12468,-123.240544,1425,147.0,346.6,0
49.12619,-123.240826,1425,147.1,353.0,0
49.12788,-123.24087,1425,146.0,1.2,0
49.129183,-123.240581,1450,145.4,7.9,320
49.130676,-123.240051,1450,144.0,16.5,320
