lat,lon,alt,gs,track
-41.327328,174.804749,-50.0,0.0,0.0
-41.327343,174.804762,-50.0,0.0,0.0
-41.327351,174.804779,-50.0,0.0,0.0
-41.327354,174.804778,-50.0,0.0,0.0
-41.327354,174.804778,-50.0,0.0,0.0
-41.327362,174.804779,-50.0,0.0,0.0
-41.327328,174.804764,-50.0,0.0,0.0
-41.32626,174.805402,-50.0,7.2,0.0
-41.325966,174.805435,-50.0,8.8,0.0
-41.325096,174.805481,-50.0,5.8,0.0
-41.324934,174.805605,-50.0,3.8,0.0
-41.324992,174.805714,-50.0,0.1,0.0
-41.324993,174.80571,-50.0,0.1,0.0
-41.324993,174.80571,-50.0,0.0,0.0
-41.324993,174.80571,-50.0,0.0,0.0
-41.324992,174.805714,-50.0,0.0,0.0
-41.324993,174.80571,-50.0,0.0,0.0
-41.324992,174.805714,-50.0,0.0,0.0
-41.324992,174.805714,-50.0,0.0,0.0
-41.324993,174.80571,-50.0,0.0,0.0
-41.324993,174.80571,-50.0,0.0,0.0
-41.324992,174.805714,-50.0,0.0,0.0
-41.324992,174.805714,-50.0,0.0,0.0
-41.324993,174.805725,-50.0,0.0,0.0
-41.324992,174.805714,-50.0,0.0,0.0
-41.324992,174.805714,-50.0,0.0,0.0
-41.325062,174.805745,-50.0,0.0,0.0
-41.325096,174.805786,-50.0,4.8,0.0
-41.325153,174.806015,-50.0,6.8,0.0
-41.325165,174.806549,-50.0,9.2,0.0
-41.324879,174.806915,-50.0,11.2,0.0
-41.324526,174.806978,-50.0,15.5,0.0
-41.324096,174.807009,-50.0,18.5,0.0
-41.323505,174.807068,-50.0,20.5,0.0
-41.322086,174.807175,-50.0,21.5,0.0
-41.320814,174.807275,-50.0,18.5,0.0
-41.319731,174.80729,-50.0,15.5,0.0
-41.319523,174.807297,-50.0,11.8,0.0
-41.319214,174.807281,-50.0,5.8,0.0
-41.319363,174.807419,-50.0,1.9,0.0
-41.31942,174.807419,-50.0,6.2,0.0
-41.319824,174.807399,-50.0,26.5,0.0
-41.320104,174.807384,-50.0,33.5,0.0
-41.320278,174.807384,-50.0,37.5,0.0
-41.320759,174.807343,-50.0,45.5,0.0
-41.32251,174.80719,-275,46.5,182.8
-41.322784,174.80719,-275,58.1,183.0
-41.324468,174.807087,-175,61.1,182.8
-41.326172,174.806885,-75,61.2,184.7
-41.328006,174.806775,-25,66.0,181.7
-41.32903,174.806713,25,70.3,184.9
-41.331848,174.806335,125,74.5,186.9
-41.333918,174.805964,225,74.0,189.3
-41.336246,174.805402,325,75.3,190.7
-41.338577,174.804688,425,75.9,192.9
-41.341187,174.803894,525,79.1,193.2
-41.343136,174.803217,575,82.3,196.2
-41.344206,174.802655,600,85.4,200.6
-41.345091,174.802094,600,88.1,206.3
-41.34613,174.801331,625,89.4,211.7
-41.346954,174.800537,675,90.6,217.4
-41.347687,174.799622,675,91.3,222.8
-41.348419,174.798523,725,91.4,229.0
-41.349327,174.796975,775,90.2,234.0
-41.350305,174.794977,850,87.1,238.1
-41.351166,174.793091,950,83.4,239.7
-41.352586,174.789609,1050,85.0,241.9
-41.353563,174.786925,1125,89.5,244.9
-41.354279,174.784912,1125,94.4,245.6
-41.354828,174.783264,1125,98.9,245.5
-41.355472,174.781369,1150,103.4,245.4
-41.357162,174.776184,1175,104.9,247.6
-41.358498,174.771507,1150,106.6,249.7
-41.359662,174.766887,1175,106.0,252.4
-41.362518,174.755188,1200,105.3,251.7
-41.364037,174.74891,1200,106.0,252.4
-41.364899,174.744873,1200,104.5,255.0
-41.36562,174.74067,1200,104.6,257.3
-41.366551,174.734677,1175,106.9,259.2
-41.36711,174.729496,1125,108.5,260.5
-41.367203,174.72856,1125,109.5,264.8
-41.361099,174.686768,1275,104.2,291.4
-41.359863,174.682983,1350,105.7,293.4
-41.358731,174.679871,1425,105.7,293.4
-41.357706,174.677186,1475,106.0,297.5
-41.356018,174.673035,1575,104.3,299.3
-41.354075,174.66851,1675,104.8,299.7
-41.351794,174.663454,1750,106.9,301.6
-41.351701,174.663266,1750,106.5,302.4
-41.344254,174.649231,2050,105.7,302.6
-41.343461,174.648035,2075,105.0,310.4
-41.341273,174.644789,2075,109.7,313.1
-41.338989,174.641785,2075,108.9,316.5
-41.336665,174.639046,2050,111.4,319.7
-41.333685,174.635988,2025,114.2,322.8
-41.332169,174.634521,2025,114.3,325.3
-41.327494,174.630557,2000,114.0,326.5
-41.304565,174.612793,1975,112.5,329.6
-41.301773,174.61084,2000,114.1,332.3
-41.299563,174.609458,2025,112.8,335.9
-41.297235,174.60821,2050,112.9,339.8
-41.294814,174.607211,2050,114.8,343.3
-41.292343,174.606384,2075,116.4,346.1
-41.288902,174.605401,2050,117.1,349.2
-41.284806,174.604527,2050,119.4,351.3
-41.280662,174.60384,2050,117.7,353.7
-41.276659,174.603341,2050,117.3,356.1
-41.272888,174.60321,2050,116.0,359.0
-41.270374,174.603029,2050,116.3,356.0
-41.268559,174.602717,2050,116.4,351.1
-41.266697,174.602155,2050,115.2,346.5
-41.265244,174.601562,2075,114.5,342.2
-41.263458,174.600647,2075,113.3,336.6
-41.261855,174.599533,2075,112.7,332.5
-41.258457,174.597036,2075,112.9,330.3
-41.255219,174.594482,2075,115.1,327.4
-41.249891,174.589795,2050,116.8,326.2
-41.245003,174.585301,2050,116.8,324.4
-41.240982,174.58136,2050,116.2,322.3
-41.236267,174.576355,2050,116.5,320.6
-41.228151,174.567323,2050,114.5,321.0
-41.222992,174.56189,2100,111.8,321.9
-41.217863,174.556649,2075,114.4,323.5
