lat,lon,alt,gs,track,vs
-39.652126,176.762085,-75,69.0,212.0,704
-39.653755,176.760681,75,69.0,214.0,768
-39.655431,176.759155,200,69.1,214.4,768
-39.656501,176.75824,275,68.5,213.7,768
-39.656937,176.757779,300,70.1,222.1,768
-39.6572,176.757263,325,70.0,233.1,768
-39.65744,176.756764,350,70.0,239.0,768
-39.657669,176.756167,375,70.2,250.0,768
-39.657806,176.755451,375,71.1,256.2,768
-39.657806,176.754794,400,73.1,266.9,768
-39.657619,176.753296,450,74.0,283.3,768
-39.657246,176.751831,500,75.4,291.8,768
-39.657028,176.75145,500,75.4,291.8,768
-39.656688,176.751099,525,75.8,306.4,768
-39.656129,176.750244,550,76.4,313.9,768
-39.655477,176.749573,600,77.6,321.8,768
-39.655014,176.749241,600,79.8,329.9,768
-39.654407,176.74884,625,81.3,339.1,768
-39.654053,176.748704,650,81.0,344.2,768
-39.653801,176.748657,675,74.3,354.6,768
-39.653366,176.748823,675,96.8,341.9,768
-39.652917,176.748596,700,83.2,355.9,3456
-39.651427,176.748718,700,84.0,0.0,640
-39.650757,176.748823,725,83.9,8.2,-128
-39.650217,176.749207,750,86.3,18.2,-640
-39.648867,176.75,725,89.2,23.1,-64
-39.645813,176.751868,750,89.5,25.1,320
-39.640813,176.755066,725,94.0,23.8,-320
-39.638858,176.756104,675,97.7,19.7,-320
-39.634277,176.758376,625,96.6,21.2,-256
-39.632108,176.759521,625,91.8,23.8,-128
-39.630339,176.76062,550,88.1,24.8,-768
-39.62915,176.761422,500,85.4,27.2,-704
-39.627823,176.762377,475,84.6,29.0,-704
-39.626266,176.764347,375,76.8,55.1,-832
-39.625823,176.765747,325,75.3,70.6,-832
-39.626382,176.76947,225,73.8,118.3,-768
-39.627267,176.771057,200,73.6,126.7,-768
-39.629059,176.77408,175,74.0,128.4,-768
-39.629548,176.77478,150,73.6,132.8,-768
-39.629641,176.774963,150,65.8,136.9,-768
-39.63002,176.775274,150,65.8,136.9,-768
-39.630112,176.775393,125,72.9,146.8,-768
-39.630525,176.775757,125,72.9,146.8,-768
-39.63089,176.775871,125,74.0,161.1,-768
-39.63141,176.77594,100,72.6,172.9,-768
-39.632248,176.77594,100,72.6,172.9,-768
-39.632584,176.775811,75,69.2,190.8,-768
-39.633041,176.775632,75,68.0,199.8,-768
-39.634735,176.774677,-25,66.3,203.1,-768
-39.635742,176.774139,-50,64.5,203.8,-768
-39.640137,176.771088,-225,67.0,208.0,-640
-39.642242,176.769608,-300,62.0,208.0,-512
-39.643559,176.768677,-325,57.0,209.0,-128
-39.644909,176.767639,-350,43.0,209.0,-64
-39.645935,176.766968,-350,49.0,207.0,0
-39.648262,176.76532,-275,68.0,209.0,448
-39.65181,176.762619,-100,70.0,211.0,1024
-39.654327,176.760526,50,70.0,211.0,1024
-39.655943,176.759155,125,70.0,211.0,1024
-39.657758,176.757507,225,67.4,215.3,1024
-39.659062,176.756287,300,68.3,219.1,1024
-39.659527,176.755676,325,67.9,227.4,1024
-39.659866,176.755033,325,69.3,236.8,1024
-39.660095,176.754436,350,69.8,242.7,1024
-39.660272,176.753723,375,71.2,252.8,1024
-39.66037,176.752883,400,71.7,262.0,1024
-39.66037,176.752226,425,73.1,266.9,1024
-39.660179,176.750977,475,74.2,280.1,1024
-39.65976,176.749634,525,75.6,294.2,1216
-39.659481,176.749023,550,76.3,301.6,960
-39.659015,176.748291,575,76.8,308.7,768
-39.658539,176.747748,600,78.0,319.2,896
-39.658131,176.747253,625,78.5,325.9,768
-39.657432,176.746948,650,80.1,334.1,768
-39.656827,176.746643,650,82.6,343.1,576
-39.655663,176.746704,700,85.1,358.0,1152
-39.653848,176.747009,725,89.8,16.8,64
-39.652496,176.747689,725,91.6,21.8,-64
-39.650024,176.749241,750,92.6,24.9,256
-39.646213,176.751648,775,92.6,26.3,0
-39.645375,176.752136,775,81.2,38.0,192
-39.645562,176.752441,775,76.2,76.3,768
-39.645282,176.752808,750,74.2,52.7,3456
-39.644943,176.752883,775,93.1,24.1,1856
-39.641465,176.754456,800,94.7,21.7,128
-39.637024,176.756884,775,94.5,23.0,-256
-39.633453,176.759033,750,92.6,24.9,64
-39.632061,176.759949,725,87.7,27.1,-192
-39.63113,176.76062,700,82.8,28.1,-384
-39.630013,176.761536,675,79.6,32.7,-512
-39.629548,176.762024,650,78.0,40.8,-512
-39.629222,176.762634,625,74.8,52.1,-576
-39.628967,176.763153,600,74.6,57.6,-640
-39.628756,176.763733,575,74.2,62.7,-704
-39.628617,176.764404,550,74.6,72.1,-960
-39.628477,176.76532,525,75.0,80.8,-1152
