lat,lon,alt,gs,track
-37.968658,177.301863,2700,78.4,264.1
-37.969076,177.295214,2725,76.2,265.5
-37.969391,177.290059,2700,78.1,267.1
-37.969728,177.280943,2675,81.1,267.2
-37.970007,177.276406,2650,81.2,265.8
-37.970472,177.270196,2625,80.4,264.3
-37.970947,177.263177,2625,76.2,265.5
-37.971405,177.257625,2600,78.4,264.1
-37.971683,177.254851,2600,77.8,261.9
-37.972275,177.250087,2600,75.1,260.0
-37.97294,177.245357,2600,74.3,259.1
-37.973694,177.240971,2600,72.6,258.1
-37.97429,177.237595,2600,73.0,256.5
-37.974747,177.235478,2625,71.8,253.8
-37.976198,177.229296,2625,72.5,254.8
-37.976578,177.227238,2625,72.6,258.1
-37.977036,177.223922,2625,72.0,260.4
-37.97731,177.221569,2650,72.6,262.9
-37.977362,177.219981,2650,72.1,266.8
-37.977455,177.217474,2650,72.0,270.0
-37.977356,177.212453,2650,73.0,271.6
-37.977362,177.208935,2650,72.0,269.2
-37.977455,177.205412,2650,72.1,266.8
-37.977585,177.203629,2625,73.6,263.0
-37.977676,177.202519,2625,73.6,263.0
-37.978271,177.19609,2625,70.7,261.9
-37.978712,177.192814,2625,71.2,259.5
-37.979187,177.190363,2600,70.8,256.9
-37.979965,177.18639,2625,68.7,257.4
-37.980194,177.184753,2625,67.9,260.7
-37.980606,177.180838,2625,70.6,262.7
-37.98111,177.176397,2600,73.4,263.8
-37.981201,177.174468,2600,74.1,267.7
-37.981247,177.170728,2625,74.0,270.0
-37.981319,177.165289,2625,74.0,268.5
-37.981384,177.162781,2625,73.2,266.1
-37.981598,177.160273,2625,72.6,262.9
-37.981878,177.156929,2650,72.3,265.2
-37.982162,177.152613,2650,73.1,266.9
-37.982254,177.148113,2675,75.0,268.5
-37.982343,177.143077,2675,76.1,267.0
-37.982574,177.139522,2700,73.3,264.5
-37.982809,177.137046,2700,71.9,261.2
-37.983228,177.13436,2700,72.4,258.9
-37.9836,177.132449,2700,72.5,254.8
-37.984531,177.128329,2675,71.8,253.8
-37.985229,177.125224,2675,71.3,255.4
-37.985509,177.123433,2675,72.4,258.9
-37.985695,177.121761,2675,72.6,262.9
-37.985788,177.120268,2650,74.0,268.5
-37.985733,177.118835,2650,75.2,273.8
-37.98555,177.117667,2650,77.1,279.7
-37.985369,177.116746,2650,80.0,288.2
-37.984909,177.115504,2650,80.6,293.4
-37.984406,177.114336,2650,81.9,298.4
-37.983582,177.112699,2650,83.8,303.3
-37.982025,177.109485,2600,85.2,301.1
-37.98104,177.107252,2575,85.9,297.8
-37.978821,177.101713,2525,87.2,296.6
-37.978134,177.099785,2525,84.3,292.3
-37.977362,177.097161,2500,83.5,288.9
-37.976198,177.092504,2450,84.8,287.1
-37.975454,177.08922,2425,84.9,285.0
-37.975113,177.087337,2400,83.4,280.4
-37.974335,177.081494,2350,81.6,281.3
-37.973964,177.079368,2350,81.5,284.2
-37.973498,177.077577,2325,81.3,288.7
-37.972893,177.075607,2325,82.5,292.8
-37.971176,177.070858,2250,86.4,293.9
-37.970286,177.067964,2225,87.7,290.7
-37.969208,177.063787,2200,88.5,288.4
-37.967819,177.058232,2125,90.1,287.4
-37.967167,177.055843,2100,90.1,289.4
-37.966329,177.053216,2025,89.2,293.1
-37.965271,177.050405,1975,87.7,295.7
-37.963862,177.046768,1875,86.3,295.4
-37.962559,177.043245,1775,89.1,294.5
-37.960976,177.038886,1700,89.0,296.0
-37.95932,177.03451,1625,87.7,294.2
-37.957901,177.030419,1550,88.1,294.8
-37.956757,177.027205,1500,87.5,292.2
-37.955246,177.022179,1425,84.9,291.4
-37.954102,177.018264,1350,85.4,290.6
-37.95282,177.013589,1275,86.4,290.3
-37.95163,177.00944,1225,85.4,288.4
-37.950577,177.005291,1150,86.7,288.9
-37.949432,177.001083,1075,87.9,289.3
-37.948174,176.997031,1000,88.0,291.3
-37.946964,176.99303,900,89.7,292.3
-37.9458,176.989388,850,86.2,291.8
-37.943984,176.983656,800,82.5,292.8
-37.942727,176.979894,725,83.0,291.9
-37.94147,176.976073,650,82.9,293.5
-37.940506,176.973033,600,82.3,290.6
-37.939682,176.970345,575,78.0,292.6
-37.938584,176.967057,525,73.0,293.4
-37.937393,176.963683,425,70.4,292.6
-37.93635,176.960489,350,70.8,293.3
-37.935232,176.957205,300,66.7,293.9
-37.934647,176.955443,275,61.9,292.8
-37.933836,176.952966,200,62.0,290.8
-37.932816,176.949599,150,61.5,292.0
-37.931305,176.944983,100,62.4,291.6
-37.930298,176.941979,50,58.7,293.1
-37.929382,176.939256,-25,57.0,291.6
-37.928329,176.935808,-75,58.7,293.1
-37.927412,176.933023,-125,62.0,290.8
-37.926453,176.930139,-150,65.0,292.6
-37.925217,176.926283,-225,66.9,292.0
-37.924013,176.922574,-300,62.4,291.6
-37.923222,176.920186,-325,49.4,291.4
-37.92257,176.918096,-325,32.3,291.8
-37.922379,176.917458,-300,28.2,292.9
-37.922291,176.917201,-300,22.9,293.2
-37.92215,176.916757,-300,16.2,291.8
-37.922115,176.916684,-50.0,14.2,288.4
-37.922046,176.9162,-50.0,5.2,294.0
-37.922035,176.916171,-50.0,4.8,313.7
-37.922012,176.916158,-50.0,4.2,333.4
-37.922,176.916335,-50.0,6.8,333.4
-37.922276,176.917152,-50.0,11.2,333.4
-37.922442,176.917678,-50.0,8.8,333.4
-37.922779,176.91774,-50.0,7.2,333.4
-37.923569,176.91816,-50.0,3.2,296.8
-37.923804,176.917992,-50.0,5.8,128.0
-37.923798,176.918496,-50.0,5.2,128.0
-37.923792,176.918544,-50.0,4.8,128.0
-37.923071,176.919589,-50.0,7.2,102.7
-37.923363,176.920541,-50.0,12.2,102.7
-37.923757,176.921828,-50.0,12.8,119.6
-37.923932,176.922306,-50.0,11.8,114.0
-37.924026,176.922586,-50.0,10.8,114.0
-37.92406,176.922798,-50.0,8.2,88.7
-37.924038,176.923112,-50.0,8.2,88.7
-37.924071,176.923321,-50.0,6.2,116.8
-37.924223,176.92344,-50.0,2.8,122.4
-37.924255,176.923288,-50.0,2.2,122.4
-37.924246,176.923261,-50.0,0.1,294.0
-37.924244,176.923258,-50.0,0.6,294.0
-37.924234,176.923231,-50.0,4.8,294.0
-37.924221,176.923185,-50.0,8.2,294.0
-37.924164,176.922995,-50.0,18.5,294.0
-37.924107,176.922805,-50.0,24.5,294.0
-37.92382,176.921914,-50.0,41.5,294.0
-37.923362,176.920604,-300,41.5,180.0
-37.923082,176.919649,-300,59.2,291.8
-37.922896,176.919051,-300,65.9,292.3
-37.92257,176.918096,-275,68.2,292.4
-37.921829,176.915939,-175,68.5,293.2
-37.920822,176.913017,-75,71.2,294.0
-37.920196,176.910991,-25,71.9,291.2
-37.919498,176.908722,75,71.9,291.2
-37.918567,176.905557,175,73.1,289.2
-37.917822,176.902572,275,71.2,287.2
-37.91716,176.899576,375,71.3,284.6
-37.916658,176.897139,425,75.9,282.9
-37.916245,176.894668,450,80.8,282.1
-37.915878,176.892856,525,78.6,284.7
-37.915466,176.890869,625,75.7,285.3
-37.915122,176.888958,675,74.5,281.6
-37.914963,176.887655,725,73.4,276.2
-37.914889,176.885734,775,72.1,273.2
-37.914843,176.883704,850,71.0,269.2
-37.914936,176.881614,900,73.2,265.3
-37.9151,176.879824,950,73.8,261.4
-37.915355,176.878808,975,74.0,253.5
-37.915649,176.877837,1000,72.6,247.3
-37.915924,176.877195,1025,72.6,240.3
-37.916336,176.876552,1050,72.8,232.8
-37.916751,176.875942,1050,72.8,225.6
-37.91716,176.8755,1075,73.7,221.7
-37.917618,176.875149,1100,74.3,213.5
-37.91835,176.874623,1125,74.2,207.3
-37.920822,176.872987,1200,74.8,209.6
-37.921921,176.872169,1200,75.3,210.3
-37.924667,176.870124,1200,78.3,208.2
-37.92691,176.868721,1225,79.2,206.2
-37.929199,176.867377,1250,78.8,204.0
-37.930856,176.866389,1250,80.5,206.6
-37.931671,176.865799,1225,84.1,212.4
-37.932579,176.864896,1200,86.8,218.4
-37.933324,176.863881,1175,91.4,228.1
-37.934115,176.862567,1175,92.5,231.1
-37.934488,176.861851,1175,93.8,238.5
-37.935093,176.860418,1175,90.4,242.3
-37.935516,176.859371,1225,86.3,243.1
-37.936024,176.858268,1275,81.9,241.6
-37.93634,176.857501,1300,78.0,239.2
-37.936935,176.856391,1325,74.9,235.9
-37.937886,176.854746,1350,74.0,231.6
-37.93895,176.853177,1350,74.4,228.8
-37.939499,176.852534,1375,73.1,220.0
-37.940048,176.852066,1400,72.7,211.5
-37.940643,176.851716,1400,72.2,201.9
-37.941284,176.851521,1400,72.8,192.7
-37.941925,176.851424,1400,74.1,182.3
-37.942612,176.851482,1400,76.4,174.0
-37.943344,176.851599,1400,78.1,170.4
-37.943939,176.851833,1400,81.3,163.6
-37.944636,176.852178,1375,85.6,157.3
-37.945427,176.852775,1375,89.7,149.1
-37.946228,176.853469,1350,93.9,141.1
