lat,lon,alt,gs,track
-19.79187,-43.975026,35975,410.1,224.4
-19.819382,-44.003432,36000,410.1,224.4
-19.845033,-44.029957,36000,412.3,224.3
-19.86969,-44.055372,36000,413.0,224.2
-19.89652,-44.083141,36025,413.0,224.4
-19.923101,-44.110657,36025,413.7,224.5
-19.948059,-44.136543,36025,413.7,224.5
-19.971841,-44.161344,36025,414.4,224.6
-19.991776,-44.182205,36025,414.4,224.6
-20.049025,-44.241644,36025,0.0,0.0
-20.071198,-44.264652,36025,413.7,224.3
-20.096973,-44.291382,36025,414.4,224.4
-20.123508,-44.318997,36000,413.7,224.5
-20.150788,-44.347512,36000,413.7,224.7
-20.17453,-44.372281,36025,413.0,224.6
-20.200413,-44.399298,36025,412.3,224.5
-20.225737,-44.425715,36025,411.5,224.6
-20.252598,-44.45383,36050,410.8,224.7
-20.280203,-44.482694,36025,410.1,224.6
-20.306412,-44.51006,36025,408.7,224.6
-20.332214,-44.537103,36025,406.6,224.7
-20.357992,-44.564092,36000,406.6,224.7
-20.384537,-44.591838,36000,405.9,224.6
-20.411911,-44.620432,35975,405.9,224.6
-20.437958,-44.647555,35975,405.9,224.4
-20.464271,-44.675004,35975,405.9,224.6
-20.485685,-44.697476,36000,406.6,224.7
-20.511614,-44.724792,36000,405.9,224.8
-20.538666,-44.7532,36000,405.9,224.6
-20.565289,-44.780973,36000,406.6,224.5
-20.58945,-44.806291,36000,406.6,224.7
-20.615707,-44.833881,36025,406.6,224.7
-20.641774,-44.861173,36000,406.6,224.7
-20.669659,-44.890436,36025,406.6,224.7
-20.695862,-44.918093,36025,405.9,224.8
-20.721222,-44.944872,36025,405.9,224.8
-20.735344,-44.959301,36025,405.4,223.1
-20.748001,-44.97121,36025,405.6,220.8
-20.761134,-44.982622,36025,405.6,218.6
-20.773773,-44.99279,36000,406.6,216.7
-20.80481,-45.016921,36000,406.2,216.4
-20.834547,-45.04025,36000,406.2,216.4
-20.864573,-45.063821,36025,406.8,216.5
-20.893021,-45.086223,36025,405.4,216.5
-20.92146,-45.108615,36025,405.4,216.5
-20.951347,-45.132186,36025,405.4,216.5
-20.981513,-45.156006,36025,405.2,216.7
-21.011259,-45.179676,36025,404.4,216.8
-21.033234,-45.197055,36025,403.8,216.6
-21.061249,-45.219177,36000,404.8,216.4
-21.09119,-45.242615,36000,404.8,216.4
-21.120712,-45.265869,36000,404.0,216.4
-21.149872,-45.28899,36000,403.8,216.6
-21.178436,-45.311662,36000,403.8,216.6
-21.207642,-45.334733,36000,404.0,216.4
-21.239044,-45.359353,36000,404.0,216.4
-21.26888,-45.382894,36000,404.6,216.6
-21.29872,-45.406545,36000,405.2,216.7
-21.327954,-45.429738,36000,405.2,216.7
-21.357422,-45.453236,36025,405.2,216.7
-21.386032,-45.476008,36025,404.4,216.8
-21.417252,-45.500927,36025,403.0,216.7
-21.446869,-45.524497,36050,402.4,216.6
-21.475571,-45.54718,36050,400.4,216.5
-21.50473,-45.57034,36050,398.8,216.6
-21.534393,-45.593711,36025,396.4,216.2
-21.564606,-45.617232,36025,395.0,216.1
-21.593442,-45.639954,36000,394.0,216.4
-21.62249,-45.662842,35975,392.6,216.4
-21.651215,-45.685447,35975,392.6,216.4
-21.679331,-45.707652,35950,392.6,216.4
-21.708426,-45.730489,35950,392.8,216.2
