lat,lon,alt,gs,track
-19.681309,-43.924988,3575,212.6,138.8
-19.686802,-43.920643,3825,217.7,146.2
-19.690712,-43.918396,3950,222.9,155.6
-19.69368,-43.917209,4050,225.3,159.5
-19.697555,-43.916249,4200,228.1,167.9
-19.700729,-43.915836,4300,231.1,174.3
-19.702769,-43.915799,4400,232.1,178.5
-19.705948,-43.916081,4500,235.1,185.6
-19.70723,-43.916326,4550,237.7,190.2
-19.709839,-43.916964,4650,239.6,194.5
-19.712173,-43.917797,4725,240.8,200.2
-19.713849,-43.918546,4800,242.2,202.3
-19.717852,-43.920943,4950,245.0,212.3
-19.720645,-43.92334,5075,247.8,222.1
-19.722275,-43.925038,5175,247.8,222.1
-19.723857,-43.926835,5250,249.1,227.3
-19.725347,-43.928683,5350,249.8,229.9
-19.72673,-43.930501,5425,250.2,230.8
-19.728513,-43.932928,5525,251.0,232.4
-19.730072,-43.935111,5625,251.0,233.6
-19.731818,-43.937722,5725,252.4,235.5
-19.733075,-43.939769,5800,252.1,236.8
-19.734238,-43.941683,5900,252.7,237.4
-19.735474,-43.943792,5975,252.0,238.1
-19.736799,-43.946062,6075,251.4,238.3
-19.738056,-43.948209,6175,250.9,238.5
-19.739266,-43.950306,6275,250.9,238.5
-19.740244,-43.951954,6375,251.4,238.3
-19.741425,-43.953945,6450,251.1,238.0
-19.743622,-43.957672,6625,252.0,238.1
-19.744766,-43.959732,6700,251.4,238.3
-19.745956,-43.961841,6775,251.7,240.5
-19.746994,-43.963939,6850,251.5,241.5
-19.748108,-43.966353,6950,250.5,245.0
-19.75002,-43.97113,7150,250.1,248.7
-19.751742,-43.976624,7350,249.9,253.0
-19.752813,-43.981368,7525,249.7,257.7
-19.753372,-43.984991,7650,249.5,261.9
-19.753883,-43.990157,7775,250.9,265.2
-19.754105,-43.993917,7875,254.5,266.4
-19.754302,-43.997647,7925,256.4,266.6
-19.754442,-44.000194,7975,261.3,267.1
-19.7547,-44.007307,8025,270.1,268.3
-19.754929,-44.017116,8100,272.1,268.3
-19.755066,-44.022756,8150,286.1,268.4
-19.755187,-44.026961,8225,290.1,268.4
-19.755432,-44.035852,8425,293.1,268.2
-19.755792,-44.047136,8725,294.2,268.0
-19.755932,-44.05183,8875,297.2,267.9
-19.75621,-44.059099,9075,298.2,267.9
-19.756444,-44.066512,9250,300.2,267.9
-19.756714,-44.073862,9425,302.2,267.9
-19.756989,-44.08171,9625,304.2,267.7
-19.757328,-44.090332,9825,306.2,267.8
-19.757561,-44.096375,10000,307.2,267.8
-19.75784,-44.103715,10200,308.2,267.8
-19.758073,-44.110956,10375,310.2,267.8
-19.758306,-44.116999,10500,310.2,267.8
-19.758682,-44.126047,10650,317.3,267.6
