lat,lon,alt,gs,track
-23.42639,-46.469014,-50.0,0.0,0.0
-23.42639,-46.469014,-50.0,0.0,0.0
-23.426388,-46.469022,-50.0,0.0,0.0
-23.426376,-46.468997,-50.0,1.6,0.0
-23.42632,-46.46876,-50.0,1.9,0.0
-23.426296,-46.468519,-50.0,3.2,0.0
-23.426136,-46.468298,-50.0,2.2,0.0
-23.425971,-46.468379,-50.0,1.1,0.0
-23.425941,-46.468398,-50.0,0.0,0.0
-23.425941,-46.468398,-50.0,0.0,0.0
-23.425941,-46.468398,-50.0,0.2,0.0
-23.425964,-46.468385,-50.0,1.6,0.0
-23.42618,-46.468163,-50.0,4.8,0.0
-23.426376,-46.468048,-50.0,6.2,0.0
-23.426651,-46.467936,-50.0,6.8,0.0
-23.426937,-46.467794,-50.0,7.8,0.0
-23.427349,-46.467786,-50.0,11.2,0.0
-23.42767,-46.468061,-50.0,10.2,0.0
-23.428104,-46.468086,-50.0,11.8,0.0
-23.428482,-46.468285,-50.0,13.2,0.0
-23.428601,-46.468735,-50.0,13.8,0.0
-23.428729,-46.46918,-50.0,14.2,0.0
-23.428845,-46.469625,-50.0,14.2,0.0
-23.42895,-46.470019,-50.0,14.2,0.0
-23.429066,-46.470445,-50.0,15.5,0.0
-23.429194,-46.470909,-50.0,15.5,0.0
-23.429311,-46.471341,-50.0,16.5,0.0
-23.42942,-46.471756,-50.0,16.5,0.0
-23.429543,-46.472219,-50.0,16.5,0.0
-23.42966,-46.472638,-50.0,16.5,0.0
-23.429787,-46.473104,-50.0,16.5,0.0
-23.429904,-46.473567,-50.0,15.5,0.0
-23.430032,-46.473999,-50.0,15.5,0.0
-23.430153,-46.474465,-50.0,15.5,0.0
-23.430267,-46.47489,-50.0,16.5,0.0
-23.430381,-46.475309,-50.0,16.5,0.0
-23.430496,-46.475726,-50.0,16.5,0.0
-23.430622,-46.476188,-50.0,16.5,0.0
-23.430737,-46.476625,-50.0,16.5,0.0
-23.430859,-46.477076,-50.0,17.5,0.0
-23.430977,-46.477511,-50.0,17.5,0.0
-23.431103,-46.477973,-50.0,17.5,0.0
-23.431229,-46.478435,-50.0,17.5,0.0
-23.431332,-46.478847,-50.0,17.5,0.0
-23.431464,-46.479314,-50.0,18.5,0.0
-23.431572,-46.479721,-50.0,18.5,0.0
-23.431685,-46.480141,-50.0,18.5,0.0
-23.431801,-46.480573,-50.0,18.5,0.0
-23.431918,-46.480993,-50.0,17.5,0.0
-23.432041,-46.481431,-50.0,17.5,0.0
-23.43215,-46.48187,-50.0,18.5,0.0
-23.432278,-46.482328,-50.0,19.5,0.0
-23.432396,-46.48278,-50.0,17.5,0.0
-23.432581,-46.483218,-50.0,16.5,0.0
-23.432918,-46.483485,-50.0,15.5,0.0
-23.433349,-46.483548,-50.0,15.5,0.0
-23.433745,-46.483421,-50.0,15.5,0.0
-23.434158,-46.483304,-50.0,13.8,0.0
-23.434193,-46.483292,-50.0,12.2,0.0
-23.434292,-46.483192,-50.0,8.2,0.0
-23.434199,-46.482976,-50.0,3.2,0.0
-23.434164,-46.482862,-50.0,6.2,0.0
-23.434152,-46.482811,-50.0,10.2,0.0
-23.434094,-46.482595,-50.0,13.2,0.0
-23.434044,-46.482405,-50.0,22.5,0.0
-23.433987,-46.48223,-50.0,27.5,0.0
-23.433952,-46.482081,-50.0,32.5,0.0
-23.433872,-46.481818,-50.0,36.5,0.0
-23.433849,-46.481744,-50.0,41.5,0.0
-23.433745,-46.481349,-50.0,45.5,0.0
-23.433698,-46.481183,-50.0,50.5,0.0
-23.433605,-46.480853,-50.0,54.5,0.0
-23.433506,-46.480495,-50.0,58.5,0.0
-23.433472,-46.480345,-50.0,63.5,0.0
-23.433349,-46.479886,-50.0,67.5,0.0
-23.433268,-46.479594,-50.0,71.0,0.0
-23.43306,-46.47881,-50.0,79.0,0.0
-23.432942,-46.478399,-50.0,83.0,0.0
-23.432877,-46.478161,-50.0,83.0,0.0
-23.432728,-46.477599,-50.0,91.0,0.0
-23.432705,-46.477511,-50.0,91.0,0.0
-23.4325,-46.476758,-50.0,95.0,0.0
-23.432419,-46.47645,-50.0,99.0,0.0
-23.432232,-46.475741,-50.0,102.5,0.0
-23.432144,-46.475401,-50.0,107.5,0.0
-23.431894,-46.47452,-50.0,112.5,0.0
-23.431744,-46.473941,-50.0,117.5,0.0
-23.431618,-46.473491,-50.0,117.5,0.0
-23.431522,-46.473122,-50.0,122.5,0.0
-23.431324,-46.472397,-50.0,122.5,0.0
-23.431254,-46.47213,-50.0,127.5,0.0
-23.43116,-46.471768,-50.0,127.5,0.0
-23.431046,-46.471369,-50.0,132.5,0.0
-23.430952,-46.470985,-50.0,132.5,0.0
-23.430731,-46.470172,-50.0,137.5,0.0
-23.430509,-46.469358,-50.0,137.5,0.0
-23.430405,-46.468959,-50.0,142.5,0.0
-23.43005,-46.467661,-50.0,147.5,0.0
