lat,lon,alt,gs,track,vs
-3.775497,-38.53571,50,113.1,105.4,0
-3.775899,-38.534262,75,117.9,104.7,384
-3.776596,-38.531613,175,122.5,105.6,1408
-3.777237,-38.529425,275,123.5,105.5,1664
-3.777854,-38.527111,375,126.7,105.6,1600
-3.778505,-38.524933,475,129.1,106.2,1728
-3.779114,-38.522908,575,130.7,106.9,1984
-3.779663,-38.521185,675,130.9,107.3,2112
-3.780228,-38.519345,775,131.9,107.2,1856
-3.780833,-38.517356,875,132.9,107.1,2048
-3.781357,-38.515646,975,132.6,106.7,2112
-3.781904,-38.513804,1075,133.2,106.1,1920
-3.782509,-38.511673,1175,134.2,106.0,1856
-3.783096,-38.509687,1275,136.1,105.8,1728
-3.783812,-38.507175,1375,137.6,106.5,1664
-3.784332,-38.505404,1450,139.6,106.2,1792
-3.784883,-38.503434,1550,140.2,105.7,1856
-3.785568,-38.501075,1650,143.1,105.4,1536
-3.786326,-38.498272,1750,146.0,105.1,1408
-3.786978,-38.49562,1850,148.7,104.4,1536
-3.787723,-38.492637,1950,151.3,103.8,1472
-3.788375,-38.490032,2050,154.3,103.5,1600
-3.789093,-38.487295,2150,155.5,105.3,1728
-3.789917,-38.485014,2250,155.3,109.9,1856
-3.791075,-38.482456,2350,156.2,114.6,1792
-3.791959,-38.48094,2425,155.9,120.0,1856
-3.793076,-38.479381,2500,156.0,126.1,1792
-3.794449,-38.477845,2575,156.0,130.8,1856
-3.796195,-38.476394,2675,156.5,138.4,1792
-3.797406,-38.475636,2725,157.0,147.2,1920
-3.799072,-38.474819,2800,157.0,153.1,1920
-3.800757,-38.474216,2875,157.7,158.8,1920
-3.802139,-38.473935,2925,159.1,166.9,1664
-3.804016,-38.473695,3000,159.5,172.1,1792
-3.80603,-38.473609,3075,161.1,178.6,1984
-3.80809,-38.473702,3175,161.1,182.1,2048
-3.810059,-38.473935,3275,160.8,185.7,2112
-3.812851,-38.4744,3375,161.3,189.6,1920
-3.815048,-38.474819,3475,161.2,191.4,1920
-3.817566,-38.475378,3575,162.5,193.5,1856
-3.820038,-38.47603,3675,163.2,194.6,1792
-3.822418,-38.476635,3775,163.0,194.2,1856
-3.824982,-38.47724,3875,163.5,193.4,1792
-3.827339,-38.477767,3975,163.2,193.1,1792
-3.830109,-38.478311,4075,162.8,190.6,1792
-3.832879,-38.478762,4175,163.1,189.2,1664
