lat,lon,alt,gs,track,vs
-23.429512,-46.48067,2075,3.2,2.8,0
-23.429543,-46.480675,2075,3.2,357.2,0
-23.429581,-46.480682,2075,2.8,354.4,0
-23.429626,-46.480682,2075,3.2,348.8,0
-23.42966,-46.480687,2075,3.8,343.1,0
-23.429695,-46.480675,2075,2.8,337.5,0
-23.429753,-46.480675,2075,2.8,329.1,0
-23.429775,-46.480657,2075,2.8,320.6,0
-23.429798,-46.480657,2075,2.8,315.0,0
-23.429844,-46.48062,2075,2.8,300.9,0
-23.429878,-46.480582,2075,2.8,295.3,0
-23.429901,-46.480558,2075,2.8,289.7,0
-23.429924,-46.480495,2075,2.8,281.2,0
-23.429939,-46.480433,2075,2.8,278.4,0
-23.429958,-46.480333,2075,2.8,275.6,0
-23.429974,-46.480242,2075,2.8,272.8,0
-23.429928,-46.479886,2075,2.2,253.1,0
-23.429913,-46.479833,2075,0.1,253.1,0
-23.430325,-46.481182,2075,9.2,233.4,0
-23.43037,-46.481222,2075,9.2,225.0,0
-23.430451,-46.481272,2075,9.2,213.8,0
-23.430519,-46.481294,2075,9.2,202.5,0
-23.430576,-46.481294,2075,8.8,191.2,0
-23.430661,-46.481298,2075,8.8,182.8,0
-23.430782,-46.481282,2075,8.2,177.2,0
-23.431034,-46.481257,2075,7.8,174.4,0
-23.431149,-46.481234,2075,8.2,168.8,0
-23.431243,-46.481209,2075,8.8,165.9,0
-23.431266,-46.481209,2075,8.8,165.9,0
-23.431538,-46.481119,2075,8.8,163.1,0
-23.433012,-46.48351,2075,0.5,194.1,0
-23.433012,-46.483498,2075,0.0,194.1,0
-23.433012,-46.48351,2075,0.0,194.1,0
-23.433128,-46.483536,2075,5.8,194.1,0
-23.433209,-46.483548,2075,7.2,188.4,0
-23.433291,-46.483536,2075,8.2,180.0,0
-23.433372,-46.483523,2075,9.2,174.4,0
-23.43346,-46.483504,2075,10.8,168.8,0
-23.433609,-46.483466,2075,11.8,163.1,0
-23.43425,-46.483192,2075,3.8,129.4,0
-23.434245,-46.483167,2075,3.8,118.1,0
-23.434238,-46.483142,2075,3.2,106.9,0
-23.434227,-46.483117,2075,3.2,98.4,0
-23.434216,-46.483092,2075,3.2,90.0,0
-23.434204,-46.483054,2075,3.2,81.6,0
-23.434199,-46.483027,2075,1.9,78.8,0
-23.434187,-46.483002,2075,0.9,75.9,0
-23.434187,-46.482989,2075,0.1,73.1,0
-23.434158,-46.482892,2075,0.0,73.1,0
-23.434147,-46.482855,2075,6.8,73.1,0
-23.434135,-46.48278,2075,8.8,73.1,0
-23.434117,-46.482722,2075,12.2,73.1,0
-23.434094,-46.482633,2075,16.5,73.1,0
-23.434032,-46.482418,2075,25.5,73.1,0
-23.43401,-46.482343,2075,30.5,73.1,0
-23.433943,-46.482086,2075,34.5,73.1,0
-23.433919,-46.481997,2075,39.5,73.1,0
-23.433838,-46.481679,2075,43.5,73.1,0
-23.433804,-46.481569,2075,48.5,73.1,0
-23.433701,-46.481182,2075,52.5,73.1,0
-23.433632,-46.48092,2075,56.5,73.1,0
-23.433586,-46.480745,2075,61.5,73.1,0
-23.433442,-46.480204,2075,65.5,73.1,0
-23.433392,-46.480021,2075,69.5,73.1,0
-23.433279,-46.479632,2075,73.0,73.1,0
-23.433174,-46.479234,2075,77.0,73.1,0
-23.43306,-46.47881,2075,81.0,73.1,0
-23.432872,-46.478132,2075,89.0,73.1,0
-23.432814,-46.477966,2100,89.0,0.0,0
-23.432721,-46.477559,2100,89.6,73.8,0
-23.432441,-46.476491,2100,96.8,73.8,0
-23.432162,-46.475474,2100,108.2,73.9,0
-23.431824,-46.474215,2100,115.5,73.9,64
-23.43151,-46.472982,2100,126.2,73.4,64
-23.431046,-46.471369,2100,129.1,73.8,0
-23.430862,-46.47062,2100,132.3,73.8,0
-23.430533,-46.469421,2100,141.8,73.6,0
