lat,lon,alt,gs,track
-19.680843,-43.925138,4100,205.5,138.6
-19.684893,-43.921892,4275,206.3,139.1
-19.685731,-43.921342,4300,213.3,146.1
-19.688338,-43.919894,4375,215.9,150.0
-19.694297,-43.917797,4550,219.6,153.8
-19.695367,-43.917597,4575,219.6,153.8
-19.696438,-43.917397,4600,231.8,168.3
-19.698719,-43.917148,4650,236.0,172.4
-19.701096,-43.917062,4700,239.4,176.6
-19.703374,-43.917197,4750,242.1,178.6
-19.704391,-43.917307,4775,245.3,182.8
-19.706959,-43.917697,4825,247.9,184.9
-19.711578,-43.918975,4925,257.6,194.9
-19.714081,-43.920094,4975,261.8,201.3
-19.716688,-43.921492,5050,266.6,208.2
-19.721054,-43.924615,5175,269.1,212.9
-19.723485,-43.926985,5275,274.1,221.9
-19.725487,-43.929282,5375,276.6,226.3
-19.727442,-43.931879,5475,279.1,231.7
-19.729304,-43.934676,5575,280.9,234.3
-19.730561,-43.936623,5650,281.5,235.9
-19.732004,-43.93897,5750,282.3,236.7
-19.733447,-43.941417,5850,282.4,237.4
-19.734751,-43.943665,5950,283.3,238.3
-19.736101,-43.946062,6050,283.5,239.0
-19.737442,-43.948451,6150,283.7,239.7
-19.738632,-43.950609,6250,284.4,240.3
-19.739918,-43.953053,6350,284.3,240.7
-19.741268,-43.95565,6450,284.7,241.0
-19.742385,-43.957847,6550,284.7,241.0
-19.743622,-43.960173,6650,285.6,241.1
-19.745039,-43.962841,6750,285.6,241.1
-19.746389,-43.965437,6850,286.4,241.2
-19.747787,-43.968168,6950,286.4,241.2
-19.750305,-43.972975,7150,286.9,241.0
-19.75272,-43.977522,7350,287.4,240.9
-19.755047,-43.981967,7550,286.5,240.8
-19.757282,-43.986112,7750,286.2,240.5
-19.759506,-43.990239,7925,285.8,240.2
-19.761841,-43.994506,8125,286.3,240.0
-19.764963,-44.000244,8325,288.5,240.1
-19.767929,-44.005688,8525,290.7,240.1
-19.771317,-44.011868,8725,292.1,240.0
-19.774658,-44.017999,8900,294.0,239.8
-19.777718,-44.023515,9100,295.3,239.7
-19.780046,-44.02766,9225,297.6,239.7
-19.783258,-44.033503,9425,299.4,239.5
-19.785725,-44.037947,9550,300.3,239.6
-19.788116,-44.042277,9700,300.3,239.6
-19.796805,-44.058322,10250,304.1,240.2
-19.798853,-44.062067,10375,305.9,240.4
-19.800247,-44.064691,10425,307.2,240.4
-19.802437,-44.068809,10500,309.5,240.4
-19.803974,-44.071605,10525,313.9,240.4
-19.809234,-44.081493,10650,322.9,240.5
-19.813019,-44.088478,10750,327.8,240.4
-19.820174,-44.101618,10975,338.2,240.0
-19.82441,-44.109408,11150,339.1,240.1
-19.870962,-44.194203,13425,349.0,239.9
-19.897476,-44.242581,14700,351.3,239.9
-19.908279,-44.262248,15175,357.1,239.9
-19.909973,-44.265264,15250,357.1,239.9
-20.115455,-44.524392,21725,379.7,213.4
-20.148743,-44.547795,22450,380.2,213.5
-20.157352,-44.553855,22625,380.2,213.5
-20.20572,-44.588063,23525,385.0,213.8
-20.223037,-44.600347,23800,0.0,0.0
-20.244544,-44.615628,24150,0.0,0.0
-20.272842,-44.635686,24600,0.0,0.0
-20.281739,-44.641996,24775,0.0,0.0
-20.370895,-44.705037,25975,403.8,213.7
-20.377358,-44.709611,26000,398.8,213.6
-20.386622,-44.716153,26000,400.2,213.7
-20.403148,-44.727839,26000,400.2,213.7
-20.442261,-44.755456,26000,400.2,213.7
-20.487221,-44.787165,26000,400.2,213.7
-20.514919,-44.806741,26000,400.2,213.7
-20.536799,-44.822321,26000,400.8,213.8
-20.546997,-44.829565,26000,400.8,213.8
-20.571671,-44.847123,26000,399.9,213.9
-20.602203,-44.868851,26000,400.8,213.8
-20.6315,-44.889695,26000,400.8,213.8
-20.634293,-44.891657,26000,400.8,213.8
-20.704239,-44.94139,26000,400.8,213.8
-20.733902,-44.962529,26000,400.8,213.8
-20.748332,-44.973034,26000,400.9,215.4
-20.759412,-44.981723,26000,401.0,216.6
-20.805817,-45.018196,26000,401.2,216.4
-20.824026,-45.032559,26000,401.0,216.6
-20.847931,-45.051449,26000,401.0,216.6
-20.850887,-45.053783,26000,401.0,216.6
-20.889999,-45.084703,26000,0.0,0.0
-20.900838,-45.093234,26000,399.0,216.4
-20.922857,-45.110562,26000,396.8,216.5
-20.950369,-45.132136,26000,387.6,216.4
-20.964661,-45.143422,26000,387.6,216.4
-21.023316,-45.189564,26000,0.0,0.0
-21.065493,-45.222778,26000,385.4,216.4
-21.091236,-45.243022,26000,385.4,216.4
-21.119202,-45.26517,26000,384.6,216.5
-21.147629,-45.287592,26000,385.2,216.7
-21.176239,-45.310364,26000,384.4,216.8
-21.20462,-45.332786,26000,384.6,216.5
-21.232522,-45.354919,26000,385.0,216.9
-21.260651,-45.37743,26000,385.0,216.9
-21.288986,-45.400002,26000,385.2,216.7
-21.317294,-45.422414,26000,386.0,216.6
-21.345245,-45.444497,26000,386.8,216.5
-21.373489,-45.466769,26000,386.8,216.5
-21.402328,-45.489541,26000,386.8,216.5
-21.430573,-45.511913,26000,386.8,216.5
-21.45844,-45.533956,26000,386.6,216.7
-21.486465,-45.556308,26000,386.6,216.7
-21.515259,-45.579179,26000,386.8,216.5
-21.541946,-45.600253,26000,386.8,217.2
-21.547577,-45.605297,26000,385.7,220.8
-21.552615,-45.610758,26000,386.1,225.8
-21.557084,-45.616506,26000,385.4,231.1
-21.560532,-45.621826,26000,385.2,236.4
-21.56369,-45.627569,25975,383.8,240.5
-21.566441,-45.633698,26000,382.4,244.4
-21.568397,-45.639191,26000,380.7,248.4
-21.570072,-45.645294,26000,379.8,253.9
-21.571329,-45.651754,26000,378.3,258.0
-21.572021,-45.657132,26000,377.6,263.3
-21.572479,-45.664972,26000,377.5,267.1
-21.572773,-45.680644,26000,377.0,269.2
-21.573052,-45.717519,26000,377.0,269.7
-21.573166,-45.754311,26000,377.0,269.9
-21.573303,-45.791265,26000,376.0,269.9
-21.573378,-45.827993,26000,376.0,270.0
-21.573471,-45.863953,26000,375.0,269.7
-21.573624,-45.900529,26000,374.0,269.9
-21.573761,-45.937084,26000,374.0,269.7
-21.573983,-45.973511,26000,373.0,269.9
-21.573898,-46.010293,25975,371.0,270.1
-21.573898,-46.04465,26000,361.0,270.3
-21.573704,-46.08017,26000,360.0,270.5
-21.573564,-46.115417,26000,359.0,270.0
-21.573424,-46.150106,26000,358.0,270.3
-21.573257,-46.185824,26000,358.0,269.8
-21.573564,-46.195577,26000,357.5,267.0
-21.574219,-46.201205,26025,356.7,262.9
-21.575272,-46.206399,26025,356.8,258.0
-21.576729,-46.211497,26025,358.1,252.8
-21.578731,-46.216583,26025,360.1,247.6
-21.581085,-46.22138,26025,361.8,242.5
-21.583282,-46.225175,26025,363.7,237.6
-21.58667,-46.229919,26025,366.0,232.7
-21.590323,-46.234283,26025,368.6,226.6
-21.594699,-46.238708,26025,370.9,222.6
-21.599447,-46.242727,26025,374.2,217.0
